sample,universe,target,horizon,outcome,metric,n,spearman
TRAIN_2017_2022,KOSDAQ,FLOW,20,spread,FH_C_CONTINUOUS,291,0.0401048945940813
TRAIN_2017_2022,KOSDAQ,MOMENTUM,5,top,FH_A_HEALTHY_BREADTH,291,-0.008927448452465363
TRAIN_2017_2022,KOSDAQ,MOMENTUM,5,top,FH_B_NET_BREADTH,291,0.019041907648223676
TRAIN_2017_2022,KOSDAQ,MOMENTUM,5,top,FH_C_CONTINUOUS,291,0.037583820714977914
TRAIN_2017_2022,KOSDAQ,MOMENTUM,5,spread,FH_A_HEALTHY_BREADTH,291,0.06249556479463385
TRAIN_2017_2022,KOSDAQ,MOMENTUM,5,spread,FH_B_NET_BREADTH,291,0.030800172959797447
TRAIN_2017_2022,KOSDAQ,MOMENTUM,5,spread,FH_C_CONTINUOUS,291,0.05887294313583217
TRAIN_2017_2022,KOSDAQ,MOMENTUM,20,top,FH_A_HEALTHY_BREADTH,291,-0.027365229030965364
TRAIN_2017_2022,KOSDAQ,MOMENTUM,20,top,FH_B_NET_BREADTH,291,-0.03330010598914467
TRAIN_2017_2022,KOSDAQ,MOMENTUM,20,top,FH_C_CONTINUOUS,291,0.009935280912008338
TRAIN_2017_2022,KOSDAQ,MOMENTUM,20,spread,FH_A_HEALTHY_BREADTH,291,0.17511438233985793
TRAIN_2017_2022,KOSDAQ,MOMENTUM,20,spread,FH_B_NET_BREADTH,291,0.08787701239885337
TRAIN_2017_2022,KOSDAQ,MOMENTUM,20,spread,FH_C_CONTINUOUS,291,0.18965712031711865
TRAIN_2017_2022,KOSDAQ,REVISION,5,top,FH_A_HEALTHY_BREADTH,291,-0.022115157283480725
TRAIN_2017_2022,KOSDAQ,REVISION,5,top,FH_B_NET_BREADTH,291,-0.033388233758710854
TRAIN_2017_2022,KOSDAQ,REVISION,5,top,FH_C_CONTINUOUS,291,-0.03320493403912364
TRAIN_2017_2022,KOSDAQ,REVISION,5,spread,FH_A_HEALTHY_BREADTH,291,-0.04717637203593353
TRAIN_2017_2022,KOSDAQ,REVISION,5,spread,FH_B_NET_BREADTH,291,-0.02306945926055916
TRAIN_2017_2022,KOSDAQ,REVISION,5,spread,FH_C_CONTINUOUS,291,-0.01768647522023482
TRAIN_2017_2022,KOSDAQ,REVISION,20,top,FH_A_HEALTHY_BREADTH,291,-0.12177547469108539
TRAIN_2017_2022,KOSDAQ,REVISION,20,top,FH_B_NET_BREADTH,291,-0.11778276608024549
TRAIN_2017_2022,KOSDAQ,REVISION,20,top,FH_C_CONTINUOUS,291,-0.12930523158135662
TRAIN_2017_2022,KOSDAQ,REVISION,20,spread,FH_A_HEALTHY_BREADTH,291,0.0003191092585048553
TRAIN_2017_2022,KOSDAQ,REVISION,20,spread,FH_B_NET_BREADTH,291,0.039797900017141404
TRAIN_2017_2022,KOSDAQ,REVISION,20,spread,FH_C_CONTINUOUS,291,0.10327491246609433
TRAIN_2017_2022,KOSDAQ,VALUE,5,top,FH_A_HEALTHY_BREADTH,291,-0.03189612981759639
TRAIN_2017_2022,KOSDAQ,VALUE,5,top,FH_B_NET_BREADTH,291,-0.07173460095294211
TRAIN_2017_2022,KOSDAQ,VALUE,5,top,FH_C_CONTINUOUS,291,-0.037098792786913984
TRAIN_2017_2022,KOSDAQ,VALUE,5,spread,FH_A_HEALTHY_BREADTH,291,0.05006303743226244
TRAIN_2017_2022,KOSDAQ,VALUE,5,spread,FH_B_NET_BREADTH,291,-0.03329894239036449
TRAIN_2017_2022,KOSDAQ,VALUE,5,spread,FH_C_CONTINUOUS,291,-0.0469746626474928
TRAIN_2017_2022,KOSDAQ,VALUE,20,top,FH_A_HEALTHY_BREADTH,291,-0.049743932536883556
TRAIN_2017_2022,KOSDAQ,VALUE,20,top,FH_B_NET_BREADTH,291,-0.09499984965589836
TRAIN_2017_2022,KOSDAQ,VALUE,20,top,FH_C_CONTINUOUS,291,-0.1007927966535021
TRAIN_2017_2022,KOSDAQ,VALUE,20,spread,FH_A_HEALTHY_BREADTH,291,0.08165974048969499
TRAIN_2017_2022,KOSDAQ,VALUE,20,spread,FH_B_NET_BREADTH,291,0.0664108886282549
TRAIN_2017_2022,KOSDAQ,VALUE,20,spread,FH_C_CONTINUOUS,291,0.0064524297659107185
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,5,top,FH_A_HEALTHY_BREADTH,291,-0.033339558469481945
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,5,top,FH_B_NET_BREADTH,291,-0.038175958198851084
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,5,top,FH_C_CONTINUOUS,291,-0.02352775031775173
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,5,spread,FH_A_HEALTHY_BREADTH,291,0.022220782442713236
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,5,spread,FH_B_NET_BREADTH,291,0.04532398581418247
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,5,spread,FH_C_CONTINUOUS,291,0.02411163433958773
TRAIN_2017_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,20,top,FH_A_HEALTHY_BREADTH,291,-0.08003689803592957
