signal_date,era,universe,factor,raw20,within20,confirmed,future_raw5,same_date_ew8,future_alpha_vs_ew8
2022-02-17,2020-22,KOSPI_ALL,PBR12MF,0.06364073957159269,0.04280275859665846,True,0.0122179239661728,0.013745744126517762,-0.0015278201603449622
2022-02-17,2020-22,KOSPI_ALL,PER12MF,0.05002879138803136,0.03538263666806821,True,0.0177030135678896,0.013745744126517762,0.003957269441371838
2022-02-17,2020-22,KOSPI_EX_K200,PER12MF,0.07371234314090731,0.04432656349489736,True,0.0226758153969366,0.02023332441689555,0.0024424909800410503
2022-02-17,2020-22,KOSPI_EX_K200,PBR12MF,0.056218079454484114,0.011892981659080268,True,0.0166643786554301,0.02023332441689555,-0.00356894576146545
2022-02-17,2020-22,KOSPI_KOSDAQ_ALL,PBR12MF,0.08685435847215874,0.05110903472369872,True,0.0221481347846999,0.012384040532981762,0.009764094251718137
2022-02-17,2020-22,KOSPI_KOSDAQ_ALL,PER12MF,0.0741954779741696,0.044860811148979614,True,0.0171594766389,0.012384040532981762,0.004775436105918237
2022-02-24,2020-22,K200,PBR12MF,0.0700014679179837,0.05182705278310501,True,0.0043994071116651,-0.006002312717745438,0.010401719829410537
2022-02-24,2020-22,K200,PER12MF,0.053858335568230484,0.03890258577055461,True,-0.0205555070846467,-0.006002312717745438,-0.014553194366901261
2022-02-24,2020-22,KOSDAQ,MOM1M,0.0947615121117408,0.05910706799027858,True,-0.052315963981998,-0.011776654915791225,-0.04053930906620677
2022-02-24,2020-22,KOSDAQ,PER12MF,0.0865931408689398,0.0652584548747793,True,-0.0369495217791971,-0.011776654915791225,-0.025172866863405877
2022-02-24,2020-22,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,0.11242731232171778,0.04984631940530429,True,-0.0058327757377438,-0.004759964829922976,-0.0010728109078208242
2022-02-24,2020-22,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,0.10420634477669993,0.057258194668144226,True,-0.0122137593939386,-0.004759964829922976,-0.007453794564015624
