sample,spec,universe,lag_steps,approx_trading_days,from_state,to_state,n_from,count,probability
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,B_FHIGH_LLOW,D_FLOW_LLOW,56,8,0.14285714285714285
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,C_FLOW_LHIGH,A_FHIGH_LHIGH,26,3,0.11538461538461539
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,C_FLOW_LHIGH,B_FHIGH_LLOW,26,6,0.23076923076923078
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,C_FLOW_LHIGH,C_FLOW_LHIGH,26,8,0.3076923076923077
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,C_FLOW_LHIGH,D_FLOW_LLOW,26,9,0.34615384615384615
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,D_FLOW_LLOW,A_FHIGH_LHIGH,54,7,0.12962962962962962
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,D_FLOW_LLOW,B_FHIGH_LLOW,54,7,0.12962962962962962
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,D_FLOW_LLOW,C_FLOW_LHIGH,54,8,0.14814814814814814
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,1,5,D_FLOW_LLOW,D_FLOW_LLOW,54,32,0.5925925925925926
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,A_FHIGH_LHIGH,A_FHIGH_LHIGH,37,10,0.2702702702702703
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,A_FHIGH_LHIGH,B_FHIGH_LLOW,37,13,0.35135135135135137
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,A_FHIGH_LHIGH,C_FLOW_LHIGH,37,5,0.13513513513513514
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,A_FHIGH_LHIGH,D_FLOW_LLOW,37,9,0.24324324324324326
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,B_FHIGH_LLOW,A_FHIGH_LHIGH,54,12,0.2222222222222222
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,B_FHIGH_LLOW,B_FHIGH_LLOW,54,17,0.3148148148148148
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,B_FHIGH_LLOW,C_FLOW_LHIGH,54,10,0.18518518518518517
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,B_FHIGH_LLOW,D_FLOW_LLOW,54,15,0.2777777777777778
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,C_FLOW_LHIGH,A_FHIGH_LHIGH,26,4,0.15384615384615385
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,C_FLOW_LHIGH,B_FHIGH_LLOW,26,9,0.34615384615384615
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,C_FLOW_LHIGH,C_FLOW_LHIGH,26,2,0.07692307692307693
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,C_FLOW_LHIGH,D_FLOW_LLOW,26,11,0.4230769230769231
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,D_FLOW_LLOW,A_FHIGH_LHIGH,54,13,0.24074074074074073
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,D_FLOW_LLOW,B_FHIGH_LLOW,54,17,0.3148148148148148
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,D_FLOW_LLOW,C_FLOW_LHIGH,54,8,0.14814814814814814
OOS,ROBUST_F20_L1_20,KOSPI_KOSDAQ_ALL,4,20,D_FLOW_LLOW,D_FLOW_LLOW,54,16,0.2962962962962963
