sample,spec,split_rule,universe,forward_horizon,contrast,value,min_state_n
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,5,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.016253655241993986,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,5,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,0.013536575811762982,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,5,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,-0.011270260236894508,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,5,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.01398733966712551,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,5,INTERACTION_DID,0.0027170794302310043,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,20,A_MINUS_D,-0.019900492585086676,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,20,C_MINUS_B,0.06317559540660021,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,20,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.01972489386930159,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,20,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,0.02355020895221195,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,20,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,-0.043450701537298624,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,20,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.03962538645438826,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSDAQ_PLUS_KOSPI_EX_K200,20,INTERACTION_DID,-0.003825315082910362,21
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,1,A_MINUS_D,0.0019913135526735785,24
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,1,C_MINUS_B,-0.00827364097262972,24
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,1,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,-0.00023386405715711094,24
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,1,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,-0.006048463362799031,24
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,1,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.00803977691547261,24
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,1,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,0.0022251776098306895,24
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,1,INTERACTION_DID,0.00581459930564192,24
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,5,A_MINUS_D,0.021126011120406532,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,5,C_MINUS_B,0.002731366666139746,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,5,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.025183525444018726,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,5,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,-0.0013261476574724478,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,5,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.02245215877787898,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,5,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.004057514323612194,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,5,INTERACTION_DID,0.026509673101491174,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,20,A_MINUS_D,0.05745346825349813,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,20,C_MINUS_B,-0.004486820980454621,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,20,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,0.04985044738200243,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,20,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,0.0031161998910410847,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,20,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,0.05433726836245705,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,20,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,0.007603020871495706,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_ALL,20,INTERACTION_DID,0.04673424749096135,23
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,A_MINUS_D,-0.004404280126917594,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,C_MINUS_B,0.001174598180697039,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,LIQ_EFFECT_WHEN_FACTOR_HIGH_A_MINUS_B,-0.0006130560528484191,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,LIQ_EFFECT_WHEN_FACTOR_LOW_C_MINUS_D,-0.002616625893372136,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,FACTOR_EFFECT_WHEN_LIQ_HIGH_A_MINUS_C,-0.001787654233545458,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,FACTOR_EFFECT_WHEN_LIQ_LOW_B_MINUS_D,-0.0037912240740691746,15
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,INTERACTION_DID,0.0020035698405237168,15
