sample,spec,split_rule,universe,forward_horizon,state,n,mean_fwd_return,median_fwd_return,positive_share,mean_trailing20_return,median_trailing20_return,mean_factor_breadth,mean_liquidity_breadth,factor_low_cut,factor_high_cut,liq_low_cut,liq_high_cut
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,5,B_FHIGH_LLOW,115,-0.0018125703023383506,-0.0004336538188536978,0.4782608695652174,-0.010579064854157202,-0.010382344023377585,0.6690993788819876,0.2735197989384425,,0.5,,0.3560606060606061
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,5,C_FLOW_LHIGH,61,0.002213080273338029,0.00844235744996492,0.639344262295082,0.025827683072468504,0.03130276768583405,0.2930327868852459,0.460437879759194,,0.5,,0.3560606060606061
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,5,D_FLOW_LLOW,53,-0.005353543385463829,-0.002739999523327886,0.4528301886792453,-0.014843455924962593,-0.013152314748222064,0.3089622641509434,0.2666068764353671,,0.5,,0.3560606060606061
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,5,A_FHIGH_LHIGH,54,0.0024121791292005886,0.0031098221477090238,0.5555555555555556,0.03692739551160712,0.03216940600188348,0.6643518518518519,0.48235434255309595,,0.5,,0.3560606060606061
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,5,B_FHIGH_LLOW,69,0.0013593273276989268,0.005717017981178573,0.5507246376811594,-0.015776334690479073,-0.01154602393097716,0.6630434782608695,0.27608494891830787,,0.5,,0.3560606060606061
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,5,C_FLOW_LHIGH,25,0.009818447435366221,0.004885591544933066,0.64,0.04121326665178671,0.03512677203297824,0.325,0.4204718254860416,,0.5,,0.3560606060606061
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,5,D_FLOW_LLOW,26,0.00036602405840270314,0.0012363472039463156,0.5,-0.003409488209334425,0.00584851554633094,0.28365384615384615,0.26821074124909583,,0.5,,0.3560606060606061
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,20,A_FHIGH_LHIGH,108,0.0031316419328045577,0.0015460355593608463,0.5370370370370371,0.007885211730970081,0.019735275568570285,0.6342592592592593,0.4497358606802678,,0.5,,0.3560606060606061
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,20,B_FHIGH_LLOW,115,-0.005152350558827023,-0.0032853979464408396,0.4782608695652174,-0.010579064854157202,-0.010382344023377585,0.6690993788819876,0.2735197989384425,,0.5,,0.3560606060606061
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,20,C_FLOW_LHIGH,61,0.009931714192902504,0.016333907761264005,0.6557377049180327,0.025827683072468504,0.03130276768583405,0.2930327868852459,0.460437879759194,,0.5,,0.3560606060606061
TRAIN,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,20,D_FLOW_LLOW,53,0.0012171647803148307,0.00031591255322054566,0.5283018867924528,-0.014843455924962593,-0.013152314748222064,0.3089622641509434,0.2666068764353671,,0.5,,0.3560606060606061
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,20,A_FHIGH_LHIGH,54,0.011461851364017008,0.0031369590513289423,0.5370370370370371,0.03692739551160712,0.03216940600188348,0.6643518518518519,0.48235434255309595,,0.5,,0.3560606060606061
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,20,B_FHIGH_LLOW,66,0.007826745742212407,0.009809678839810902,0.5757575757575758,-0.010826619994591316,-0.010247851192241147,0.6609848484848485,0.27757264720736646,,0.5,,0.3560606060606061
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,20,C_FLOW_LHIGH,25,0.017724660379241794,0.019938088365018522,0.64,0.04121326665178671,0.03512677203297824,0.325,0.4204718254860416,,0.5,,0.3560606060606061
OOS,MAIN_F20_L5_20,MEDIAN,KOSPI_EX_K200,20,D_FLOW_LLOW,26,0.006658099341283404,0.009186074735175964,0.6153846153846154,-0.003409488209334425,0.00584851554633094,0.28365384615384615,0.26821074124909583,,0.5,,0.3560606060606061
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,A_FHIGH_LHIGH,42,0.002372865208751705,0.003551305858613,0.6666666666666666,0.018999369260938738,0.033121319409377785,0.7083333333333334,0.4939407817188489,0.375,0.625,0.3012048192771084,0.4003831417624521
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,B_FHIGH_LLOW,58,-0.000446551489853958,0.0012198226981584,0.5862068965517241,-0.019827168157596286,-0.01463078859409526,0.7241379310344828,0.24540166903672486,0.375,0.625,0.3012048192771084,0.4003831417624521
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,C_FLOW_LHIGH,45,0.000894375799679953,0.001504462089505,0.5777777777777777,0.028191663522141662,0.033253557569275345,0.29444444444444445,0.4892024385606993,0.375,0.625,0.3012048192771084,0.4003831417624521
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,D_FLOW_LLOW,35,-0.002124411540039774,-0.0004561871061737,0.4,-0.013866163601135668,-0.011956599016557868,0.31785714285714284,0.23536106073479135,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,A_FHIGH_LHIGH,32,-0.003157542557718519,0.004310356593222,0.5625,0.04180089697143102,0.048805062433726516,0.70703125,0.5132865318043848,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,B_FHIGH_LLOW,33,-0.0025444865048701,-0.0011106610946359,0.45454545454545453,-0.028039866423869766,-0.020940942350353885,0.7424242424242424,0.2529341152454292,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,C_FLOW_LHIGH,15,-0.001369888324173061,-0.0008913099048736,0.4,0.044133144999307386,0.04552880494693262,0.31666666666666665,0.4518914244672551,0.375,0.625,0.3012048192771084,0.4003831417624521
OOS,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,1,D_FLOW_LLOW,16,0.0012467375691990747,0.0046651505128314005,0.6875,-0.014852044302189206,-0.002486317929083169,0.2890625,0.23058615761100504,0.375,0.625,0.3012048192771084,0.4003831417624521
TRAIN,MAIN_F20_L5_20,EXTREME_TERCILE,KOSPI_EX_K200,5,A_FHIGH_LHIGH,42,0.008146276472470316,0.011867238696064968,0.6666666666666666,0.018999369260938738,0.033121319409377785,0.7083333333333334,0.4939407817188489,0.375,0.625,0.3012048192771084,0.4003831417624521
