source,destination,period,n_factors,median_incremental_oos_r2,mean_incremental_oos_r2,positive_factor_count,median_source_coef,median_augmented_prediction_ic,median_local_diffusion_ic,reverse_median_incremental_oos_r2,directional_advantage_vs_reverse
KOSPI_ALL,KOSPI_KOSDAQ_ALL,STRESS_2026,8,0.004835208785038125,0.0018688438877321745,5,0.07686017063517483,,0.16995073891625612,-0.0007208232809963189,0.005556032066034444
KOSPI_ALL,KOSPI_KOSDAQ_ALL,VAL_2020_2022,8,-0.01351003672797546,-0.010505176562888074,2,0.07686017063517483,,-0.019695265735534193,0.0004476638397316046,-0.013957700567707065
KOSPI_EX_K200,K200,CONF_2023_2024,8,0.0028574907903734514,-0.003257648825788495,4,0.055860264157367695,,0.022262255417630966,0.010229508321011715,-0.007372017530638264
KOSPI_EX_K200,K200,DISC_2016_2019,8,0.005799361756917254,0.007062905772745501,8,0.055860264157367695,0.026015211218993067,0.04100092758851639,0.004526357828347538,0.001273003928569716
KOSPI_EX_K200,K200,STRESS_2025,8,0.0004996854422345542,0.0016494985448110705,5,0.055860264157367695,,-0.05622448979591836,-0.00013064494792403014,0.0006303303901585844
KOSPI_EX_K200,K200,STRESS_2026,8,0.011748760948472103,0.01706886502904509,7,0.055860264157367695,,-0.033743842364532005,-0.0022963698420631617,0.014045130790535265
KOSPI_EX_K200,K200,VAL_2020_2022,8,-0.0015379106690495137,-0.0071989933234963555,3,0.055860264157367695,,0.03101111658158638,-0.012972775645031076,0.011434864975981562
KOSPI_EX_K200,KOSDAQ,CONF_2023_2024,8,-0.001887062307822207,-0.008179459310698162,4,0.03618654141750945,,0.011006206606353881,0.0002646473397727722,-0.0021517096475949793
KOSPI_EX_K200,KOSDAQ,DISC_2016_2019,8,0.0037023509452904224,0.0058583711147795064,8,0.03618654141750945,0.12169057372839222,-0.017633015987804725,0.00896195889196566,-0.005259607946675238
KOSPI_EX_K200,KOSDAQ,STRESS_2025,8,-0.010221157545649784,-0.013789656046132262,3,0.03618654141750945,,0.05709183673469387,0.0056588306252922105,-0.015879988170941994
KOSPI_EX_K200,KOSDAQ,STRESS_2026,8,0.004701476556245587,-0.0026680688194107155,5,0.03618654141750945,,0.15714285714285708,-0.0002239883054757641,0.0049254648617213515
KOSPI_EX_K200,KOSDAQ,VAL_2020_2022,8,-0.015017279791546878,-0.01012445240874893,2,0.03618654141750945,,-0.030430855454824775,0.004648139078861191,-0.01966541887040807
