factor,source,destination,period,n,source_local_to_destination_local_next5_ic
MOM1M,KOSPI_KOSDAQ_ALL,KOSPI_ALL,STRESS_2025,49,-0.07326530612244898
MOM1M,KOSPI_KOSDAQ_ALL,KOSPI_ALL,STRESS_2026,29,-0.08571428571428569
MOM1M,KOSPI_KOSDAQ_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,0.019297950060195666
MOM1M,KOSPI_KOSDAQ_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,-0.07537819698893525
MOM1M,KOSPI_KOSDAQ_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,-0.10467073427309066
MOM1M,KOSPI_KOSDAQ_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,0.023979591836734693
MOM1M,KOSPI_KOSDAQ_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,0.07389162561576353
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,K200,DISC_2016_2019,194,-0.09292978267926186
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,K200,VAL_2020_2022,149,0.21546526392163975
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,K200,CONF_2023_2024,97,0.12782716179255205
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,K200,STRESS_2025,49,-0.15244897959183673
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,K200,STRESS_2026,29,0.09359605911330048
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSDAQ,DISC_2016_2019,194,0.04124286588898522
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSDAQ,VAL_2020_2022,149,-0.08039542898603301
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSDAQ,CONF_2023_2024,97,-0.2391910372396381
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSDAQ,STRESS_2025,49,0.052755102040816314
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSDAQ,STRESS_2026,29,-0.19556650246305415
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,DISC_2016_2019,194,-0.020081931849465634
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,VAL_2020_2022,149,-0.13693814619989117
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,CONF_2023_2024,97,0.08039659162634125
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,STRESS_2025,49,-0.035306122448979585
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,STRESS_2026,29,0.03497536945812807
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,DISC_2016_2019,194,-0.04625410378308193
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,VAL_2020_2022,149,0.10044621803011064
MOM1M,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,CONF_2023_2024,97,0.22961813591415944
