factor,universe,period,n,local_next5_ic
OPFY1_REV,KOSPI_ALL,VAL_2020_2022,148,0.038147310438777365
OPFY1_REV,KOSPI_ALL,CONF_2023_2024,97,0.07240164106879864
OPFY1_REV,KOSPI_ALL,STRESS_2025,49,-0.12173469387755101
OPFY1_REV,KOSPI_ALL,STRESS_2026,29,-0.010837438423645318
OPFY1_REV,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,-0.04723531369543869
OPFY1_REV,KOSPI_KOSDAQ_ALL,VAL_2020_2022,148,0.004042393304138271
OPFY1_REV,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,0.019487691984010097
OPFY1_REV,KOSPI_KOSDAQ_ALL,STRESS_2025,49,-0.1711224489795918
OPFY1_REV,KOSPI_KOSDAQ_ALL,STRESS_2026,29,-0.4172413793103448
OPFY1_REV,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,0.05799903851289994
OPFY1_REV,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,148,-0.020060191680517665
OPFY1_REV,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,0.03305806858826004
OPFY1_REV,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,-0.16387755102040813
OPFY1_REV,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,-0.16108374384236449
PBR12MF,K200,DISC_2016_2019,194,-0.021787955114166317
PBR12MF,K200,VAL_2020_2022,148,-0.00918052691782318
PBR12MF,K200,CONF_2023_2024,97,0.020684304649694927
PBR12MF,K200,STRESS_2025,49,0.024081632653061222
PBR12MF,K200,STRESS_2026,29,-0.0334975369458128
PBR12MF,KOSDAQ,DISC_2016_2019,194,-0.009758683173564856
PBR12MF,KOSDAQ,VAL_2020_2022,148,-0.06725846514916506
PBR12MF,KOSDAQ,CONF_2023_2024,97,0.0059699137386913514
PBR12MF,KOSDAQ,STRESS_2025,49,0.16153061224489795
PBR12MF,KOSDAQ,STRESS_2026,29,0.14975369458128074
PBR12MF,KOSPI_EX_K200,DISC_2016_2019,194,-0.017419352187794043
PBR12MF,KOSPI_EX_K200,VAL_2020_2022,148,0.0774866086467237
PBR12MF,KOSPI_EX_K200,CONF_2023_2024,97,-0.10956238165369239
PBR12MF,KOSPI_EX_K200,STRESS_2025,49,-0.042142857142857135
PBR12MF,KOSPI_EX_K200,STRESS_2026,29,0.09261083743842362
PBR12MF,KOSPI_ALL,DISC_2016_2019,194,-0.045547369675354284
PBR12MF,KOSPI_ALL,VAL_2020_2022,148,-0.10195197251764848
PBR12MF,KOSPI_ALL,CONF_2023_2024,97,0.0741242373237955
PBR12MF,KOSPI_ALL,STRESS_2025,49,0.1560204081632653
PBR12MF,KOSPI_ALL,STRESS_2026,29,0.028078817733990142
PBR12MF,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,-0.08915286412214994
PBR12MF,KOSPI_KOSDAQ_ALL,VAL_2020_2022,148,0.026623528061687222
PBR12MF,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,0.016976120345045233
PBR12MF,KOSPI_KOSDAQ_ALL,STRESS_2025,49,-0.06377551020408163
PBR12MF,KOSPI_KOSDAQ_ALL,STRESS_2026,29,-0.06059113300492609
PBR12MF,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,-0.10383978502134582
PBR12MF,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,148,-0.08275800797373184
PBR12MF,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,0.10202766673679779
PBR12MF,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,-0.04020408163265305
PBR12MF,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,-0.20985221674876844
PER12MF,K200,DISC_2016_2019,194,0.024968258598940713
PER12MF,K200,VAL_2020_2022,148,-0.0005404665040331389
PER12MF,K200,CONF_2023_2024,97,-0.0938354723332632
PER12MF,K200,STRESS_2025,49,0.19704081632653062
PER12MF,K200,STRESS_2026,29,-0.0502463054187192
PER12MF,KOSDAQ,DISC_2016_2019,194,0.005810833576444387
PER12MF,KOSDAQ,VAL_2020_2022,148,-0.08470516811839919
PER12MF,KOSDAQ,CONF_2023_2024,97,-0.03221649484536082
PER12MF,KOSDAQ,STRESS_2025,49,0.12112244897959182
PER12MF,KOSDAQ,STRESS_2026,29,-0.0881773399014778
PER12MF,KOSPI_EX_K200,DISC_2016_2019,194,0.02871230580220484
PER12MF,KOSPI_EX_K200,VAL_2020_2022,148,0.11200983204818298
PER12MF,KOSPI_EX_K200,CONF_2023_2024,97,0.0667210183042289
PER12MF,KOSPI_EX_K200,STRESS_2025,49,0.0636734693877551
PER12MF,KOSPI_EX_K200,STRESS_2026,29,-0.09605911330049259
PER12MF,KOSPI_ALL,DISC_2016_2019,194,-0.002908293031683876
PER12MF,KOSPI_ALL,VAL_2020_2022,148,-0.003983164098216831
PER12MF,KOSPI_ALL,CONF_2023_2024,97,-0.02783768146433831
PER12MF,KOSPI_ALL,STRESS_2025,49,0.033571428571428565
PER12MF,KOSPI_ALL,STRESS_2026,29,0.058128078817733984
PER12MF,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,-0.10623939385223503
PER12MF,KOSPI_KOSDAQ_ALL,VAL_2020_2022,148,0.17384142120479612
PER12MF,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,0.015516515884704395
PER12MF,KOSPI_KOSDAQ_ALL,STRESS_2025,49,0.08744897959183671
PER12MF,KOSPI_KOSDAQ_ALL,STRESS_2026,29,0.0669950738916256
PER12MF,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,0.034471366996338945
PER12MF,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,148,-0.006559634555799465
PER12MF,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,0.078108563012834
PER12MF,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,0.02020408163265306
PER12MF,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,-0.10295566502463052
PRIVATE_FLOW,K200,DISC_2016_2019,194,0.043497840762944114
PRIVATE_FLOW,K200,VAL_2020_2022,149,-0.17947034282604754
PRIVATE_FLOW,K200,CONF_2023_2024,97,0.0509546602146013
PRIVATE_FLOW,K200,STRESS_2025,49,0.22377551020408162
PRIVATE_FLOW,K200,STRESS_2026,29,-0.04039408866995073
PRIVATE_FLOW,KOSDAQ,DISC_2016_2019,194,-0.06366605991626022
PRIVATE_FLOW,KOSDAQ,VAL_2020_2022,149,-0.051870125158715766
PRIVATE_FLOW,KOSDAQ,CONF_2023_2024,97,-0.021013044393014938
PRIVATE_FLOW,KOSDAQ,STRESS_2025,49,0.11683673469387754
PRIVATE_FLOW,KOSDAQ,STRESS_2026,29,-0.09458128078817732
PRIVATE_FLOW,KOSPI_EX_K200,DISC_2016_2019,194,0.01301459077218919
PRIVATE_FLOW,KOSPI_EX_K200,VAL_2020_2022,149,-0.004596408489025938
PRIVATE_FLOW,KOSPI_EX_K200,CONF_2023_2024,97,-0.0353986955606985
PRIVATE_FLOW,KOSPI_EX_K200,STRESS_2025,49,0.0736734693877551
PRIVATE_FLOW,KOSPI_EX_K200,STRESS_2026,29,-0.3798029556650246
PRIVATE_FLOW,KOSPI_ALL,DISC_2016_2019,194,-0.03758757134111015
PRIVATE_FLOW,KOSPI_ALL,VAL_2020_2022,149,0.025488844549247235
PRIVATE_FLOW,KOSPI_ALL,CONF_2023_2024,97,-0.02624658110666947
PRIVATE_FLOW,KOSPI_ALL,STRESS_2025,49,0.042755102040816326
PRIVATE_FLOW,KOSPI_ALL,STRESS_2026,29,-0.014778325123152707
PRIVATE_FLOW,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,0.10844177456003748
PRIVATE_FLOW,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,0.19774714311627065
PRIVATE_FLOW,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,-0.12659110035766882
PRIVATE_FLOW,KOSPI_KOSDAQ_ALL,STRESS_2025,49,-0.08224489795918365
PRIVATE_FLOW,KOSPI_KOSDAQ_ALL,STRESS_2026,29,-0.03694581280788176
PRIVATE_FLOW,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,0.060793103589962726
PRIVATE_FLOW,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,0.006671503718483585
PRIVATE_FLOW,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,-0.10021302335367135
PRIVATE_FLOW,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,0.07122448979591836
PRIVATE_FLOW,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,-0.03990147783251231
