factor,source,destination,period,n,source_coef_discovery,baseline_mse,augmented_mse,incremental_oos_r2,baseline_prediction_ic,augmented_prediction_ic
MOM1M,K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,-0.2240490728810663,1.3213770584273694,1.218372219740227,0.07795264646847522,,
MOM1M,K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,-0.2240490728810663,2.2463908836770723,2.709705731680606,-0.20624854355050748,,
MOM1M,KOSDAQ,K200,DISC_2016_2019,194,0.05525287445708377,0.9604425246194226,0.957921135778208,0.0026252365722911897,,
MOM1M,KOSDAQ,K200,VAL_2020_2022,149,0.05525287445708377,2.2434501152329,2.231752885007131,0.005213947101540328,,
MOM1M,KOSDAQ,K200,CONF_2023_2024,97,0.05525287445708377,2.2348438801492416,2.2184247785771287,0.007346867366420429,,
MOM1M,KOSDAQ,K200,STRESS_2025,49,0.05525287445708377,2.3517567664335597,2.334432830567725,0.007366380789500804,,
MOM1M,KOSDAQ,K200,STRESS_2026,29,0.05525287445708377,6.2566160404097415,6.311423155872518,-0.008759865574104797,,
MOM1M,KOSDAQ,KOSPI_EX_K200,DISC_2016_2019,194,0.06523314433907158,0.9881099769634303,0.9845829052454536,0.003569513313503636,,
MOM1M,KOSDAQ,KOSPI_EX_K200,VAL_2020_2022,149,0.06523314433907158,1.8744851452714368,1.8692916299905018,0.0027706356030807733,,
MOM1M,KOSDAQ,KOSPI_EX_K200,CONF_2023_2024,97,0.06523314433907158,1.6905027152395673,1.6860415196567358,0.0026389756979475765,,
MOM1M,KOSDAQ,KOSPI_EX_K200,STRESS_2025,49,0.06523314433907158,0.9521136300379235,0.9666862516797485,-0.015305548814845249,,
MOM1M,KOSDAQ,KOSPI_EX_K200,STRESS_2026,29,0.06523314433907158,2.281963203138829,2.281739967719755,9.782603802155343e-05,,
MOM1M,KOSDAQ,KOSPI_ALL,DISC_2016_2019,194,0.08348700253218408,0.9649402976127428,0.9593865607016914,0.005755523864835355,,
MOM1M,KOSDAQ,KOSPI_ALL,VAL_2020_2022,149,0.08348700253218408,2.1661250611456206,2.156889691179215,0.004263544211764669,,
MOM1M,KOSDAQ,KOSPI_ALL,CONF_2023_2024,97,0.08348700253218408,2.10915900223242,2.0865479036228316,0.010720433398172413,,
MOM1M,KOSDAQ,KOSPI_ALL,STRESS_2025,49,0.08348700253218408,1.4646147786133186,1.4464800787372187,0.012381890542760732,,
MOM1M,KOSDAQ,KOSPI_ALL,STRESS_2026,29,0.08348700253218408,3.8688220775101096,3.8801088591338564,-0.002917369007315651,,
MOM1M,KOSDAQ,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,0.281035374405615,0.9846957413336764,0.9573286748621004,0.02779240868302113,,
MOM1M,KOSDAQ,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,0.281035374405615,1.831228546716194,1.8480733700979106,-0.009198646128536714,,
MOM1M,KOSDAQ,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,0.281035374405615,1.7164743505031526,1.7354820617053535,-0.01107369370047917,,
MOM1M,KOSDAQ,KOSPI_KOSDAQ_ALL,STRESS_2025,49,0.281035374405615,1.6570160466119055,1.6429930169794003,0.008462820659569381,,
MOM1M,KOSDAQ,KOSPI_KOSDAQ_ALL,STRESS_2026,29,0.281035374405615,3.004270381341512,3.113110324045555,-0.036228411190953436,,
MOM1M,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,0.34988189028737193,0.9950872156767736,0.9716448974304316,0.023558053884149777,,
MOM1M,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,0.34988189028737193,1.456213377777563,1.454498486007618,0.0011776376979603098,,
MOM1M,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,0.34988189028737193,1.4327197931889526,1.4780129398215498,-0.03161340190030004,,
MOM1M,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,0.34988189028737193,1.3213770584273694,1.34157020419307,-0.015281895229612541,,
MOM1M,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,0.34988189028737193,2.2463908836770723,2.287088674042795,-0.018116967381520688,,
MOM1M,KOSPI_EX_K200,K200,DISC_2016_2019,194,-0.004081249967453706,0.9604425246194226,0.9604315780840166,1.1397387272404913e-05,,
MOM1M,KOSPI_EX_K200,K200,VAL_2020_2022,149,-0.004081249967453706,2.2434501152329,2.2435028182804517,-2.3491963201616173e-05,,
