date,factor,period,common,z_K200,local_K200,z_KOSDAQ,local_KOSDAQ,z_KOSPI_EX_K200,local_KOSPI_EX_K200,z_KOSPI_ALL,local_KOSPI_ALL,z_KOSPI_KOSDAQ_ALL,local_KOSPI_KOSDAQ_ALL,z_KOSDAQ_PLUS_KOSPI_EX_K200,local_KOSDAQ_PLUS_KOSPI_EX_K200
2020-01-10,MOM1M,VAL_2020_2022,1.5101859421952317,1.9887567408239433,0.47857079862871155,0.41169709646383634,-1.0984888457313953,1.5079889461047318,-0.0021969960904999475,2.2537845132018686,0.7435985710066368,1.7142403905447123,0.2040544483494806,1.1846479660322973,-0.32553797616293445
2020-01-17,MOM1M,VAL_2020_2022,-0.10532981454796236,-0.1564931488485233,-0.05116333430056094,-0.10990024769927727,-0.004570433151314904,-0.27297459813111824,-0.16764478358315588,0.06691962310742901,0.17224943765539136,0.13359506671615515,0.2389248812641175,-0.29312558243243947,-0.1877957678844771
2020-01-28,MOM1M,VAL_2020_2022,-0.03971682529167963,-1.1571837417183521,-1.1174669164266726,1.160863987647839,1.2005808129395186,-0.12372886800917376,-0.08401204271749413,-0.358525944233295,-0.31880911894161534,-0.19473994603732594,-0.1550231207456463,0.43501356060023005,0.4747303858919097
2020-02-04,MOM1M,VAL_2020_2022,-0.26075426624672543,-0.18897064566418145,0.07178362058254398,-0.06989339026285235,0.19086087598387308,-0.6844971507768597,-0.42374288453013426,-0.2608076199835139,-5.335373678849731e-05,0.07512744531168747,0.3358817115584129,-0.4354842361046325,-0.17472996985790706
2020-02-11,MOM1M,VAL_2020_2022,-1.0564798860391662,-1.0843907774134527,-0.027910891374286484,-0.7995857065043136,0.2568941795348526,-0.7817496660951798,0.2747302199439864,-1.4567452872513036,-0.4002654012121374,-1.3321927185213238,-0.2757128324821576,-0.8842151604494238,0.17226472558974237
2020-02-18,MOM1M,VAL_2020_2022,0.7930522868271502,0.3060628989324703,-0.48698938789467994,0.9689729987870509,0.17592071195990067,0.6018029190501228,-0.1912493677770274,0.4692819985989376,-0.32377028822821263,1.2326343554962356,0.43958206866908534,1.1795585500980836,0.3865062632709334
2020-02-25,MOM1M,VAL_2020_2022,1.227989647286593,1.0007364094941864,-0.22725323779240658,0.5694554654920214,-0.6585341817945716,1.544499858198664,0.316510210912071,1.4465012661341425,0.21851161884754955,1.5189480207761463,0.29095837348955333,1.2877968636243973,0.05980721633780428
2020-03-03,MOM1M,VAL_2020_2022,-0.30470379978217815,0.35430383453791325,0.6590076343200915,-1.741811246271775,-1.4371074464895968,0.5316992379301424,0.8364030377123206,0.5137790769081721,0.8184828766903502,-0.5698297511631087,-0.2651259513809306,-0.9163639506344131,-0.611660150852235
2020-03-10,MOM1M,VAL_2020_2022,0.07779115886388478,0.35768881321139356,0.2798976543475088,0.8215978471970922,0.7438066883332074,-1.0872644712143609,-1.1650556300782458,-0.3790158331813796,-0.45680699204526437,0.35422570318439267,0.2764345443205079,0.3995148939861708,0.321723735122286
2020-03-17,MOM1M,VAL_2020_2022,3.871552685485831,5.598785943466526,1.7272332579806946,1.1636965003085795,-2.707856185177252,4.723753508499256,0.8522008230134253,5.58661445721791,1.7150617717320786,3.605635670336052,-0.26591701514977917,2.550830033086662,-1.3207226523991693
