era,universe,x,y,nonoverlap,n,ic,excluded_factor
2016_2019,KOSPI_EX_K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,184,0.12183159638612241,OPFY1_REV
2016_2019,KOSPI_KOSDAQ_ALL,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,184,0.19293983934040956,OPFY1_REV
2020_2022,K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,149,-0.006515508797387991,OPFY1_REV
2020_2022,KOSDAQ,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,149,0.18719390531471067,OPFY1_REV
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,149,0.20798476328677673,OPFY1_REV
2020_2022,KOSPI_ALL,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,149,0.22341012153092688,OPFY1_REV
2020_2022,KOSPI_EX_K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,133,0.4033166362310117,OPFY1_REV
2020_2022,KOSPI_KOSDAQ_ALL,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,149,0.22402321784872123,OPFY1_REV
2023_2024,K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,97,0.08683989059541342,OPFY1_REV
2023_2024,KOSDAQ,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,97,0.04377498422049231,OPFY1_REV
2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,97,0.1815563854407742,OPFY1_REV
2023_2024,KOSPI_ALL,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,97,0.04430096780980433,OPFY1_REV
2023_2024,KOSPI_EX_K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,97,0.14970807910793182,OPFY1_REV
2023_2024,KOSPI_KOSDAQ_ALL,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,97,0.19949242583631388,OPFY1_REV
2025,K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,49,-0.12897959183673469,OPFY1_REV
2025,KOSDAQ,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,49,0.2487755102040816,OPFY1_REV
2025,KOSDAQ_PLUS_KOSPI_EX_K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,49,-0.011428571428571427,OPFY1_REV
2025,KOSPI_ALL,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,49,-0.07673469387755101,OPFY1_REV
2025,KOSPI_EX_K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,49,-0.0032653061224489793,OPFY1_REV
2025,KOSPI_KOSDAQ_ALL,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,49,-0.1908163265306122,OPFY1_REV
2026,K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,17,-0.06372549019607844,OPFY1_REV
2026,KOSDAQ,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,17,-0.37254901960784315,OPFY1_REV
2026,KOSDAQ_PLUS_KOSPI_EX_K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,17,-0.4460784313725491,OPFY1_REV
2026,KOSPI_ALL,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,17,-0.07843137254901962,OPFY1_REV
2026,KOSPI_EX_K200,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,17,-0.12500000000000003,OPFY1_REV
2026,KOSPI_KOSDAQ_ALL,loo_OPFY1_REV_current20,loo_OPFY1_REV_future20,False,17,-0.27696078431372556,OPFY1_REV
2016_2019,K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,184,0.17697019899443275,PBR12MF
2016_2019,KOSDAQ,loo_PBR12MF_current20,loo_PBR12MF_future20,False,184,0.16292115351274294,PBR12MF
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,184,0.25811870316503244,PBR12MF
2016_2019,KOSPI_ALL,loo_PBR12MF_current20,loo_PBR12MF_future20,False,184,0.1175434878927395,PBR12MF
2016_2019,KOSPI_EX_K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,184,0.16780451156787576,PBR12MF
2016_2019,KOSPI_KOSDAQ_ALL,loo_PBR12MF_current20,loo_PBR12MF_future20,False,184,0.17333513128238714,PBR12MF
2020_2022,K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,149,0.020765463450027208,PBR12MF
2020_2022,KOSDAQ,loo_PBR12MF_current20,loo_PBR12MF_future20,False,149,0.2073789225467078,PBR12MF
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,149,0.2566987121349537,PBR12MF
2020_2022,KOSPI_ALL,loo_PBR12MF_current20,loo_PBR12MF_future20,False,149,0.2270995828042808,PBR12MF
2020_2022,KOSPI_EX_K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,133,0.4377174278981034,PBR12MF
2020_2022,KOSPI_KOSDAQ_ALL,loo_PBR12MF_current20,loo_PBR12MF_future20,False,149,0.340279339742427,PBR12MF
2023_2024,K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,97,0.11073269513991163,PBR12MF
2023_2024,KOSDAQ,loo_PBR12MF_current20,loo_PBR12MF_future20,False,97,0.038528297917104985,PBR12MF
2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,97,0.15078634546602146,PBR12MF
2023_2024,KOSPI_ALL,loo_PBR12MF_current20,loo_PBR12MF_future20,False,97,0.054873237954975805,PBR12MF
2023_2024,KOSPI_EX_K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,97,0.11582158636650536,PBR12MF
2023_2024,KOSPI_KOSDAQ_ALL,loo_PBR12MF_current20,loo_PBR12MF_future20,False,97,0.15972806648432566,PBR12MF
2025,K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,49,-0.13316326530612244,PBR12MF
2025,KOSDAQ,loo_PBR12MF_current20,loo_PBR12MF_future20,False,49,0.07459183673469387,PBR12MF
2025,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,49,-0.02020408163265306,PBR12MF
2025,KOSPI_ALL,loo_PBR12MF_current20,loo_PBR12MF_future20,False,49,-0.08061224489795918,PBR12MF
2025,KOSPI_EX_K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,49,-0.014387755102040815,PBR12MF
2025,KOSPI_KOSDAQ_ALL,loo_PBR12MF_current20,loo_PBR12MF_future20,False,49,-0.14010204081632652,PBR12MF
2026,K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,17,-0.02450980392156863,PBR12MF
2026,KOSDAQ,loo_PBR12MF_current20,loo_PBR12MF_future20,False,17,-0.2132352941176471,PBR12MF
2026,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,17,-0.3382352941176471,PBR12MF
2026,KOSPI_ALL,loo_PBR12MF_current20,loo_PBR12MF_future20,False,17,0.13235294117647062,PBR12MF
2026,KOSPI_EX_K200,loo_PBR12MF_current20,loo_PBR12MF_future20,False,17,0.08578431372549021,PBR12MF
2026,KOSPI_KOSDAQ_ALL,loo_PBR12MF_current20,loo_PBR12MF_future20,False,17,-0.17892156862745098,PBR12MF
2016_2019,K200,loo_PER12MF_current20,loo_PER12MF_future20,False,184,0.1757700680010017,PER12MF
2016_2019,KOSDAQ,loo_PER12MF_current20,loo_PER12MF_future20,False,184,0.1323919785787213,PER12MF
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PER12MF_current20,loo_PER12MF_future20,False,184,0.11125195045366108,PER12MF
2016_2019,KOSPI_ALL,loo_PER12MF_current20,loo_PER12MF_future20,False,184,0.07723411223054844,PER12MF
2016_2019,KOSPI_EX_K200,loo_PER12MF_current20,loo_PER12MF_future20,False,184,0.11453256535223748,PER12MF
2016_2019,KOSPI_KOSDAQ_ALL,loo_PER12MF_current20,loo_PER12MF_future20,False,184,0.12075475332781106,PER12MF
2020_2022,K200,loo_PER12MF_current20,loo_PER12MF_future20,False,149,-0.0030292037003446398,PER12MF
2020_2022,KOSDAQ,loo_PER12MF_current20,loo_PER12MF_future20,False,149,0.15688372936695083,PER12MF
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PER12MF_current20,loo_PER12MF_future20,False,149,0.198871757663704,PER12MF
2020_2022,KOSPI_ALL,loo_PER12MF_current20,loo_PER12MF_future20,False,149,0.19599492109559224,PER12MF
2020_2022,KOSPI_EX_K200,loo_PER12MF_current20,loo_PER12MF_future20,False,133,0.35726527988900336,PER12MF
2020_2022,KOSPI_KOSDAQ_ALL,loo_PER12MF_current20,loo_PER12MF_future20,False,149,0.2803664066751315,PER12MF
2023_2024,K200,loo_PER12MF_current20,loo_PER12MF_future20,False,97,0.050836313907006096,PER12MF
2023_2024,KOSDAQ,loo_PER12MF_current20,loo_PER12MF_future20,False,97,0.09837208079107931,PER12MF
2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PER12MF_current20,loo_PER12MF_future20,False,97,0.14639438249526615,PER12MF
2023_2024,KOSPI_ALL,loo_PER12MF_current20,loo_PER12MF_future20,False,97,0.01918525142015569,PER12MF
2023_2024,KOSPI_EX_K200,loo_PER12MF_current20,loo_PER12MF_future20,False,97,0.17441615821586365,PER12MF
2023_2024,KOSPI_KOSDAQ_ALL,loo_PER12MF_current20,loo_PER12MF_future20,False,97,0.17135230380812116,PER12MF
2025,K200,loo_PER12MF_current20,loo_PER12MF_future20,False,49,-0.22642857142857142,PER12MF
2025,KOSDAQ,loo_PER12MF_current20,loo_PER12MF_future20,False,49,0.22255102040816324,PER12MF
2025,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PER12MF_current20,loo_PER12MF_future20,False,49,-0.012346938775510203,PER12MF
2025,KOSPI_ALL,loo_PER12MF_current20,loo_PER12MF_future20,False,49,-0.11510204081632652,PER12MF
2025,KOSPI_EX_K200,loo_PER12MF_current20,loo_PER12MF_future20,False,49,0.023775510204081626,PER12MF
2025,KOSPI_KOSDAQ_ALL,loo_PER12MF_current20,loo_PER12MF_future20,False,49,-0.19714285714285712,PER12MF
2026,K200,loo_PER12MF_current20,loo_PER12MF_future20,False,17,-0.014705882352941176,PER12MF
2026,KOSDAQ,loo_PER12MF_current20,loo_PER12MF_future20,False,17,0.007352941176470588,PER12MF
2026,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PER12MF_current20,loo_PER12MF_future20,False,17,-0.10049019607843139,PER12MF
2026,KOSPI_ALL,loo_PER12MF_current20,loo_PER12MF_future20,False,17,-0.009803921568627453,PER12MF
2026,KOSPI_EX_K200,loo_PER12MF_current20,loo_PER12MF_future20,False,17,-0.1936274509803922,PER12MF
2026,KOSPI_KOSDAQ_ALL,loo_PER12MF_current20,loo_PER12MF_future20,False,17,-0.11029411764705883,PER12MF
2016_2019,K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,184,0.2062472308373948,PRIVATE_FLOW
2016_2019,KOSDAQ,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,184,0.136427732079906,PRIVATE_FLOW
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,184,0.2395234150758028,PRIVATE_FLOW
2016_2019,KOSPI_ALL,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,184,0.17255109706998517,PRIVATE_FLOW
2016_2019,KOSPI_EX_K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,184,0.13287935119724142,PRIVATE_FLOW
2016_2019,KOSPI_KOSDAQ_ALL,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,184,0.23350156999479876,PRIVATE_FLOW
2020_2022,K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,149,0.09099582804280791,PRIVATE_FLOW
2020_2022,KOSDAQ,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,149,0.20182477779793218,PRIVATE_FLOW
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,149,0.24818791946308721,PRIVATE_FLOW
2020_2022,KOSPI_ALL,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,149,0.2545873390168692,PRIVATE_FLOW
2020_2022,KOSPI_EX_K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,133,0.4256434845594311,PRIVATE_FLOW
2020_2022,KOSPI_KOSDAQ_ALL,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,149,0.27792853255940503,PRIVATE_FLOW
2023_2024,K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,97,-0.026733115926783083,PRIVATE_FLOW
2023_2024,KOSDAQ,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,97,0.05759520302966547,PRIVATE_FLOW
2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,97,0.1808594571849358,PRIVATE_FLOW
2023_2024,KOSPI_ALL,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,97,-0.0035898379970544917,PRIVATE_FLOW
2023_2024,KOSPI_EX_K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,97,0.20283242162844517,PRIVATE_FLOW
2023_2024,KOSPI_KOSDAQ_ALL,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,97,0.2233589312013465,PRIVATE_FLOW
2025,K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,49,-0.14428571428571427,PRIVATE_FLOW
2025,KOSDAQ,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,49,0.2447959183673469,PRIVATE_FLOW
2025,KOSDAQ_PLUS_KOSPI_EX_K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,49,-0.019999999999999997,PRIVATE_FLOW
2025,KOSPI_ALL,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,49,-0.14285714285714282,PRIVATE_FLOW
2025,KOSPI_EX_K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,49,-0.007959183673469388,PRIVATE_FLOW
2025,KOSPI_KOSDAQ_ALL,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,49,-0.18275510204081633,PRIVATE_FLOW
2026,K200,loo_PRIVATE_FLOW_current20,loo_PRIVATE_FLOW_future20,False,17,-0.04656862745098039,PRIVATE_FLOW
