era,universe,x,y,nonoverlap,n,ic,horizon
2025,KOSDAQ,current_dispersion20,future_dispersion60,False,49,-0.08214285714285713,60
2025,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion60,False,49,-0.1574489795918367,60
2025,KOSPI_ALL,current_dispersion20,future_dispersion60,False,49,0.02826530612244898,60
2025,KOSPI_EX_K200,current_dispersion20,future_dispersion60,False,49,-0.12724489795918367,60
2025,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion60,False,49,-0.1610204081632653,60
2026,K200,current_dispersion20,future_dispersion60,False,17,0.2132352941176471,60
2026,KOSDAQ,current_dispersion20,future_dispersion60,False,17,-0.3382352941176471,60
2026,KOSDAQ_PLUS_KOSPI_EX_K200,current_dispersion20,future_dispersion60,False,17,-0.13725490196078433,60
2026,KOSPI_ALL,current_dispersion20,future_dispersion60,False,17,0.11519607843137256,60
2026,KOSPI_EX_K200,current_dispersion20,future_dispersion60,False,17,0.5833333333333334,60
2026,KOSPI_KOSDAQ_ALL,current_dispersion20,future_dispersion60,False,17,0.14950980392156862,60
