period,factor,shift,shifted_unique_kq_r2,observed_unique_kq_r2
VAL_2020_2022,MOM12_1,133,-0.0018614800381653307,0.0009477767472608756
VAL_2020_2022,MOM12_1,134,-0.012550425609493931,0.0009477767472608756
VAL_2020_2022,MOM12_1,135,0.00217074512016735,0.0009477767472608756
VAL_2020_2022,MOM12_1,136,-0.0017189091551466085,0.0009477767472608756
VAL_2020_2022,MOM12_1,137,-0.0026780856250963048,0.0009477767472608756
VAL_2020_2022,MOM12_1,138,-0.012464032641606337,0.0009477767472608756
VAL_2020_2022,MOM12_1,139,-0.0006824412897759036,0.0009477767472608756
VAL_2020_2022,MOM12_1,140,-0.0129361180683647,0.0009477767472608756
VAL_2020_2022,MOM12_1,141,0.00954805764517297,0.0009477767472608756
VAL_2020_2022,MOM12_1,142,-0.0060551190962443435,0.0009477767472608756
VAL_2020_2022,MOM12_1,143,-0.010850174201360252,0.0009477767472608756
VAL_2020_2022,MOM12_1,144,0.014614257532764241,0.0009477767472608756
VAL_2020_2022,MOM12_1,145,-0.0026752490408659124,0.0009477767472608756
VAL_2020_2022,MOM12_1,146,-0.00568882252318148,0.0009477767472608756
VAL_2020_2022,MOM12_1,147,-0.016935308830513973,0.0009477767472608756
VAL_2020_2022,MOM12_1,148,0.051791689946828035,0.0009477767472608756
VAL_2020_2022,OP12_REV,1,-0.00014578963675382361,-0.0036691277775939835
VAL_2020_2022,OP12_REV,2,-0.00542954670485063,-0.0036691277775939835
VAL_2020_2022,OP12_REV,3,-0.006031433962761401,-0.0036691277775939835
VAL_2020_2022,OP12_REV,4,-0.011682418189105315,-0.0036691277775939835
VAL_2020_2022,OP12_REV,5,-0.0019237942714391831,-0.0036691277775939835
VAL_2020_2022,OP12_REV,6,-0.00090159730856465,-0.0036691277775939835
VAL_2020_2022,OP12_REV,7,-0.004569077148803169,-0.0036691277775939835
VAL_2020_2022,OP12_REV,8,-0.0017550819603613377,-0.0036691277775939835
VAL_2020_2022,OP12_REV,9,-0.01221341045194757,-0.0036691277775939835
VAL_2020_2022,OP12_REV,10,0.004908066897075236,-0.0036691277775939835
VAL_2020_2022,OP12_REV,11,-0.0061859668279524715,-0.0036691277775939835
VAL_2020_2022,OP12_REV,12,-0.001741290802261375,-0.0036691277775939835
VAL_2020_2022,OP12_REV,13,-0.006849610853297161,-0.0036691277775939835
VAL_2020_2022,OP12_REV,14,-0.0038640915272574183,-0.0036691277775939835
VAL_2020_2022,OP12_REV,15,0.0012839335297381016,-0.0036691277775939835
VAL_2020_2022,OP12_REV,16,0.000454317836229845,-0.0036691277775939835
VAL_2020_2022,OP12_REV,17,-0.00780178611751059,-0.0036691277775939835
VAL_2020_2022,OP12_REV,18,-0.00583526633865028,-0.0036691277775939835
VAL_2020_2022,OP12_REV,19,-0.0050643560453766945,-0.0036691277775939835
VAL_2020_2022,OP12_REV,20,-0.009017333253676707,-0.0036691277775939835
VAL_2020_2022,OP12_REV,21,-0.004254059650001141,-0.0036691277775939835
VAL_2020_2022,OP12_REV,22,0.0013117117879248852,-0.0036691277775939835
VAL_2020_2022,OP12_REV,23,0.0005767027436104355,-0.0036691277775939835
VAL_2020_2022,OP12_REV,24,-0.005198926405927118,-0.0036691277775939835
VAL_2020_2022,OP12_REV,25,-0.007358539349419768,-0.0036691277775939835
VAL_2020_2022,OP12_REV,26,0.004439147517507069,-0.0036691277775939835
VAL_2020_2022,OP12_REV,27,7.703509970846678e-05,-0.0036691277775939835
VAL_2020_2022,OP12_REV,28,-0.010433094788522279,-0.0036691277775939835
VAL_2020_2022,OP12_REV,29,-0.004380721316340486,-0.0036691277775939835
VAL_2020_2022,OP12_REV,30,-0.005775353189201526,-0.0036691277775939835
VAL_2020_2022,OP12_REV,31,0.002352265570201184,-0.0036691277775939835
VAL_2020_2022,OP12_REV,32,-0.008526975968454531,-0.0036691277775939835
VAL_2020_2022,OP12_REV,33,-0.006946370624481224,-0.0036691277775939835
VAL_2020_2022,OP12_REV,34,-0.0022433104724299824,-0.0036691277775939835
VAL_2020_2022,OP12_REV,35,-0.0016368384055678309,-0.0036691277775939835
VAL_2020_2022,OP12_REV,36,0.003123209577157171,-0.0036691277775939835
