factor,horizon,period,n,mse_m0,mse_mex,mse_mkq,mse_mboth,simple_kq_r2,simple_ex_r2,unique_kq_r2,unique_ex_r2
MOM1M,NEXT20,CONF_2023_2024,94,6.358697707351241,6.389610621646734,6.398875831024293,6.4334318435937625,-0.006318608860207853,-0.004861516574337976,-0.00685819912070551,-0.005400325538734263
MOM1M,NEXT20,STRESS_2025,46,12.236641468646352,12.099372204160067,12.49045432584512,12.243081040372603,-0.02074203594581947,0.01121788726408357,-0.011877379568761892,0.01980498699400024
MOM1M,NEXT20,STRESS_2026,26,33.17696949121115,33.02269572509625,33.14159668274278,32.78074847003452,0.001066185640546391,0.004650025860733709,0.007326696072176175,0.010888075676093179
MOM12_1,NEXT5,DISC_2016_2019,194,0.9623978073096725,0.9614203676808621,0.9568151632851656,0.9567121048207684,0.005800765527628204,0.001015629525947026,0.004897194836272267,0.00010770989878894355
MOM12_1,NEXT5,VAL_2020_2022,149,2.142696342991164,2.137477026151578,2.136937427069735,2.135451175128387,0.0026876957811899915,0.002435863978887398,0.0009477767472608756,0.0006955055971789026
MOM12_1,NEXT5,CONF_2023_2024,97,1.7262376171045593,1.7155147719806336,1.7104241818943984,1.7078126653461907,0.009160636434678682,0.006211685469994066,0.0044896766616300265,0.001526823916459863
MOM12_1,NEXT5,STRESS_2025,49,4.200126206356019,4.19758305181612,4.124986876319806,4.127178496499931,0.01788977910294831,0.000605494791097172,0.01677264140985324,-0.0005313035521896659
MOM12_1,NEXT5,STRESS_2026,29,10.151066889030076,10.13936489584896,10.058412822790324,10.058477151052656,0.00912752001859829,0.0011527845603857,0.007977594812611843,-6.395468496567247e-06
MOM12_1,GAP5,DISC_2016_2019,193,0.9592222360428194,0.9360531693144666,0.9524638772550593,0.9344919611807629,0.0070456652627665095,0.024154013384775852,0.001667862665159281,0.01886886894450035
MOM12_1,GAP5,VAL_2020_2022,149,2.138018940132941,2.2129788824394105,2.122834616070225,2.199749773254041,0.0071020531098624495,-0.035060466911396304,0.005977964494079058,-0.03623228894118968
MOM12_1,GAP5,CONF_2023_2024,97,1.6770604427631552,1.6339898290345578,1.6960604559525987,1.6495802129562054,-0.011329355045867517,0.0256822071705618,-0.009541298020722122,0.0274048267756396
MOM12_1,GAP5,STRESS_2025,49,4.314874997434696,4.152120066599695,4.3566694214766155,4.186053536837179,-0.0096861262647856,0.037719500780848514,-0.008172564784542535,0.03916199925529551
MOM12_1,GAP5,STRESS_2026,29,10.072264697585341,10.01369285061586,10.019190140025913,9.992366986082326,0.005269376764110656,0.0058151616074509915,0.002129670327587707,0.0026771778525721546
MOM12_1,NEXT10,DISC_2016_2019,193,1.9383707377511843,1.9050501798958241,1.913390466813339,1.8930481770428909,0.012887251365972574,0.017189981878295013,0.006300098012950839,0.010631541299736535
MOM12_1,NEXT10,VAL_2020_2022,148,4.1828625225190565,4.240910311256132,4.142628394248746,4.202282284726079,0.009618802447774577,-0.013877527273384427,0.009108428072041042,-0.014400010041970113
MOM12_1,NEXT10,CONF_2023_2024,96,2.820011762172341,2.716417729134641,2.8326120579974003,2.7527458774631626,-0.004468171372218999,0.0367353194860075,-0.013373550002596435,0.02819524131754969
MOM12_1,NEXT10,STRESS_2025,48,7.0665332167815835,6.851782579502104,7.027141998534933,6.862384602946158,0.0055743342652241346,0.03038981501841531,-0.0015473379840993395,0.023445861151393355
MOM12_1,NEXT10,STRESS_2026,28,23.13096466085142,22.931381987027265,22.803892647543574,22.733772679162737,0.014140007479299221,0.008628376583097785,0.008617418172891633,0.0030749122294430054
MOM12_1,NEXT20,DISC_2016_2019,191,4.0576537281301075,4.025423980113997,4.021580755382216,4.004869676526928,0.00889010624485087,0.007942951808005305,0.005106121414442111,0.004155350811474445
MOM12_1,NEXT20,VAL_2020_2022,146,8.090867524439027,8.098435067130461,7.994444337343233,8.02100838517931,0.011917533787883738,-0.0009353190703687009,0.009560696765404275,-0.003322813533392477
MOM12_1,NEXT20,CONF_2023_2024,94,6.441865193167162,6.357187683742443,6.427189916642178,6.376452184927884,0.002278109846283294,0.013144874486745839,-0.0030303496048587064,0.00789423252966548
MOM12_1,NEXT20,STRESS_2025,46,12.122530470560278,12.254783672677918,11.891738074474139,12.039662473700318,0.019038301998631546,-0.010909702593762782,0.01755405927378495,-0.012439258105062079
MOM12_1,NEXT20,STRESS_2026,26,58.21866755317305,57.37225495390336,57.42114765525351,56.95362591907617,0.01369869719521033,0.014538508606309675,0.007296715723716041,0.008141978265294614
OP12_REV,NEXT5,DISC_2016_2019,193,0.9381025711504253,0.916715543667916,0.9380225576647084,0.9154582879981079,8.529289672309925e-05,0.022798175956688538,0.0013714785120557682,0.02405514609667414
OP12_REV,NEXT5,VAL_2020_2022,148,1.6528582346510847,1.7230905104526384,1.6522550747480125,1.7294127497078489,0.00036491932001636584,-0.04249140932306239,-0.0036691277775939835,-0.04669840398075564
