metric,strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,24,0.002090632499169999,1.1564823173178713e-18,0.002090632499169999,0.002090632499169999,0.002090632499169999
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,6,0.002213484028256277,0.002083333333333333,0.002213484028256277,0.002207234028256277,0.0022009840282562767
ACT1,LOW05,KOSPI_ALL,5,BULL_2025,49,0.00012481474440482476,0.0019132653061224479,0.00012481474440482476,0.00011907494848645742,0.00011333515256809005
ACT1,LOW05,KOSPI_ALL,5,EARLY_2016_2019,193,7.953759472424172e-05,0.008322538860103625,7.953759472424172e-05,5.4569978143930814e-05,2.9602361563619917e-05
ACT1,LOW05,KOSPI_ALL,5,LATE_2020_2022,149,-0.00011231844613500375,0.005117449664429531,-0.00011231844613500375,-0.00012767079512829234,-0.00014302314412158095
ACT1,LOW05,KOSPI_ALL,5,NORMAL_2023_2024,97,3.2073023295916604e-05,0.00586340206185567,3.2073023295916604e-05,1.4482817110349654e-05,-3.1073890752174e-06
ACT1,LOW05,KOSPI_ALL,5,YTD_2026,28,0.00023766829904804665,0.004241071428571432,0.00023766829904804665,0.00022494508476233243,0.000212221870476618
ACT1,LOW05,KOSPI_ALL,20,BULL_2025,12,0.00040466547288482745,-0.001562499999999998,0.00040466547288482745,0.00040935297288482737,0.00041404047288482745
ACT1,LOW05,KOSPI_ALL,20,EARLY_2016_2019,48,0.0003969628809379435,0.010416666666666666,0.0003969628809379435,0.00036571288093794344,0.0003344628809379435
ACT1,LOW05,KOSPI_ALL,20,LATE_2020_2022,38,0.00039066263018201536,0.0009868421052631581,0.00039066263018201536,0.0003877021038662259,0.00038474157755043626
ACT1,LOW05,KOSPI_ALL,20,NORMAL_2023_2024,24,0.0008926650310573138,-0.000781249999999999,0.0008926650310573138,0.0008950087810573139,0.0008973525310573138
ACT1,LOW05,KOSPI_ALL,20,YTD_2026,6,0.0027265519037665883,0.005208333333333333,0.0027265519037665883,0.0027109269037665883,0.0026953019037665883
ACT1,LOW05,KOSPI_EX_K200,5,BULL_2025,49,1.240570279252123e-05,0.005357142857142857,1.240570279252123e-05,-3.665725778907307e-06,-1.9737154350335912e-05
ACT1,LOW05,KOSPI_EX_K200,5,EARLY_2016_2019,193,0.00012758165768952416,0.010233160621761656,0.00012758165768952416,9.688217582423919e-05,6.618269395895425e-05
ACT1,LOW05,KOSPI_EX_K200,5,LATE_2020_2022,149,-9.844073754008548e-05,0.006879194630872483,-9.844073754008548e-05,-0.00011907832143270288,-0.00013971590532532035
ACT1,LOW05,KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.00031559563494663363,0.005154639175257731,0.00031559563494663363,0.00030013171742086043,0.00028466779989508724
ACT1,LOW05,KOSPI_EX_K200,5,YTD_2026,28,-0.00024065366328103905,0.009374999999999998,-0.00024065366328103905,-0.0002687786632810389,-0.00029690366328103887
ACT1,LOW05,KOSPI_EX_K200,20,BULL_2025,12,-3.147993511190926e-06,0.001041666666666671,-3.147993511190926e-06,-6.272993511190907e-06,-9.397993511190943e-06
ACT1,LOW05,KOSPI_EX_K200,20,EARLY_2016_2019,48,0.0009353672704965001,0.013541666666666669,0.0009353672704965001,0.0008947422704965001,0.0008541172704965002
ACT1,LOW05,KOSPI_EX_K200,20,LATE_2020_2022,38,0.00020617880447452237,0.002138157894736841,0.00020617880447452237,0.00019976433079031198,0.00019334985710610142
ACT1,LOW05,KOSPI_EX_K200,20,NORMAL_2023_2024,24,0.0011779130731727281,0.0018229166666666682,0.0011779130731727281,0.001172444323172728,0.001166975573172728
ACT1,LOW05,KOSPI_EX_K200,20,YTD_2026,6,0.0028076642568770614,0.002083333333333335,0.0028076642568770614,0.002801414256877061,0.002795164256877061
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,BULL_2025,49,0.00032324374189249483,0.0008928571428571442,0.00032324374189249483,0.00032056517046392344,0.00031788659903535195
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,193,0.00023864652244129096,0.005731865284974092,0.00023864652244129096,0.00022145092658636868,0.00020425533073144638
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,149,1.0964694466204819e-05,0.004781879194630873,1.0964694466204819e-05,-3.3809431176878315e-06,-1.7726580701580405e-05
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,97,0.00027534502196103594,0.0031572164948453605,0.00027534502196103594,0.00026587337247649986,0.0002564017229919638
ACT1,LOW05,KOSPI_KOSDAQ_ALL,5,YTD_2026,28,-7.44730593888468e-05,0.002232142857142856,-7.44730593888468e-05,-8.116948796027533e-05,-8.786591653170391e-05
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,BULL_2025,12,6.725736417686138e-05,-0.0010416666666666675,6.725736417686138e-05,7.038236417686137e-05,7.35073641768614e-05
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,EARLY_2016_2019,48,0.001279862404658981,0.007552083333333334,0.001279862404658981,0.0012572061546589808,0.001234549904658981
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,LATE_2020_2022,38,0.0006073830751918663,-0.00016447368421052718,0.0006073830751918663,0.000607876496244498,0.0006083699172971295
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,NORMAL_2023_2024,24,0.001336996071746719,0.0015625000000000014,0.001336996071746719,0.0013323085717467193,0.0013276210717467192
ACT1,LOW05,KOSPI_KOSDAQ_ALL,20,YTD_2026,6,-0.0008090437932042455,0.004166666666666666,-0.0008090437932042455,-0.000821543793204245,-0.0008340437932042457
ACT1,LOW10,K200,5,BULL_2025,49,0.000500997657544567,0.061479591836734696,0.000500997657544567,0.000316558882034363,0.00013212010652415907
ACT1,LOW10,K200,5,EARLY_2016_2019,193,-0.00018001525481116805,0.06479922279792746,-0.00018001525481116805,-0.00037441292320495044,-0.0005688105915987328
ACT1,LOW10,K200,5,LATE_2020_2022,149,-2.5703692894869198e-05,0.05662751677852349,-2.5703692894869198e-05,-0.00019558624323043976,-0.0003654687935660102
ACT1,LOW10,K200,5,NORMAL_2023_2024,97,2.8709945738352048e-05,0.05515463917525773,2.8709945738352048e-05,-0.0001367539717874212,-0.0003022178893131943
ACT1,LOW10,K200,5,YTD_2026,28,0.00027063850440077356,0.05334821428571428,0.00027063850440077356,0.00011059386154363075,-4.945078131351187e-05
ACT1,LOW10,K200,20,BULL_2025,12,-0.002466951242774374,0.027083333333333334,-0.002466951242774374,-0.0025482012427743748,-0.002629451242774375
ACT1,LOW10,K200,20,EARLY_2016_2019,48,-0.0009202474814501488,0.04609375000000001,-0.0009202474814501488,-0.0010585287314501487,-0.0011968099814501486
ACT1,LOW10,K200,20,LATE_2020_2022,38,0.00021924491052481972,0.03075657894736842,0.00021924491052481972,0.0001269751736827145,3.47054368406091e-05
ACT1,LOW10,K200,20,NORMAL_2023_2024,24,-0.00114682569020067,0.03098958333333333,-0.00114682569020067,-0.0012397944402006702,-0.00133276319020067
ACT1,LOW10,K200,20,YTD_2026,6,0.0019496817429284499,0.017708333333333343,0.0019496817429284499,0.0018965567429284503,0.0018434317429284499
ACT1,LOW10,KOSDAQ,5,BULL_2025,49,-4.5339945473437796e-05,0.008801020408163262,-4.5339945473437796e-05,-7.174300669792754e-05,-9.814606792241733e-05
