metric,strategy,universe,horizon,sample,family,n_dates,gross_delta
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,REVISION,48,0.0013593749446984954
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,VALUE,48,0.0003721544591532928
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,FLOW,38,0.000400340868759378
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,MOMENTUM,38,-0.0012208860140249232
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,REVISION,38,0.0002326483153801929
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,VALUE,38,0.0005978797886984624
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,FLOW,24,0.0029971834854532406
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,MOMENTUM,24,0.0036707837158330217
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,REVISION,24,0.0013145990111285474
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,VALUE,24,0.00037996378426518603
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,FLOW,6,0.0008005074979307239
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,MOMENTUM,6,0.008695695121885918
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,REVISION,6,-0.0024450907321442693
ACT1,LOW05,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,VALUE,6,0.0018028242253527351
ACT1,LOW05,KOSPI_ALL,5,BULL_2025,FLOW,49,-5.086880173788608e-06
ACT1,LOW05,KOSPI_ALL,5,BULL_2025,MOMENTUM,49,7.733969706254424e-05
ACT1,LOW05,KOSPI_ALL,5,BULL_2025,REVISION,49,0.0005357504402736953
ACT1,LOW05,KOSPI_ALL,5,BULL_2025,VALUE,49,-0.00010874427954315196
ACT1,LOW05,KOSPI_ALL,5,EARLY_2016_2019,FLOW,193,0.0001238628261380998
ACT1,LOW05,KOSPI_ALL,5,EARLY_2016_2019,MOMENTUM,193,2.528239512516087e-05
ACT1,LOW05,KOSPI_ALL,5,EARLY_2016_2019,REVISION,193,9.060636738824039e-05
ACT1,LOW05,KOSPI_ALL,5,EARLY_2016_2019,VALUE,193,7.839879024546575e-05
ACT1,LOW05,KOSPI_ALL,5,LATE_2020_2022,FLOW,149,-0.00011233606346356408
ACT1,LOW05,KOSPI_ALL,5,LATE_2020_2022,MOMENTUM,149,-0.0002646284464354889
ACT1,LOW05,KOSPI_ALL,5,LATE_2020_2022,REVISION,149,-2.61907900562544e-05
ACT1,LOW05,KOSPI_ALL,5,LATE_2020_2022,VALUE,149,-4.611848458470754e-05
ACT1,LOW05,KOSPI_ALL,5,NORMAL_2023_2024,FLOW,97,0.0001908454807741503
ACT1,LOW05,KOSPI_ALL,5,NORMAL_2023_2024,MOMENTUM,97,0.00015533564656571277
ACT1,LOW05,KOSPI_ALL,5,NORMAL_2023_2024,REVISION,97,-3.130034302024714e-05
ACT1,LOW05,KOSPI_ALL,5,NORMAL_2023_2024,VALUE,97,-0.0001865886911359493
ACT1,LOW05,KOSPI_ALL,5,YTD_2026,FLOW,28,0.0003621427173661103
ACT1,LOW05,KOSPI_ALL,5,YTD_2026,MOMENTUM,28,0.002184062188863125
ACT1,LOW05,KOSPI_ALL,5,YTD_2026,REVISION,28,-0.0017754044175963893
ACT1,LOW05,KOSPI_ALL,5,YTD_2026,VALUE,28,0.00017987270755933957
ACT1,LOW05,KOSPI_ALL,20,BULL_2025,FLOW,12,0.0007087162274319464
ACT1,LOW05,KOSPI_ALL,20,BULL_2025,MOMENTUM,12,4.21748177185956e-05
ACT1,LOW05,KOSPI_ALL,20,BULL_2025,REVISION,12,0.0007029567204456718
ACT1,LOW05,KOSPI_ALL,20,BULL_2025,VALUE,12,0.00016481412594309598
ACT1,LOW05,KOSPI_ALL,20,EARLY_2016_2019,FLOW,48,3.790388224630971e-05
