universe,strategy,factor,family,phase,period,zero_fill_cagr,zero_fill_sharpe,legacy_cagr,legacy_sharpe,mean_legacy_minus_zero,mean_complete_names,n_periods
K200,PRIMARY8,PBR12MF,VALUE,5,PRE_STRESS_2016_2024,0.05925977085863776,0.35698233049149586,0.059259770858637095,0.3569823304914942,-1.6432385518537673e-17,20.0,221
K200,PRIMARY8,PBR12MF,VALUE,5,EARLY_2016_2019,0.01885935405695105,0.19270279710426302,0.018859354056950384,0.1927027971042603,-2.0184967996936762e-17,20.0,98
K200,PRIMARY8,PBR12MF,VALUE,5,LATE_2020_2022,0.10873813439067481,0.4727720230681932,0.10873813439067459,0.47277202306819255,-7.699300562718008e-18,20.0,74
K200,PRIMARY8,PBR12MF,VALUE,5,NORMAL_2023_2024,0.06865344786855254,0.454432443573449,0.06865344786855188,0.4544324435734457,-2.2115961107263066e-17,20.0,49
K200,PRIMARY8,PBR12MF,VALUE,5,BULL_2025,0.6758394835127401,1.9237355521845378,0.6758394835127401,1.923735552184538,2.3491047070519264e-18,20.0,24
K200,PRIMARY8,PBR12MF,VALUE,5,YTD_2026,0.4247119035431284,1.0617127270571132,0.4247119035431288,1.0617127270571138,2.292313164683638e-18,20.0,14
K200,PRIMARY8,PBR12MF,VALUE,6,FULL_2016_2026,0.11915449737341466,0.5918846843204686,0.11915449737341421,0.5918846843204675,-1.0040329568259947e-17,20.0,259
K200,PRIMARY8,PBR12MF,VALUE,6,PRE_STRESS_2016_2024,0.05293125484810979,0.34271070935314313,0.052931254848109344,0.34271070935314185,-1.131145428313426e-17,20.0,221
K200,PRIMARY8,PBR12MF,VALUE,6,EARLY_2016_2019,0.026947576017902763,0.23445547156617366,0.026947576017902097,0.2344554715661714,-1.6720499524346604e-17,20.0,98
K200,PRIMARY8,PBR12MF,VALUE,6,LATE_2020_2022,0.09928811721209119,0.4711806883266144,0.09928811721209096,0.47118068832661436,5.421010862427522e-19,20.0,74
