period,universe,strategy,cost_bps,n_5d,sharpe,cagr,max_drawdown,annualized_weight_turnover
CONF_2023_2024,KOSDAQ,ENS_BOTTOM2_VETO,10,97,0.20987365125714563,0.014646986222596414,-0.16355234252597994,7.967010309278351
STRESS_2025,KOSDAQ,ENS_BOTTOM2_VETO,10,49,1.8448196307260853,0.1927048429160496,-0.03634326639280305,5.485714285714286
STRESS_2026,KOSDAQ,ENS_BOTTOM2_VETO,10,29,2.72324880000233,0.4387602139561846,-0.037715161927526886,4.9241379310344815
VAL_2020_2022,KOSDAQ,ENS_BOTTOM2_VETO,30,148,0.8093380994051858,0.06542184801313167,-0.10045727854008946,5.959459459459458
CONF_2023_2024,KOSDAQ,ENS_BOTTOM2_VETO,30,97,0.027368593255590115,-0.0014030259371292653,-0.1688930980578287,7.967010309278351
STRESS_2025,KOSDAQ,ENS_BOTTOM2_VETO,30,49,1.7325790274489437,0.1797298357270367,-0.03699733215638379,5.485714285714286
STRESS_2026,KOSDAQ,ENS_BOTTOM2_VETO,30,29,2.656760790698913,0.4248096147455922,-0.03772417945937101,4.9241379310344815
VAL_2020_2022,KOSDAQ,EPI_CONF_SOFT,0,148,0.8160481961907585,0.0512672624046866,-0.09966189662557245,0.3348992816931643
CONF_2023_2024,KOSDAQ,EPI_CONF_SOFT,0,97,0.6688700970293534,0.04661011548558802,-0.07837167326706018,0.5464154588594895
STRESS_2025,KOSDAQ,EPI_CONF_SOFT,0,49,1.0622791341317503,0.09047890156118221,-0.04953987582270902,0.6049616933312961
STRESS_2026,KOSDAQ,EPI_CONF_SOFT,0,29,2.7898732759299802,0.35072043644746187,-0.02619893318922062,0.8063122257271257
VAL_2020_2022,KOSDAQ,EPI_CONF_SOFT,10,148,0.8108328321799527,0.05091576576683754,-0.0997925152924265,0.3348992816931643
CONF_2023_2024,KOSDAQ,EPI_CONF_SOFT,10,97,0.6611441576211218,0.046037778717272326,-0.0785895650888524,0.5464154588594895
STRESS_2025,KOSDAQ,EPI_CONF_SOFT,10,49,1.0556681416290719,0.08982420635337007,-0.049539875822709356,0.6049616933312961
STRESS_2026,KOSDAQ,EPI_CONF_SOFT,10,29,2.7804685996383878,0.34962607206937957,-0.02626506288825048,0.8063122257271257
VAL_2020_2022,KOSDAQ,EPI_CONF_SOFT,30,148,0.8003929760756907,0.05021307710112777,-0.1000537148274816,0.3348992816931643
CONF_2023_2024,KOSDAQ,EPI_CONF_SOFT,30,97,0.6456930143339054,0.044893952913663826,-0.07902522920115485,0.5464154588594895
STRESS_2025,KOSDAQ,EPI_CONF_SOFT,30,49,1.0424178790687162,0.08851590113213592,-0.049539875822709245,0.6049616933312961
STRESS_2026,KOSDAQ,EPI_CONF_SOFT,30,29,2.7616713239599826,0.3474397468599093,-0.0263973222863102,0.8063122257271257
VAL_2020_2022,KOSDAQ,EPI_CONF_HALF_TOP3,0,148,0.7043046980117217,0.04537883755424588,-0.10896037827953076,2.3412162162162162
CONF_2023_2024,KOSDAQ,EPI_CONF_HALF_TOP3,0,97,0.7310428462979204,0.05633676742721394,-0.09373300993607869,3.3340206185567007
STRESS_2025,KOSDAQ,EPI_CONF_HALF_TOP3,0,49,0.9582868389974014,0.07989634051269578,-0.049539875822709245,3.8571428571428568
STRESS_2026,KOSDAQ,EPI_CONF_HALF_TOP3,0,29,2.642819698192306,0.3603926633670891,-0.03650287021527676,3.258620689655173
VAL_2020_2022,KOSDAQ,EPI_CONF_HALF_TOP3,10,148,0.6689760591427835,0.042936608588438174,-0.1100820020774006,2.3412162162162162
CONF_2023_2024,KOSDAQ,EPI_CONF_HALF_TOP3,10,97,0.688347085533264,0.0528179232591337,-0.0951653574129987,3.3340206185567007
STRESS_2025,KOSDAQ,EPI_CONF_HALF_TOP3,10,49,0.9143268571447676,0.07576142662877827,-0.049539875822709245,3.8571428571428568
STRESS_2026,KOSDAQ,EPI_CONF_HALF_TOP3,10,29,2.6075065352118405,0.355934351471058,-0.03681537021527681,3.258620689655173
VAL_2020_2022,KOSDAQ,EPI_CONF_HALF_TOP3,30,148,0.5980367680764123,0.03806697848610363,-0.11232207284069795,2.3412162162162162
CONF_2023_2024,KOSDAQ,EPI_CONF_HALF_TOP3,30,97,0.6029584222177794,0.045812122241355224,-0.0980246195991098,3.3340206185567007
STRESS_2025,KOSDAQ,EPI_CONF_HALF_TOP3,30,49,0.8254957414465638,0.0675352147231203,-0.049539875822709134,3.8571428571428568
STRESS_2026,KOSDAQ,EPI_CONF_HALF_TOP3,30,29,2.5371591591737275,0.34705733212392276,-0.0374403702152768,3.258620689655173
VAL_2020_2022,KOSDAQ,EPI_CONT_HALF_TOP3,0,148,0.7944381528199567,0.050686603583170786,-0.10101137563021656,3.0530145530145534
CONF_2023_2024,KOSDAQ,EPI_CONT_HALF_TOP3,0,97,0.6023158814913893,0.044815154757285924,-0.09592974566442192,3.507930214115781
STRESS_2025,KOSDAQ,EPI_CONT_HALF_TOP3,0,49,1.1678413035965676,0.10078270045492532,-0.049539875822709134,4.19905808477237
STRESS_2026,KOSDAQ,EPI_CONT_HALF_TOP3,0,29,2.695547162505129,0.370737266687595,-0.0356678588686381,3.341379310344827
VAL_2020_2022,KOSDAQ,EPI_CONT_HALF_TOP3,10,148,0.7478694053106569,0.047489355387282606,-0.1019427604930565,3.0530145530145534
CONF_2023_2024,KOSDAQ,EPI_CONT_HALF_TOP3,10,97,0.556794188880104,0.04115433852595607,-0.09769063782368914,3.507930214115781
STRESS_2025,KOSDAQ,EPI_CONT_HALF_TOP3,10,49,1.1201033825775462,0.09618872143713375,-0.049539875822709134,4.19905808477237
STRESS_2026,KOSDAQ,EPI_CONT_HALF_TOP3,10,29,2.662228383068565,0.3661525860119974,-0.03591121967449884,3.341379310344827
VAL_2020_2022,KOSDAQ,EPI_CONT_HALF_TOP3,30,148,0.6543728835168945,0.041122232549443805,-0.10380313520827844,3.0530145530145534
CONF_2023_2024,KOSDAQ,EPI_CONT_HALF_TOP3,30,97,0.4658593455799403,0.03386903445803968,-0.10120317487656805,3.507930214115781
STRESS_2025,KOSDAQ,EPI_CONT_HALF_TOP3,30,49,1.0240482346928426,0.08705551577637372,-0.049539875822709134,4.19905808477237
STRESS_2026,KOSDAQ,EPI_CONT_HALF_TOP3,30,29,2.5957658534535204,0.35702629786755913,-0.036397941286220536,3.341379310344827
VAL_2020_2022,KOSDAQ,EPI_CONF_BOTTOM2_VETO,0,148,0.8960642395901778,0.058943095968067905,-0.1027483426443101,1.9297297297297296
CONF_2023_2024,KOSDAQ,EPI_CONF_BOTTOM2_VETO,0,97,0.57524418576194,0.042309689978520026,-0.10338531643366833,2.771134020618556
STRESS_2025,KOSDAQ,EPI_CONF_BOTTOM2_VETO,0,49,0.9368723507794661,0.08190752507601262,-0.049539875822709134,3.4285714285714284
STRESS_2026,KOSDAQ,EPI_CONF_BOTTOM2_VETO,0,29,3.2635755498148615,0.4278946195833535,-0.025296938585527062,2.6068965517241374
VAL_2020_2022,KOSDAQ,EPI_CONF_BOTTOM2_VETO,10,148,0.8677336407340862,0.05690756778745043,-0.10342626929295395,1.9297297297297296
CONF_2023_2024,KOSDAQ,EPI_CONF_BOTTOM2_VETO,10,97,0.5388318330859287,0.0394213644169803,-0.10452154126370194,2.771134020618556
STRESS_2025,KOSDAQ,EPI_CONF_BOTTOM2_VETO,10,49,0.9002840946633749,0.07823061308545376,-0.04953987582270902,3.4285714285714284
STRESS_2026,KOSDAQ,EPI_CONF_BOTTOM2_VETO,10,29,3.232929125558307,0.42416409710063774,-0.025546938585527035,2.6068965517241374
VAL_2020_2022,KOSDAQ,EPI_CONF_BOTTOM2_VETO,30,148,0.8107044941831022,0.052846740801484104,-0.10478109812661418,1.9297297297297296
CONF_2023_2024,KOSDAQ,EPI_CONF_BOTTOM2_VETO,30,97,0.4660923959266737,0.033666590680096364,-0.10679053544949835,2.771134020618556
STRESS_2025,KOSDAQ,EPI_CONF_BOTTOM2_VETO,30,49,0.8263405151572181,0.07091143185503523,-0.049539875822709134,3.4285714285714284
STRESS_2026,KOSDAQ,EPI_CONF_BOTTOM2_VETO,30,29,3.171686992522477,0.416729474191293,-0.026046938585527202,2.6068965517241374
VAL_2020_2022,KOSPI_EX_K200,EW8,0,148,0.9749095066282215,0.07866421760339892,-0.07309637918155609,0.0
CONF_2023_2024,KOSPI_EX_K200,EW8,0,97,0.5274482818815506,0.04331608346119609,-0.07409783008621329,0.0
STRESS_2025,KOSPI_EX_K200,EW8,0,49,1.1265396094575826,0.09037202003401523,-0.04514835461220845,0.0
STRESS_2026,KOSPI_EX_K200,EW8,0,29,1.1970399791014559,0.10143878668023198,-0.038430872649096504,0.0
VAL_2020_2022,KOSPI_EX_K200,EW8,10,148,0.9749095066282215,0.07866421760339892,-0.07309637918155609,0.0
CONF_2023_2024,KOSPI_EX_K200,EW8,10,97,0.5274482818815506,0.04331608346119609,-0.07409783008621329,0.0
STRESS_2025,KOSPI_EX_K200,EW8,10,49,1.1265396094575826,0.09037202003401523,-0.04514835461220845,0.0
STRESS_2026,KOSPI_EX_K200,EW8,10,29,1.1970399791014559,0.10143878668023198,-0.038430872649096504,0.0
VAL_2020_2022,KOSPI_EX_K200,EW8,30,148,0.9749095066282215,0.07866421760339892,-0.07309637918155609,0.0
CONF_2023_2024,KOSPI_EX_K200,EW8,30,97,0.5274482818815506,0.04331608346119609,-0.07409783008621329,0.0
STRESS_2025,KOSPI_EX_K200,EW8,30,49,1.1265396094575826,0.09037202003401523,-0.04514835461220845,0.0
STRESS_2026,KOSPI_EX_K200,EW8,30,29,1.1970399791014559,0.10143878668023198,-0.038430872649096504,0.0
VAL_2020_2022,KOSPI_EX_K200,ENS_SOFT,0,148,1.1496240421546924,0.09768351176345558,-0.07506626729817822,1.2528069962298787
CONF_2023_2024,KOSPI_EX_K200,ENS_SOFT,0,97,0.4972188862899773,0.04163918262604649,-0.0869682866824455,1.3507491520393988
STRESS_2025,KOSPI_EX_K200,ENS_SOFT,0,49,1.236946485750738,0.0973770090784476,-0.04563603661436966,1.2353130725641244
STRESS_2026,KOSPI_EX_K200,ENS_SOFT,0,29,1.3012534957280244,0.12358467428311903,-0.0406330204641856,1.5395186187197525
VAL_2020_2022,KOSPI_EX_K200,ENS_SOFT,10,148,1.1348204490870746,0.0963121066603716,-0.07530438724237742,1.2528069962298787
CONF_2023_2024,KOSPI_EX_K200,ENS_SOFT,10,97,0.48217219043269116,0.04023293476909018,-0.08795117662037488,1.3507491520393988
STRESS_2025,KOSPI_EX_K200,ENS_SOFT,10,49,1.220881737924281,0.09602391950615718,-0.045859835136537686,1.2353130725641244
STRESS_2026,KOSPI_EX_K200,ENS_SOFT,10,29,1.284511601361559,0.12185890568806013,-0.040842078512199786,1.5395186187197525
VAL_2020_2022,KOSPI_EX_K200,ENS_SOFT,30,148,1.1052055486094692,0.09357431957253604,-0.07578046836188412,1.2528069962298787
CONF_2023_2024,KOSPI_EX_K200,ENS_SOFT,30,97,0.45209097998588116,0.03742600090391135,-0.08991389253444237,1.3507491520393988
STRESS_2025,KOSPI_EX_K200,ENS_SOFT,30,49,1.1887615401761,0.09332263569835364,-0.046307291818249,1.2353130725641244
STRESS_2026,KOSPI_EX_K200,ENS_SOFT,30,29,1.2510347563149256,0.11841511748805655,-0.0412600797388788,1.5395186187197525
VAL_2020_2022,KOSPI_EX_K200,ENS_TOP3,0,148,1.3585978805679377,0.2035307860619915,-0.12205722339310143,16.8
CONF_2023_2024,KOSPI_EX_K200,ENS_TOP3,0,97,0.6397244520009087,0.081554948873928,-0.15253267573489382,17.49278350515464
STRESS_2025,KOSPI_EX_K200,ENS_TOP3,0,49,1.7737356555661867,0.23441402854383608,-0.05962165520918761,15.428571428571427
STRESS_2026,KOSPI_EX_K200,ENS_TOP3,0,29,1.0118977622535794,0.20001581724713802,-0.0869685685006727,16.220689655172414
VAL_2020_2022,KOSPI_EX_K200,ENS_TOP3,10,148,1.240737283344937,0.18352123265948306,-0.12414304991518965,16.8
CONF_2023_2024,KOSPI_EX_K200,ENS_TOP3,10,97,0.5132749562309311,0.06286363641802173,-0.16266405140846374,17.49278350515464
