date,period,universe,confidence_quintile,rank_ic,top3_minus_ew8,bottom2_veto_minus_ew8
2026-02-11,STRESS_2026,KOSPI_KOSDAQ_ALL,2,-0.3571428571428572,-0.02059685055275509,-0.0013153836981354746
2026-02-23,STRESS_2026,KOSPI_KOSDAQ_ALL,1,-0.19047619047619052,-0.0011896224149785199,-0.0029830782012388885
2026-03-03,STRESS_2026,KOSPI_KOSDAQ_ALL,1,0.2380952380952381,-0.004224249118304464,0.008852392984237203
2026-03-10,STRESS_2026,KOSPI_KOSDAQ_ALL,1,-0.4285714285714286,-0.036116898907459026,-0.008343470900736439
2026-03-17,STRESS_2026,KOSPI_KOSDAQ_ALL,1,0.14285714285714288,-0.0009159283247472663,0.0004929577137800997
2026-03-24,STRESS_2026,KOSPI_KOSDAQ_ALL,5,-0.7857142857142858,-0.012507894664843129,-0.0049763520288717625
2026-03-31,STRESS_2026,KOSPI_KOSDAQ_ALL,2,-0.6190476190476191,-0.019882882624481634,-0.010441520861558251
2026-04-07,STRESS_2026,KOSPI_KOSDAQ_ALL,1,0.3571428571428572,0.002269076842905996,0.0005736999976217335
2026-04-14,STRESS_2026,KOSPI_KOSDAQ_ALL,2,-0.261904761904762,-0.012597516605876864,-0.002074485655136347
2026-04-21,STRESS_2026,KOSPI_KOSDAQ_ALL,1,0.2380952380952381,0.0024682549452694786,0.002162955601549346
2026-04-28,STRESS_2026,KOSPI_KOSDAQ_ALL,1,0.28571428571428575,0.005098564014778033,0.0028433163244773133
2026-05-07,STRESS_2026,KOSPI_KOSDAQ_ALL,4,0.880952380952381,0.040926360130848154,0.015229739794461537
2026-05-14,STRESS_2026,KOSPI_KOSDAQ_ALL,1,0.261904761904762,-0.003951193653484031,0.004370604256916301
2026-05-21,STRESS_2026,KOSPI_KOSDAQ_ALL,4,-0.2380952380952381,-0.0014673003029855962,-0.004332826945682613
2026-05-29,STRESS_2026,KOSPI_KOSDAQ_ALL,3,0.880952380952381,0.010233860726342497,0.007089016031420513
2026-06-08,STRESS_2026,KOSPI_KOSDAQ_ALL,2,-0.4047619047619048,-0.01737662517818785,-0.021850942647864368
2026-06-15,STRESS_2026,KOSPI_KOSDAQ_ALL,1,0.07142857142857144,8.693880623303601e-05,0.009782518200053303
2026-06-22,STRESS_2026,KOSPI_KOSDAQ_ALL,1,0.7142857142857144,0.010792507881385647,0.0012185357432903457
2026-06-29,STRESS_2026,KOSPI_KOSDAQ_ALL,1,-0.1666666666666667,-0.025889328486032225,-0.0023672692667563713
2026-07-06,STRESS_2026,KOSPI_KOSDAQ_ALL,1,0.6428571428571429,0.025659138144108425,0.02421378372955906
2026-07-13,STRESS_2026,KOSPI_KOSDAQ_ALL,1,0.023809523809523815,0.0038226607870115985,0.004247390997227452
2026-07-21,STRESS_2026,KOSPI_KOSDAQ_ALL,5,1.0,0.01828504521713336,0.008484311434379808
2026-07-28,STRESS_2026,KOSPI_KOSDAQ_ALL,5,0.9047619047619048,0.06748506960551581,0.03540807515553159
2026-08-04,STRESS_2026,KOSPI_KOSDAQ_ALL,1,-0.8571428571428572,-0.043183907080455705,-0.01878281366505227
2020-01-03,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,-0.4285714285714286,-0.01758237142121058,-0.007291516909740441
2020-01-10,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.09523809523809526,0.006866329259847674,0.002718656768363007
2020-01-17,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.4285714285714286,-0.003984672904766458,-0.0018049234929180913
2020-01-28,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,-0.2380952380952381,-0.012756828455589633,0.0018702901801241345
2020-02-04,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,4,0.6666666666666669,0.012397820784943375,0.008652862391173775
2020-02-11,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,5,-0.09523809523809526,-0.0021359623998295635,-0.0018010963193278995
2020-02-18,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.04761904761904763,0.0005760418170409481,0.000332327285134517
2020-02-25,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.5476190476190477,0.004905467969738456,0.009693626663126557
2020-03-03,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,-0.7142857142857144,-0.015593336042770016,-0.004301117266849378
2020-03-10,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.07142857142857144,-0.0027408078817107804,0.00445599060567697
2020-03-17,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,2,0.6666666666666669,0.017836448642859628,0.00803556276126043
2020-03-24,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.3333333333333334,0.022216884895619307,0.020937290877073873
2020-04-07,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.07142857142857144,-0.005118741362409255,0.0035131066521399785
2020-04-14,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.5476190476190477,-0.024658221737978537,-0.005500683361565224
2020-04-22,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,-0.19047619047619052,-0.0036659253476608172,-0.0003662504647848836
2020-04-29,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,3,0.09523809523809526,0.006295879681493186,-0.0006019206104635974
2020-05-11,VAL_2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,1,0.261904761904762,0.01968029799274946,0.0033368554062883425
