sample,universe,cost_bp,strategy,base_cagr,strategy_cagr,delta_cagr,base_sharpe,strategy_sharpe,delta_sharpe,base_mdd,strategy_mdd,delta_mdd,base_ann_turnover,strategy_ann_turnover,delta_ann_turnover,revision_exposure,rminus_decision_n
POST_2023_2024,K200,0,RMINUS_TO_REV_ANY,-0.06764876472645565,-0.012256642440393706,0.05539212228606194,-0.253239049284791,0.03223804704208874,0.2854770963268798,-0.19843760281045209,-0.17514405012599876,0.023293552684453322,14.739950268376779,18.380204832936922,3.640254564560143,0.2268041237113402,22
POST_2023_2024,K200,0,RMINUS_TO_REV_POS,-0.06764876472645565,-0.006904729646757923,0.06074403507969772,-0.253239049284791,0.06361830488298212,0.31685735416777316,-0.19843760281045209,-0.18218804155873425,0.016249561251717837,14.739950268376779,16.175841058772473,1.4358907903956943,0.07216494845360824,22
POST_2023_2024,K200,30,RMINUS_TO_REV_ANY,-0.10799740209794528,-0.06528213952471085,0.042715262573234436,-0.4770044941144736,-0.25542351510517824,0.22158097900929535,-0.22465739241925897,-0.2186235943168502,0.006033798102408783,14.739950268376779,18.380204832936922,3.640254564560143,0.2268041237113402,22
POST_2023_2024,K200,30,RMINUS_TO_REV_POS,-0.10799740209794528,-0.053972292352038376,0.05402510974590691,-0.4770044941144736,-0.183520901953539,0.29348359216093456,-0.22465739241925897,-0.1906560102497249,0.03400138216953408,14.739950268376779,16.175841058772473,1.4358907903956943,0.07216494845360824,22
POST_2023_2024,K200,60,RMINUS_TO_REV_ANY,-0.14663529627139538,-0.11552763208989003,0.031107664181505346,-0.7008056307908674,-0.5427150168424028,0.1580906139484647,-0.27035109965314075,-0.27269002779695806,-0.0023389281438173093,14.739950268376779,18.380204832936922,3.640254564560143,0.2268041237113402,22
POST_2023_2024,K200,60,RMINUS_TO_REV_POS,-0.14663529627139538,-0.09885824278701993,0.04777705348437544,-0.7008056307908674,-0.43090100311552276,0.2699046276753447,-0.27035109965314075,-0.23538978150527967,0.034961318147861076,14.739950268376779,16.175841058772473,1.4358907903956943,0.07216494845360824,22
POST_2023_2024,KOSDAQ,0,RMINUS_TO_REV_ANY,-0.06759198258928112,0.05000785955784948,0.1175998421471306,-0.07573947612840623,0.31356654460834865,0.3893060207367549,-0.4211066802281562,-0.40227802491022935,0.01882865531792688,14.408588059569695,21.557346849424743,7.148758789855048,0.27835051546391754,27
POST_2023_2024,KOSDAQ,0,RMINUS_TO_REV_POS,-0.06759198258928112,-0.03430369388523358,0.03328828870404754,-0.07573947612840623,0.03627989486058716,0.1120193709889934,-0.4211066802281562,-0.38032944487307074,0.040777235355085484,14.408588059569695,16.81281160635046,2.4042235467807664,0.07216494845360824,27
POST_2023_2024,KOSDAQ,30,RMINUS_TO_REV_ANY,-0.10705463126379877,-0.015803308897760826,0.09125132236603795,-0.21790886925785632,0.09585557835591431,0.31376444761377065,-0.456741983996799,-0.42304926557554123,0.03369271842125776,14.408588059569695,21.557346849424743,7.148758789855048,0.27835051546391754,27
POST_2023_2024,KOSDAQ,30,RMINUS_TO_REV_POS,-0.10705463126379877,-0.08183245642007198,0.025222174843726797,-0.21790886925785632,-0.13101915180950974,0.08688971744834659,-0.456741983996799,-0.4265703089002091,0.03017167509658991,14.408588059569695,16.81281160635046,2.4042235467807664,0.07216494845360824,27
POST_2023_2024,KOSDAQ,60,RMINUS_TO_REV_ANY,-0.14488020491206433,-0.07759162250078855,0.06728858241127578,-0.36032452535706694,-0.12137059143407049,0.23895393392299646,-0.4935531891146858,-0.45407611691209493,0.03947707220259089,14.408588059569695,21.557346849424743,7.148758789855048,0.27835051546391754,27
POST_2023_2024,KOSDAQ,60,RMINUS_TO_REV_POS,-0.14488020491206433,-0.12707637552971696,0.01780382938234737,-0.36032452535706694,-0.2984314972895305,0.06189302806753644,-0.4935531891146858,-0.47289186418908535,0.020661324925600466,14.408588059569695,16.81281160635046,2.4042235467807664,0.07216494845360824,27
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,0,RMINUS_TO_REV_ANY,-0.05227243954143457,0.06827731998102893,0.1205497595224635,-0.07195536086681571,0.38639695440316535,0.45835231526998105,-0.43432676622007726,-0.35801144770326454,0.07631531851681272,13.960129228138248,19.605249659351735,5.645120431213487,0.26804123711340205,26
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,0,RMINUS_TO_REV_POS,-0.05227243954143457,-0.015001616021139919,0.03727082352029465,-0.07195536086681571,0.07146311516362297,0.14341847603043867,-0.43432676622007726,-0.4146113852284089,0.019715380991668363,13.960129228138248,17.110375030607816,3.150245802469568,0.08247422680412371,26
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,30,RMINUS_TO_REV_ANY,-0.09116047340817834,0.007211546580834449,0.0983720199890128,-0.2318568036796883,0.15727290608596914,0.3891297097656574,-0.46341617502484755,-0.38661005851396335,0.0768061165108842,13.960129228138248,19.605249659351735,5.645120431213487,0.26804123711340205,26
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,30,RMINUS_TO_REV_POS,-0.09116047340817834,-0.06431877651648255,0.0268416968916958,-0.2318568036796883,-0.12750825283536646,0.10434855084432185,-0.46341617502484755,-0.45268338392908514,0.010732791095762417,13.960129228138248,17.110375030607816,3.150245802469568,0.08247422680412371,26
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,60,RMINUS_TO_REV_ANY,-0.12848449127197648,-0.05045104020096369,0.07803345107101278,-0.3919960745636366,-0.07168929573181909,0.3203067788318175,-0.49103335415732363,-0.4370647266992649,0.05396862745805875,13.960129228138248,19.605249659351735,5.645120431213487,0.26804123711340205,26
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,60,RMINUS_TO_REV_POS,-0.12848449127197648,-0.11122734833727421,0.017257142934702263,-0.3919960745636366,-0.3264218673595138,0.06557420720412283,-0.49103335415732363,-0.48832737855547437,0.0027059756018492642,13.960129228138248,17.110375030607816,3.150245802469568,0.08247422680412371,26
POST_2023_2024,KOSPI_ALL,0,RMINUS_TO_REV_ANY,-0.07053045270854819,-0.019830903907296804,0.05069954880125138,-0.27789291131582217,-0.008947480312951474,0.2689454310028707,-0.33581655031591306,-0.28738124691886313,0.048435303397049934,14.50892480944691,18.73017502132228,4.221250211875372,0.25773195876288657,25
