date,universe,eligible_n,mom_n,rev_n,mom_rev_overlap_n,mom_rev_overlap_share_mom
2017-06-07,K200,191,38,32,15,0.39473684210526316
2017-06-07,KOSPI_EX_K200,159,29,17,8,0.27586206896551724
2017-06-07,KOSPI_ALL,350,67,49,24,0.3582089552238806
2017-06-07,KOSDAQ,166,31,20,12,0.3870967741935484
2017-06-07,KOSPI_KOSDAQ_ALL,516,98,70,34,0.3469387755102041
2017-06-07,KOSDAQ_PLUS_KOSPI_EX_K200,325,60,37,21,0.35
2017-06-14,K200,192,37,33,16,0.43243243243243246
2017-06-14,KOSPI_EX_K200,160,30,16,9,0.3
2017-06-14,KOSPI_ALL,352,67,49,27,0.40298507462686567
2017-06-14,KOSDAQ,166,31,20,10,0.3225806451612903
2017-06-14,KOSPI_KOSDAQ_ALL,518,99,70,33,0.3333333333333333
2017-06-14,KOSDAQ_PLUS_KOSPI_EX_K200,326,61,36,17,0.2786885245901639
2017-06-21,K200,192,37,33,16,0.43243243243243246
2017-06-21,KOSPI_EX_K200,155,29,16,9,0.3103448275862069
2017-06-21,KOSPI_ALL,347,67,50,25,0.373134328358209
2017-06-21,KOSDAQ,166,31,20,6,0.1935483870967742
2017-06-21,KOSPI_KOSDAQ_ALL,513,98,71,30,0.30612244897959184
2017-06-21,KOSDAQ_PLUS_KOSPI_EX_K200,321,60,37,17,0.2833333333333333
2017-06-28,K200,192,37,33,14,0.3783783783783784
2017-06-28,KOSPI_EX_K200,155,29,16,9,0.3103448275862069
2017-06-28,KOSPI_ALL,347,67,50,25,0.373134328358209
2017-06-28,KOSDAQ,168,31,21,8,0.25806451612903225
2017-06-28,KOSPI_KOSDAQ_ALL,515,98,71,37,0.37755102040816324
2017-06-28,KOSDAQ_PLUS_KOSPI_EX_K200,323,61,38,20,0.32786885245901637
2017-07-05,K200,192,37,34,18,0.4864864864864865
2017-07-05,KOSPI_EX_K200,152,28,17,8,0.2857142857142857
