sample,factor_universe,market_target,horizon,support_state,leader_strength_cut,support_cut,n_high,n_low,high_support_mean,low_support_mean,high_minus_low,diff_tstat,high_positive_share,low_positive_share
OOS,KOSPI_ALL,KOSDAQ,5,ABS_BREADTH_1P,0.08528789226411926,0.75,9,19,0.00036807993268015413,-0.007562755028225591,0.007930834960905745,0.549936866518981,0.4444444444444444,0.3684210526315789
TRAIN,KOSPI_ALL,KOSDAQ,20,ABS_BREADTH_1P,0.08528789226411926,0.75,15,16,0.017662709661206748,0.020794374092394284,-0.0031316644311875363,-0.15750882598205998,0.8,0.6875
OOS,KOSPI_ALL,KOSDAQ,20,ABS_BREADTH_1P,0.08528789226411926,0.75,9,19,-0.000566040336161403,-0.008342739788124796,0.0077766994519633936,0.28343450546325427,0.5555555555555556,0.5789473684210527
TRAIN,KOSPI_ALL,KOSPI_KOSDAQ_ALL,1,ABS_BREADTH_1P,0.08528789226411926,0.75,15,16,0.0038221008072671643,0.004775921200176891,-0.0009538203929097271,-0.3510819892259921,0.6666666666666666,0.6875
OOS,KOSPI_ALL,KOSPI_KOSDAQ_ALL,1,ABS_BREADTH_1P,0.08528789226411926,0.75,10,19,0.004270218366009428,0.005367483279492294,-0.0010972649134828663,-0.1703318409447875,0.6,0.631578947368421
TRAIN,KOSPI_ALL,KOSPI_KOSDAQ_ALL,5,ABS_BREADTH_1P,0.08528789226411926,0.75,15,16,0.004125305417673855,0.009662150385026016,-0.005536844967352161,-0.5689591369193742,0.6,0.5625
OOS,KOSPI_ALL,KOSPI_KOSDAQ_ALL,5,ABS_BREADTH_1P,0.08528789226411926,0.75,9,19,0.010561507610854688,0.0004232427428035583,0.010138264868051129,0.6204964518312337,0.5555555555555556,0.42105263157894735
TRAIN,KOSPI_ALL,KOSPI_KOSDAQ_ALL,20,ABS_BREADTH_1P,0.08528789226411926,0.75,15,16,0.025753098849740152,0.02578392344416658,-3.082459442642696e-05,-0.0017955579906782713,0.7333333333333333,0.625
OOS,KOSPI_ALL,KOSPI_KOSDAQ_ALL,20,ABS_BREADTH_1P,0.08528789226411926,0.75,9,19,0.017538114351839853,0.0193337208357829,-0.001795606483943047,-0.06287364104484691,0.5555555555555556,0.631578947368421
TRAIN,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,1,ABS_BREADTH_1P,0.08528789226411926,0.75,15,16,0.002614710042333183,0.0048297490230311164,-0.0022150389806979334,-0.6719703873718607,0.6,0.6875
OOS,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,1,ABS_BREADTH_1P,0.08528789226411926,0.75,10,19,0.0008803146975901111,0.008325206323690071,-0.00744489162609996,-1.1986403601946825,0.6,0.631578947368421
TRAIN,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,5,ABS_BREADTH_1P,0.08528789226411926,0.75,15,16,0.0011934368558802614,0.00472935777679678,-0.003535920920916518,-0.3815394571323629,0.6666666666666666,0.5625
OOS,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,5,ABS_BREADTH_1P,0.08528789226411926,0.75,9,19,0.004161201646738714,-0.005621107865253228,0.009782309511991941,0.7273825380962498,0.5555555555555556,0.3684210526315789
TRAIN,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,20,ABS_BREADTH_1P,0.08528789226411926,0.75,15,16,0.017753121353162444,0.018989696827323953,-0.0012365754741615088,-0.0637541427878786,0.7333333333333333,0.6875
OOS,KOSPI_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,20,ABS_BREADTH_1P,0.08528789226411926,0.75,9,19,0.004186300896793648,-0.005443769349120463,0.00963007024591411,0.396268547897286,0.5555555555555556,0.5789473684210527
TRAIN,KOSPI_EX_K200,K200,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,0.004055797350906021,-0.0002552760600289134,0.004311073410934935,1.302601052123753,0.8333333333333334,0.5333333333333333
OOS,KOSPI_EX_K200,K200,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,10,11,0.007163799785299535,-0.026920618454654113,0.034084418239953646,2.236594974609053,0.7,0.36363636363636365
TRAIN,KOSPI_EX_K200,K200,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,-0.0055311070667755395,0.006406476929714844,-0.011937583996490383,-1.1517811911929061,0.3333333333333333,0.6666666666666666
OOS,KOSPI_EX_K200,K200,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,0.00032011252843556896,-0.015188579761478083,0.015508692289913651,0.8593484032173151,0.6666666666666666,0.36363636363636365
TRAIN,KOSPI_EX_K200,K200,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,-0.00571098726339252,-0.0074717604500774675,0.0017607731866849472,0.13285520778679002,0.4166666666666667,0.3333333333333333
OOS,KOSPI_EX_K200,K200,20,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,9,11,0.04466679533360428,-0.02345179991716694,0.06811859525077121,1.7964577169801685,0.7777777777777778,0.45454545454545453
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,0.00367036883345411,-0.0018621028086920352,0.005532471642146145,1.3855513406700828,0.6666666666666666,0.4
OOS,KOSPI_EX_K200,KOSPI_EX_K200,1,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,10,11,0.008255228396620783,-0.02257913547794272,0.0308343638745635,2.635870801753125,0.7,0.2727272727272727
TRAIN,KOSPI_EX_K200,KOSPI_EX_K200,5,OTHERS_ABS_BREADTH_1P,0.1337148920604066,0.5714285714285714,12,15,-0.0030283835418380704,0.00020686209598393032,-0.003235245637822001,-0.2662836044207067,0.3333333333333333,0.5333333333333333
