date,K200,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL
2016-01-29,0.0021017590459371242,0.0026408477147535202,0.003067061559112078,0.002289403527362891,0.003594304639993784,0.002336704461102015
2016-02-01,0.006796280247234407,0.0045401138424672185,0.005267240871285847,0.006716731575920725,0.0061658949529934184,0.006423068711651239
2016-02-02,-0.010790792237083223,-0.0008641591571839509,-0.000770751001234549,-0.009512526971074813,-0.0006554572627427656,-0.008347585065999509
2016-02-03,-0.008388763198207026,-0.005022495222396545,-0.00577412172506501,-0.008174144839892147,-0.006702148982518762,-0.0077462153301871735
2016-02-04,0.016837911817672784,0.003822498962707939,-0.001558696746676072,0.013645238969555456,-0.008215266494978096,0.0123076495007446
2016-02-05,0.000604548023558197,-0.0021594597551177967,-0.0006988890495737178,0.0006694682321079895,0.0011236744115336683,0.00028760158322802725
2016-02-11,-0.028109016607617388,-0.05020029910236433,-0.044450768425408516,-0.029260030727306242,-0.03730595195672794,-0.0320784113012092
2016-02-12,-0.009501905147290603,-0.06305181704035638,-0.05462553466638545,-0.013820432812608982,-0.044296534901872915,-0.020321463699216124
2016-02-15,0.013467228797819752,0.02117879239733965,0.020636557948585744,0.014250913164541511,0.019982730801334187,0.015128421309430198
2016-02-16,0.013660870784769033,0.021842965917929624,0.01993205673603793,0.014139891793401868,0.017621023085676014,0.01512294992709286
2016-02-17,-0.0005667059907322422,-0.018438954655536806,-0.015744986930920867,-0.002011825987389776,-0.012472984278659133,-0.004122345234117615
2016-02-18,0.013062246212368055,0.025037242266200604,0.019914786645172725,0.013142536497235732,0.01373078077739592,0.014648740322570932
2016-02-19,0.0031831721938798594,0.00830444329550149,0.008704613136581914,0.0039053260605998613,0.009192952568192277,0.0044679102488042735
2016-02-22,-0.0007785781300298626,0.008994852135278727,0.007571013244253123,2.0219124644630013e-05,0.005834216769903391,0.0011727742913772124
2016-02-23,-0.0005442005853551885,-0.01195232167437515,-0.009063962971947429,-0.0011499044234364098,-0.0055294130261057195,-0.002548140879852075
2016-02-24,-0.00038956740132491157,0.0031982498729783764,0.00040326327679598804,-0.0007048110513342868,-0.002995578592924391,-0.00020428781373913612
2016-02-25,0.00319690499112638,0.0034541168976018246,0.004010757746112426,0.003377350216709214,0.004691890096526909,0.003387229179388013
2016-02-26,-3.797603184596418e-06,0.005485523287279529,0.006036804216658439,0.0008076668343986873,0.006710662304812271,0.0014097589594369861
2016-02-29,-0.0028508240181802274,0.0029724715363442585,0.0035318250984710765,-0.0019930264824213704,0.004214720208734561,-0.001352046479587384
2016-03-02,0.016308405017804388,0.01818903888121403,0.01669778712933952,0.0161334779370507,0.014876470683137964,0.01640035004427855
2016-03-03,0.004973133817163463,0.011776688295874747,0.01015573658898632,0.005363742196733417,0.008174600617029517,0.0061959443876308945
2016-03-04,-0.0023463624743220108,0.008582242916154966,0.006287567762607064,-0.0016343832408000278,0.0034729141201550805,-0.00030121723181192507
2016-03-07,0.0011780526853860515,-0.0034631421008004945,-0.002904103386117496,0.0007608629604863693,-0.0022143797959391256,0.00020440619432322818
2016-03-08,-0.006932157125575457,0.003054883938953352,0.0013272085430712176,-0.006180507262398781,-0.0008019267016766856,-0.0049681793548528265
2016-03-09,0.00332178810804738,0.007709505992368641,0.006586168891259048,0.0035528326306721583,0.0051959482773602066,0.004103059822020203
2016-03-10,0.009161828396950674,0.011454833088210822,0.008559379315084326,0.008643842700087955,0.004966967446333592,0.009017284528924975
2016-03-11,0.0007379141778371819,0.0036070495855498007,0.0031711740772567545,0.0009703203185464825,0.0026268881911575047,0.0013214631953288793
2016-03-14,0.0009837944027214745,0.003599787248265063,0.0006912363673503257,0.0004992693897711013,-0.002947603155866656,0.0009134716873574978
2016-03-15,-0.0006715910702248422,0.004849000505341489,0.0009013762125438144,-0.001088965759906794,-0.004069682468606242,-0.00029356823406463716
