universe,sample,factor_a,factor_b,corr
K200,OOS,PER12MF,PBR12MF,0.849295130452292
K200,OOS,PER12MF,PER12MF,1.0
K200,OOS,PER12MF,PRIVATE_FLOW,0.10433969010697283
K200,OOS,PRIVATE_FLOW,FOREIGN_FLOW,-0.08655755505566982
K200,OOS,PRIVATE_FLOW,MOM12_1,-0.07237306054874557
K200,OOS,PRIVATE_FLOW,MOM1M,0.4743883491392815
K200,OOS,PRIVATE_FLOW,OP12_REV,0.041730112364402085
K200,OOS,PRIVATE_FLOW,OPFY1_REV,-0.004365682001385312
K200,OOS,PRIVATE_FLOW,PBR12MF,0.11085065044941805
K200,OOS,PRIVATE_FLOW,PER12MF,0.10433969010697283
K200,OOS,PRIVATE_FLOW,PRIVATE_FLOW,1.0
KOSDAQ,TRAIN,FOREIGN_FLOW,FOREIGN_FLOW,1.0
KOSDAQ,TRAIN,FOREIGN_FLOW,MOM12_1,0.04355533075493174
KOSDAQ,TRAIN,FOREIGN_FLOW,MOM1M,0.14667135574252946
KOSDAQ,TRAIN,FOREIGN_FLOW,OP12_REV,0.23058498923624396
KOSDAQ,TRAIN,FOREIGN_FLOW,OPFY1_REV,0.17219959300256357
KOSDAQ,TRAIN,FOREIGN_FLOW,PBR12MF,0.0030306905041744426
KOSDAQ,TRAIN,FOREIGN_FLOW,PER12MF,-0.04702125390129163
KOSDAQ,TRAIN,FOREIGN_FLOW,PRIVATE_FLOW,-0.02212852078915699
KOSDAQ,TRAIN,MOM12_1,FOREIGN_FLOW,0.04355533075493174
KOSDAQ,TRAIN,MOM12_1,MOM12_1,1.0
KOSDAQ,TRAIN,MOM12_1,MOM1M,0.023995893665242782
KOSDAQ,TRAIN,MOM12_1,OP12_REV,0.2108441808023025
KOSDAQ,TRAIN,MOM12_1,OPFY1_REV,0.21320153421234753
KOSDAQ,TRAIN,MOM12_1,PBR12MF,-0.298073881431123
KOSDAQ,TRAIN,MOM12_1,PER12MF,-0.09364141393153397
KOSDAQ,TRAIN,MOM12_1,PRIVATE_FLOW,-0.01503988027441479
KOSDAQ,TRAIN,MOM1M,FOREIGN_FLOW,0.14667135574252946
KOSDAQ,TRAIN,MOM1M,MOM12_1,0.023995893665242782
KOSDAQ,TRAIN,MOM1M,MOM1M,1.0
KOSDAQ,TRAIN,MOM1M,OP12_REV,0.10962667960144948
KOSDAQ,TRAIN,MOM1M,OPFY1_REV,0.12544461454933914
KOSDAQ,TRAIN,MOM1M,PBR12MF,-0.10957204842768671
KOSDAQ,TRAIN,MOM1M,PER12MF,-0.008550804540419578
KOSDAQ,TRAIN,MOM1M,PRIVATE_FLOW,0.15905142727900032
KOSDAQ,TRAIN,OP12_REV,FOREIGN_FLOW,0.23058498923624396
KOSDAQ,TRAIN,OP12_REV,MOM12_1,0.2108441808023025
KOSDAQ,TRAIN,OP12_REV,MOM1M,0.10962667960144948
KOSDAQ,TRAIN,OP12_REV,OP12_REV,1.0
KOSDAQ,TRAIN,OP12_REV,OPFY1_REV,0.621882598881127
KOSDAQ,TRAIN,OP12_REV,PBR12MF,-0.17819096305555387
KOSDAQ,TRAIN,OP12_REV,PER12MF,-0.11126735292040502
KOSDAQ,TRAIN,OP12_REV,PRIVATE_FLOW,-0.05170499726828638
KOSDAQ,TRAIN,OPFY1_REV,FOREIGN_FLOW,0.17219959300256357
KOSDAQ,TRAIN,OPFY1_REV,MOM12_1,0.21320153421234753
KOSDAQ,TRAIN,OPFY1_REV,MOM1M,0.12544461454933914
KOSDAQ,TRAIN,OPFY1_REV,OP12_REV,0.621882598881127
KOSDAQ,TRAIN,OPFY1_REV,OPFY1_REV,1.0
KOSDAQ,TRAIN,OPFY1_REV,PBR12MF,-0.10362358535401121
KOSDAQ,TRAIN,OPFY1_REV,PER12MF,0.030076850217461048
KOSDAQ,TRAIN,OPFY1_REV,PRIVATE_FLOW,-0.003614611176237517
KOSDAQ,TRAIN,PBR12MF,FOREIGN_FLOW,0.0030306905041744426
KOSDAQ,TRAIN,PBR12MF,MOM12_1,-0.298073881431123
KOSDAQ,TRAIN,PBR12MF,MOM1M,-0.10957204842768671
KOSDAQ,TRAIN,PBR12MF,OP12_REV,-0.17819096305555387
KOSDAQ,TRAIN,PBR12MF,OPFY1_REV,-0.10362358535401121
KOSDAQ,TRAIN,PBR12MF,PBR12MF,1.0
KOSDAQ,TRAIN,PBR12MF,PER12MF,0.591812754064425
KOSDAQ,TRAIN,PBR12MF,PRIVATE_FLOW,0.1608285466912364
KOSDAQ,TRAIN,PER12MF,FOREIGN_FLOW,-0.04702125390129163
KOSDAQ,TRAIN,PER12MF,MOM12_1,-0.09364141393153397
KOSDAQ,TRAIN,PER12MF,MOM1M,-0.008550804540419578
KOSDAQ,TRAIN,PER12MF,OP12_REV,-0.11126735292040502
KOSDAQ,TRAIN,PER12MF,OPFY1_REV,0.030076850217461048
KOSDAQ,TRAIN,PER12MF,PBR12MF,0.591812754064425
KOSDAQ,TRAIN,PER12MF,PER12MF,1.0
KOSDAQ,TRAIN,PER12MF,PRIVATE_FLOW,0.2304136379148481
