sample,factor_universe,market_target,horizon,state,state_bin,train_q1,train_q2,n,mean_fwd_return,median_fwd_return,positive_market_share,mean_tstat
TRAIN,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,20,MKT_ACT5_BREADTH,MID,0.29645886785474884,0.3936731107205624,105,0.0020607544599232806,0.009631219740709582,0.580952380952381,0.4131415774797312
TRAIN,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,20,MKT_ACT5_BREADTH,HIGH,0.29645886785474884,0.3936731107205624,108,0.001762639405855881,0.0024945299619580147,0.5370370370370371,0.3356000576659255
OOS,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,20,MKT_ACT5_BREADTH,LOW,0.29645886785474884,0.3936731107205624,58,0.009401957330088586,0.014151082341366729,0.5689655172413793,0.7140917609721823
OOS,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,20,MKT_ACT5_BREADTH,MID,0.29645886785474884,0.3936731107205624,58,0.02830952342015832,0.030951250434570976,0.6896551724137931,3.0320698472978895
OOS,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,20,MKT_ACT5_BREADTH,HIGH,0.29645886785474884,0.3936731107205624,55,0.037186795699047745,0.026985477639326103,0.6545454545454545,3.5977606850400394
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,MKT_ACT5_BREADTH,LOW,0.29645886785474884,0.3936731107205624,107,-0.001303809091715474,0.0001568222109855519,0.5420560747663551,-1.165322386802512
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,MKT_ACT5_BREADTH,MID,0.29645886785474884,0.3936731107205624,105,-0.0006532510087709955,9.611410146289497e-05,0.5142857142857142,-0.6306900795042012
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,MKT_ACT5_BREADTH,HIGH,0.29645886785474884,0.3936731107205624,108,0.0020225931132324044,0.0016965650656096298,0.5740740740740741,1.5214047815075011
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,MKT_ACT5_BREADTH,LOW,0.29645886785474884,0.3936731107205624,61,0.0011218156310420775,0.001086515728471047,0.5245901639344263,0.39370030282115054
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,MKT_ACT5_BREADTH,MID,0.29645886785474884,0.3936731107205624,58,0.001645131511687702,0.003655052614699566,0.6379310344827587,0.990393798332626
OOS,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,MKT_ACT5_BREADTH,HIGH,0.29645886785474884,0.3936731107205624,55,-0.0017407352456750174,0.0056501766537051835,0.5272727272727272,-0.5095740372350054
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,MKT_ACT5_BREADTH,LOW,0.29645886785474884,0.3936731107205624,107,-0.0014151668234041038,0.00024759952613929726,0.5046728971962616,-0.45578249450149316
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,MKT_ACT5_BREADTH,MID,0.29645886785474884,0.3936731107205624,105,-0.004479902444833292,0.0003667858015734301,0.5142857142857142,-1.5480579312800302
TRAIN,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,MKT_ACT5_BREADTH,HIGH,0.29645886785474884,0.3936731107205624,108,0.005002779611406422,0.006466349764525632,0.6203703703703703,1.4620914084075802
