sample,factor_universe,market_target,horizon,state,state_bin,train_q1,train_q2,n,mean_fwd_return,median_fwd_return,positive_market_share,mean_tstat
OOS,K200,K200,1,ABS_BREADTH_4P,LOW,0.25,0.875,54,0.0026359235071333554,0.0033505736326648614,0.5925925925925926,0.728425502787835
OOS,K200,K200,1,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.00025241235242496734,-0.0010605959068868687,0.4523809523809524,-0.08601834218352093
OOS,K200,K200,1,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.0018147333677509315,0.003797962886149628,0.5949367088607594,0.7489576390472037
TRAIN,K200,K200,5,ABS_BREADTH_4P,LOW,0.25,0.875,116,-0.0003560538578667397,0.002762572124246617,0.5689655172413793,-0.13539654507638857
TRAIN,K200,K200,5,ABS_BREADTH_4P,MID,0.25,0.875,74,0.0010624985866974012,0.0007413886595804295,0.5135135135135135,0.46971077811010564
TRAIN,K200,K200,5,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0016106873063373038,0.0021314028793933673,0.5774647887323944,0.8313250147593215
OOS,K200,K200,5,ABS_BREADTH_4P,LOW,0.25,0.875,53,0.005779105664553286,0.0067788051425201855,0.6226415094339622,0.9436353860348471
OOS,K200,K200,5,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.002645525517226791,0.0055130507094918275,0.5238095238095238,-0.4063617167699052
OOS,K200,K200,5,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.01277521805058058,0.0059987906750372565,0.6329113924050633,3.4106581303474863
TRAIN,K200,K200,20,ABS_BREADTH_4P,LOW,0.25,0.875,116,0.0026295146108589827,0.010061966633491525,0.5775862068965517,0.47545305001656746
TRAIN,K200,K200,20,ABS_BREADTH_4P,MID,0.25,0.875,74,0.00786416079390723,0.008137492799132395,0.6216216216216216,1.871612779075462
TRAIN,K200,K200,20,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.002267685149963249,0.0018242023133154444,0.5070422535211268,0.5236650761811317
OOS,K200,K200,20,ABS_BREADTH_4P,LOW,0.25,0.875,50,0.0186070446087431,0.02338132505470553,0.66,1.3546055980136509
OOS,K200,K200,20,ABS_BREADTH_4P,MID,0.25,0.875,42,0.01352254566436875,0.00974870465281971,0.6190476190476191,1.1582273099221632
OOS,K200,K200,20,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.04338268612255991,0.027105863810078134,0.6455696202531646,4.132426418781344
TRAIN,K200,KOSPI_EX_K200,1,ABS_BREADTH_4P,LOW,0.25,0.875,116,0.000762169368962113,0.001445382194090903,0.5344827586206896,0.5901139504529528
TRAIN,K200,KOSPI_EX_K200,1,ABS_BREADTH_4P,MID,0.25,0.875,74,-0.00027062053109574795,0.0004978268487809413,0.527027027027027,-0.2660506884388774
TRAIN,K200,KOSPI_EX_K200,1,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0005954622759135961,0.0008758830379148834,0.5563380281690141,0.7071916193907926
OOS,K200,KOSPI_EX_K200,1,ABS_BREADTH_4P,LOW,0.25,0.875,54,0.001811897926732738,0.003489935156701246,0.5555555555555556,0.6799922157045608
OOS,K200,KOSPI_EX_K200,1,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.0025631943690227884,-0.001129455764390952,0.5,-1.2673932563166155
OOS,K200,KOSPI_EX_K200,1,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.0008451498562967163,0.003650639707405072,0.6075949367088608,0.43775053654161494
TRAIN,K200,KOSPI_EX_K200,5,ABS_BREADTH_4P,LOW,0.25,0.875,116,-0.0030461120096750586,0.0015909868871648097,0.5172413793103449,-0.7843213828144785
TRAIN,K200,KOSPI_EX_K200,5,ABS_BREADTH_4P,MID,0.25,0.875,74,0.001985677228236682,0.0005989965578526023,0.5,0.7044258942832283
TRAIN,K200,KOSPI_EX_K200,5,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0024206390822896794,0.006112764344332948,0.5633802816901409,1.1936761781153475
OOS,K200,KOSPI_EX_K200,5,ABS_BREADTH_4P,LOW,0.25,0.875,53,0.002204123969458306,0.0032006817673987165,0.5471698113207547,0.4432502217463862
OOS,K200,KOSPI_EX_K200,5,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.0012923693013556445,0.004528456258144708,0.5476190476190477,-0.3044129445095551
OOS,K200,KOSPI_EX_K200,5,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.005272025446409305,0.004144073589863655,0.569620253164557,1.6525548292905727
TRAIN,K200,KOSPI_EX_K200,20,ABS_BREADTH_4P,LOW,0.25,0.875,116,-0.005459751614873896,-0.0031088077335838303,0.4827586206896552,-0.698840359960017
TRAIN,K200,KOSPI_EX_K200,20,ABS_BREADTH_4P,MID,0.25,0.875,74,0.006519648929424673,0.006199415807787092,0.5540540540540541,1.2915326397117768
TRAIN,K200,KOSPI_EX_K200,20,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.00638467161065293,0.008186051606676287,0.5774647887323944,1.38160215124222
OOS,K200,KOSPI_EX_K200,20,ABS_BREADTH_4P,LOW,0.25,0.875,50,0.020337107037238737,0.025187493779148334,0.64,2.11816651855674
OOS,K200,KOSPI_EX_K200,20,ABS_BREADTH_4P,MID,0.25,0.875,42,0.0006256534175320613,0.0037433440998248645,0.5952380952380952,0.09547787849738384
OOS,K200,KOSPI_EX_K200,20,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.008969613792393494,0.005624956296384155,0.5316455696202531,1.2149230532935715
TRAIN,K200,KOSPI_ALL,1,ABS_BREADTH_4P,LOW,0.25,0.875,116,-0.0005702039166657378,0.00018433418536144928,0.5172413793103449,-0.5101559611036115
TRAIN,K200,KOSPI_ALL,1,ABS_BREADTH_4P,MID,0.25,0.875,74,-8.801349923701398e-05,-0.0001903440542158807,0.4864864864864865,-0.09152836654804758
TRAIN,K200,KOSPI_ALL,1,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0005897495123556332,0.00037341429909706436,0.5422535211267606,0.6482176186314106
OOS,K200,KOSPI_ALL,1,ABS_BREADTH_4P,LOW,0.25,0.875,54,0.0026062652403469493,0.0029419467434958478,0.5925925925925926,0.7306259403698556
OOS,K200,KOSPI_ALL,1,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.0004000199237475452,-0.0013404032312751527,0.4523809523809524,-0.14011165743743
OOS,K200,KOSPI_ALL,1,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.0017181760760163795,0.003925664875553737,0.620253164556962,0.7217949930822309
TRAIN,K200,KOSPI_ALL,5,ABS_BREADTH_4P,LOW,0.25,0.875,116,-0.0006663150727725397,0.003729673314231928,0.5603448275862069,-0.2494307306283613
TRAIN,K200,KOSPI_ALL,5,ABS_BREADTH_4P,MID,0.25,0.875,74,0.0011364920326629852,0.00017688097323225753,0.5,0.5040057348370911
TRAIN,K200,KOSPI_ALL,5,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0016612403132516195,0.002350111585366578,0.5774647887323944,0.8744724331439606
OOS,K200,KOSPI_ALL,5,ABS_BREADTH_4P,LOW,0.25,0.875,53,0.005525785247500624,0.008265776064619226,0.6037735849056604,0.9184967804937789
OOS,K200,KOSPI_ALL,5,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.0026117061439226647,0.005760457935802337,0.5238095238095238,-0.4114793271441624
OOS,K200,KOSPI_ALL,5,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.012366044319484312,0.00627157747253135,0.5949367088607594,3.396090018263965
TRAIN,K200,KOSPI_ALL,20,ABS_BREADTH_4P,LOW,0.25,0.875,116,0.0016508005652944298,0.0073659493276907835,0.5689655172413793,0.29193651270859566
TRAIN,K200,KOSPI_ALL,20,ABS_BREADTH_4P,MID,0.25,0.875,74,0.00764912517517259,0.009045157779111423,0.6216216216216216,1.8398815881350188
TRAIN,K200,KOSPI_ALL,20,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0026024728007105658,0.0024986027790201834,0.5211267605633803,0.611666764468025
OOS,K200,KOSPI_ALL,20,ABS_BREADTH_4P,LOW,0.25,0.875,50,0.018554606460976567,0.023996955530326474,0.66,1.3736655329833163
OOS,K200,KOSPI_ALL,20,ABS_BREADTH_4P,MID,0.25,0.875,42,0.012722611438547976,0.010529359801685564,0.6190476190476191,1.1344098090817032
OOS,K200,KOSPI_ALL,20,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.04133435657940207,0.026472432208532938,0.6329113924050633,4.089788098642101
TRAIN,K200,KOSDAQ,1,ABS_BREADTH_4P,LOW,0.25,0.875,116,0.0010801131570983577,0.0023761938225592104,0.5431034482758621,0.699753229802851
TRAIN,K200,KOSDAQ,1,ABS_BREADTH_4P,MID,0.25,0.875,74,-0.0005009850074259168,0.0021707441757167767,0.5945945945945946,-0.3809636991035812
TRAIN,K200,KOSDAQ,1,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.00013009708409528648,-0.0008220198758600561,0.4647887323943662,0.12771446229480296
OOS,K200,KOSDAQ,1,ABS_BREADTH_4P,LOW,0.25,0.875,54,0.001918119327088878,0.0005129152713698195,0.5185185185185185,0.5369186548524416
OOS,K200,KOSDAQ,1,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.001134541293548286,0.00016277288134291113,0.5,-0.44397950539075276
OOS,K200,KOSDAQ,1,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.000754994680330475,0.003409868177825764,0.6708860759493671,0.2898481249254582
TRAIN,K200,KOSDAQ,5,ABS_BREADTH_4P,LOW,0.25,0.875,116,0.0003667885233413416,0.0073020446165515205,0.5862068965517241,0.0871708706833889
TRAIN,K200,KOSDAQ,5,ABS_BREADTH_4P,MID,0.25,0.875,74,-0.0002765513987394044,-0.00478090163448263,0.47297297297297297,-0.08493021343972934
TRAIN,K200,KOSDAQ,5,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0016449000919955485,0.0044810066647311955,0.5845070422535211,0.6431430391624074
OOS,K200,KOSDAQ,5,ABS_BREADTH_4P,LOW,0.25,0.875,53,0.0001543321963579372,-0.005335534629154087,0.4716981132075472,0.022430167877637523
OOS,K200,KOSDAQ,5,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.0019293554146369639,0.0009455007707572799,0.5238095238095238,-0.33506924031017365
OOS,K200,KOSDAQ,5,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.004377138910219314,0.005458520430455456,0.569620253164557,1.1099725579256698
TRAIN,K200,KOSDAQ,20,ABS_BREADTH_4P,LOW,0.25,0.875,116,0.003426285476085392,0.006093472496555633,0.5344827586206896,0.4336612707743458
TRAIN,K200,KOSDAQ,20,ABS_BREADTH_4P,MID,0.25,0.875,74,0.007053381286017854,0.006297460163245077,0.5135135135135135,1.0626486948098
TRAIN,K200,KOSDAQ,20,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0016586963445309947,0.0026343951540255314,0.5422535211267606,0.3028539129917459
OOS,K200,KOSDAQ,20,ABS_BREADTH_4P,LOW,0.25,0.875,50,0.009659262252277341,0.015064122508870448,0.64,0.7062109804612234
OOS,K200,KOSDAQ,20,ABS_BREADTH_4P,MID,0.25,0.875,42,0.002843659897020933,0.0024188574084484135,0.5476190476190477,0.2715731137957694
OOS,K200,KOSDAQ,20,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.002774578122088383,0.011353944469413856,0.569620253164557,0.34430179094884417
TRAIN,K200,KOSPI_KOSDAQ_ALL,1,ABS_BREADTH_4P,LOW,0.25,0.875,116,-0.00034594332835729245,0.0005570891203820184,0.5344827586206896,-0.30114463331045094
TRAIN,K200,KOSPI_KOSDAQ_ALL,1,ABS_BREADTH_4P,MID,0.25,0.875,74,-0.00014528681794010885,-0.00012732624939500967,0.5,-0.15171867809835465
TRAIN,K200,KOSPI_KOSDAQ_ALL,1,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0005153732989721903,0.0002986270691205811,0.5352112676056338,0.5807187644899663
OOS,K200,KOSPI_KOSDAQ_ALL,1,ABS_BREADTH_4P,LOW,0.25,0.875,54,0.0026374270825800777,0.0025819658027756488,0.5555555555555556,0.742986832007905
OOS,K200,KOSPI_KOSDAQ_ALL,1,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.00045756522551255346,-0.00018893927017671534,0.47619047619047616,-0.16577972716204145
OOS,K200,KOSPI_KOSDAQ_ALL,1,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.0015482036121215745,0.0039919259868467965,0.6075949367088608,0.6502806185704562
TRAIN,K200,KOSPI_KOSDAQ_ALL,5,ABS_BREADTH_4P,LOW,0.25,0.875,116,-0.0005589772469565229,0.005852262064353204,0.5862068965517241,-0.1975256599615408
TRAIN,K200,KOSPI_KOSDAQ_ALL,5,ABS_BREADTH_4P,MID,0.25,0.875,74,0.0009342596491919415,0.0009915917919639133,0.5405405405405406,0.4103896292861279
TRAIN,K200,KOSPI_KOSDAQ_ALL,5,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0016366694395934512,0.0032869094994016626,0.5985915492957746,0.8597916959123968
OOS,K200,KOSPI_KOSDAQ_ALL,5,ABS_BREADTH_4P,LOW,0.25,0.875,53,0.00488499235524871,0.008093236613889812,0.5849056603773585,0.8174651752112021
OOS,K200,KOSPI_KOSDAQ_ALL,5,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.0026078878369192237,0.0061883074675728525,0.5476190476190477,-0.4221283970246043
OOS,K200,KOSPI_KOSDAQ_ALL,5,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.011377764141574532,0.007366223189769858,0.5822784810126582,3.256906333028465
TRAIN,K200,KOSPI_KOSDAQ_ALL,20,ABS_BREADTH_4P,LOW,0.25,0.875,116,0.0018354149120840403,0.008286832847407437,0.5603448275862069,0.313065461240535
TRAIN,K200,KOSPI_KOSDAQ_ALL,20,ABS_BREADTH_4P,MID,0.25,0.875,74,0.007541035453353879,0.01082809244157758,0.6216216216216216,1.7690252287781059
TRAIN,K200,KOSPI_KOSDAQ_ALL,20,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0023565674109665355,0.003027653180607808,0.5352112676056338,0.5506622458751204
OOS,K200,KOSPI_KOSDAQ_ALL,20,ABS_BREADTH_4P,LOW,0.25,0.875,50,0.017300851205797073,0.026390967887881988,0.64,1.293485287279404
OOS,K200,KOSPI_KOSDAQ_ALL,20,ABS_BREADTH_4P,MID,0.25,0.875,42,0.011375704149079804,0.012238036202049152,0.5952380952380952,1.054279672811691
OOS,K200,KOSPI_KOSDAQ_ALL,20,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.03657870268874356,0.025126544602578436,0.6582278481012658,3.902485453658554
TRAIN,K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,ABS_BREADTH_4P,LOW,0.25,0.875,116,0.0009731459792929886,0.001732911516660478,0.5948275862068966,0.6864812721212113
TRAIN,K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,ABS_BREADTH_4P,MID,0.25,0.875,74,-0.0004507876202538476,0.0007162211388132354,0.5675675675675675,-0.38614263241230534
TRAIN,K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0002613160273282593,1.3082295894309976e-05,0.5070422535211268,0.2841318067341066
OOS,K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,ABS_BREADTH_4P,LOW,0.25,0.875,54,0.0018679671648817065,0.0003512558020558427,0.5,0.5743144392242738
OOS,K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.001589630768322626,0.00027673477404604763,0.5,-0.6811626180896114
OOS,K200,KOSDAQ_PLUS_KOSPI_EX_K200,1,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.0007617929339329493,0.004340045160841961,0.6455696202531646,0.3215457295079449
TRAIN,K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,ABS_BREADTH_4P,LOW,0.25,0.875,116,-0.0009602613415776458,0.0051439587349503685,0.5689655172413793,-0.24004853346984872
TRAIN,K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,ABS_BREADTH_4P,MID,0.25,0.875,74,0.0005135967090732291,-0.0011186924591231986,0.4864864864864865,0.1717421544081406
TRAIN,K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.0018291217885445974,0.004520555063369595,0.5845070422535211,0.7991163329946607
OOS,K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,ABS_BREADTH_4P,LOW,0.25,0.875,53,0.000687446491428985,-0.00030162809074076144,0.49056603773584906,0.11158493239523565
OOS,K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,ABS_BREADTH_4P,MID,0.25,0.875,42,-0.0018167731793628512,0.003710861399499263,0.5952380952380952,-0.35205367667619286
OOS,K200,KOSDAQ_PLUS_KOSPI_EX_K200,5,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.004656250115539449,0.003896089975588023,0.5569620253164557,1.3292072801363708
TRAIN,K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,ABS_BREADTH_4P,LOW,0.25,0.875,116,-0.00019469448742367952,0.0014596932007253098,0.5086206896551724,-0.025133924246808305
TRAIN,K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,ABS_BREADTH_4P,MID,0.25,0.875,74,0.00673110922760433,0.004505702849400675,0.5540540540540541,1.1533174995567446
TRAIN,K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,ABS_BREADTH_4P,HIGH,0.25,0.875,142,0.003084892828610897,0.0037950554664053474,0.528169014084507,0.615642520158575
OOS,K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,ABS_BREADTH_4P,LOW,0.25,0.875,50,0.01267572473213386,0.02104009478592165,0.64,1.0330121065035363
OOS,K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,ABS_BREADTH_4P,MID,0.25,0.875,42,0.0020011697000908244,0.002985721108153214,0.5238095238095238,0.2231152971773805
OOS,K200,KOSDAQ_PLUS_KOSPI_EX_K200,20,ABS_BREADTH_4P,HIGH,0.25,0.875,79,0.004658757222902352,0.011229735102685644,0.5443037974683544,0.6075782045472191
TRAIN,K200,K200,1,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,111,0.0010334579428252551,0.0013231929904423947,0.5855855855855856,0.7582949729215257
TRAIN,K200,K200,1,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,110,1.979827369728636e-05,0.0004403523400946505,0.5272727272727272,0.023559151830526037
TRAIN,K200,K200,1,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,111,-0.001083322629214875,-0.000630834144031457,0.4594594594594595,-1.288952664954289
OOS,K200,K200,1,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,39,0.0072148585200262965,0.0042677467270655755,0.6153846153846154,1.35999107175894
OOS,K200,K200,1,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,51,-0.003417071799464981,-0.0010167505469476361,0.49019607843137253,-0.9465181616434998
OOS,K200,K200,1,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,85,0.001976396072086642,0.0031169120787593084,0.5764705882352941,1.5767379946613436
TRAIN,K200,K200,5,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,111,0.0025778372501440022,0.003958364545965893,0.5945945945945946,0.9932738513820277
TRAIN,K200,K200,5,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,110,0.001061756086880831,0.002762572124246617,0.6090909090909091,0.45838222430588843
TRAIN,K200,K200,5,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,111,-0.0012332689992784925,-0.0006425713363165348,0.4774774774774775,-0.6225423537143574
OOS,K200,K200,5,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,38,0.009116752313927324,0.004708101960431941,0.5526315789473685,0.8684688609981356
OOS,K200,K200,5,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,51,-0.00044515179296286705,-0.0009931826561471473,0.49019607843137253,-0.0905053523406305
OOS,K200,K200,5,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,85,0.010361045976535676,0.009184843472909448,0.6941176470588235,3.9613573248304057
TRAIN,K200,K200,20,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,111,0.0075224593307532716,0.010530920668587834,0.5585585585585585,1.219668069162483
TRAIN,K200,K200,20,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,110,-0.00023602791100891556,0.0020273882146754204,0.5272727272727272,-0.0626938593486929
TRAIN,K200,K200,20,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,111,0.003603179904512847,0.008679628015029946,0.5855855855855856,0.8079465718532557
OOS,K200,K200,20,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,35,0.03799584661356052,0.022538019120816887,0.6,1.4062764053356855
OOS,K200,K200,20,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,51,0.017434739888687812,0.007911102158454687,0.5490196078431373,1.7592311748408733
OOS,K200,K200,20,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,85,0.031841235132060934,0.029792480292688512,0.7176470588235294,5.0991544266064395
TRAIN,K200,KOSPI_EX_K200,1,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,111,0.00144411207482547,0.0021417477746396222,0.5765765765765766,1.1228690297415957
TRAIN,K200,KOSPI_EX_K200,1,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,110,0.0003775190833550702,0.0009311919194004753,0.5545454545454546,0.39804657384576553
TRAIN,K200,KOSPI_EX_K200,1,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,111,-0.00044037989906697817,-0.0002215809239361014,0.4954954954954955,-0.4658612490962379
OOS,K200,KOSPI_EX_K200,1,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,39,0.002429320367584948,0.0036017075813691243,0.5897435897435898,0.7662683880878783
OOS,K200,KOSPI_EX_K200,1,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,51,-0.003353955978569188,2.3338858983589806e-05,0.5098039215686274,-1.0325004459235005
OOS,K200,KOSPI_EX_K200,1,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,85,0.0015678049854501992,0.002313266114153444,0.5882352941176471,1.4787449772099048
TRAIN,K200,KOSPI_EX_K200,5,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,111,0.0030545036514051513,0.006915033803498939,0.5675675675675675,0.8484978349536854
TRAIN,K200,KOSPI_EX_K200,5,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,110,0.0006936557272615869,0.005024951339283757,0.5454545454545454,0.24083771078928057
TRAIN,K200,KOSPI_EX_K200,5,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,111,-0.002504776250922557,-0.00021229250560069284,0.4864864864864865,-1.0521697723493164
OOS,K200,KOSPI_EX_K200,5,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,38,0.001514099765836982,0.0007445732931948493,0.5,0.21692617335145123
OOS,K200,KOSPI_EX_K200,5,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,51,-0.005207005892407085,-0.006665090998690342,0.4117647058823529,-1.3689281987446553
OOS,K200,KOSPI_EX_K200,5,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,85,0.00808294799296052,0.007238889213421476,0.6705882352941176,2.994896301703382
TRAIN,K200,KOSPI_EX_K200,20,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,111,0.010783668336316946,0.009239087876970328,0.5855855855855856,1.2953426894858089
TRAIN,K200,KOSPI_EX_K200,20,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,110,-0.002120770600512786,-0.0016008922481967227,0.4909090909090909,-0.47589323402601
TRAIN,K200,KOSPI_EX_K200,20,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,111,-0.001873479433423463,0.006093097242869812,0.5405405405405406,-0.38196952111410215
OOS,K200,KOSPI_EX_K200,20,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,35,-0.003468374806578036,-0.0018912984071661762,0.45714285714285713,-0.2659220664914709
OOS,K200,KOSPI_EX_K200,20,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,51,0.001155237567407159,-0.009909059660774761,0.49019607843137253,0.1248992259188257
OOS,K200,KOSPI_EX_K200,20,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,85,0.021343626909292184,0.02254132920560334,0.6823529411764706,4.003685620252081
TRAIN,K200,KOSPI_ALL,1,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,111,0.0010718195704540472,0.0007576832557075082,0.6036036036036037,0.8054178393577675
TRAIN,K200,KOSPI_ALL,1,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,110,5.642074245344027e-05,0.00011772068660325117,0.509090909090909,0.06863071249917459
TRAIN,K200,KOSPI_ALL,1,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,111,-0.001027842130743625,-0.0008875436107010673,0.45045045045045046,-1.2429502210019934
OOS,K200,KOSPI_ALL,1,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,39,0.006954265551197715,0.0045754092659613735,0.6153846153846154,1.3371605019329473
OOS,K200,KOSPI_ALL,1,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,51,-0.0034574890034126506,-0.0015483736752826829,0.49019607843137253,-0.9683967713807647
OOS,K200,KOSPI_ALL,1,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,85,0.0019386938689878433,0.00329631275789665,0.6,1.5932697906816644
TRAIN,K200,KOSPI_ALL,5,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,111,0.002573263887154759,0.004204662410714727,0.5945945945945946,0.9867348714573058
TRAIN,K200,KOSPI_ALL,5,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,110,0.0009936909126944283,0.003067932914752898,0.5909090909090909,0.4280068183441921
TRAIN,K200,KOSPI_ALL,5,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,111,-0.00137148022894945,-0.00043264801870132114,0.4774774774774775,-0.7009837214307496
OOS,K200,KOSPI_ALL,5,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,38,0.008674009069829935,0.004899062823250899,0.5263157894736842,0.8457906950972665
OOS,K200,KOSPI_ALL,5,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,51,-0.0006884807012572312,-0.0014457253410683915,0.47058823529411764,-0.14377539393311398
OOS,K200,KOSPI_ALL,5,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,85,0.010183442734383801,0.010027681435495405,0.6705882352941176,3.9792731696633035
TRAIN,K200,KOSPI_ALL,20,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,111,0.007628534040581543,0.009693433924988637,0.5855855855855856,1.2209348854039836
TRAIN,K200,KOSPI_ALL,20,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,110,-0.0005219501356118176,0.0012554722656331042,0.5181818181818182,-0.140090947206191
TRAIN,K200,KOSPI_ALL,20,AVG_CORR_12P,HIGH,0.0355262718210099,0.12900827672887813,111,0.003042581104960128,0.009160270801329968,0.5765765765765766,0.6900833914974814
OOS,K200,KOSPI_ALL,20,AVG_CORR_12P,LOW,0.0355262718210099,0.12900827672887813,35,0.03541569393272834,0.021406816045192074,0.6,1.3529861277514497
OOS,K200,KOSPI_ALL,20,AVG_CORR_12P,MID,0.0355262718210099,0.12900827672887813,51,0.01676734184411382,0.007724726159410893,0.5294117647058824,1.735212627010593
