date,universe,leader_factor,LS_BREADTH_1P,LS_BREADTH_4P,ABS_BREADTH_1P,ABS_BREADTH_4P,AVG_CORR_12P,AVG_CORR_24P,DISPERSION_LS_4P,LEADER_STRENGTH_12P,LEADER_CORRECTION_1P,OTHERS_LS_BREADTH_4P,OTHERS_ABS_BREADTH_1P,OTHERS_ABS_BREADTH_4P,ORTHOGONAL_ABS_BREADTH_1P,n_orthogonal,MKT_ACT5_BREADTH,MKT_ACT1_BREADTH,KOSDAQ_TA_SHARE,FACTOR_TOP_ACT5_BREADTH_MEAN
2017-07-12,KOSDAQ,OPFY1_REV,0.75,0.75,0.0,0.125,0.18045186333922095,0.18924687864488554,0.048750266849186485,0.1488060021962757,0.027609604336088386,0.7142857142857143,0.0,0.0,0.0,4,0.22327341532639547,0.2336802270577105,0.34131334937504554,0.30000000000000004
2017-07-19,KOSDAQ,OPFY1_REV,0.5,0.5,0.875,0.5,0.15077696044765662,0.17991426165389932,0.06259274931190459,0.16421891723718574,0.01876608974100486,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.8,5,0.3166351606805293,0.31947069943289225,0.37364780358751304,0.61875
2017-07-26,KOSDAQ,OPFY1_REV,0.5,0.5,0.5,0.5,0.16359663305815417,0.16070261149866308,0.047382483528598196,0.1662018743803318,0.008706282267606478,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.3333333333333333,6,0.40415486307837584,0.3408876298394712,0.321999466584689,0.59375
2017-08-02,KOSDAQ,MOM12_1,0.625,0.5,0.375,0.5,0.20162354818695713,0.12193115429703835,0.03843286446595221,0.14375810693249513,0.004546930235300746,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,2,0.2855796418473139,0.20358152686145145,0.31850373856284386,0.49374999999999997
2017-08-09,KOSDAQ,OPFY1_REV,0.5,0.625,0.0,0.5,0.13024121775022682,0.12244671356252311,0.027385069606622427,0.10660390213289761,0.00591035808375933,0.5714285714285714,0.0,0.42857142857142855,0.0,5,0.22932330827067668,0.24060150375939848,0.3782429901925159,0.3375
2017-08-17,KOSDAQ,OPFY1_REV,0.625,0.5,0.875,0.25,-0.029134014984108787,0.1078620949067599,0.023941404159997362,0.14064441242678882,0.022441433877383326,0.42857142857142855,0.8571428571428571,0.2857142857142857,0.8333333333333334,6,0.34709193245778613,0.2570356472795497,0.33514077719205365,0.51875
2017-08-24,KOSDAQ,OP12_REV,0.75,0.75,0.75,0.375,-0.03951167665570935,0.10145883495158078,0.02951941551795892,0.1737612381638265,0.04100251672978941,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.6,5,0.25749063670411987,0.2649812734082397,0.346472960054884,0.4875
2017-08-31,KOSDAQ,OP12_REV,0.375,0.625,0.875,0.625,-0.07644689299503442,0.14313909413663595,0.04476876239953065,0.1367576362134108,0.015115179646149144,0.5714285714285714,0.8571428571428571,0.5714285714285714,0.8,5,0.3498596819457437,0.304022450888681,0.33593142416044436,0.43125
2017-09-07,KOSDAQ,OP12_REV,0.375,0.5,0.5,0.875,-0.04704311357298222,0.14560953843400748,0.05922259384419684,0.1595555640896793,1.6401187189313618e-05,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.4,5,0.42149532710280374,0.3205607476635514,0.380570179364069,0.44375000000000003
2017-09-14,KOSDAQ,OP12_REV,0.75,0.5,0.875,0.875,0.017079082236282107,0.15594354483410208,0.0763969806774604,0.20727835718744708,0.05880380529308016,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.6666666666666666,3,0.44911297852474324,0.3566760037348273,0.3474296547613371,0.675
