date,universe,MKT_RET_20D,MKT_RET_60D,MKT_VOL_20D,MKT_DD_60D,LIQ_5D_20D,LIQ_1D_20D,RELATIVE_WORKING_BREADTH,ABS_CONFIRMED_BREADTH,DEFENSIVE_WORKING_BREADTH,REVERSE_BREADTH,BEARISH_REVERSE_BREADTH,POSITIVE_ABS_BREADTH,WPLUS_FAMILY_SHARE,WMINUS_FAMILY_SHARE,RMINUS_FAMILY_SHARE,WPLUS_PAIR_SHARE,CONFLICT_PAIR_SHARE,LEADER_STRENGTH_60D,SPREAD_DISPERSION_20D,FAMILY_MEMBER_AGREEMENT,FLOW_top_20d,FLOW_spread_20d,FLOW_top_60d,FLOW_spread_60d,FLOW_member_positive_spread_share_20d,FLOW_member_same_sign_20d,FLOW_top_fwd_5d,FLOW_top_fwd_20d,FLOW_state6,MOMENTUM_top_20d,MOMENTUM_spread_20d,MOMENTUM_top_60d,MOMENTUM_spread_60d,MOMENTUM_member_positive_spread_share_20d,MOMENTUM_member_same_sign_20d,MOMENTUM_top_fwd_5d,MOMENTUM_top_fwd_20d,MOMENTUM_state6,REVISION_top_20d,REVISION_spread_20d,REVISION_top_60d,REVISION_spread_60d,REVISION_member_positive_spread_share_20d,REVISION_member_same_sign_20d,REVISION_top_fwd_5d,REVISION_top_fwd_20d,REVISION_state6,VALUE_top_20d,VALUE_spread_20d,VALUE_top_60d,VALUE_spread_60d,VALUE_member_positive_spread_share_20d,VALUE_member_same_sign_20d,VALUE_top_fwd_5d,VALUE_top_fwd_20d,VALUE_state6,MKT_FWD_5D,MKT_FWD_20D,EW4_fwd5,EW4_fwd20,WPLUS_fwd5,WPLUS_fwd20,MARKET_fwd5,MARKET_fwd20,MOMENTUM_fwd5,MOMENTUM_fwd20,REVISION_fwd5,REVISION_fwd20,VALUE_fwd5,VALUE_fwd20,FLOW_fwd5,FLOW_fwd20,period
2021-01-14,K200,0.1496039550229875,0.3601334902198805,0.2213543906392644,-0.0013127541391688,0.8324607329842932,0.4240837696335078,0.5,0.5,0.0,0.125,0.0,1.0,0.5,0.0,0.0,0.1666666666666666,0.0,0.0411157827526834,0.0295259872136435,0.5,0.1165652254466722,0.0068846690262718,0.2567209382131139,0.0235174489238481,0.5,0.0,0.0234340823446854,0.0634104363218455,N+,0.1339279966314512,0.0495477207994561,0.285964340339504,0.0355620663559101,1.0,1.0,0.0263726960504573,0.050741195642546,W+,0.1226954487173457,0.0259324609061468,0.3009968816386847,0.0706555403925626,0.5,0.0,0.0203670986526587,0.0334302912471833,W+,0.0846671802646548,-0.031123666216142,0.2712075087910832,2.8495222413660315e-05,0.0,1.0,-0.0049909661225734,0.0001210061870713,R+,0.0027804604797723,-0.0034604403771562,0.016295727731306997,0.036925732349661525,0.023369897351558,0.042085743444864654,0.0027804604797723,-0.0034604403771562,0.0263726960504573,0.050741195642546,0.0203670986526587,0.0334302912471833,-0.0049909661225734,0.0001210061870713,0.0234340823446854,0.0634104363218455,DISCOVERY_2016_2022
2021-01-21,K200,0.148144739552563,0.3622384447074747,0.2740145318770576,0.0,0.3455497382198952,0.3089005235602094,0.5,0.5,0.0,0.125,0.0,1.0,0.5,0.0,0.0,0.1666666666666666,0.0,0.0298678309378447,0.0400842161222032,0.5,0.1125359705611963,-0.0035392857795275,0.298589103771409,0.0351250190914371,0.5,0.0,-0.0107137842620885,0.0310165075681647,N+,0.1056678761469511,0.0518790144513561,0.3249601196591813,0.0746379651169566,1.0,1.0,-0.0114312519889626,0.0020066420825783,W+,0.1374646391826877,0.0980860254555251,0.3147255400457338,0.0544152492667866,1.0,1.0,-0.0178647752730822,0.0013323896702874,W+,0.0724379071505367,0.0080003456960249,0.2437410937479323,-0.0615911412770497,0.5,0.0,-0.0466237959682868,0.0025410974187838,N+,-0.0300427318653661,-0.0288929035701536,-0.021658401873105027,0.00922415918495355,-0.014648013631022399,0.00166951587643285,-0.0300427318653661,-0.0288929035701536,-0.0114312519889626,0.0020066420825783,-0.0178647752730822,0.0013323896702874,-0.0466237959682868,0.0025410974187838,-0.0107137842620885,0.0310165075681647,DISCOVERY_2016_2022
2021-01-28,K200,0.0921893136760334,0.3497669938301495,0.3028656402676516,-0.0449230316490918,0.3926701570680628,0.1727748691099476,0.625,0.625,0.0,0.375,0.0,1.0,0.5,0.0,0.0,0.1666666666666666,0.0,0.030394604852353,0.0573634506751549,0.75,0.0998708536550601,-0.0058080445569843,0.311978769225856,0.0571511252952297,0.5,0.0,0.0255870031282552,0.0262026212513613,N+,0.1173365353145718,0.0683379369291747,0.3224917458814107,0.0861410865527336,1.0,1.0,0.0152279765251783,-0.0218471432456403,W+,0.1252860405298335,0.0903512816652793,0.3124325538935606,0.0543418381055313,1.0,1.0,0.0084593638010579,-0.0136553818338441,W+,0.0477198338756232,-0.0528727135095596,0.2093446511781151,-0.1214820760155499,0.0,1.0,0.0131444302134888,0.0485385512734726,R+,0.0053872651503352,-0.0089592216937602,0.015604693416995049,0.009809661861337374,0.0118436701631181,-0.0177512625397422,0.0053872651503352,-0.0089592216937602,0.0152279765251783,-0.0218471432456403,0.0084593638010579,-0.0136553818338441,0.0131444302134888,0.0485385512734726,0.0255870031282552,0.0262026212513613,DISCOVERY_2016_2022
2021-02-04,K200,0.0194769565179739,0.2737012185578449,0.3164357564860599,-0.0397777787816069,0.2094240837696335,0.2094240837696335,0.5,0.5,0.0,0.375,0.25,0.75,0.75,0.0,0.25,0.5,0.5,0.0353521595684095,0.0395655049498702,0.75,0.0478819238859964,0.0138064465979312,0.2579595370612679,0.0772529693310704,1.0,1.0,0.0241099272765661,-0.0037871738692673,W+,0.0305726078431398,0.0217035672213337,0.2331183131860481,0.0543751043516809,0.5,0.0,0.0200470765816214,-0.0694248461814389,W+,0.0422365062769787,0.054704688696005,0.2368768161696266,0.0294265151736408,1.0,1.0,0.0225747161507323,-0.0399284145284819,W+,-0.015491700649803,-0.0541531199388584,0.1787504162358244,-0.0354089344563557,0.0,1.0,0.0406144595986339,0.0660344771395127,R-,0.0190669079424615,-0.0376323540542865,0.026836544901888422,-0.01177648935991885,0.022243906669639935,-0.0377134781930627,0.0190669079424615,-0.0376323540542865,0.0200470765816214,-0.0694248461814389,0.0225747161507323,-0.0399284145284819,0.0406144595986339,0.0660344771395127,0.0241099272765661,-0.0037871738692673,DISCOVERY_2016_2022
2021-02-15,K200,-0.0034604403771559,0.2469725623400538,0.2834123202998005,-0.0214693100853298,0.2135416666666666,0.1979166666666666,0.5,0.5,0.0,0.25,0.125,0.875,0.75,0.0,0.0,0.5,0.0,0.0392851317805233,0.0300341357501895,0.75,0.0634104363218455,0.0462656738349076,0.2629224917122283,0.1018054593831963,1.0,1.0,-0.0077420746829179,-0.0014027198906332,W+,0.050741195642546,0.0325435235563362,0.259173084327172,0.0903283395942624,1.0,1.0,-0.021231619203949,-0.0565951334278387,W+,0.0334302912471833,0.0169643490139399,0.2312356677946478,0.0347123156110835,0.5,0.0,-0.0113250657654461,-0.0359223529807301,W+,0.0001210061870713,-0.0331737555418447,0.149118568571599,-0.0914576345099342,0.0,1.0,-0.0025832448333847,0.0528433128322605,R+,-0.0228112753480164,-0.0280207923733155,-0.010720501121424425,-0.010269223366735376,-0.013432919884104333,-0.031306735433067334,-0.0228112753480164,-0.0280207923733155,-0.021231619203949,-0.0565951334278387,-0.0113250657654461,-0.0359223529807301,-0.0025832448333847,0.0528433128322605,-0.0077420746829179,-0.0014027198906332,DISCOVERY_2016_2022
2021-02-22,K200,-0.0288929035701533,0.1895879721612168,0.2458424911062406,-0.0437908430894578,0.2447916666666666,0.2628865979381443,0.5,0.5,0.0,0.125,0.125,0.625,0.5,0.0,0.0,0.1666666666666666,0.0,0.0339839855667516,0.0236027966119162,0.75,0.0310165075681647,0.0551691469399788,0.220243715359043,0.0907745234770083,1.0,1.0,-0.0153328290032594,0.0013448063929935,W+,0.0020066420825783,-0.009961707915336,0.2010757115194352,0.0680888362174318,0.5,0.0,-0.0349651346069761,-0.0478748897514864,N+,0.0013323896702874,0.0154412154661103,0.1822525559873631,0.0454922396030816,1.0,1.0,-0.0325652069041944,-0.0395526404107023,W+,0.0025410974187838,0.010340123903161,0.128590293139081,-0.029671686146637,1.0,1.0,-0.0028820700041202,0.0496816728709053,N+,-0.0101326522379249,-0.0266779700981887,-0.021436310129637526,-0.009100262724572473,-0.0239490179537269,-0.019103917008854398,-0.0101326522379249,-0.0266779700981887,-0.0349651346069761,-0.0478748897514864,-0.0325652069041944,-0.0395526404107023,-0.0028820700041202,0.0496816728709053,-0.0153328290032594,0.0013448063929935,DISCOVERY_2016_2022
2021-03-02,K200,-0.0089592216937605,0.1850603644503776,0.2838377542454207,-0.0534797779431517,0.3505154639175257,0.2938144329896907,0.5,0.5,0.0,0.25,0.25,0.5,0.5,0.0,0.5,0.1666666666666666,0.6666666666666666,0.0887197834393953,0.0619247534618452,0.75,0.0262026212513613,0.0678098286303361,0.2252625243541826,0.1325721741949466,1.0,1.0,-0.0043848011385183,0.04190540358348,W+,-0.0218471432456403,-0.0473004919083809,0.1620530947919207,0.0323035484171942,0.5,0.0,-0.0341530734259508,0.0135258793551171,R-,-0.0136553818338441,-0.013893167391226,0.161107230751639,0.045806413111352,0.0,1.0,-0.0184027342409219,0.0278049903018557,R-,0.0485385512734726,0.1075604219531001,0.1533595216079291,0.0418983683997506,1.0,1.0,0.0300497693839734,0.0927554921498141,W+,-0.0237009446976102,0.004534132976021,-0.006722709855354402,0.043997941347566724,0.012832484122727549,0.06733044786664705,-0.0237009446976102,0.004534132976021,-0.0341530734259508,0.0135258793551171,-0.0184027342409219,0.0278049903018557,0.0300497693839734,0.0927554921498141,-0.0043848011385183,0.04190540358348,DISCOVERY_2016_2022
2021-03-09,K200,-0.0376323540542865,0.0873191398481081,0.2421389043212788,-0.0759132013812908,0.2797927461139896,0.4196891191709844,0.625,0.375,0.25,0.25,0.25,0.375,0.25,0.25,0.5,0.0,0.3333333333333333,0.0591380367898203,0.0910927055163218,0.75,-0.0037871738692673,0.0693724598998576,0.1910023732207333,0.1335748806281775,1.0,1.0,0.0265611534870713,0.0529628679425369,W-,-0.0694248461814389,-0.0745618931901542,0.100559756150568,-0.000765663625831,0.5,0.0,0.0341103265340734,0.0514753201563835,R-,-0.0399284145284819,-0.0202601715910526,0.1157575135233055,0.0282484246452752,0.0,1.0,0.0268415826136771,0.0475153366116449,R-,0.0660344771395127,0.1652020672209392,0.1522308669013861,0.1206252630314392,1.0,1.0,0.0277378438686237,0.0596857184154153,W+,0.0292447484839523,0.0488286456194673,0.028812726625861377,0.05290981078149515,0.0277378438686237,0.0596857184154153,0.0292447484839523,0.0488286456194673,0.0341103265340734,0.0514753201563835,0.0268415826136771,0.0475153366116449,0.0277378438686237,0.0596857184154153,0.0265611534870713,0.0529628679425369,DISCOVERY_2016_2022
2021-03-16,K200,-0.0280207923733157,0.113524475865357,0.247108374360391,-0.048888515378346,0.2020725388601036,0.2227979274611398,0.375,0.375,0.0,0.375,0.375,0.375,0.25,0.25,0.5,0.0,0.3333333333333333,0.0573350557288022,0.0706949697071407,0.75,-0.0014027198906332,0.0356983821277251,0.1857015701063513,0.0988720318826992,1.0,1.0,-0.0050119904094588,0.0433473100259276,W-,-0.0565951334278387,-0.0660521414610151,0.1240337462860572,0.0094786637986683,0.5,0.0,-0.0121844973523707,0.053625657546237,R-,-0.0359223529807301,-0.0259529272414656,0.1185493833119091,0.0148412968726276,0.0,1.0,-0.015047975633938,0.048942858223111,R-,0.0528433128322605,0.121407731032323,0.1421227745908808,0.0682326554351664,1.0,1.0,-0.005578441395708,0.0465849757938789,W+,-0.0214612559482501,0.0304612734572691,-0.009455726197868875,0.048125200397288626,-0.005578441395708,0.0465849757938789,-0.0214612559482501,0.0304612734572691,-0.0121844973523707,0.053625657546237,-0.015047975633938,0.048942858223111,-0.005578441395708,0.0465849757938789,-0.0050119904094588,0.0433473100259276,DISCOVERY_2016_2022
2021-03-23,K200,-0.0266779700981885,0.0852263278558278,0.2405283879722473,-0.0693005623851316,0.2746113989637305,0.2435233160621761,0.375,0.375,0.0,0.375,0.375,0.375,0.5,0.0,0.5,0.1666666666666666,0.6666666666666666,0.0473564847386919,0.06253704878429,0.75,0.0013448063929935,0.0311444532318359,0.1485855016053883,0.0919217727845504,1.0,1.0,0.0245522218149101,0.07364318273509,W+,-0.0478748897514864,-0.054378139430296,0.0548466091187525,-0.0184894382996774,0.5,0.0,0.0272681604842051,0.0987361007974443,R-,-0.0395526404107023,-0.0462780649575921,0.0939305116134436,0.0623246716360537,0.0,1.0,0.0352824631229196,0.0976899817924463,R-,0.0496816728709053,0.09895252040694,0.1285789765902105,0.124479706948994,1.0,1.0,0.0380347894842747,0.0883102965310436,W+,0.021610019497617,0.0691884784593392,0.031284408726577374,0.08959489046400605,0.0312935056495924,0.0809767396330668,0.021610019497617,0.0691884784593392,0.0272681604842051,0.0987361007974443,0.0352824631229196,0.0976899817924463,0.0380347894842747,0.0883102965310436,0.0245522218149101,0.07364318273509,DISCOVERY_2016_2022
2021-03-30,K200,0.0045341329760213,0.0873119118217395,0.1535772932087702,-0.0491881293918528,0.310880829015544,0.3264248704663212,0.375,0.375,0.0,0.5,0.0,1.0,0.5,0.0,0.0,0.1666666666666666,0.0,0.0792443296806616,0.0418386402794859,1.0,0.04190540358348,0.0088898505289436,0.1759885778245047,0.0813281449757417,1.0,1.0,0.0061813976151134,0.0707295749121315,W+,0.0135258793551171,-0.0314822334337359,0.1077087081657188,-0.0164056048565393,0.0,1.0,0.0020111247555782,0.092442515437934,R+,0.0278049903018557,-0.0231358208083511,0.1407811400823713,0.0528673364631011,0.0,1.0,0.0004214806903282,0.1038472727195565,R+,0.0927554921498141,0.0748940761444849,0.2004734678477049,0.146342070400083,1.0,1.0,-0.0011223574581286,0.0857590291292811,W+,0.0193485539996219,0.0416087097772494,0.0018729114007228,0.08819459804972576,0.0025295200784924,0.0782443020207063,0.0193485539996219,0.0416087097772494,0.0020111247555782,0.092442515437934,0.0004214806903282,0.1038472727195565,-0.0011223574581286,0.0857590291292811,0.0061813976151134,0.0707295749121315,DISCOVERY_2016_2022
