universe,task,horizon,period,model,delta_edge_vs_control,delta_sign_accuracy,delta_rank_ic,delta_mdd
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,BULL_2025,FACTOR_ONLY,-0.0011948209682968597,-0.1428571428571428,-0.10734693877551021,-0.015201471421283697
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,BULL_2025,FULL,-0.0012977570918186038,-0.1428571428571428,-0.03602040816326532,-0.015201471421283697
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,DISCOVERY_2016_2022,FACTOR_ONLY,-0.00018033611405149645,-0.00694444444444442,-0.019459850494333256,-0.005394157878888195
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,DISCOVERY_2016_2022,FULL,-4.103129312243013e-05,-0.02083333333333326,-0.03588939795836347,-0.017582627793095162
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,NORMAL_2023_2024,FACTOR_ONLY,-0.0007941217530334576,-0.13541666666666669,-0.210851871947911,-0.02512752291412923
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,NORMAL_2023_2024,FULL,-0.0006857514974155233,-0.12500000000000006,-0.17704829083016818,-0.01800392770408532
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,YTD_2026,FACTOR_ONLY,0.001490558656837135,-0.10526315789473684,-0.04912280701754385,-0.011148740574064564
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,5,YTD_2026,FULL,-0.0007462644238360772,-0.21052631578947373,-0.13157894736842105,-0.017056830166350845
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,20,BULL_2025,FACTOR_ONLY,0.0005896944318125484,0.020408163265306145,0.18908163265306122,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,20,BULL_2025,FULL,0.0005896944318125484,0.020408163265306145,0.16857142857142854,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,20,DISCOVERY_2016_2022,FACTOR_ONLY,-5.904455995782063e-05,0.02777777777777779,-0.02100715376577446,0.0006963691233535796
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,20,DISCOVERY_2016_2022,FULL,-0.0007638202244636442,-0.02777777777777779,-0.03766980146290492,-0.012565727099765
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,20,NORMAL_2023_2024,FACTOR_ONLY,-0.0033025604903518875,-0.16666666666666669,-0.5666711882799783,-0.024858065451451195
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,20,NORMAL_2023_2024,FULL,-0.0028042906311736833,-0.13541666666666674,-0.4936245252306023,-0.00820958550453521
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,20,YTD_2026,FACTOR_ONLY,-0.0012304381476655945,-0.05263157894736836,-0.03508771929824562,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA,20,YTD_2026,FULL,-0.0025263592075408818,-0.1578947368421052,-0.13508771929824562,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,5,BULL_2025,FACTOR_ONLY,-0.0010075195199223288,-0.04081632653061229,0.07938775510204082,-0.018051009434918996
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,5,BULL_2025,FULL,-0.0024737453811889067,-0.08163265306122452,0.022244897959183663,-0.024050745137527696
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,5,DISCOVERY_2016_2022,FACTOR_ONLY,-0.0003664503195868513,-0.11805555555555558,-0.11471746644160438,0.048955806164223015
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,5,DISCOVERY_2016_2022,FULL,-0.00041120332084230234,-0.09722222222222227,-0.09411220962945101,0.02849829485283828
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,5,NORMAL_2023_2024,FACTOR_ONLY,-0.0006340037107953917,0.01041666666666663,-0.013591969614758545,-0.04795827360256977
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,5,NORMAL_2023_2024,FULL,0.00024394834023838566,0.03125,-0.00552088985349973,-0.05074832719341327
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,5,YTD_2026,FACTOR_ONLY,-0.002469025717006943,0.0,-0.4333333333333333,0.04194587197170474
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,5,YTD_2026,FULL,0.004099415175491558,0.052631578947368474,-0.0035087719298245723,0.04181377891183302
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,20,BULL_2025,FACTOR_ONLY,-0.014506596488874262,-0.346938775510204,-0.14326530612244895,-0.14636674616770284
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,20,BULL_2025,FULL,-0.011276374700424781,-0.28571428571428564,-0.17326530612244898,-0.14636674616770284
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,20,DISCOVERY_2016_2022,FACTOR_ONLY,-0.008787140997181928,-0.10416666666666669,-0.3832047263081746,-0.13560321849529378
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,20,DISCOVERY_2016_2022,FULL,-0.004726212833817,-0.02777777777777779,-0.2859255686841894,0.00949999006969593
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,20,NORMAL_2023_2024,FACTOR_ONLY,-0.0009648447148427725,-0.02083333333333337,-0.04910472056429735,-0.026569243628091876
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,20,NORMAL_2023_2024,FULL,-0.00011424147349245028,-0.03125,0.03988062940857298,-0.011331585586779491
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,20,YTD_2026,FACTOR_ONLY,-0.0006508619836660037,0.0,-0.2245614035087719,0.19529478770381736
KOSDAQ_PLUS_KOSPI_EX_K200,RISK,20,YTD_2026,FULL,-0.014696627309814891,-0.05263157894736842,-0.07543859649122805,0.03622617981171394
KOSPI_ALL,ALPHA,5,BULL_2025,FACTOR_ONLY,-0.0010824520697326119,-0.06122448979591838,-0.15734693877551018,-0.011587581663416668
KOSPI_ALL,ALPHA,5,BULL_2025,FULL,-0.0005096939786358173,-0.02040816326530609,-0.1640816326530612,-0.0009767569207443927
KOSPI_ALL,ALPHA,5,DISCOVERY_2016_2022,FACTOR_ONLY,0.0018467247606202115,0.06944444444444442,0.2374969857728478,0.044272918477607504
KOSPI_ALL,ALPHA,5,DISCOVERY_2016_2022,FULL,0.0008559854206314649,0.02083333333333326,0.11767944698979181,0.013769339709357342
KOSPI_ALL,ALPHA,5,NORMAL_2023_2024,FACTOR_ONLY,-0.0017149115959560178,-0.07216494845360821,-0.2699479276246581,-0.013033048265963632
KOSPI_ALL,ALPHA,5,NORMAL_2023_2024,FULL,-0.0016433383204267358,-0.07216494845360821,-0.21955869976856718,-0.01424638597783745
KOSPI_ALL,ALPHA,5,YTD_2026,FACTOR_ONLY,0.004221308561269735,-0.09523809523809523,0.06233766233766236,-0.03469639150920023
KOSPI_ALL,ALPHA,5,YTD_2026,FULL,0.002221709266093802,-0.09523809523809523,-0.05584415584415581,-0.03469639150920034
KOSPI_ALL,ALPHA,20,BULL_2025,FACTOR_ONLY,0.000526710196153435,-0.1224489795918367,-0.16051020408163263,1.1102230246251565e-16
KOSPI_ALL,ALPHA,20,BULL_2025,FULL,0.0018336763024386683,-0.06122448979591838,-0.0709183673469388,1.1102230246251565e-16
