universe,family,feature,horizon,sample,n,hl,high_rel,low_rel,high_win_rel,low_win_rel
K200,VALUE,spread_accel,5,DISCOVERY_2016_2022,328,-0.000536649296410479,-0.0001276061733826884,0.00040904312302779064,0.42592592592592593,0.49074074074074076
K200,VALUE,spread_accel,5,NORMAL_2023_2024,97,0.0023086200264677086,0.0016746032277825526,-0.000634016798685156,0.4375,0.3125
K200,VALUE,spread_accel,20,BULL_2025,49,-0.010101166099064734,-0.011685930057031023,-0.001584763957966289,0.3125,0.1875
K200,VALUE,spread_accel,20,DISCOVERY_2016_2022,328,0.00034849578574183915,-0.00036449210364320486,-0.000712987889385044,0.5462962962962963,0.5092592592592593
K200,VALUE,spread_accel,20,NORMAL_2023_2024,97,0.0009909459847258486,0.002667865673954663,0.0016769196892288145,0.46875,0.375
K200,VALUE,top_accel,5,BULL_2025,49,0.002660473440089753,0.0012948307310614215,-0.001365642709028331,0.5625,0.5625
K200,VALUE,top_accel,5,DISCOVERY_2016_2022,328,-0.0005823392545808286,0.00020389061414840872,0.0007862298687292374,0.4444444444444444,0.5092592592592593
K200,VALUE,top_accel,5,NORMAL_2023_2024,97,-0.0006983387854434671,-0.00017109085529046577,0.0005272479301530013,0.40625,0.375
K200,VALUE,top_accel,20,BULL_2025,49,0.0015195447841136744,-0.008027894184212557,-0.009547438968326232,0.4375,0.1875
K200,VALUE,top_accel,20,DISCOVERY_2016_2022,328,0.0013571227686938554,0.0007675107160088906,-0.0005896120526849648,0.5740740740740741,0.5370370370370371
K200,VALUE,top_accel,20,NORMAL_2023_2024,97,0.004964301747683125,0.006390925815233966,0.0014266240675508413,0.5625,0.375
KOSDAQ,FLOW,z_top_20d,5,BULL_2025,45,-0.003420053868292816,-0.0033232362363595598,9.681763193325615e-05,0.3333333333333333,0.6
KOSDAQ,FLOW,z_top_20d,5,DISCOVERY_2016_2022,256,-0.00038917438922999735,-0.001405667702989918,-0.0010164933137599206,0.4117647058823529,0.43529411764705883
KOSDAQ,FLOW,z_top_20d,5,NORMAL_2023_2024,73,-0.0019231648853261121,-0.0018476672852862682,7.549760003984394e-05,0.4166666666666667,0.5833333333333334
KOSDAQ,FLOW,z_top_20d,20,BULL_2025,45,0.0007866300901699487,-0.004743545477747869,-0.005530175567917818,0.3333333333333333,0.4666666666666667
KOSDAQ,FLOW,z_top_20d,20,DISCOVERY_2016_2022,256,-0.00029446287464369135,-0.005849145511867211,-0.00555468263722352,0.2823529411764706,0.2823529411764706
KOSDAQ,FLOW,z_top_20d,20,NORMAL_2023_2024,73,0.00026386765855172583,-0.0033589371373379043,-0.00362280479588963,0.4166666666666667,0.375
KOSDAQ,FLOW,z_spread_20d,5,BULL_2025,45,0.002478374294809605,0.001732540506517836,-0.0007458337882917688,0.6,0.5333333333333333
KOSDAQ,FLOW,z_spread_20d,5,DISCOVERY_2016_2022,256,0.0014809509092758356,-0.0003568339192568673,-0.0018377848285327028,0.4588235294117647,0.38823529411764707
KOSDAQ,FLOW,z_spread_20d,5,NORMAL_2023_2024,73,-0.00030738180524429465,-0.001857653010364401,-0.0015502712051201064,0.5,0.4583333333333333
KOSDAQ,FLOW,z_spread_20d,20,BULL_2025,45,0.004758554674438048,-0.0014903594432092418,-0.00624891411764729,0.5333333333333333,0.4
KOSDAQ,FLOW,z_spread_20d,20,DISCOVERY_2016_2022,256,0.0017312860301388058,-0.004494940640515525,-0.006226226670654331,0.3411764705882353,0.24705882352941178
KOSDAQ,FLOW,z_spread_20d,20,NORMAL_2023_2024,73,-0.0021076167301850514,-0.005830549441583353,-0.003722932711398302,0.375,0.4166666666666667
KOSDAQ,FLOW,z_top_60d,5,BULL_2025,45,0.0003026354511339889,0.0011335907909152722,0.0008309553397812833,0.5333333333333333,0.6666666666666666
KOSDAQ,FLOW,z_top_60d,5,DISCOVERY_2016_2022,256,-0.0009562447469073812,-0.0014128154405497581,-0.000456570693642377,0.3764705882352941,0.5058823529411764
KOSDAQ,FLOW,z_top_60d,5,NORMAL_2023_2024,73,-0.00297330284877378,-0.003035692263399158,-6.238941462537795e-05,0.4583333333333333,0.5833333333333334
KOSDAQ,FLOW,z_top_60d,20,BULL_2025,45,-0.0008292328293450558,-0.0021862027229482754,-0.0013569698936032196,0.4666666666666667,0.5333333333333333
KOSDAQ,FLOW,z_top_60d,20,DISCOVERY_2016_2022,256,0.0008563082027603528,-0.0033891577957757208,-0.004245465998536074,0.3411764705882353,0.4
KOSDAQ,FLOW,z_top_60d,20,NORMAL_2023_2024,73,0.0001542809048685652,-0.00562620734172038,-0.005780488246588945,0.375,0.3333333333333333
KOSDAQ,FLOW,z_spread_60d,5,BULL_2025,45,0.002740159098132179,0.0013086376178406487,-0.0014315214802915301,0.5333333333333333,0.4666666666666667
KOSDAQ,FLOW,z_spread_60d,5,DISCOVERY_2016_2022,256,0.00048177971380903954,-0.0005940199835853996,-0.0010757996973944392,0.43529411764705883,0.4117647058823529
KOSDAQ,FLOW,z_spread_60d,5,NORMAL_2023_2024,73,-0.0030264793332771176,-0.0027011918875344335,0.0003252874457426843,0.5833333333333334,0.5
KOSDAQ,FLOW,z_spread_60d,20,BULL_2025,45,0.004280869138151334,0.0002799745136674148,-0.004000894624483919,0.5333333333333333,0.4666666666666667
KOSDAQ,FLOW,z_spread_60d,20,DISCOVERY_2016_2022,256,0.0007523970079015489,-0.0035623386341208855,-0.0043147356420224344,0.3058823529411765,0.35294117647058826
KOSDAQ,FLOW,z_spread_60d,20,NORMAL_2023_2024,73,-0.0025652578786487675,-0.0045843979363190705,-0.002019140057670303,0.375,0.4166666666666667
KOSDAQ,FLOW,spread_accel,5,BULL_2025,45,-0.00023752478461461527,0.0009742437866034498,0.001211768571218065,0.6666666666666666,0.4666666666666667
KOSDAQ,FLOW,spread_accel,5,DISCOVERY_2016_2022,256,0.001078975845346548,-0.00021807836868190496,-0.001297054214028453,0.47058823529411764,0.4
KOSDAQ,FLOW,spread_accel,5,NORMAL_2023_2024,73,-0.00046016447946436187,-0.0010419966300489493,-0.0005818321505845875,0.4583333333333333,0.5833333333333334
KOSDAQ,FLOW,spread_accel,20,BULL_2025,45,-0.0004547346149477555,-0.002552597202810608,-0.0020978625878628524,0.4666666666666667,0.5333333333333333
KOSDAQ,FLOW,spread_accel,20,DISCOVERY_2016_2022,256,0.0008711893547467195,-0.003470769271216959,-0.004341958625963678,0.4,0.3058823529411765
KOSDAQ,FLOW,spread_accel,20,NORMAL_2023_2024,73,0.0027831455790416648,-0.0025451790539684238,-0.0053283246330100885,0.4583333333333333,0.375
KOSDAQ,FLOW,top_accel,5,BULL_2025,45,-0.0012432854454192056,0.0008858399261170109,0.0021291253715362167,0.6666666666666666,0.6
KOSDAQ,FLOW,top_accel,5,DISCOVERY_2016_2022,256,0.0007827211732704853,-0.0004777713708533119,-0.0012604925441237972,0.49411764705882355,0.3764705882352941
KOSDAQ,FLOW,top_accel,5,NORMAL_2023_2024,73,-0.0017828247152927759,-0.0016003693694301186,0.00018245534586265738,0.4583333333333333,0.625
