universe,horizon,strategy,sample,n,mean_ret,edge_vs_ew4,beat_ew4
KOSPI_EX_K200,20,SPREAD60_LEADER,NORMAL_2023_2024,91,0.0054608656157451715,-0.0019956649652699645,0.4835164835164835
KOSPI_EX_K200,20,SPREAD60_LEADER,YTD_2026,15,0.01948564408555525,0.0008109126366449557,0.4
KOSPI_EX_K200,20,TOP20_LEADER,BULL_2025,49,0.031335680281555624,-0.0006509673178623819,0.6122448979591837
KOSPI_EX_K200,20,TOP20_LEADER,DISCOVERY_2016_2022,288,0.0027217886065980545,0.004665392370266832,0.5659722222222222
KOSPI_EX_K200,20,TOP20_LEADER,NORMAL_2023_2024,91,0.013655084162977163,0.006198553581962026,0.6373626373626373
KOSPI_EX_K200,20,TOP20_LEADER,YTD_2026,15,0.017707498617430442,-0.0009672328314798501,0.4
KOSPI_EX_K200,20,WPLUS,BULL_2025,36,0.02517780034798313,-0.002203579261822403,0.5
KOSPI_EX_K200,20,WPLUS,DISCOVERY_2016_2022,183,0.007658853694403842,0.0018569846612267059,0.5409836065573771
KOSPI_EX_K200,20,WPLUS,NORMAL_2023_2024,61,0.004698179607519339,0.0034581016181554317,0.5901639344262295
KOSPI_EX_K200,20,WPLUS,YTD_2026,11,-0.03747466017292394,-0.004237709290631122,0.2727272727272727
KOSPI_KOSDAQ_ALL,5,SPREAD20_LEADER,BULL_2025,49,0.009756144039446928,-0.0008257309313414828,0.46938775510204084
KOSPI_KOSDAQ_ALL,5,SPREAD20_LEADER,DISCOVERY_2016_2022,328,0.0012618181198411653,0.0008543828441016239,0.5548780487804879
KOSPI_KOSDAQ_ALL,5,SPREAD20_LEADER,NORMAL_2023_2024,96,0.002074850465696025,0.0005118861459500723,0.5
KOSPI_KOSDAQ_ALL,5,SPREAD20_LEADER,YTD_2026,21,0.007683601310946321,0.0010696633532996558,0.5238095238095238
KOSPI_KOSDAQ_ALL,5,SPREAD60_LEADER,BULL_2025,49,0.010772430714520996,0.00019055574373258468,0.4897959183673469
KOSPI_KOSDAQ_ALL,5,SPREAD60_LEADER,DISCOVERY_2016_2022,328,0.0014638345777840554,0.0010563993020445141,0.5579268292682927
KOSPI_KOSDAQ_ALL,5,SPREAD60_LEADER,NORMAL_2023_2024,96,-0.00022779521256600184,-0.001790759532311955,0.4479166666666667
KOSPI_KOSDAQ_ALL,5,SPREAD60_LEADER,YTD_2026,21,0.0044049237612390916,-0.002209014196407574,0.42857142857142855
KOSPI_KOSDAQ_ALL,5,TOP20_LEADER,BULL_2025,49,0.010346366944586021,-0.00023550802620239073,0.46938775510204084
KOSPI_KOSDAQ_ALL,5,TOP20_LEADER,DISCOVERY_2016_2022,328,0.0009239169058113246,0.0005164816300717831,0.5152439024390244
KOSPI_KOSDAQ_ALL,5,TOP20_LEADER,NORMAL_2023_2024,96,0.001301621329843656,-0.0002613429899022966,0.4791666666666667
KOSPI_KOSDAQ_ALL,5,TOP20_LEADER,YTD_2026,21,0.007137745191098548,0.0005238072334518836,0.42857142857142855
KOSPI_KOSDAQ_ALL,5,WPLUS,BULL_2025,39,0.01111244949206552,-0.0005143141120741799,0.38461538461538464
KOSPI_KOSDAQ_ALL,5,WPLUS,DISCOVERY_2016_2022,191,0.0024080893468769703,0.0009183713022079974,0.5602094240837696
KOSPI_KOSDAQ_ALL,5,WPLUS,NORMAL_2023_2024,54,-0.0016865268103615375,-0.001637744995401261,0.4444444444444444
KOSPI_KOSDAQ_ALL,5,WPLUS,YTD_2026,16,0.016715591957474532,-0.0005592902500732059,0.4375
KOSPI_KOSDAQ_ALL,20,SPREAD20_LEADER,BULL_2025,49,0.04436654807459528,0.00017598479509800308,0.5102040816326531
KOSPI_KOSDAQ_ALL,20,SPREAD20_LEADER,DISCOVERY_2016_2022,328,0.003653333842873808,0.0017065092180833864,0.573170731707317
KOSPI_KOSDAQ_ALL,20,SPREAD20_LEADER,NORMAL_2023_2024,96,0.005480778134438042,-0.002501432296674169,0.3958333333333333
KOSPI_KOSDAQ_ALL,20,SPREAD20_LEADER,YTD_2026,21,-0.00754228794888486,0.0027093860272352495,0.38095238095238093
KOSPI_KOSDAQ_ALL,20,SPREAD60_LEADER,BULL_2025,49,0.049118216264175146,0.004927652984677865,0.4897959183673469
KOSPI_KOSDAQ_ALL,20,SPREAD60_LEADER,DISCOVERY_2016_2022,328,0.00494093204850953,0.0029941074237191086,0.6097560975609756
KOSPI_KOSDAQ_ALL,20,SPREAD60_LEADER,NORMAL_2023_2024,96,0.0018670727794029088,-0.006115137651709302,0.4166666666666667
KOSPI_KOSDAQ_ALL,20,SPREAD60_LEADER,YTD_2026,21,-0.02115827330066831,-0.010906599324548202,0.2857142857142857
KOSPI_KOSDAQ_ALL,20,TOP20_LEADER,BULL_2025,49,0.04601108817887975,0.0018205248993824717,0.5714285714285714
KOSPI_KOSDAQ_ALL,20,TOP20_LEADER,DISCOVERY_2016_2022,328,0.0022923478175278273,0.000345523192737406,0.5304878048780488
KOSPI_KOSDAQ_ALL,20,TOP20_LEADER,NORMAL_2023_2024,96,0.005097684660892607,-0.0028845257702196036,0.3854166666666667
KOSPI_KOSDAQ_ALL,20,TOP20_LEADER,YTD_2026,21,-0.003693035380241565,0.006558638595878544,0.47619047619047616
KOSPI_KOSDAQ_ALL,20,WPLUS,BULL_2025,39,0.04079792209618718,0.0002243561240654616,0.4358974358974359
KOSPI_KOSDAQ_ALL,20,WPLUS,DISCOVERY_2016_2022,191,0.006306761649716358,0.0015632372949949617,0.5445026178010471
KOSPI_KOSDAQ_ALL,20,WPLUS,NORMAL_2023_2024,54,-0.0006122023472348392,-0.002511335157247054,0.3888888888888889
KOSPI_KOSDAQ_ALL,20,WPLUS,YTD_2026,16,0.020551418579674352,-0.006893119270448101,0.375
