date,universe,eval_year,period,task,horizon,model,pred,real_target,action,ret,control,alt
2023-01-06,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0038733229885695862,3.740924281347979e-05,EW4,0.033984012147863576,0.033984012147863576,0.0339466029050501
2023-01-13,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.004282243613585752,0.011917735762205775,EW4,0.019554956525490275,0.019554956525490275,0.0076372207632845
2023-01-20,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.003746434914784091,-0.0006733839440330007,EW4,0.0287465635825256,0.0287465635825256,0.0294199475265586
2023-01-31,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.003202584887475827,-0.012963908053481174,EW4,0.021890956270610724,0.021890956270610724,0.0348548643240919
2023-02-07,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.002240325822745346,0.00016103079411904954,EW4,0.00797109368300575,0.00797109368300575,0.0078100628888867
2023-02-14,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.00010037449581781017,0.0008366156087943749,MARKET,0.0177517339831501,0.018588349591944477,0.0177517339831501
2023-02-21,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0022468652619567174,0.0110366729889532,EW4,0.0072743472201945,0.0072743472201945,-0.0037623257687587
2023-02-28,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.00045516144034751175,-0.0009283256926888479,EW4,0.024291190514617252,0.024291190514617252,0.0252195162073061
2023-03-08,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0002876873638753488,-0.003826438470115448,MARKET,-0.042923251281166,-0.04674968975128145,-0.042923251281166
2023-03-15,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-9.826550256399654e-05,0.012215354343682303,MARKET,0.0342845725188013,0.0464999268624836,0.0342845725188013
2023-03-22,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.003062942110801883,0.0016718968735863274,MARKET,0.0398695227459805,0.041541419619566824,0.0398695227459805
2023-03-29,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.003017143279760531,-0.004743911750077975,MARKET,0.0323209884396962,0.027577076689618223,0.0323209884396962
2023-04-05,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.003025214543294559,-0.0069729558683966734,MARKET,0.0142266565380788,0.007253700669682126,0.0142266565380788
2023-04-12,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0008245762555418267,-0.0016721139312633228,MARKET,0.0242420631214231,0.022569949190159776,0.0242420631214231
2023-04-19,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0009744946479764681,0.010793953663581698,MARKET,-0.0855288556856611,-0.0747349020220794,-0.0855288556856611
2023-04-26,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0008220381858597588,-0.008583697788580799,MARKET,0.0162032418967911,0.0076195441082103,0.0162032418967911
2023-05-04,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0012174191861110662,0.012076802517743252,MARKET,-0.0240289499577509,-0.011952147440007648,-0.0240289499577509
2023-05-12,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0003480399085298028,-0.0032034254473089236,EW4,0.014980807270432576,0.014980807270432576,0.0181842327177415
2023-05-19,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,-0.0016316519631926355,-0.0027286380182684,MARKET,0.0005921175504054,-0.002136520467863,0.0005921175504054
2023-05-26,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0024023751033650604,-0.003328580253063325,EW4,0.027239720597883973,0.027239720597883973,0.0305683008509473
2023-06-05,KOSDAQ_PLUS_KOSPI_EX_K200,2023,NORMAL_2023_2024,ALPHA,5,FACTOR_ONLY,0.0026914222432539935,-0.017416242564070924,EW4,0.013614644576513676,0.013614644576513676,0.0310308871405846
