date,universe,horizon,model,chosen_family,ret,ew4,edge_vs_ew4,correct_best,sample
2020-01-10,KOSDAQ_PLUS_KOSPI_EX_K200,5,STATIC_FAMILY,REVISION,0.0257877689482215,0.0237781991719293,0.0020095697762922,1.0,DISCOVERY_2016_2022
2020-01-10,KOSDAQ_PLUS_KOSPI_EX_K200,20,FAMILY_STATE,REVISION,-0.0197386820367849,-0.0044306678567304246,-0.015308014180054473,0.0,DISCOVERY_2016_2022
2020-01-10,KOSDAQ_PLUS_KOSPI_EX_K200,20,FULL_INTERACTION,REVISION,-0.0197386820367849,-0.0044306678567304246,-0.015308014180054473,0.0,DISCOVERY_2016_2022
2020-01-10,KOSDAQ_PLUS_KOSPI_EX_K200,20,STATIC_FAMILY,REVISION,-0.0197386820367849,-0.0044306678567304246,-0.015308014180054473,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_ALL,5,FAMILY_STATE,REVISION,0.017250939907468,0.0211670326183802,-0.0039160927109122,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_ALL,5,FULL_INTERACTION,VALUE,0.0253256850772038,0.0211670326183802,0.0041586524588235994,1.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_ALL,5,STATIC_FAMILY,REVISION,0.017250939907468,0.0211670326183802,-0.0039160927109122,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_ALL,20,FAMILY_STATE,VALUE,-0.0092949631583102,-0.013758997469068876,0.004464034310758676,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_ALL,20,FULL_INTERACTION,VALUE,-0.0092949631583102,-0.013758997469068876,0.004464034310758676,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_ALL,20,STATIC_FAMILY,REVISION,-0.0205233733657389,-0.013758997469068876,-0.0067643758966700225,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_EX_K200,5,FAMILY_STATE,REVISION,0.0040619405908044,0.019766950561647324,-0.015705009970842926,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_EX_K200,5,FULL_INTERACTION,REVISION,0.0040619405908044,0.019766950561647324,-0.015705009970842926,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_EX_K200,5,STATIC_FAMILY,REVISION,0.0040619405908044,0.019766950561647324,-0.015705009970842926,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_EX_K200,20,FAMILY_STATE,REVISION,-0.0476186611831774,-0.013787464146936376,-0.03383119703624103,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_EX_K200,20,FULL_INTERACTION,REVISION,-0.0476186611831774,-0.013787464146936376,-0.03383119703624103,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_EX_K200,20,STATIC_FAMILY,REVISION,-0.0476186611831774,-0.013787464146936376,-0.03383119703624103,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_KOSDAQ_ALL,5,FAMILY_STATE,REVISION,0.02522462172418,0.023619288543928196,0.0016053331802518035,1.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_KOSDAQ_ALL,5,FULL_INTERACTION,REVISION,0.02522462172418,0.023619288543928196,0.0016053331802518035,1.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_KOSDAQ_ALL,5,STATIC_FAMILY,REVISION,0.02522462172418,0.023619288543928196,0.0016053331802518035,1.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_KOSDAQ_ALL,20,FAMILY_STATE,REVISION,-0.0133645275751866,-0.007164158400489625,-0.0062003691746969755,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_KOSDAQ_ALL,20,FULL_INTERACTION,VALUE,-0.0153129715738742,-0.007164158400489625,-0.008148813173384575,0.0,DISCOVERY_2016_2022
2020-01-10,KOSPI_KOSDAQ_ALL,20,STATIC_FAMILY,REVISION,-0.0133645275751866,-0.007164158400489625,-0.0062003691746969755,0.0,DISCOVERY_2016_2022
2020-01-17,K200,5,FAMILY_STATE,VALUE,-0.0413466359644538,-0.043602471815804095,0.0022558358513502935,0.0,DISCOVERY_2016_2022
2020-01-17,K200,5,FULL_INTERACTION,REVISION,-0.0371838753224527,-0.043602471815804095,0.006418596493351393,1.0,DISCOVERY_2016_2022
2020-01-17,K200,5,STATIC_FAMILY,REVISION,-0.0371838753224527,-0.043602471815804095,0.006418596493351393,1.0,DISCOVERY_2016_2022
2020-01-17,K200,20,FAMILY_STATE,VALUE,-0.0528635676708808,-0.0530398188789276,0.00017625120804679734,0.0,DISCOVERY_2016_2022
2020-01-17,K200,20,FULL_INTERACTION,REVISION,-0.0485305741725902,-0.0530398188789276,0.004509244706337401,1.0,DISCOVERY_2016_2022
2020-01-17,K200,20,STATIC_FAMILY,REVISION,-0.0485305741725902,-0.0530398188789276,0.004509244706337401,1.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ,5,FAMILY_STATE,FLOW,-0.0442990788058745,-0.0454803112831964,0.0011812324773219016,0.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ,5,FULL_INTERACTION,FLOW,-0.0442990788058745,-0.0454803112831964,0.0011812324773219016,0.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ,5,STATIC_FAMILY,REVISION,-0.0596910401007846,-0.0454803112831964,-0.014210728817588197,0.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ,20,FAMILY_STATE,FLOW,-0.0233866914452838,-0.0144985073846916,-0.0088881840605922,0.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ,20,FULL_INTERACTION,FLOW,-0.0233866914452838,-0.0144985073846916,-0.0088881840605922,0.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ,20,STATIC_FAMILY,REVISION,-0.0221434000829886,-0.0144985073846916,-0.007644892698296999,0.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ_PLUS_KOSPI_EX_K200,5,FAMILY_STATE,REVISION,-0.0640427031004993,-0.044720827948007094,-0.0193218751524922,0.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ_PLUS_KOSPI_EX_K200,5,FULL_INTERACTION,REVISION,-0.0640427031004993,-0.044720827948007094,-0.0193218751524922,0.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ_PLUS_KOSPI_EX_K200,5,STATIC_FAMILY,REVISION,-0.0640427031004993,-0.044720827948007094,-0.0193218751524922,0.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ_PLUS_KOSPI_EX_K200,20,FAMILY_STATE,REVISION,-0.0322443754141034,-0.0250621271340164,-0.007182248280087004,0.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ_PLUS_KOSPI_EX_K200,20,FULL_INTERACTION,REVISION,-0.0322443754141034,-0.0250621271340164,-0.007182248280087004,0.0,DISCOVERY_2016_2022
2020-01-17,KOSDAQ_PLUS_KOSPI_EX_K200,20,STATIC_FAMILY,REVISION,-0.0322443754141034,-0.0250621271340164,-0.007182248280087004,0.0,DISCOVERY_2016_2022
2020-01-17,KOSPI_ALL,5,FAMILY_STATE,VALUE,-0.042540552821165,-0.045558873513377354,0.003018320692212355,1.0,DISCOVERY_2016_2022
2020-01-17,KOSPI_ALL,5,FULL_INTERACTION,VALUE,-0.042540552821165,-0.045558873513377354,0.003018320692212355,1.0,DISCOVERY_2016_2022
2020-01-17,KOSPI_ALL,5,STATIC_FAMILY,REVISION,-0.0484579567882529,-0.045558873513377354,-0.0028990832748755427,0.0,DISCOVERY_2016_2022
2020-01-17,KOSPI_ALL,20,FAMILY_STATE,VALUE,-0.0515201416484144,-0.045635247032016824,-0.0058848946163975735,0.0,DISCOVERY_2016_2022
2020-01-17,KOSPI_ALL,20,FULL_INTERACTION,VALUE,-0.0515201416484144,-0.045635247032016824,-0.0058848946163975735,0.0,DISCOVERY_2016_2022
2020-01-17,KOSPI_ALL,20,STATIC_FAMILY,REVISION,-0.0440362921416545,-0.045635247032016824,0.0015989548903623252,0.0,DISCOVERY_2016_2022
