universe,feature,action,sample,n,low_n,high_n,high_minus_low_payoff,high_payoff,low_payoff,high_beat_wplus,low_beat_wplus
K200,MKT_VOL_20D,FLOW,DISCOVERY_2016_2022,328,108,108,-0.00038338616557505285,2.4554137867316134e-05,0.00040794030344236897,0.5185185185185185,0.48148148148148145
K200,MKT_VOL_20D,FLOW,NORMAL_2023_2024,97,32,32,0.0016342722441410125,-0.00025468439376947176,-0.0018889566379104842,0.5,0.34375
K200,MKT_VOL_20D,FLOW,BULL_2025,49,16,16,-0.003956208139303002,-0.0023689933753403896,0.0015872147639626123,0.375,0.5
K200,MKT_DD_60D,MARKET,DISCOVERY_2016_2022,328,108,108,6.98732019556817e-05,-0.00047456257534515367,-0.0005444357773008354,0.5185185185185185,0.49074074074074076
K200,MKT_DD_60D,MARKET,NORMAL_2023_2024,97,32,32,0.0017266653517156653,-0.0022787669350905902,-0.004005432286806256,0.5625,0.46875
K200,MKT_DD_60D,MARKET,BULL_2025,49,16,16,0.01139144311227833,0.010087538119439712,-0.0013039049928386176,0.625,0.4375
K200,MKT_DD_60D,EW4,DISCOVERY_2016_2022,328,108,108,-0.0006140529904179559,-0.00047603922971187527,0.00013801376070608068,0.3425925925925926,0.16666666666666666
K200,MKT_DD_60D,EW4,NORMAL_2023_2024,97,32,32,0.0016509244098491806,-0.0008234314519085745,-0.002474355861757755,0.4375,0.15625
K200,MKT_DD_60D,EW4,BULL_2025,49,16,16,0.0032139181199345424,0.003692995741014206,0.0004790776210796633,0.625,0.4375
K200,MKT_DD_60D,MOMENTUM,DISCOVERY_2016_2022,328,108,108,3.079130007169087e-05,-0.000997406305890702,-0.001028197605962393,0.4537037037037037,0.4537037037037037
K200,MKT_DD_60D,MOMENTUM,NORMAL_2023_2024,97,32,32,0.005341598752280826,-0.0003989808874516625,-0.005740579639732488,0.59375,0.34375
K200,MKT_DD_60D,MOMENTUM,BULL_2025,49,16,16,0.004606204449780571,0.004345250974512416,-0.0002609534752681553,0.5625,0.5
K200,MKT_DD_60D,REVISION,DISCOVERY_2016_2022,328,108,108,-0.00021544900173572446,0.0009239151073867682,0.0011393641091224926,0.4444444444444444,0.49074074074074076
K200,MKT_DD_60D,REVISION,NORMAL_2023_2024,97,32,32,0.004173445445228829,0.00038896344686470484,-0.003784481998364124,0.5,0.40625
K200,MKT_DD_60D,REVISION,BULL_2025,49,16,16,0.006140074572333779,0.008030742625987162,0.0018906680536533828,0.75,0.4375
K200,MKT_DD_60D,VALUE,DISCOVERY_2016_2022,328,108,108,-0.0015453399812273318,-0.0014836615603441585,6.167842088317319e-05,0.3611111111111111,0.4166666666666667
K200,MKT_DD_60D,VALUE,NORMAL_2023_2024,97,32,32,-0.005868620091335188,-0.002382289832111556,0.0034863302592236323,0.375,0.5
K200,MKT_DD_60D,VALUE,BULL_2025,49,16,16,-0.0019694362707828404,-0.00024953817222303997,0.0017198980985598006,0.5,0.4375
K200,MKT_DD_60D,FLOW,DISCOVERY_2016_2022,328,108,108,-0.0007262142787804577,-0.00034700415999940797,0.00037921011878104977,0.4722222222222222,0.49074074074074076
K200,MKT_DD_60D,FLOW,NORMAL_2023_2024,97,32,32,0.002957273533222261,-0.0009014185349357819,-0.003858692068158043,0.4375,0.4375
K200,MKT_DD_60D,FLOW,BULL_2025,49,16,16,0.00407882972840666,0.0026455275357802855,-0.0014333021926263738,0.6875,0.4375
K200,LIQ_5D_20D,MARKET,DISCOVERY_2016_2022,328,108,108,-0.0011745655813823017,-0.00031028078219529087,0.0008642847991870108,0.49074074074074076,0.6018518518518519
K200,LIQ_5D_20D,MARKET,NORMAL_2023_2024,97,34,32,0.005136672799486632,0.0007255825755333475,-0.004411090223953285,0.625,0.4411764705882353
K200,LIQ_5D_20D,MARKET,BULL_2025,49,16,16,-0.012299469509574126,-0.002527774875599134,0.009771694633974991,0.4375,0.625
K200,LIQ_5D_20D,EW4,DISCOVERY_2016_2022,328,108,108,-0.0006744180370698168,-0.0004010423950134453,0.0002733756420563715,0.28703703703703703,0.3055555555555556
K200,LIQ_5D_20D,EW4,NORMAL_2023_2024,97,34,32,0.0010096318277177268,-0.00010460278685941625,-0.001114234614577143,0.34375,0.23529411764705882
K200,LIQ_5D_20D,EW4,BULL_2025,49,16,16,-0.0005298971670807178,0.0008934133608123841,0.001423310527893102,0.5,0.1875
K200,LIQ_5D_20D,MOMENTUM,DISCOVERY_2016_2022,328,108,108,-0.0010375064522073207,-0.0018159795595106003,-0.0007784731073032797,0.42592592592592593,0.4537037037037037
K200,LIQ_5D_20D,MOMENTUM,NORMAL_2023_2024,97,34,32,0.003949953367085847,0.00139921060999348,-0.002550742757092367,0.625,0.38235294117647056
K200,LIQ_5D_20D,MOMENTUM,BULL_2025,49,16,16,-0.0037595302749511834,-0.0018492348299044671,0.0019102954450467163,0.5,0.375
