universe,task,horizon,model,period,n,participation,mean,win,edge_vs_control,beat_control,mdd,control_mdd,target_sign_accuracy,rank_ic
KOSDAQ,ALPHA,20,MARKET_ONLY,YTD_2026,13,1.0,0.02467557805373535,0.6153846153846154,0.0,0.0,-0.41510894736298243,-0.41510894736298243,0.9230769230769231,-0.42857142857142855
KOSDAQ,RISK,5,FACTOR_ONLY,BULL_2025,45,0.4,0.002980594213446529,0.24444444444444444,-0.00215574756816686,0.2222222222222222,-0.05844124624270297,-0.1348438853792847,0.4666666666666667,-0.07061923583662713
KOSDAQ,RISK,5,FACTOR_ONLY,DISCOVERY_2016_2022,113,0.4424778761061947,-0.000820142604895554,0.24778761061946902,0.001136540181206789,0.23008849557522124,-0.2999548154017002,-0.4602196287356429,0.4778761061946903,-0.11249085102135872
KOSDAQ,RISK,5,FACTOR_ONLY,NORMAL_2023_2024,73,0.410958904109589,-0.00040076080702133437,0.2328767123287671,-0.0007019264035472016,0.273972602739726,-0.16637115741159048,-0.2828317136078595,0.5068493150684932,0.026965321485869435
KOSDAQ,RISK,5,FACTOR_ONLY,YTD_2026,13,0.38461538461538464,-0.0031398652428584308,0.15384615384615385,-0.01813257087000934,0.3076923076923077,-0.08234194597898759,-0.08967444834086236,0.46153846153846156,-0.5384615384615384
KOSDAQ,RISK,5,FULL,BULL_2025,45,0.5111111111111111,0.0033018031553396407,0.3111111111111111,-0.0018345386262737483,0.17777777777777778,-0.07430575744290135,-0.1348438853792847,0.4888888888888889,-0.03768115942028985
KOSDAQ,RISK,5,FULL,DISCOVERY_2016_2022,113,0.5486725663716814,-0.002497941897577722,0.2831858407079646,-0.0005412591114753784,0.1592920353982301,-0.45559062212568635,-0.4602196287356429,0.4424778761061947,-0.03729456384323642
KOSDAQ,RISK,5,FULL,NORMAL_2023_2024,73,0.3561643835616438,0.0008596052916860517,0.2054794520547945,0.0005584396951601845,0.3013698630136986,-0.1281299595554558,-0.2828317136078595,0.5068493150684932,0.08049487844008393
KOSDAQ,RISK,5,FULL,YTD_2026,13,0.7692307692307693,-0.000164943949132123,0.3076923076923077,-0.015157649576283032,0.07692307692307693,-0.08358676389333763,-0.08967444834086236,0.38461538461538464,-0.07692307692307691
KOSDAQ,RISK,5,MARKET_ONLY,BULL_2025,45,0.5777777777777777,0.002702670441970304,0.35555555555555557,-0.002433671339643084,0.15555555555555556,-0.06793585687394699,-0.1348438853792847,0.5111111111111111,-0.06429512516469038
KOSDAQ,RISK,5,MARKET_ONLY,DISCOVERY_2016_2022,113,0.7964601769911505,-0.0011355305459853113,0.46017699115044247,0.0008211522401170312,0.08849557522123894,-0.39549525977766686,-0.4602196287356429,0.5486725663716814,0.016476478807638566
KOSDAQ,RISK,5,MARKET_ONLY,NORMAL_2023_2024,73,0.4657534246575342,0.00025120149337226985,0.2465753424657534,-4.996410315359729e-05,0.2328767123287671,-0.16053832502144638,-0.2828317136078595,0.4794520547945205,0.039614957423176604
KOSDAQ,RISK,5,MARKET_ONLY,YTD_2026,13,1.0,0.01499270562715091,0.46153846153846156,0.0,0.0,-0.08967444834086236,-0.08967444834086236,0.46153846153846156,0.1758241758241758
KOSDAQ,RISK,20,FACTOR_ONLY,BULL_2025,45,0.2222222222222222,0.005897044977308284,0.17777777777777778,-0.021468122812442494,0.17777777777777778,-0.07589403911886561,-0.280351759368735,0.35555555555555557,-0.15652173913043474
KOSDAQ,RISK,20,FACTOR_ONLY,DISCOVERY_2016_2022,113,0.36283185840707965,-0.011555954905775835,0.11504424778761062,-0.0022818703099842493,0.26548672566371684,-0.8032975331833151,-0.8991343811649554,0.3805309734513274,-0.2732300884955753
KOSDAQ,RISK,20,FACTOR_ONLY,NORMAL_2023_2024,73,0.3424657534246575,-0.0007600757809072815,0.1643835616438356,0.002721624747168968,0.3150684931506849,-0.3691438367839298,-0.7666262322246535,0.4794520547945205,0.029248426508700485
KOSDAQ,RISK,20,FACTOR_ONLY,YTD_2026,13,0.46153846153846156,0.010160124051936854,0.23076923076923078,0.006698401566305963,0.3076923076923077,-0.09829908755889794,-0.474650457750061,0.5384615384615384,0.2912087912087912
