signal_date,date,universe,family,top_abs_5d,bottom_abs_5d,spread_5d,n_side
2018-07-02,2018-07-09,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,0.03405998648796753,0.028543611939598618,0.00551637454836891,68
2018-07-09,2018-07-16,K200,MOMENTUM,-0.012872661816392388,0.0087595932611723,-0.021632255077564687,38
2018-07-09,2018-07-16,K200,REVISION,-0.0192862694182588,0.013630088451496821,-0.03291635786975562,34
2018-07-09,2018-07-16,K200,VALUE,-0.010374490871149456,-0.0021147526052336905,-0.008259738265915766,34
2018-07-09,2018-07-16,K200,FLOW,-0.00387442758996712,0.0004686487702182016,-0.004343076360185322,38
2018-07-09,2018-07-16,KOSPI_EX_K200,MOMENTUM,0.010497183190874523,0.024197144961648792,-0.01369996177077427,29
2018-07-09,2018-07-16,KOSPI_EX_K200,REVISION,0.02262526755123471,0.012136785413891335,0.010488482137343377,17
2018-07-09,2018-07-16,KOSPI_EX_K200,VALUE,0.016055707699640095,0.033423456632832964,-0.01736774893319287,17
2018-07-09,2018-07-16,KOSPI_EX_K200,FLOW,0.007114406468061384,0.019884342778205496,-0.012769936310144111,29
2018-07-09,2018-07-16,KOSPI_ALL,MOMENTUM,0.005684386840704165,0.015441518624065112,-0.009757131783360948,67
2018-07-09,2018-07-16,KOSPI_ALL,REVISION,-0.005319150135892102,0.01530627273545872,-0.020625422871350822,52
2018-07-09,2018-07-16,KOSPI_ALL,VALUE,0.008099354566143822,0.009716640669185851,-0.0016172861030420288,52
2018-07-09,2018-07-16,KOSPI_ALL,FLOW,0.0059659891985073335,0.009629449298416472,-0.0036634600999091386,68
2018-07-09,2018-07-16,KOSDAQ,MOMENTUM,0.024906913730068835,0.015363412591640485,0.00954350113842835,37
2018-07-09,2018-07-16,KOSDAQ,REVISION,0.02292219584446031,0.007294232434172157,0.015627963410288152,24
2018-07-09,2018-07-16,KOSDAQ,VALUE,0.018487896793534648,0.014695014306048776,0.003792882487485872,24
2018-07-09,2018-07-16,KOSDAQ,FLOW,0.01618721577853015,0.01423357795672849,0.001953637821801661,39
2018-07-09,2018-07-16,KOSPI_KOSDAQ_ALL,MOMENTUM,0.01261159324969628,0.015397148577840542,-0.002785555328144262,105
2018-07-09,2018-07-16,KOSPI_KOSDAQ_ALL,REVISION,0.003003289248867171,0.01148895180277185,-0.008485662553904679,76
2018-07-09,2018-07-16,KOSPI_KOSDAQ_ALL,VALUE,0.0016072504888258704,0.0092096869296773,-0.00760243644085143,76
2018-07-09,2018-07-16,KOSPI_KOSDAQ_ALL,FLOW,0.0074520217787434,0.01166885460847388,-0.00421683282973048,107
2018-07-09,2018-07-16,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,0.020567451402746073,0.019673993628644432,0.0008934577741016407,67
2018-07-09,2018-07-16,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,0.019592184814330706,0.008712957860704874,0.010879226953625832,42
2018-07-09,2018-07-16,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,0.011568527485082084,0.014437835678116647,-0.0028693081930345633,42
2018-07-09,2018-07-16,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,0.013569312723000876,0.016324292144630256,-0.00275497942162938,69
2018-07-16,2018-07-23,K200,MOMENTUM,-0.037152255553177777,-0.02395333491609497,-0.013198920637082806,38
2018-07-16,2018-07-23,K200,REVISION,-0.021439481283446773,-0.021225495299402625,-0.00021398598404414812,34
2018-07-16,2018-07-23,K200,VALUE,-0.003692178650107615,-0.04916284102484849,0.04547066237474087,34
2018-07-16,2018-07-23,K200,FLOW,-0.01712833508575118,-0.021329449724756068,0.0042011146390048895,38
2018-07-16,2018-07-23,KOSPI_EX_K200,MOMENTUM,-0.08245545279430573,-0.0546171456901282,-0.027838307104177534,29
2018-07-16,2018-07-23,KOSPI_EX_K200,REVISION,-0.06470852118841999,-0.06106988850339238,-0.0036386326850276138,17
2018-07-16,2018-07-23,KOSPI_EX_K200,VALUE,-0.032158011017919694,-0.07966718005929428,0.04750916904137459,17
2018-07-16,2018-07-23,KOSPI_EX_K200,FLOW,-0.05220990204672482,-0.07345050325558114,0.02124060120885632,30
2018-07-16,2018-07-23,KOSPI_ALL,MOMENTUM,-0.062319996299357354,-0.03274018754344124,-0.029579808755916114,67
2018-07-16,2018-07-23,KOSPI_ALL,REVISION,-0.03409080937421119,-0.02951555763965867,-0.0045752517345525184,52
2018-07-16,2018-07-23,KOSPI_ALL,VALUE,-0.013321633994779676,-0.05510839648273401,0.041786762487954335,52
2018-07-16,2018-07-23,KOSPI_ALL,FLOW,-0.03185828507644151,-0.04963911892582774,0.017780833849386224,68
2018-07-16,2018-07-23,KOSDAQ,MOMENTUM,-0.09299197777926764,-0.06679875410088026,-0.026193223678387376,40
2018-07-16,2018-07-23,KOSDAQ,REVISION,-0.06493474636295922,-0.08554414492170538,0.02060939855874616,25
2018-07-16,2018-07-23,KOSDAQ,VALUE,-0.050448638719215386,-0.0750139157591089,0.024565277039893516,25
2018-07-16,2018-07-23,KOSDAQ,FLOW,-0.09328654807845516,-0.08175734914319817,-0.011529198935256987,40
2018-07-16,2018-07-23,KOSPI_KOSDAQ_ALL,MOMENTUM,-0.0816807235243892,-0.04469318712013207,-0.03698753640425712,107
2018-07-16,2018-07-23,KOSPI_KOSDAQ_ALL,REVISION,-0.0475498508138205,-0.0477743536813123,0.0002245028674917951,77
2018-07-16,2018-07-23,KOSPI_KOSDAQ_ALL,VALUE,-0.017952953075471723,-0.07039713404420192,0.0524441809687302,78
2018-07-16,2018-07-23,KOSPI_KOSDAQ_ALL,FLOW,-0.0558067764831424,-0.056119984705569156,0.00031320822242675295,109
2018-07-16,2018-07-23,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,-0.09156266387911582,-0.06099072856850212,-0.030571935310613703,69
2018-07-16,2018-07-23,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,-0.06700022506114074,-0.07610775522475563,0.009107530163614888,43
2018-07-16,2018-07-23,KOSDAQ_PLUS_KOSPI_EX_K200,VALUE,-0.039325842902328365,-0.07788001074871348,0.038554167846385115,43
2018-07-16,2018-07-23,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,-0.07690895639743513,-0.07268547921532915,-0.0042234771821059724,71
2018-07-23,2018-07-30,K200,MOMENTUM,0.005532176174922421,0.037180439452731105,-0.03164826327780868,38
2018-07-23,2018-07-30,K200,REVISION,0.02296988663631753,0.0271900144151963,-0.004220127778878771,34
2018-07-23,2018-07-30,K200,VALUE,0.023136442192124476,0.003377807292873381,0.019758634899251094,34
2018-07-23,2018-07-30,K200,FLOW,0.01709596832648325,0.02719606257315037,-0.010100094246667121,38
2018-07-23,2018-07-30,KOSPI_EX_K200,MOMENTUM,0.010919086687453384,0.05042749187585214,-0.03950840518839875,27
2018-07-23,2018-07-30,KOSPI_EX_K200,REVISION,0.05514881165551028,0.02454592864777396,0.030602883007736316,17
2018-07-23,2018-07-30,KOSPI_EX_K200,VALUE,0.03553095523979647,0.008930130829052581,0.02660082441074389,17
2018-07-23,2018-07-30,KOSPI_EX_K200,FLOW,0.024364481053634843,0.02856077534974814,-0.004196294296113297,28
2018-07-23,2018-07-30,KOSPI_ALL,MOMENTUM,0.007553582166402065,0.04250890103434938,-0.03495531886794731,65
2018-07-23,2018-07-30,KOSPI_ALL,REVISION,0.033582637655954206,0.02511589188723398,0.008466745768720228,51
2018-07-23,2018-07-30,KOSPI_ALL,VALUE,0.027987739776840454,0.008647937949238753,0.0193398018276017,52
2018-07-23,2018-07-30,KOSPI_ALL,FLOW,0.01992449757006866,0.030383179827547104,-0.010458682257478445,67
2018-07-23,2018-07-30,KOSDAQ,MOMENTUM,0.03553547940090423,0.03107196300444613,0.0044635163964581,36
2018-07-23,2018-07-30,KOSDAQ,REVISION,0.018240209619623814,0.03169033515399132,-0.013450125534367505,23
2018-07-23,2018-07-30,KOSDAQ,VALUE,0.041529089802473745,0.01731798223042379,0.024211107572049955,23
2018-07-23,2018-07-30,KOSDAQ,FLOW,0.015927522932695715,0.025451780417896797,-0.009524257485201082,38
2018-07-23,2018-07-30,KOSPI_KOSDAQ_ALL,MOMENTUM,0.016594657401833784,0.03893033352608086,-0.022335676124247073,102
2018-07-23,2018-07-30,KOSPI_KOSDAQ_ALL,REVISION,0.028998212416305607,0.02625372153136402,0.0027444908849415875,75
2018-07-23,2018-07-30,KOSPI_KOSDAQ_ALL,VALUE,0.029603406901177305,0.013258536834861815,0.016344870066315492,75
2018-07-23,2018-07-30,KOSPI_KOSDAQ_ALL,FLOW,0.01879448585512888,0.028308594244492745,-0.009514108389363864,105
2018-07-23,2018-07-30,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,0.02377209834202492,0.039231852831135935,-0.015459754489111015,64
