sample,universe,variable,horizon,train_q1,train_q2,n_low,n_high,low_mean,high_mean,high_minus_low
TRAIN_2016_2022,KOSDAQ,positive_abs_breadth,5,0.25,1.0,105,99,0.000701770232972179,0.004789512634935043,0.004087742401962864
TRAIN_2016_2022,KOSDAQ,positive_abs_breadth,20,0.25,1.0,105,99,0.017331706065437075,0.005438815969960384,-0.01189289009547669
POST_2023_PLUS,KOSDAQ,positive_abs_breadth,1,0.25,1.0,61,63,0.0029513181766584397,-0.002371649631182616,-0.005322967807841056
POST_2023_PLUS,KOSDAQ,positive_abs_breadth,5,0.25,1.0,60,63,0.00013910586032851678,0.005014098463407762,0.004874992603079245
POST_2023_PLUS,KOSDAQ,positive_abs_breadth,20,0.25,1.0,57,63,-3.1604560936143676e-05,0.005171873948181286,0.00520347850911743
POST_2023_2024,KOSDAQ,positive_abs_breadth,1,0.25,1.0,40,28,0.0039275921517683225,-0.002331099366278057,-0.0062586915180463795
POST_2023_2024,KOSDAQ,positive_abs_breadth,5,0.25,1.0,40,28,0.003317141411410747,-0.0014236287025178877,-0.004740770113928635
POST_2023_2024,KOSDAQ,positive_abs_breadth,20,0.25,1.0,40,28,0.009122834744709731,-0.0043951318267465836,-0.013517966571456316
BULL_2025,KOSDAQ,positive_abs_breadth,1,0.25,1.0,9,25,0.005600886176651316,0.002338326451386252,-0.003262559725265064
BULL_2025,KOSDAQ,positive_abs_breadth,5,0.25,1.0,9,25,0.011199272429756458,0.008678993012444802,-0.002520279417311656
BULL_2025,KOSDAQ,positive_abs_breadth,20,0.25,1.0,9,25,0.03545810542929295,0.03476486617179233,-0.0006932392575006233
YTD_2026,KOSDAQ,positive_abs_breadth,1,0.25,1.0,12,10,-0.0022901044070358294,-0.014260130579337551,-0.011970026172301721
YTD_2026,KOSDAQ,positive_abs_breadth,5,0.25,1.0,11,10,-0.02046661424586609,0.013877498155406976,0.034344112401273066
YTD_2026,KOSDAQ,positive_abs_breadth,20,0.25,1.0,8,10,-0.08572972482817326,-0.042022990441048284,0.043706734387124975
TRAIN_2016_2022,KOSDAQ,abs_confirmed_breadth,1,0.0,0.25,110,181,0.0011628698720777925,0.00045783346887265375,-0.0007050364032051388
TRAIN_2016_2022,KOSDAQ,abs_confirmed_breadth,5,0.0,0.25,110,181,0.0033049655960473586,7.274400577375529e-05,-0.0032322215902736034
TRAIN_2016_2022,KOSDAQ,abs_confirmed_breadth,20,0.0,0.25,110,181,0.019080023092159223,-0.0027117514967064963,-0.02179177458886572
POST_2023_PLUS,KOSDAQ,abs_confirmed_breadth,1,0.0,0.25,62,113,0.0017924716056203173,3.92836241718521e-05,-0.0017531879814484653
POST_2023_PLUS,KOSDAQ,abs_confirmed_breadth,5,0.0,0.25,61,113,-1.0898037943234698e-05,0.0024212870195936395,0.002432185057536874
POST_2023_PLUS,KOSDAQ,abs_confirmed_breadth,20,0.0,0.25,58,113,-0.0031041302513529424,0.008863965084178754,0.011968095335531696
POST_2023_2024,KOSDAQ,abs_confirmed_breadth,1,0.0,0.25,39,58,0.00260047018095564,-0.0013627475399430955,-0.0039632177208987355
POST_2023_2024,KOSDAQ,abs_confirmed_breadth,5,0.0,0.25,39,58,-0.0004937698949665589,0.0013051698795258223,0.001798939774492381
POST_2023_2024,KOSDAQ,abs_confirmed_breadth,20,0.0,0.25,39,58,0.0038340413934190055,0.001019839364845132,-0.0028142020285738733
BULL_2025,KOSDAQ,abs_confirmed_breadth,1,0.0,0.25,11,38,0.004581183656003804,0.0018670604314252337,-0.0027141232245785707
BULL_2025,KOSDAQ,abs_confirmed_breadth,5,0.0,0.25,11,38,0.008064883436286035,0.006854628938683177,-0.0012102544976028582
BULL_2025,KOSDAQ,abs_confirmed_breadth,20,0.0,0.25,11,38,0.03800523289051212,0.026544900559357404,-0.011460332331154718
YTD_2026,KOSDAQ,abs_confirmed_breadth,1,0.0,0.25,12,17,-0.003389843143737678,0.0007370653208211721,0.00412690846455885
YTD_2026,KOSDAQ,abs_confirmed_breadth,5,0.0,0.25,11,17,-0.006374679291817085,-0.003680607027551596,0.002694072264265489
YTD_2026,KOSDAQ,abs_confirmed_breadth,20,0.0,0.25,8,17,-0.09345309133968065,-0.003895814700258814,0.08955727663942183
TRAIN_2016_2022,KOSDAQ,bearish_reverse_breadth,1,0.0,0.25,155,136,2.220603464793024e-05,0.0015245706501770461,0.001502364615529116
TRAIN_2016_2022,KOSDAQ,bearish_reverse_breadth,5,0.0,0.25,155,136,0.0010584635942723255,0.0015636104668974163,0.0005051468726250908
TRAIN_2016_2022,KOSDAQ,bearish_reverse_breadth,20,0.0,0.25,155,136,-0.001292572570985531,0.01329650196864997,0.0145890745396355
POST_2023_PLUS,KOSDAQ,bearish_reverse_breadth,1,0.0,0.25,91,84,-0.0010446109460412675,0.0025075224424956468,0.0035521333885369143
POST_2023_PLUS,KOSDAQ,bearish_reverse_breadth,5,0.0,0.25,91,83,0.003668199878296278,-0.000733319711149607,-0.004401519589445885
POST_2023_PLUS,KOSDAQ,bearish_reverse_breadth,20,0.0,0.25,91,80,0.00649399747775765,0.0028829341182222802,-0.0036110633595353697
POST_2023_2024,KOSDAQ,bearish_reverse_breadth,1,0.0,0.25,51,46,-0.0006285332192419264,0.0011833516069980152,0.0018118848262399416
POST_2023_2024,KOSDAQ,bearish_reverse_breadth,5,0.0,0.25,51,46,-0.0028821846379357826,0.004422483557467974,0.007304668195403757
POST_2023_2024,KOSDAQ,bearish_reverse_breadth,20,0.0,0.25,51,46,-0.0050594022862407995,0.010145822045709556,0.015205224331950356
BULL_2025,KOSDAQ,bearish_reverse_breadth,1,0.0,0.25,29,20,0.002856296839641697,0.0019254354130295776,-0.0009308614266121192
BULL_2025,KOSDAQ,bearish_reverse_breadth,5,0.0,0.25,29,20,0.011977867535681749,9.157294671682421e-05,-0.011886294588964924
BULL_2025,KOSDAQ,bearish_reverse_breadth,20,0.0,0.25,29,20,0.036301173161561354,0.018701488068296763,-0.01759968509326459
YTD_2026,KOSDAQ,bearish_reverse_breadth,1,0.0,0.25,11,18,-0.013257910023456936,0.006538277943729669,0.019796187967186605
YTD_2026,KOSDAQ,bearish_reverse_breadth,5,0.0,0.25,11,17,0.01213085881135597,-0.01565477874136945,-0.02778563755272542
YTD_2026,KOSDAQ,bearish_reverse_breadth,20,0.0,0.25,11,14,-0.018522794055550226,-0.043578774715056605,-0.02505598065950638
TRAIN_2016_2022,KOSDAQ,spread_dispersion,1,0.03235505801805877,0.0568358300811471,97,97,-0.0008182159511144876,0.0027313804941544737,0.0035495964452689614
TRAIN_2016_2022,KOSDAQ,spread_dispersion,5,0.03235505801805877,0.0568358300811471,97,97,-0.004302846426357067,0.006668068863386061,0.010970915289743127
TRAIN_2016_2022,KOSDAQ,spread_dispersion,20,0.03235505801805877,0.0568358300811471,97,97,-0.009517769447920894,0.006546129267029884,0.01606389871495078
POST_2023_PLUS,KOSDAQ,spread_dispersion,1,0.03235505801805877,0.0568358300811471,32,78,-0.002781992282915913,-0.00023002751310859527,0.0025519647698073176
POST_2023_PLUS,KOSDAQ,spread_dispersion,5,0.03235505801805877,0.0568358300811471,32,77,-0.0012461194831419934,-0.0021083886748577787,-0.0008622691917157853
POST_2023_PLUS,KOSDAQ,spread_dispersion,20,0.03235505801805877,0.0568358300811471,32,74,-0.01339780489895254,0.0028022944983677185,0.01620009939732026
POST_2023_2024,KOSDAQ,spread_dispersion,1,0.03235505801805877,0.0568358300811471,24,39,0.0006033734747991256,0.0005363630479551535,-6.701042684397211e-05
POST_2023_2024,KOSDAQ,spread_dispersion,5,0.03235505801805877,0.0568358300811471,24,39,-0.009292741768490773,0.007299607240102826,0.016592349008593597
POST_2023_2024,KOSDAQ,spread_dispersion,20,0.03235505801805877,0.0568358300811471,24,39,-0.02339500063437776,0.027218030888990486,0.05061303152336825
TRAIN_2016_2022,KOSDAQ,avg_corr_60d,1,-0.03282524865698793,0.14884199997954084,97,97,-0.001182033678085169,0.0004535388330217796,0.0016355725111069487
TRAIN_2016_2022,KOSDAQ,avg_corr_60d,5,-0.03282524865698793,0.14884199997954084,97,97,0.000804819147410095,0.0011505347387602003,0.0003457155913501053
TRAIN_2016_2022,KOSDAQ,avg_corr_60d,20,-0.03282524865698793,0.14884199997954084,97,97,-0.00318471809700508,0.01079613541183891,0.013980853508843991
POST_2023_PLUS,KOSDAQ,avg_corr_60d,1,-0.03282524865698793,0.14884199997954084,48,26,-0.008847561077154939,0.0054479321044976015,0.01429549318165254
POST_2023_PLUS,KOSDAQ,avg_corr_60d,5,-0.03282524865698793,0.14884199997954084,48,26,-0.01107157108930621,0.00019672417279823607,0.011268295262104447
POST_2023_PLUS,KOSDAQ,avg_corr_60d,20,-0.03282524865698793,0.14884199997954084,47,26,-0.029284690517668136,0.007899560015659803,0.03718425053332794
POST_2023_2024,KOSDAQ,avg_corr_60d,1,-0.03282524865698793,0.14884199997954084,23,18,-0.006674933499149316,0.004891229341666283,0.011566162840815599
POST_2023_2024,KOSDAQ,avg_corr_60d,5,-0.03282524865698793,0.14884199997954084,23,18,-0.005476503413342123,-0.002641507313304304,0.0028349961000378194
POST_2023_2024,KOSDAQ,avg_corr_60d,20,-0.03282524865698793,0.14884199997954084,23,18,-0.015389452862362837,-0.005882894603831578,0.009506558258531259
BULL_2025,KOSDAQ,avg_corr_60d,1,-0.03282524865698793,0.14884199997954084,13,8,-0.00767786586192216,0.0067005133208680664,0.014378379182790228
BULL_2025,KOSDAQ,avg_corr_60d,5,-0.03282524865698793,0.14884199997954084,13,8,-0.002318532306660826,0.0065827450165289545,0.00890127732318978
BULL_2025,KOSDAQ,avg_corr_60d,20,-0.03282524865698793,0.14884199997954084,13,8,0.007276387620561144,0.038910082909515406,0.03163369528895426
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,1,0.25,1.0,114,108,0.0016762031022728595,0.0004880439811614397,-0.0011881591211114198
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,5,0.25,1.0,114,108,0.0017363240576924249,0.002206974385463664,0.00047065032777123916
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,20,0.25,1.0,114,108,0.0123172436144968,-0.0012513308317276294,-0.013568574446224429
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,1,0.25,1.0,68,64,0.003156878131323181,-0.0028519822087113376,-0.006008860340034519
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,5,0.25,1.0,67,64,-0.000860178628543495,0.0010717705389826269,0.001931949167526122
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,20,0.25,1.0,64,64,0.008187310604714757,0.006697670918393218,-0.0014896396863215387
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,1,0.25,1.0,41,29,0.0028911965423126613,-0.0029046419540803424,-0.005795838496393004
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,5,0.25,1.0,41,29,0.0030642509819515528,-0.0015559520309614745,-0.004620203012913027
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,20,0.25,1.0,41,29,0.013541986471429485,0.004858670790192549,-0.008683315681236935
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,1,0.25,1.0,12,26,0.0018096663484035453,0.0018016036009384376,-8.06274746510769e-06
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,5,0.25,1.0,12,26,0.006692556325083278,0.005330811867724357,-0.0013617444573589205
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,20,0.25,1.0,12,26,0.03323170383591813,0.033103666102401626,-0.000128037733516502
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,1,0.25,1.0,15,9,0.004960843900954313,-0.016125993145955003,-0.021086837046909317
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,5,0.25,1.0,14,9,-0.018826923876673368,-0.002765020574229159,0.01606190330244421
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,positive_abs_breadth,20,0.25,1.0,11,9,-0.039092182968898354,-0.06366064808898447,-0.02456846512008612
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,1,0.0,0.25,113,178,0.0008737548330737754,0.0006306224089425616,-0.00024313242413121373
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,5,0.0,0.25,113,178,-0.0006215528216729028,0.0020382162762486063,0.002659769097921509
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,20,0.0,0.25,113,178,0.00503763585937522,0.004045194362686061,-0.0009924414966891587
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,1,0.0,0.25,67,108,0.0029709536766521836,-0.0009700603696382544,-0.003941014046290438
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,5,0.0,0.25,66,108,0.0025870889058768045,0.001455797054187442,-0.0011312918516893625
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,20,0.0,0.25,63,108,0.0007223766999983277,0.00963303196777684,0.008910655267778513
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,1,0.0,0.25,45,52,0.0032941787267613716,-0.0029715424718318143,-0.0062657211985931854
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,5,0.0,0.25,45,52,0.0016596798039375743,0.00023476518603138122,-0.001424914617906193
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,20,0.0,0.25,45,52,0.0008100399367641739,0.005240151636082187,0.004430111699318014
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,1,0.0,0.25,9,40,0.001764635051845056,0.0023984166006621186,0.0006337815488170625
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,5,0.0,0.25,9,40,0.015520434131047596,0.004797621999402484,-0.010722812131645113
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,20,0.0,0.25,9,40,0.04749503841071603,0.023448676486464527,-0.0240463619242515
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,1,0.0,0.25,13,16,0.0026872413972945423,-0.002886435963260117,-0.00557367736055466
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,5,0.0,0.25,12,16,-0.0036351358807291726,-0.002930411737342962,0.0007047241433862108
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,abs_confirmed_breadth,20,0.0,0.25,9,16,-0.04648860119454861,-0.010629218250934755,0.035859382943613856
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,1,0.0,0.25,156,135,0.0004731982513614685,0.0010160456127164712,0.0005428473613550027
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,5,0.0,0.25,156,135,0.0005071074270430633,0.0015811723681814513,0.0010740649411383882
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,20,0.0,0.25,156,135,-0.004428287622986499,0.014667483835951208,0.019095771458937705
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,1,0.0,0.25,85,90,-0.0008468781544442625,0.0018474668838058563,0.0026943450382501187
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,5,0.0,0.25,85,89,-0.0006361617100060063,0.004292670730231726,0.004928832440237733
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,20,0.0,0.25,85,86,0.005306950659204769,0.00738123696031846,0.002074286301113691
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,1,0.0,0.25,45,52,-0.0022883957159258927,0.0018595315651090889,0.004147927281034982
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,5,0.0,0.25,45,52,-0.0044661690584029655,0.005535980547672233,0.010002149606075199
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,20,0.0,0.25,45,52,0.001668935757160002,0.004496876406893491,0.0028279406497334885
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,1,0.0,0.25,28,21,0.0026157516356826393,0.001837015890189349,-0.0007787357454932902
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,5,0.0,0.25,28,21,0.007196304690401144,0.00619486932496646,-0.0010014353654346836
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,20,0.0,0.25,28,21,0.03441430653943779,0.019133420097655587,-0.015280886441782205
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,1,0.0,0.25,12,17,-0.0035206568091842518,0.0018234732036987147,0.005344130012882966
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,5,0.0,0.25,12,16,-0.004549389087800758,-0.0022447218320392724,0.0023046672557614856
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,bearish_reverse_breadth,20,0.0,0.25,12,13,-0.04896765717867103,-6.561666321854329e-05,0.04890204051545249
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,spread_dispersion,1,0.03219920122420118,0.05391279681382451,97,97,-0.0013755712264604328,0.0029180916797133067,0.0042936629061737395
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,spread_dispersion,5,0.03219920122420118,0.05391279681382451,97,97,-0.001783662999679604,0.006935717501212129,0.008719380500891733
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,spread_dispersion,20,0.03219920122420118,0.05391279681382451,97,97,-0.008150551379859003,0.018382862870503027,0.026533414250362028
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,spread_dispersion,1,0.03219920122420118,0.05391279681382451,47,68,0.0026979537129792667,0.0004589179678283783,-0.0022390357451508884
