date,universe,positive_abs_breadth,working_breadth,abs_confirmed_breadth,bearish_reverse_breadth,other_positive_abs_breadth,other_working_breadth,spread_dispersion,avg_corr_60d,mom_state,meta_state,momentum_state,momentum_top_abs20,momentum_spread20,revision_state,revision_top_abs20,revision_spread20,value_state,value_top_abs20,value_spread20,flow_state,flow_top_abs20,flow_spread20
2026-06-08,K200,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.07005100373654351,-0.0871869601620044,W-,OTHER,W-,-0.11548097516951705,0.04939470314937522,R-,-0.13039347913507104,-0.06278082549342467,W-,-0.11068122961346294,0.09703633369986298,R-,-0.16931698750819324,-0.013048461335312123
2026-06-15,K200,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.03261868796670368,-0.06898100478322905,W-,OTHER,W-,-0.022891971654244836,0.04304280310739317,N,-0.018781275544876852,-0.009586005257154584,W-,-0.0005548881285174501,0.051735604502580634,N,-0.059915497546816576,-0.007935028885161954
2026-06-22,K200,0.25,0.5,0.25,0.0,0.3333333333333333,0.3333333333333333,0.036346080677431836,-0.07704116909634788,W-,OTHER,W-,-0.014139483532883745,0.077391923406821,W+,0.0014121981142776185,0.03910759699069333,N,-0.0597828126486617,0.00288865448866904,N,-0.07731783579469431,1.2758052975958556e-05
2026-06-29,K200,0.0,0.75,0.0,0.25,0.0,1.0,0.06282912727645497,-0.06675595344049136,R-,MOM_BROAD_RISK_OFF,R-,-0.14271934781925188,-0.062312888745746364,W-,-0.05979071563044869,0.03754596784634212,W-,-0.0397454458718679,0.08880888057053138,W-,-0.09029742613795733,0.027672805792112398
2026-07-06,K200,0.5,0.75,0.5,0.25,0.6666666666666666,1.0,0.05550176581310852,-0.06222632405750852,R-,MOM_RISK_ROTATION_SUPPORT,R-,-0.05726550235910943,-0.05488996728954776,W+,0.019950272943283665,0.03988006773066399,W+,0.04992293579945817,0.07669034394784857,W-,-0.00411031823695851,0.014814432929589172
2026-07-13,K200,0.0,0.5,0.0,0.25,0.0,0.6666666666666666,0.09639746059712904,-0.046915008920259384,R-,MOM_BROAD_RISK_OFF,R-,-0.21648689434312607,-0.06164033090941479,N,-0.16522411208224796,-0.014989903551495876,W-,-0.0859150879136944,0.1621219222926138,W-,-0.1433032914394241,0.02568246647957262
2026-07-21,K200,0.0,0.5,0.0,0.5,0.0,0.6666666666666666,0.13535528444092357,-0.0371968024690744,R-,MOM_BROAD_RISK_OFF,R-,-0.21070087195903442,-0.08161857337973732,R-,-0.17235079325472835,-0.074921436472144,W-,-0.020896267469927565,0.20757640567497715,W-,-0.1066985979379883,0.0420086549326123
2026-07-28,K200,0.0,0.5,0.0,0.5,0.0,0.6666666666666666,0.14288979563310378,-0.0807731259258037,R-,MOM_BROAD_RISK_OFF,R-,-0.1868572675170197,-0.04871142248669791,R-,-0.1914880221938149,-0.12102625445714044,W-,-0.025546093001455272,0.20420770346427797,W-,-0.08688394267945043,0.07396772641362881
2026-08-04,K200,0.0,0.5,0.0,0.5,0.0,0.6666666666666666,0.10573531275049673,-0.24923721245513675,R-,MOM_BROAD_RISK_OFF,R-,-0.1342683180692691,-0.09202899894826566,R-,-0.1171768791371749,-0.07883101280705995,W-,-0.01884153771612007,0.11475970681937953,W-,-0.028126576968057537,0.07606624227554282
2017-02-07,KOSDAQ,0.0,0.0,0.0,0.25,0.0,0.0,0.019619380390827404,-0.04329769457631787,N,OTHER,N,-0.07856415137280515,-0.02914236992277819,N,-0.06297751025757414,-0.006255379678998363,N,-0.024980859614558648,0.016768352541975284,R-,-0.07843315267519713,-0.01780634596273345
2017-02-14,KOSDAQ,0.25,0.25,0.25,0.5,0.3333333333333333,0.3333333333333333,0.04072206541525914,-0.053261327246766826,R-,MOM_BROAD_RISK_OFF,R-,-0.08037935499966464,-0.046381431270267726,N,-0.023776029942632615,-0.005566671083201413,W+,0.02011312039673241,0.051409352000934105,R-,-0.05292649943428818,-0.01431276516001534
2017-02-21,KOSDAQ,0.5,0.25,0.25,0.5,0.6666666666666666,0.3333333333333333,0.0501171334183771,0.03473473429223775,R-,MOM_RISK_ROTATION_SUPPORT,R-,-0.04183914061381344,-0.05470343482146167,N,0.04045536983803122,0.019334345390999985,W+,0.03611553786816479,0.043273303506698,R-,-0.02584844712368073,-0.05294877548074306
2017-02-28,KOSDAQ,0.5,0.0,0.0,0.5,0.6666666666666666,0.0,0.05088986649241615,0.029319482513130435,R-,MOM_RISK_ROTATION_SUPPORT,R-,-0.0722131800582626,-0.10938380070841225,R+,0.009499060903606527,-0.027251113625787582,N,0.02773276414029513,0.01277548755585145,R-,-0.022148706781171534,-0.03721992883249248
