sample,universe,family_a,family_b,corr
TRAIN_2016_2022,KOSDAQ,FLOW,REVISION,0.09826384492276974
TRAIN_2016_2022,KOSDAQ,FLOW,VALUE,0.06372512370861103
TRAIN_2016_2022,KOSDAQ,MOMENTUM,REVISION,0.27246132094797715
TRAIN_2016_2022,KOSDAQ,MOMENTUM,VALUE,-0.27540831412333266
TRAIN_2016_2022,KOSDAQ,REVISION,VALUE,-0.1340915318827334
POST_2023_PLUS,KOSDAQ,FLOW,MOMENTUM,0.16673926548313228
POST_2023_PLUS,KOSDAQ,FLOW,REVISION,0.15918130455071927
POST_2023_PLUS,KOSDAQ,FLOW,VALUE,0.2111353929557907
POST_2023_PLUS,KOSDAQ,MOMENTUM,REVISION,0.25995206718385394
POST_2023_PLUS,KOSDAQ,MOMENTUM,VALUE,-0.28680679127020675
POST_2023_PLUS,KOSDAQ,REVISION,VALUE,-0.2597952483419649
POST_2023_2024,KOSDAQ,FLOW,MOMENTUM,0.04487973794219285
POST_2023_2024,KOSDAQ,FLOW,REVISION,0.18257983227689356
POST_2023_2024,KOSDAQ,FLOW,VALUE,0.29770473208388926
POST_2023_2024,KOSDAQ,MOMENTUM,REVISION,0.12530328376522654
POST_2023_2024,KOSDAQ,MOMENTUM,VALUE,-0.3439938564033336
POST_2023_2024,KOSDAQ,REVISION,VALUE,-0.04769157188731795
BULL_2025,KOSDAQ,FLOW,MOMENTUM,0.24147748207588823
BULL_2025,KOSDAQ,FLOW,REVISION,0.28365226882094347
BULL_2025,KOSDAQ,FLOW,VALUE,-0.04295432607345755
BULL_2025,KOSDAQ,MOMENTUM,REVISION,0.2540519939478724
BULL_2025,KOSDAQ,MOMENTUM,VALUE,-0.18430491014544761
BULL_2025,KOSDAQ,REVISION,VALUE,-0.19653641558822135
YTD_2026,KOSDAQ,FLOW,MOMENTUM,0.308380268844065
YTD_2026,KOSDAQ,FLOW,REVISION,0.04905082360175285
YTD_2026,KOSDAQ,FLOW,VALUE,0.23475720142452108
YTD_2026,KOSDAQ,MOMENTUM,REVISION,0.41366633484229215
YTD_2026,KOSDAQ,MOMENTUM,VALUE,-0.27893501046591945
YTD_2026,KOSDAQ,REVISION,VALUE,-0.6105953370143069
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,MOMENTUM,0.07953039111407002
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,REVISION,0.09354144814463652
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,VALUE,0.06530512961965552
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,REVISION,0.34607011331292153
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,VALUE,-0.24568503365502492
TRAIN_2016_2022,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,VALUE,-0.16467667538401864
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,MOMENTUM,0.2714976262771612
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,REVISION,0.1355719562619404
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,VALUE,0.19257757805263967
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,REVISION,0.2944848225687944
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,VALUE,-0.2628743676351332
POST_2023_PLUS,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,VALUE,-0.39048485168436686
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,MOMENTUM,0.29222906598960374
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,REVISION,0.13003968182959233
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,VALUE,0.27175022410750616
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,REVISION,0.26276474834363966
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,VALUE,-0.28071377417830773
POST_2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,VALUE,-0.20932387781513204
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,MOMENTUM,0.20726890494167527
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,REVISION,0.1547848438759002
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,VALUE,0.1089287259372642
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,REVISION,0.24594594761107016
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,VALUE,-0.2626949296260755
BULL_2025,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,VALUE,-0.12039147456935939
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,MOMENTUM,0.3045062414321762
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,REVISION,0.12911150028836557
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,FLOW,VALUE,0.13389731730673982
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,REVISION,0.39890096872887326
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM,VALUE,-0.25438474983945
YTD_2026,KOSDAQ_PLUS_KOSPI_EX_K200,REVISION,VALUE,-0.7581878484902712
TRAIN_2016_2022,KOSPI_ALL,FLOW,MOMENTUM,0.2169397607873027
TRAIN_2016_2022,KOSPI_ALL,FLOW,REVISION,0.2661331320015025
TRAIN_2016_2022,KOSPI_ALL,FLOW,VALUE,-0.13639587758551797
TRAIN_2016_2022,KOSPI_ALL,MOMENTUM,REVISION,0.5406218418542306
TRAIN_2016_2022,KOSPI_ALL,MOMENTUM,VALUE,-0.32109607848365374
TRAIN_2016_2022,KOSPI_ALL,REVISION,VALUE,-0.20540102881988112
POST_2023_PLUS,KOSPI_ALL,FLOW,MOMENTUM,0.33317136951115217
POST_2023_PLUS,KOSPI_ALL,FLOW,REVISION,0.19243608484866023
POST_2023_PLUS,KOSPI_ALL,FLOW,VALUE,0.028719139152600177
POST_2023_PLUS,KOSPI_ALL,MOMENTUM,REVISION,0.40315175694258315
POST_2023_PLUS,KOSPI_ALL,MOMENTUM,VALUE,-0.2069804395680978
POST_2023_PLUS,KOSPI_ALL,REVISION,VALUE,-0.41708013849871717
POST_2023_2024,KOSPI_ALL,FLOW,MOMENTUM,0.4844077908426827
POST_2023_2024,KOSPI_ALL,FLOW,REVISION,0.19529739837507692
POST_2023_2024,KOSPI_ALL,FLOW,VALUE,0.07297524543749408
POST_2023_2024,KOSPI_ALL,MOMENTUM,REVISION,0.4082480113196794
POST_2023_2024,KOSPI_ALL,MOMENTUM,VALUE,-0.024595875862638474
POST_2023_2024,KOSPI_ALL,REVISION,VALUE,-0.32323868009766915
BULL_2025,KOSPI_ALL,FLOW,MOMENTUM,0.4225241750124166
BULL_2025,KOSPI_ALL,FLOW,REVISION,0.2596354659852188
BULL_2025,KOSPI_ALL,FLOW,VALUE,-0.1226466825435242
BULL_2025,KOSPI_ALL,MOMENTUM,REVISION,0.510145209204988
BULL_2025,KOSPI_ALL,MOMENTUM,VALUE,-0.3169533069814618
BULL_2025,KOSPI_ALL,REVISION,VALUE,-0.34991483108537574
YTD_2026,KOSPI_ALL,FLOW,MOMENTUM,-0.034279933109099395
YTD_2026,KOSPI_ALL,FLOW,REVISION,0.09978627193170932
YTD_2026,KOSPI_ALL,FLOW,VALUE,0.10445179144200874
YTD_2026,KOSPI_ALL,MOMENTUM,REVISION,0.3084516786959323
YTD_2026,KOSPI_ALL,MOMENTUM,VALUE,-0.3846737887943003
YTD_2026,KOSPI_ALL,REVISION,VALUE,-0.6727547692651104
TRAIN_2016_2022,KOSPI_EX_K200,FLOW,MOMENTUM,-0.08750634291705178
TRAIN_2016_2022,KOSPI_EX_K200,FLOW,REVISION,0.16286553996220676
TRAIN_2016_2022,KOSPI_EX_K200,FLOW,VALUE,0.030980151815298316
TRAIN_2016_2022,KOSPI_EX_K200,MOMENTUM,REVISION,0.3325546549723086
TRAIN_2016_2022,KOSPI_EX_K200,MOMENTUM,VALUE,-0.2627361747196092
TRAIN_2016_2022,KOSPI_EX_K200,REVISION,VALUE,-0.16265046131133515
POST_2023_PLUS,KOSPI_EX_K200,FLOW,MOMENTUM,0.29613718515804316
POST_2023_PLUS,KOSPI_EX_K200,FLOW,REVISION,0.2086750369790739
POST_2023_PLUS,KOSPI_EX_K200,FLOW,VALUE,-0.021412980497426085
POST_2023_PLUS,KOSPI_EX_K200,MOMENTUM,REVISION,0.20931490220127338
POST_2023_PLUS,KOSPI_EX_K200,MOMENTUM,VALUE,-0.19525500553662978
POST_2023_PLUS,KOSPI_EX_K200,REVISION,VALUE,-0.1877569736995289
POST_2023_2024,KOSPI_EX_K200,FLOW,MOMENTUM,0.4805687022874545
POST_2023_2024,KOSPI_EX_K200,FLOW,REVISION,0.246002684988203
POST_2023_2024,KOSPI_EX_K200,FLOW,VALUE,-0.1091785097472591
POST_2023_2024,KOSPI_EX_K200,MOMENTUM,REVISION,0.22089323489850862
POST_2023_2024,KOSPI_EX_K200,MOMENTUM,VALUE,-0.21342279515166607
POST_2023_2024,KOSPI_EX_K200,REVISION,VALUE,-0.16694670630420663
BULL_2025,KOSPI_EX_K200,FLOW,MOMENTUM,0.0009261158389301201
BULL_2025,KOSPI_EX_K200,FLOW,REVISION,0.11284459315183658
BULL_2025,KOSPI_EX_K200,FLOW,VALUE,0.05333804816746548
BULL_2025,KOSPI_EX_K200,MOMENTUM,REVISION,0.23603571755927666
BULL_2025,KOSPI_EX_K200,MOMENTUM,VALUE,-0.25033891240020734
BULL_2025,KOSPI_EX_K200,REVISION,VALUE,-0.2118557026437889
YTD_2026,KOSPI_EX_K200,FLOW,MOMENTUM,0.1767946039711405
YTD_2026,KOSPI_EX_K200,FLOW,REVISION,0.19964034915180298
YTD_2026,KOSPI_EX_K200,FLOW,VALUE,0.08909873780664485
YTD_2026,KOSPI_EX_K200,MOMENTUM,REVISION,0.15617263146454277
YTD_2026,KOSPI_EX_K200,MOMENTUM,VALUE,-0.10739511755016744
YTD_2026,KOSPI_EX_K200,REVISION,VALUE,-0.21166148494740153
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,FLOW,MOMENTUM,0.2259565703087974
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,FLOW,REVISION,0.21940596996255637
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,FLOW,VALUE,-0.05887100796916798
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,MOMENTUM,REVISION,0.4964311352979707
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,MOMENTUM,VALUE,-0.376673305513605
TRAIN_2016_2022,KOSPI_KOSDAQ_ALL,REVISION,VALUE,-0.26082278956893523
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,FLOW,MOMENTUM,0.28631825690660495
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,FLOW,REVISION,0.15162565756105814
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,FLOW,VALUE,0.210166770864134
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,MOMENTUM,REVISION,0.3473641661960179
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,MOMENTUM,VALUE,-0.2410518342683659
POST_2023_PLUS,KOSPI_KOSDAQ_ALL,REVISION,VALUE,-0.49299779487188317
POST_2023_2024,KOSPI_KOSDAQ_ALL,FLOW,MOMENTUM,0.3059873915617376
POST_2023_2024,KOSPI_KOSDAQ_ALL,FLOW,REVISION,0.16684414771376618
POST_2023_2024,KOSPI_KOSDAQ_ALL,FLOW,VALUE,0.3269574845449059
POST_2023_2024,KOSPI_KOSDAQ_ALL,MOMENTUM,REVISION,0.38153408981657133
POST_2023_2024,KOSPI_KOSDAQ_ALL,MOMENTUM,VALUE,-0.2566732061614813
POST_2023_2024,KOSPI_KOSDAQ_ALL,REVISION,VALUE,-0.35289746999968974
BULL_2025,KOSPI_KOSDAQ_ALL,FLOW,MOMENTUM,0.3506550487442766
BULL_2025,KOSPI_KOSDAQ_ALL,FLOW,REVISION,0.22488074723410698
BULL_2025,KOSPI_KOSDAQ_ALL,FLOW,VALUE,0.03769020524001361
BULL_2025,KOSPI_KOSDAQ_ALL,MOMENTUM,REVISION,0.39665024520556413
BULL_2025,KOSPI_KOSDAQ_ALL,MOMENTUM,VALUE,-0.29834707793056736
BULL_2025,KOSPI_KOSDAQ_ALL,REVISION,VALUE,-0.3482983676928743
YTD_2026,KOSPI_KOSDAQ_ALL,FLOW,MOMENTUM,0.1620817223838695
YTD_2026,KOSPI_KOSDAQ_ALL,FLOW,REVISION,0.04376308715043814
YTD_2026,KOSPI_KOSDAQ_ALL,FLOW,VALUE,0.15886073910213647
YTD_2026,KOSPI_KOSDAQ_ALL,MOMENTUM,REVISION,0.26266187231087423
YTD_2026,KOSPI_KOSDAQ_ALL,MOMENTUM,VALUE,-0.19333093174930874
YTD_2026,KOSPI_KOSDAQ_ALL,REVISION,VALUE,-0.7603107097387023
