universe,strategy,phase,period,cost_bp,n_days,cagr,mdd,sharpe,benchmark_cagr,excess_cagr,information_ratio,relative_mdd,turnover_x,base_cagr,base_mdd,base_sharpe,base_excess_cagr,delta_cagr,delta_excess_cagr,delta_sharpe,delta_mdd
K200,WEIGHTED_MOM_R1M_GE_M10,1,LATE_2020_2022,30,742,-0.11697085115047423,-0.5225603265370613,-0.35873009835578995,0.0031120961055546292,-0.11971039699574404,-0.6171146785596584,-0.45355324614124004,12.206701343553023,-0.1212643456709338,-0.512687219910122,-0.3627522689404472,-0.12399057120272261,0.004293494520459573,0.004280174206978571,0.004022170584657259,-0.009873106626939299
K200,WEIGHTED_MOM_R1M_GE_M10,1,LATE_2020_2022,60,742,-0.1487958616846311,-0.5485759704180693,-0.5008398219298293,0.0031120961055546292,-0.15143667231204472,-0.8040939132826322,-0.49779768007452685,12.206701343553023,-0.15158585639350608,-0.5449699621660749,-0.4956754050696372,-0.15421801122691492,0.0027899947088749766,0.0027813389148702017,-0.005164416860192145,-0.003606008251994419
K200,WEIGHTED_MOM_R1M_GE_M10,1,NORMAL_2023_2024,0,489,-0.04955880459752149,-0.2757156783973328,-0.08921165694014216,0.03542592171588388,-0.0820770704412832,-0.3734995268702865,-0.18179191093859715,11.871793606612576,-0.049020185945248484,-0.2594047982833725,-0.08340613690392787,-0.0815568800143528,-0.0005386186522730041,-0.0005201904269304114,-0.00580552003621429,-0.016310880113960313
K200,WEIGHTED_MOM_R1M_GE_M10,1,NORMAL_2023_2024,30,489,-0.08283752815337975,-0.2889426376249238,-0.2356539300044467,0.03542592171588388,-0.11421720027375848,-0.5543768442815994,-0.213393825279394,11.871793606612576,-0.08151344078543021,-0.2940532564225624,-0.2247379777551677,-0.11293841505100255,-0.0013240873679495335,-0.0012787852227559293,-0.010915952249278993,0.005110618797638633
K200,WEIGHTED_MOM_R1M_GE_M10,1,NORMAL_2023_2024,60,489,-0.11499763983816524,-0.3226680398844507,-0.38118397883297483,0.03542592171588388,-0.14527699026963958,-0.7337982853601245,-0.25119861709387914,11.871793606612576,-0.11294101659902722,-0.3271265398698431,-0.36519400601990226,-0.1432907320583996,-0.0020566232391380224,-0.0019862582112399885,-0.015989972813072573,0.0044584999853923835
K200,WEIGHTED_MOM_R1M_GE_M10,1,BULL_2025,0,242,0.7161073406410845,-0.1802065361618711,1.8892232636589348,0.8474539436294959,-0.07109600942493155,-0.22869214261244528,-0.3326314136262727,10.514630176556564,0.6990357350895855,-0.1802065361618711,1.8612512822331788,-0.08033662167963296,0.017071605551499003,0.009240612254701408,0.027971981425755965,0.0
K200,WEIGHTED_MOM_R1M_GE_M10,1,BULL_2025,30,242,0.6627842475366383,-0.18312865781211207,1.7860394133370607,0.8474539436294959,-0.09995902562531844,-0.3714325458826372,-0.3439559693820017,10.514630176556564,0.6474503074525926,-0.18312865781211207,1.760408896234054,-0.10825906478836267,0.01533394008404576,0.008300039163044226,0.025630517103006678,0.0
K200,WEIGHTED_MOM_R1M_GE_M10,1,BULL_2025,60,242,0.6110495562288398,-0.18604384290595966,1.6824392345946209,0.8474539436294959,-0.1279622629921804,-0.5135695011089202,-0.35510370033589134,10.514630176556564,0.597366523464371,-0.18604384290595966,1.6591504785103333,-0.13536868998953588,0.013683032764468805,0.0074064269973554975,0.0232887560842876,0.0
K200,WEIGHTED_MOM_R1M_GE_M10,1,YTD_2026,0,147,1.411494815388124,-0.3545554455147176,1.7944447147986593,1.0477770274712994,0.17761591376282104,0.29986354729033066,-0.221773061106734,10.66241686551512,0.8953962368033164,-0.46699447930261895,1.3263185434937483,-0.07441278450913469,0.5160985785848076,0.25202869827195573,0.46812617130491097,0.11243903378790132
K200,WEIGHTED_MOM_R1M_GE_M10,1,YTD_2026,30,147,1.335529814813456,-0.3581341563268481,1.7399892924266323,1.0477770274712994,0.14051958952654497,0.21425070603677623,-0.22547088209195432,10.66241686551512,0.8404756184815971,-0.4695148144379504,1.279798090955194,-0.10123241261558891,0.4950541963318589,0.24175200214213388,0.4601912014714382,0.11138065811110232
K200,WEIGHTED_MOM_R1M_GE_M10,1,YTD_2026,60,147,1.2618635690367577,-0.36169813307754317,1.6853264630885019,1.0477770274712994,0.10454582637340093,0.12834083137243996,-0.2291556081249353,10.66241686551512,0.7870838356914722,-0.4720262462219954,1.2331817465224173,-0.1273054577146724,0.47477973334528545,0.23185128408807332,0.45214471656608457,0.11032811314445223
K200,WEIGHTED_MOM_R1M_GE_M10,2,PRE_STRESS_2017_2024,0,1962,-0.05667619643468447,-0.562454471984278,-0.12633708421448653,0.020202173784925614,-0.07535601491064636,-0.3669098484334178,-0.47757818244680184,12.036119640319265,-0.0478408180404738,-0.5022403193715563,-0.09503582473180242,-0.0666955958081934,-0.008835378394210669,-0.008660419102452965,-0.03130125948268411,-0.06021415261272167
K200,WEIGHTED_MOM_R1M_GE_M10,2,PRE_STRESS_2017_2024,30,1962,-0.09015543076799715,-0.5927366675755048,-0.2786205636456858,0.020202173784925614,-0.10817228916842925,-0.5668077017787182,-0.60228028610251,12.036119640319265,-0.08071302114419077,-0.5583410687638495,-0.2465834144482929,-0.09891685934634309,-0.00944240962380638,-0.009255429822086159,-0.03203714919739292,-0.034395598811655326
K200,WEIGHTED_MOM_R1M_GE_M10,2,PRE_STRESS_2017_2024,60,1962,-0.1224947584074052,-0.6763721610280966,-0.4307600562464236,0.020202173784925614,-0.1398712293102935,-0.7656505114140985,-0.6986127544145124,12.036119640319265,-0.11249644941810255,-0.6441103103347396,-0.3979626687001092,-0.13007090811296784,-0.009998308989302651,-0.009800321197325657,-0.032797387546314394,-0.032261850693356964
K200,WEIGHTED_MOM_R1M_GE_M10,2,EARLY_2017_2019,0,731,-0.05600574423950777,-0.367916767163195,-0.21409180641712022,0.027614520161208356,-0.08137318299823049,-0.4661325217190973,-0.25156671473933845,12.320452934129811,-0.05712220020518821,-0.3715033944916043,-0.2196317885535022,-0.08245963705641624,0.0011164559656804407,0.0010864540581857485,0.005539982136381988,0.0035866273284093086
K200,WEIGHTED_MOM_R1M_GE_M10,2,EARLY_2017_2019,30,731,-0.09028602159269916,-0.39657003415829206,-0.41232362679414636,0.027614520161208356,-0.11473226530062364,-0.6958513421718187,-0.32507499665406336,12.320452934129811,-0.09092251291036713,-0.39948523095653,-0.41488332366608427,-0.11535165253696555,0.0006364913176679643,0.0006193872363419173,0.002559696871937911,0.002915196798237929
K200,WEIGHTED_MOM_R1M_GE_M10,2,EARLY_2017_2019,60,731,-0.12337148873615056,-0.4258555244661416,-0.6103456563107919,0.027614520161208356,-0.14692864487130264,-0.924253579790365,-0.391458335887631,12.320452934129811,-0.12355999570186393,-0.42814321781714926,-0.6099151572882007,-0.14711208619294136,0.00018850696571337533,0.00018344132163872207,-0.0004304990225911798,0.002287693351007647
K200,WEIGHTED_MOM_R1M_GE_M10,2,LATE_2020_2022,0,742,-0.03225404537036425,-0.43577160761715816,0.019974776471067372,0.0031120961055546292,-0.03525642010820351,-0.11577345774204238,-0.3533045040643247,11.868932530158746,-0.0142037792558245,-0.4367114326337691,0.07568134893092421,-0.01726215387951746,-0.018050266114539748,-0.01799426622868605,-0.055706572459856836,0.0009398250166109401
K200,WEIGHTED_MOM_R1M_GE_M10,2,LATE_2020_2022,30,742,-0.06613147356844051,-0.4698296798579036,-0.10892963681744841,0.0031120961055546292,-0.06902874558369176,-0.3029674796463185,-0.4041517881516239,11.868932530158746,-0.04724354260389407,-0.46200659981605363,-0.054894225854316074,-0.05019941331078326,-0.01888793096454644,-0.018829332272908506,-0.05403541096313234,-0.00782308004184995
K200,WEIGHTED_MOM_R1M_GE_M10,2,LATE_2020_2022,60,742,-0.09887200329234125,-0.5018804617176496,-0.23781224148355426,0.0031120961055546292,-0.10166769974545664,-0.4895482876659038,-0.45107052522177205,11.868932530158746,-0.07922141443011987,-0.4929535910070002,-0.18536316451017498,-0.08207807567601277,-0.019650588862221374,-0.019589624069443867,-0.05244907697337928,-0.008926870710649348
K200,WEIGHTED_MOM_R1M_GE_M10,2,NORMAL_2023_2024,0,489,-0.09352522695696575,-0.31353661247263953,-0.28536150032656354,0.03542592171588388,-0.12453923160350822,-0.6220741133569152,-0.24208284524949797,11.864760126952383,-0.08337738857013,-0.2911506575071352,-0.23136907144178437,-0.1147385899796064,-0.01014783838683575,-0.009800641623901818,-0.053992428884779176,-0.02238595496550433
K200,WEIGHTED_MOM_R1M_GE_M10,2,NORMAL_2023_2024,30,489,-0.12524616287442003,-0.34458197891913456,-0.43303824101802896,0.03542592171588388,-0.1551748717320528,-0.8058994234341057,-0.27614045335836235,11.864760126952383,-0.11460825232996863,-0.3220549184919983,-0.37277394869250047,-0.14490092521270925,-0.010637910544451401,-0.010273946519343546,-0.06026429232552849,-0.02252706042713626
K200,WEIGHTED_MOM_R1M_GE_M10,2,NORMAL_2023_2024,60,489,-0.15590173100694726,-0.3742662704708519,-0.580366452202234,0.03542592171588388,-0.18478159442422137,-0.9883107381907608,-0.32360302983155687,11.864760126952383,-0.14481794216396326,-0.351653284354449,-0.5139502112461329,-0.17407702482583365,-0.011083788842984,-0.010704569598387725,-0.0664162409561011,-0.022612986116402944
K200,WEIGHTED_MOM_R1M_GE_M10,2,BULL_2025,0,242,0.9018346345555663,-0.1702544059422273,2.2101530804928897,0.8474539436294959,0.02943547854797446,0.24401815336849828,-0.30453064532150276,10.431425330546631,0.9015644215212344,-0.1676091356253886,2.207800991465829,0.02928921615520319,0.0002702130343319453,0.00014626239277126807,0.002352089027060522,-0.0026452703168386993
K200,WEIGHTED_MOM_R1M_GE_M10,2,BULL_2025,30,242,0.8432015868822706,-0.1744978805896984,2.112652517108054,0.8474539436294959,-0.0023017389753536843,0.09934457893016312,-0.3164430494930609,10.431425330546631,0.843394313706181,-0.17190495761421387,2.111141445501998,-0.0021974187434067316,-0.00019272682391036078,-0.00010432023194695272,0.0015110716060560136,-0.002592922975484524
K200,WEIGHTED_MOM_R1M_GE_M10,2,BULL_2025,60,242,0.786302128470689,-0.17872566477361318,2.0140770373433554,0.8474539436294959,-0.033100589798015556,-0.04567846184631562,-0.3281675919903052,10.431425330546631,0.7869307200040561,-0.176184781878429,2.0134280891097935,-0.03276034232633407,-0.0006285915333670289,-0.0003402474716814874,0.0006489482335618746,-0.002540882895184171
K200,WEIGHTED_MOM_R1M_GE_M10,2,YTD_2026,0,147,1.153923585657731,-0.39950775112703685,1.593066910138756,1.0477770274712994,0.05183501756415021,0.0019280306803661103,-0.22042663283545316,11.442188507944799,0.806498010806834,-0.46187289738387505,1.2584068008738531,-0.11782484783629521,0.347425574850897,0.16965986540044542,0.33466010926490286,0.0623651462568382
K200,WEIGHTED_MOM_R1M_GE_M10,2,YTD_2026,30,147,1.0811905124314252,-0.40303892214022186,1.5347597318767197,1.0477770274712994,0.01631695468397254,-0.08378058348801316,-0.22393550968061493,11.442188507944799,0.7512136187797689,-0.4643043070086892,1.2084977638928387,-0.14482211916291632,0.3299768936516563,0.16113907384688886,0.32626196798388096,0.06126538486846733
K200,WEIGHTED_MOM_R1M_GE_M10,2,YTD_2026,60,147,1.0108149576021117,-0.4065549434162129,1.4762729584490277,1.0477770274712994,-0.018049850825230696,-0.16946110278012036,-0.227432556230171,11.442188507944799,0.6975519206376923,-0.4667278699326083,1.1584901237232534,-0.17102697321792215,0.3132630369644194,0.15297712239269146,0.3177828347257743,0.060172926516395386
K200,WEIGHTED_MOM_R1M_GE_M10,3,PRE_STRESS_2017_2024,0,1961,-0.08883973388541377,-0.5672491638883945,-0.27547466724702707,0.020157931718437272,-0.10684391329511667,-0.5635484035858291,-0.6216581033005677,12.110257522656681,-0.09126962270846484,-0.570828970491296,-0.2985725105855992,-0.10922578844160347,0.002429888823051063,0.0023818751464868004,0.02309784333857212,0.0035798066029014697
K200,WEIGHTED_MOM_R1M_GE_M10,3,PRE_STRESS_2017_2024,30,1961,-0.12137308802858593,-0.6563262318733859,-0.42860251373515734,0.020157931718437272,-0.13873442076622045,-0.7644284676333918,-0.7066156043063649,12.110257522656681,-0.12309047668139783,-0.6573381015182567,-0.45188809381836126,-0.140417874474137,0.001717388652811902,0.0016834537079165601,0.023285580083203916,0.0010118696448707665
K200,WEIGHTED_MOM_R1M_GE_M10,3,PRE_STRESS_2017_2024,60,1961,-0.1527918131821152,-0.7352305981600189,-0.580909155312029,0.020157931718437272,-0.1695323238914791,-0.9634728968961659,-0.7725835996696468,12.110257522656681,-0.15384213639252264,-0.734315865307369,-0.6042837036196924,-0.17056189311576408,0.0010503232104074334,0.0010295692242849874,0.02337454830766339,-0.0009147328526498688
K200,WEIGHTED_MOM_R1M_GE_M10,3,EARLY_2017_2019,0,730,-0.1045058484404654,-0.3993902693891027,-0.49534738855704274,0.027505003080383172,-0.12847708879770825,-0.7983798041784439,-0.3561973583224266,12.264548209835333,-0.10157817181550155,-0.39440407126474875,-0.4774245655617861,-0.12562778235522354,-0.0029276766249638486,-0.0028493064424847114,-0.01792282299525666,-0.004986198124353969
K200,WEIGHTED_MOM_R1M_GE_M10,3,EARLY_2017_2019,30,730,-0.13688001895006108,-0.42641113014401966,-0.6904988008793039,0.027505003080383172,-0.15998464390696898,-1.0264772812856575,-0.41959282643181983,12.264548209835333,-0.13382723645935302,-0.42115476342662395,-0.6711053315177353,-0.15701358052376801,-0.0030527824907080614,-0.002971063383200967,-0.019393469361568605,-0.005256366717395711
K200,WEIGHTED_MOM_R1M_GE_M10,3,EARLY_2017_2019,60,730,-0.1681310377859544,-0.4691924231609098,-0.8838700592790296,0.027505003080383172,-0.19039911268542264,-1.2516153640744758,-0.4768270683744601,12.264548209835333,-0.1649654948522178,-0.4633199768153532,-0.8630928899460217,-0.18731830731294563,-0.0031655429337366092,-0.0030808053724770135,-0.020777169333007883,-0.0058724463455566145
