universe,period,threshold_pct,n_phases,median_delta_cagr,median_delta_excess_cagr,median_delta_sharpe,median_delta_mdd,cagr_better_phases,excess_better_phases
KOSDAQ,NORMAL_2023_2024,5.0,10,-0.0077931820522028,-0.0077815207172982,-0.0228672561670481,-0.0065165469378051,4,4
KOSDAQ,NORMAL_2023_2024,10.0,10,-0.004754061202385,-0.0047469474586717,-0.0134570534416255,0.008265715105865,4,4
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,-10.0,10,-0.0062052056271886,-0.0060676149083025,-0.0207013472005535,-0.006376395029271,5,5
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,-5.0,10,-0.0132214026125586,-0.0129282387112431,-0.0425344735592697,-0.0044804852038743,3,3
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,0.0,10,0.0126698537486112,0.0123889195797564,0.0329360928774959,-0.0035785400463183,6,6
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,5.0,10,-0.0092242866281177,-0.0090197525152098,-0.0286957202941635,-0.0017877771295398,4,4
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,10.0,10,-0.0172795842086858,-0.0168964364846361,-0.0550591688709257,-0.003946862373989,3,3
KOSPI_ALL,NORMAL_2023_2024,-10.0,10,0.0032565354806494,0.0031356162200753,0.0085008435444835,-0.000255457735557,6,6
KOSPI_ALL,NORMAL_2023_2024,-5.0,10,-0.0020680225464118,-0.0019912342667653,-0.011332691084478,0.0053053372093105,3,3
KOSPI_ALL,NORMAL_2023_2024,0.0,10,0.0087167078998404,0.008393045566002,0.0243650785496874,0.013051483740145,6,6
KOSPI_ALL,NORMAL_2023_2024,5.0,10,-0.0008205538731689,-0.000790085675235,-0.0147665753557419,0.006413739479224,5,5
KOSPI_ALL,NORMAL_2023_2024,10.0,10,-0.0152831174333379,-0.0147156360500385,-0.0619217442996547,0.0202559807839388,2,2
KOSPI_EX_K200,NORMAL_2023_2024,-10.0,10,0.0135094795367184,0.012652955330012,0.0427545545040779,0.0162943367573924,7,7
KOSPI_EX_K200,NORMAL_2023_2024,-5.0,10,0.0145365719355307,0.0136149283065907,0.0474371380474033,0.0158951148266701,7,7
KOSPI_EX_K200,NORMAL_2023_2024,0.0,10,0.0166044505650696,0.0155516998791986,0.047106792197785,0.0168813886505482,7,7
KOSPI_EX_K200,NORMAL_2023_2024,5.0,10,0.0213846449783378,0.0200288217561342,0.0563878059790277,0.0252587529041015,6,6
KOSPI_EX_K200,NORMAL_2023_2024,10.0,10,-0.0146556676656446,-0.013726473162856,-0.0667942697567077,0.0273677835610668,4,4
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,-10.0,10,-0.0072785051101222,-0.0070492130268695,-0.0202247548410838,-0.0043452594080635,3,3
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,-5.0,10,-0.0028126066404929,-0.0027240021226412,-0.01095887873423,0.0085055413471403,5,5
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,0.0,10,0.0013557529983965,0.0013130432077629,0.0013387769227156,0.0059030179447778,6,6
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,5.0,10,0.0034015356629686,0.0032943783296129,0.0002029046238711,0.0024085627053429,5,5
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,10.0,10,-0.0151894063091562,-0.0147109000000575,-0.0502416205937066,-0.0146569309817968,4,4
K200,PRE_STRESS_2017_2024,-10.0,10,0.00437426768948,0.0042878187347918,0.0282504165646181,0.0032408928024794,7,7
K200,PRE_STRESS_2017_2024,-5.0,10,0.0065482796567795,0.0064279122458023,0.0288640701325161,0.0086185933956565,7,7
K200,PRE_STRESS_2017_2024,0.0,10,0.0020451123521756,0.0020045265018751,0.0062478941991658,-0.0070425166744386,5,5
K200,PRE_STRESS_2017_2024,5.0,10,0.0270802405949234,0.0265384195743293,0.1365061346784661,0.0225209691203214,7,7
K200,PRE_STRESS_2017_2024,10.0,10,0.0685733109582273,0.0670382036753218,0.3271831795005263,0.069228813228221,10,10
KOSDAQ,PRE_STRESS_2017_2024,-10.0,10,-0.0064401647458445,-0.0063420705963535,-0.0235604880868294,-0.0221774777979014,3,3
KOSDAQ,PRE_STRESS_2017_2024,-5.0,10,-0.0003623821171339,-0.0003569801004963,-0.0031918617380555,-0.0056793204620588,5,5
KOSDAQ,PRE_STRESS_2017_2024,0.0,10,0.0205470647557636,0.0202807021291251,0.0553910140220578,-0.0108067945560419,6,6
KOSDAQ,PRE_STRESS_2017_2024,5.0,10,0.0280541632884827,0.0276254790883684,0.0737173604271688,0.0162470183177012,9,9
KOSDAQ,PRE_STRESS_2017_2024,10.0,10,0.0487207100347833,0.0480526339735636,0.1340631526560043,0.0400664393856824,10,10
KOSDAQ_PLUS_KOSPI_EX_K200,PRE_STRESS_2017_2024,-10.0,10,0.003330729231199,0.0032792037138779,0.0052404841631198,0.0013342341839702,6,6
