universe,period,threshold_pct,median_cagr,median_mdd,median_sharpe,median_excess_cagr,median_turnover,positive_cagr_phases,positive_excess_phases
KOSPI_KOSDAQ_ALL,LATE_2020_2022,-10.0,-0.0951952908615935,-0.5792300534607033,-0.057466118385899,-0.1001494234101553,13.431422208267858,0,0
KOSPI_KOSDAQ_ALL,LATE_2020_2022,-5.0,-0.094101030950578,-0.5716400463425537,-0.0575081895691636,-0.0990611549673389,13.702757644602231,0,0
KOSPI_KOSDAQ_ALL,LATE_2020_2022,0.0,-0.0794982426646723,-0.5719022297772358,-0.0205530425946726,-0.084538322221028,13.963394535214414,0,0
KOSPI_KOSDAQ_ALL,LATE_2020_2022,5.0,-0.0734116441033614,-0.5777438935790362,-0.0025221931724756,-0.0784850499849883,14.28092001858204,0,0
KOSPI_KOSDAQ_ALL,LATE_2020_2022,10.0,-0.0303979474215991,-0.5823617701900418,0.1162440053620707,-0.0357068688267551,14.309340064026298,2,2
K200,NORMAL_2023_2024,-10.0,-0.0844471324094642,-0.2947414379692102,-0.237538621949842,-0.1157717337486564,11.83093170801966,0,0
K200,NORMAL_2023_2024,-5.0,-0.0872731132794849,-0.2980457271639421,-0.2536394539252559,-0.1185010268933925,12.058368932325726,0,0
K200,NORMAL_2023_2024,0.0,-0.0999400916014099,-0.2787282174131963,-0.3140573541482494,-0.1307346189411301,12.79481404101018,1,0
K200,NORMAL_2023_2024,5.0,-0.0568535450543931,-0.2829774352048976,-0.126262934303213,-0.0891222296399085,12.847079062249994,2,1
K200,NORMAL_2023_2024,10.0,-0.0010469575410966,-0.221209369290818,0.1142096311458013,-0.0352250011246966,10.333113041199674,4,2
KOSDAQ,NORMAL_2023_2024,-10.0,-0.1325789250518578,-0.5557527483531404,-0.1553326234677324,-0.133876891349849,12.97938638839867,0,0
KOSDAQ,NORMAL_2023_2024,-5.0,-0.1295332478363771,-0.5488931320547104,-0.1461394544006161,-0.1308357715361827,13.36025882547907,0,0
KOSDAQ,NORMAL_2023_2024,0.0,-0.1211254900134892,-0.5575036096260273,-0.1230388899580147,-0.1224405946691997,13.675436920474136,0,0
KOSDAQ,NORMAL_2023_2024,5.0,-0.1090539661004552,-0.5453727453261249,-0.092961185336022,-0.1103871339917247,14.044098133129175,0,0
KOSDAQ,NORMAL_2023_2024,10.0,-0.1020315544654561,-0.5200002165898545,-0.0696482538579213,-0.1033752303486289,13.414623036974364,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,-10.0,-0.1286981143086779,-0.6307354318236278,-0.1397765236689868,-0.1480178693693835,13.072822779237605,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,-5.0,-0.1366548745999821,-0.6378723287235888,-0.1591317363971234,-0.1557982009596496,13.319232808998532,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,0.0,-0.1125047064226282,-0.6329464400238806,-0.0864904764297973,-0.1321835249481272,13.76058723779352,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,5.0,-0.1465836507398761,-0.6445628017472882,-0.1821516019171983,-0.165506822034777,14.163401630301603,0,0
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,10.0,-0.1591533206065944,-0.6420095419289327,-0.2218279250462693,-0.1777977791533573,14.723588831809444,0,0
KOSPI_ALL,NORMAL_2023_2024,-10.0,-0.0740176922140426,-0.58021628201754,-0.0798511720240873,-0.1084005806021849,12.164218850643458,1,0
KOSPI_ALL,NORMAL_2023_2024,-5.0,-0.0680449066956341,-0.5729391394908044,-0.0624005311395968,-0.1026495721265111,12.503749544402943,0,0
KOSPI_ALL,NORMAL_2023_2024,0.0,-0.0665637291148864,-0.5591862115834315,-0.0562376110099284,-0.1012233925333209,12.956017576041544,2,0
KOSPI_ALL,NORMAL_2023_2024,5.0,-0.0798551321350546,-0.5634402970550656,-0.106857581061468,-0.1140212690328187,13.678619822671724,1,0
KOSPI_ALL,NORMAL_2023_2024,10.0,-0.0941966798492117,-0.5609113502234234,-0.1621944679633309,-0.127830297032265,13.959020899444814,1,0
KOSPI_EX_K200,NORMAL_2023_2024,-10.0,-0.0924075785888713,-0.5869867680004608,-0.1746999498871767,-0.1499504970002523,11.594861692794826,0,0
KOSPI_EX_K200,NORMAL_2023_2024,-5.0,-0.0856062695127635,-0.592114367500755,-0.1536258393892173,-0.1435804026015975,11.876866872153084,0,0
KOSPI_EX_K200,NORMAL_2023_2024,0.0,-0.0900838346396332,-0.585490056075517,-0.1679299660854042,-0.1477740824086924,12.381642866182036,1,0
KOSPI_EX_K200,NORMAL_2023_2024,5.0,-0.0895981557127744,-0.5794989809166746,-0.1726390221519216,-0.1473191963600052,13.00414464612923,0,0
KOSPI_EX_K200,NORMAL_2023_2024,10.0,-0.1023743395863707,-0.5504152196055246,-0.2224407493567544,-0.159285348231457,12.030679567804968,0,0
