universe,period,variant,n_dates,avg_eligible_retention,median_eligible_retention,filtered_top20_valid_rate,avg_top20_overlap_when_valid,avg_names_replaced_when_valid,median_names_replaced_when_valid
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M10,742,0.8226942953813907,0.8793808433432482,0.9986522911051213,19.026990553306344,0.9730094466936572,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M5,742,0.6849256954223814,0.7205781723294771,0.9919137466307277,18.64538043478261,1.3546195652173914,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P0,742,0.50647088831609,0.49393891193423217,0.9878706199460916,18.133697135061393,1.8663028649386084,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P10,742,0.22945936382080273,0.19154451457246108,0.9609164420485176,17.015427769985976,2.984572230014025,2.0
KOSDAQ_PLUS_KOSPI_EX_K200,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P5,742,0.33954202544686174,0.30347474575031097,0.9797843665768194,17.58872077028886,2.4112792297111416,2.0
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M10,489,0.8279547605640311,0.8547486033519553,1.0,19.18200408997955,0.8179959100204499,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M5,489,0.6815048832939788,0.6896551724137931,1.0,18.807770961145195,1.1922290388548058,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P0,489,0.4776819127470606,0.45864661654135336,1.0,18.243353783231083,1.756646216768916,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P10,489,0.19942698359241537,0.19495412844036697,0.9959100204498977,16.813141683778234,3.186858316221766,2.0
KOSDAQ_PLUS_KOSPI_EX_K200,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P5,489,0.30269630104498507,0.29397590361445786,0.9979550102249489,17.62909836065574,2.3709016393442623,2.0
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_M10,147,0.6849581393569436,0.7396825396825397,1.0,18.068027210884352,1.9319727891156462,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_M5,147,0.5672404164237702,0.5678571428571428,1.0,17.5578231292517,2.442176870748299,2.0
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P0,147,0.4409925467127565,0.400355871886121,1.0,17.08843537414966,2.9115646258503403,2.0
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P10,147,0.248889877711139,0.19405594405594406,0.9659863945578231,16.161971830985916,3.8380281690140845,3.0
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,WEIGHTED_MOM_R1M_GE_P5,147,0.3255915279131627,0.2615658362989324,0.9931972789115646,16.595890410958905,3.404109589041096,3.0
KOSPI_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_M10,242,0.9010298753810445,0.9259259259259259,1.0,19.764462809917354,0.23553719008264462,0.0
KOSPI_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_M5,242,0.770438693412991,0.8054093434113468,1.0,19.524793388429753,0.47520661157024796,0.0
KOSPI_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_P0,242,0.5613617417195579,0.5652404662652463,1.0,18.975206611570247,1.024793388429752,1.0
KOSPI_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_P10,242,0.2241484463885013,0.1987500475387599,0.9793388429752066,17.11814345991561,2.8818565400843883,2.0
KOSPI_ALL,BULL_2025,WEIGHTED_MOM_R1M_GE_P5,242,0.35813408971799143,0.3320094062974602,0.9917355371900827,18.125,1.875,1.0
KOSPI_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M10,733,0.8772323576810025,0.9223880597014925,0.9972714870395635,19.66894664842681,0.33105335157318744,0.0
KOSPI_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_M5,733,0.7205550681695437,0.7685714285714286,0.9972714870395635,19.269493844049247,0.7305061559507524,0.0
KOSPI_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P0,733,0.4766548805214158,0.4817073170731707,0.990450204638472,18.651515151515152,1.3484848484848484,1.0
KOSPI_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P10,733,0.13444503145970912,0.11782477341389729,0.7967257844474761,16.289383561643834,3.710616438356164,3.0
KOSPI_ALL,EARLY_2017_2019,WEIGHTED_MOM_R1M_GE_P5,733,0.26139157597340074,0.24539877300613497,0.9590723055934516,17.657183499288763,2.3428165007112374,2.0
KOSPI_ALL,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M10,742,0.8453577499055194,0.9128975780566093,0.9973045822102425,19.29054054054054,0.7094594594594594,0.0
KOSPI_ALL,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_M5,742,0.6970784796344617,0.7474317573781457,0.9892183288409704,18.831062670299726,1.1689373297002725,1.0
KOSPI_ALL,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P0,742,0.4898964937757371,0.48315146224356176,0.9838274932614556,18.193150684931506,1.8068493150684932,1.0
KOSPI_ALL,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P10,742,0.18864007560551,0.1512292738707833,0.8814016172506739,16.625382262996943,3.374617737003058,3.0
KOSPI_ALL,LATE_2020_2022,WEIGHTED_MOM_R1M_GE_P5,742,0.30456243078550194,0.26991219749906453,0.9460916442048517,17.451566951566953,2.5484330484330484,2.0
KOSPI_ALL,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M10,489,0.8689233185828549,0.891358024691358,1.0,19.480572597137016,0.5194274028629857,0.0
KOSPI_ALL,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_M5,489,0.7125536855376737,0.7230392156862745,1.0,19.134969325153374,0.8650306748466258,0.0
KOSPI_ALL,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P0,489,0.4710049446559013,0.4494949494949495,1.0,18.466257668711656,1.5337423312883436,1.0
KOSPI_ALL,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P10,489,0.15069551341666604,0.13734939759036144,0.9570552147239264,16.465811965811966,3.534188034188034,3.0
KOSPI_ALL,NORMAL_2023_2024,WEIGHTED_MOM_R1M_GE_P5,489,0.263567297649906,0.2419753086419753,1.0,17.57668711656442,2.423312883435583,2.0
KOSPI_ALL,YTD_2026,WEIGHTED_MOM_R1M_GE_M10,147,0.7356352783159337,0.7806004618937644,1.0,18.462585034013607,1.5374149659863945,1.0
