date,sample,horizon,universe,strategy,gross,turnover
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,VETO_TOP1_LOW05,-0.038169902569859075,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,VETO_TOP1_LOW10,-0.03772755744585198,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,VETO_TOP1_LOW20,-0.03825415796545018,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,VETO_TOP1_LOW30,-0.03736311250722468,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_EX_K200,VETO_TOP1_ONLY,-0.038169902569859075,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,CF20,-0.0452589460726886,0.25625
2016-02-01,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,VETO_LOW05,-0.0455135335144014,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,VETO_LOW10,-0.04524804748113127,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,VETO_LOW20,-0.04577221678127998,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,VETO_LOW30,-0.04266690476459327,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,VETO_TOP1_LOW05,-0.0455135335144014,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,VETO_TOP1_LOW10,-0.04524804748113127,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,VETO_TOP1_LOW20,-0.04577221678127998,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,VETO_TOP1_LOW30,-0.04266690476459327,1.0
2016-02-01,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,VETO_TOP1_ONLY,-0.0455135335144014,1.0
2016-02-01,EARLY_2016_2019,10,K200,CF20,-0.02025151065582801,0.3125
2016-02-01,EARLY_2016_2019,10,K200,VETO_LOW05,-0.01238186659497357,1.0
2016-02-01,EARLY_2016_2019,10,K200,VETO_LOW10,-0.015625843005006093,1.0
2016-02-01,EARLY_2016_2019,10,K200,VETO_LOW20,-0.017715967024914465,1.0
2016-02-01,EARLY_2016_2019,10,K200,VETO_LOW30,-0.02042540997209963,1.0
2016-02-01,EARLY_2016_2019,10,K200,VETO_TOP1_LOW05,-0.013616326824085864,1.0
2016-02-01,EARLY_2016_2019,10,K200,VETO_TOP1_LOW10,-0.01675380154605208,1.0
2016-02-01,EARLY_2016_2019,10,K200,VETO_TOP1_LOW20,-0.016285703731829807,1.0
2016-02-01,EARLY_2016_2019,10,K200,VETO_TOP1_LOW30,-0.02238657079144694,1.0
2016-02-01,EARLY_2016_2019,10,K200,VETO_TOP1_ONLY,-0.02046951134798687,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ,CF20,-0.05683725630856833,0.2875
2016-02-01,EARLY_2016_2019,10,KOSDAQ,VETO_LOW05,-0.05305715232577285,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ,VETO_LOW10,-0.05305715232577285,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ,VETO_LOW20,-0.0522796241307956,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ,VETO_LOW30,-0.05033796676627121,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ,VETO_TOP1_LOW05,-0.05305715232577285,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ,VETO_TOP1_LOW10,-0.05305715232577285,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ,VETO_TOP1_LOW20,-0.0522796241307956,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ,VETO_TOP1_LOW30,-0.05033796676627121,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ,VETO_TOP1_ONLY,-0.05305715232577285,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ_PLUS_KOSPI_EX_K200,CF20,-0.05490013473146319,0.375
2016-02-01,EARLY_2016_2019,10,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_LOW05,-0.05211550714520666,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_LOW10,-0.05160802551554464,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_LOW20,-0.05109376255416759,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_LOW30,-0.0506191320090333,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_TOP1_LOW05,-0.05211550714520666,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_TOP1_LOW10,-0.05160802551554464,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_TOP1_LOW20,-0.05109376255416759,1.0
2016-02-01,EARLY_2016_2019,10,KOSDAQ_PLUS_KOSPI_EX_K200,VETO_TOP1_LOW30,-0.0506191320090333,1.0
