weight,universe,horizon,sample,family,n_dates,gross_delta
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,REVISION,75,0.0008872077821879344
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,VALUE,75,0.0001937104293258891
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,FLOW,48,-0.0014156030357126209
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,MOMENTUM,48,0.0012885090663289646
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,REVISION,48,3.31555334337781e-05
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,VALUE,48,-0.0007800143649421727
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,FLOW,13,0.002260188480999056
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,MOMENTUM,13,0.0018779303200903766
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,REVISION,13,0.0005946334229879885
0.05,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,VALUE,13,-0.0006470342458348163
0.05,KOSPI_ALL,10,BULL_2025,FLOW,25,2.0018870075028115e-05
0.05,KOSPI_ALL,10,BULL_2025,MOMENTUM,25,0.00022394645822066517
0.05,KOSPI_ALL,10,BULL_2025,REVISION,25,0.0008900677886865615
0.05,KOSPI_ALL,10,BULL_2025,VALUE,25,0.000503147114537111
0.05,KOSPI_ALL,10,EARLY_2016_2019,FLOW,98,0.0008897164335004953
0.05,KOSPI_ALL,10,EARLY_2016_2019,MOMENTUM,98,-0.00015197478301078618
0.05,KOSPI_ALL,10,EARLY_2016_2019,REVISION,98,-0.0002543062405973812
0.05,KOSPI_ALL,10,EARLY_2016_2019,VALUE,98,4.6478570852474846e-05
0.05,KOSPI_ALL,10,LATE_2020_2022,FLOW,75,-4.9153355297552835e-05
0.05,KOSPI_ALL,10,LATE_2020_2022,MOMENTUM,75,0.0004538066065338209
0.05,KOSPI_ALL,10,LATE_2020_2022,REVISION,75,0.0003307716403573154
0.05,KOSPI_ALL,10,LATE_2020_2022,VALUE,75,-0.00013249802962050024
0.05,KOSPI_ALL,10,NORMAL_2023_2024,FLOW,48,-0.0004049489054670107
0.05,KOSPI_ALL,10,NORMAL_2023_2024,MOMENTUM,48,0.0005681266765790835
0.05,KOSPI_ALL,10,NORMAL_2023_2024,REVISION,48,0.00042356820942990683
0.05,KOSPI_ALL,10,NORMAL_2023_2024,VALUE,48,5.522064198151594e-05
0.05,KOSPI_ALL,10,YTD_2026,FLOW,13,0.0006052279607566122
0.05,KOSPI_ALL,10,YTD_2026,MOMENTUM,13,-0.0015152761340243763
0.05,KOSPI_ALL,10,YTD_2026,REVISION,13,0.0021286811801986775
0.05,KOSPI_ALL,10,YTD_2026,VALUE,13,0.0006685002908026875
0.05,KOSPI_EX_K200,10,BULL_2025,FLOW,25,0.0007714652195477734
0.05,KOSPI_EX_K200,10,BULL_2025,MOMENTUM,25,0.0016216898894121329
0.05,KOSPI_EX_K200,10,BULL_2025,REVISION,25,-2.5990296253273213e-06
0.05,KOSPI_EX_K200,10,BULL_2025,VALUE,25,-1.0497611592798044e-05
0.05,KOSPI_EX_K200,10,EARLY_2016_2019,FLOW,98,0.00036293566508530946
0.05,KOSPI_EX_K200,10,EARLY_2016_2019,MOMENTUM,98,-0.00020736275362683615
0.05,KOSPI_EX_K200,10,EARLY_2016_2019,REVISION,98,0.00012484832355937888
0.05,KOSPI_EX_K200,10,EARLY_2016_2019,VALUE,98,-4.956828867419601e-05
0.05,KOSPI_EX_K200,10,LATE_2020_2022,FLOW,75,-0.0006934627231943924
0.05,KOSPI_EX_K200,10,LATE_2020_2022,MOMENTUM,75,0.00033048221880882777
0.05,KOSPI_EX_K200,10,LATE_2020_2022,REVISION,75,0.00015354533289168302
0.05,KOSPI_EX_K200,10,LATE_2020_2022,VALUE,75,0.00020521032657417463
0.05,KOSPI_EX_K200,10,NORMAL_2023_2024,FLOW,48,-0.0006828251586010519
0.05,KOSPI_EX_K200,10,NORMAL_2023_2024,MOMENTUM,48,-3.2254570366492324e-05
0.05,KOSPI_EX_K200,10,NORMAL_2023_2024,REVISION,48,-0.0001045566856149381
0.05,KOSPI_EX_K200,10,NORMAL_2023_2024,VALUE,48,0.00031954667036030436
0.05,KOSPI_EX_K200,10,YTD_2026,FLOW,13,-0.001518394270154339
0.05,KOSPI_EX_K200,10,YTD_2026,MOMENTUM,13,0.0015721301530656866
0.05,KOSPI_EX_K200,10,YTD_2026,REVISION,13,0.0001492512605059779
0.05,KOSPI_EX_K200,10,YTD_2026,VALUE,13,7.593796558494004e-05
0.05,KOSPI_KOSDAQ_ALL,10,BULL_2025,FLOW,25,1.0673629651920812e-06
0.05,KOSPI_KOSDAQ_ALL,10,BULL_2025,MOMENTUM,25,0.00463379750234864
0.05,KOSPI_KOSDAQ_ALL,10,BULL_2025,REVISION,25,0.001345210209113925
0.05,KOSPI_KOSDAQ_ALL,10,BULL_2025,VALUE,25,0.0012918391663146022
0.05,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,FLOW,98,-2.692530149298111e-06
0.05,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,MOMENTUM,98,0.0015912638081493234
0.05,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,REVISION,98,0.0005794290508596396
0.05,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,VALUE,98,0.00015978539818498584
0.05,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,FLOW,75,0.0009071652628012256
0.05,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,MOMENTUM,75,0.00021198332997762146
0.05,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,REVISION,75,0.000884682526549822
0.05,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,VALUE,75,0.0003233175961368028
0.05,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,FLOW,48,-0.002008750799632788
0.05,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,MOMENTUM,48,0.0014685579633700017
0.05,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,REVISION,48,5.378245993118708e-06
0.05,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,VALUE,48,0.00017736057407422628
0.05,KOSPI_KOSDAQ_ALL,10,YTD_2026,FLOW,13,0.0073435286743202734
0.05,KOSPI_KOSDAQ_ALL,10,YTD_2026,MOMENTUM,13,0.00359599622245211
0.05,KOSPI_KOSDAQ_ALL,10,YTD_2026,REVISION,13,0.005650550931247792
0.05,KOSPI_KOSDAQ_ALL,10,YTD_2026,VALUE,13,0.0018023333926299712
0.1,K200,5,BULL_2025,FLOW,49,0.0009351659675032839
0.1,K200,5,BULL_2025,MOMENTUM,49,0.000621664637919342
0.1,K200,5,BULL_2025,REVISION,49,4.9704745266818775e-05
0.1,K200,5,BULL_2025,VALUE,49,0.0007205299411203784
0.1,K200,5,EARLY_2016_2019,FLOW,196,1.0970035683367555e-05
0.1,K200,5,EARLY_2016_2019,MOMENTUM,196,0.00018515987842376594
0.1,K200,5,EARLY_2016_2019,REVISION,196,-9.729116800301257e-05
0.1,K200,5,EARLY_2016_2019,VALUE,196,-0.0001799241943040062
0.1,K200,5,LATE_2020_2022,FLOW,149,-0.00021358029152037316
0.1,K200,5,LATE_2020_2022,MOMENTUM,149,0.0002906561522115873
0.1,K200,5,LATE_2020_2022,REVISION,149,0.00012018633286565277
0.1,K200,5,LATE_2020_2022,VALUE,149,-0.00012119877628470643
0.1,K200,5,NORMAL_2023_2024,FLOW,97,0.0006900174030630888
0.1,K200,5,NORMAL_2023_2024,MOMENTUM,97,7.08520029083648e-05
0.1,K200,5,NORMAL_2023_2024,REVISION,97,0.0007259479864189836
0.1,K200,5,NORMAL_2023_2024,VALUE,97,0.00022832298306447963
0.1,K200,5,YTD_2026,FLOW,28,-0.001118792294972606
0.1,K200,5,YTD_2026,MOMENTUM,28,-0.00024943381071206223
0.1,K200,5,YTD_2026,REVISION,28,0.001144464163515962
0.1,K200,5,YTD_2026,VALUE,28,0.0014387317506713863
0.1,K200,10,BULL_2025,FLOW,25,0.0025690590485611333
0.1,K200,10,BULL_2025,MOMENTUM,25,0.0019115617553417514
0.1,K200,10,BULL_2025,REVISION,25,-0.00011982466467239869
0.1,K200,10,BULL_2025,VALUE,25,0.001719816851331004
0.1,K200,10,EARLY_2016_2019,FLOW,98,1.5582688472324633e-05
0.1,K200,10,EARLY_2016_2019,MOMENTUM,98,4.4733840605584144e-05
0.1,K200,10,EARLY_2016_2019,REVISION,98,-3.911382952484225e-05
0.1,K200,10,EARLY_2016_2019,VALUE,98,-0.00030573192895800184
0.1,K200,10,LATE_2020_2022,FLOW,75,0.00017888930746898276
0.1,K200,10,LATE_2020_2022,MOMENTUM,75,-0.00013159398243040756
0.1,K200,10,LATE_2020_2022,REVISION,75,0.0008476054965307722
0.1,K200,10,LATE_2020_2022,VALUE,75,-0.00016932705692874634
0.1,K200,10,NORMAL_2023_2024,FLOW,48,0.0009995625185765737
0.1,K200,10,NORMAL_2023_2024,MOMENTUM,48,-0.0006179908200706848
0.1,K200,10,NORMAL_2023_2024,REVISION,48,0.0018662255275826765
0.1,K200,10,NORMAL_2023_2024,VALUE,48,0.0008114757044421335
0.1,K200,10,YTD_2026,FLOW,13,-3.742074205042373e-05
0.1,K200,10,YTD_2026,MOMENTUM,13,-0.0025832127145088454
0.1,K200,10,YTD_2026,REVISION,13,0.001766578475006245
0.1,K200,10,YTD_2026,VALUE,13,0.0012320034019790715
0.1,K200,20,BULL_2025,FLOW,12,0.004989334837555661
0.1,K200,20,BULL_2025,MOMENTUM,12,-0.0004233131037612421
0.1,K200,20,BULL_2025,REVISION,12,0.0008123339842201902
0.1,K200,20,BULL_2025,VALUE,12,0.0024486774353307053
0.1,K200,20,EARLY_2016_2019,FLOW,49,0.0002729936131797716
0.1,K200,20,EARLY_2016_2019,MOMENTUM,49,-0.0007033196414878743
0.1,K200,20,EARLY_2016_2019,REVISION,49,-0.0005867455553431793
0.1,K200,20,EARLY_2016_2019,VALUE,49,0.00023708427275432437
0.1,K200,20,LATE_2020_2022,FLOW,38,0.002594143837161929
0.1,K200,20,LATE_2020_2022,MOMENTUM,38,0.0009976508796547751
0.1,K200,20,LATE_2020_2022,REVISION,38,0.001649671893951271
0.1,K200,20,LATE_2020_2022,VALUE,38,-0.0005549563513659315
0.1,K200,20,NORMAL_2023_2024,FLOW,24,0.0005068826595081435
0.1,K200,20,NORMAL_2023_2024,MOMENTUM,24,-0.0038018183051875248
0.1,K200,20,NORMAL_2023_2024,REVISION,24,0.0012704809199479987
0.1,K200,20,NORMAL_2023_2024,VALUE,24,-0.00022160488615460618
0.1,K200,20,YTD_2026,FLOW,6,0.0032601415829141226
0.1,K200,20,YTD_2026,MOMENTUM,6,-0.0012662933089191005
0.1,K200,20,YTD_2026,REVISION,6,0.001047936570915933
0.1,K200,20,YTD_2026,VALUE,6,-0.003480635165470697
0.1,KOSDAQ,5,BULL_2025,FLOW,49,0.0010999862879131927
0.1,KOSDAQ,5,BULL_2025,MOMENTUM,49,0.0010822518795803922
0.1,KOSDAQ,5,BULL_2025,REVISION,49,-0.0006073045221197771
0.1,KOSDAQ,5,BULL_2025,VALUE,49,-0.0006789200880978034
0.1,KOSDAQ,5,EARLY_2016_2019,FLOW,196,0.0005895275342260446
0.1,KOSDAQ,5,EARLY_2016_2019,MOMENTUM,196,0.00048198389851222145
0.1,KOSDAQ,5,EARLY_2016_2019,REVISION,196,-0.0002228959329862196
0.1,KOSDAQ,5,EARLY_2016_2019,VALUE,196,0.0003038279412491831
0.1,KOSDAQ,5,LATE_2020_2022,FLOW,149,0.0009509645758699848
0.1,KOSDAQ,5,LATE_2020_2022,MOMENTUM,149,0.0005774777769908821
0.1,KOSDAQ,5,LATE_2020_2022,REVISION,149,-0.00012197531949665085
0.1,KOSDAQ,5,LATE_2020_2022,VALUE,149,0.0003040099909038875
0.1,KOSDAQ,5,NORMAL_2023_2024,FLOW,97,0.00039417869454492783
0.1,KOSDAQ,5,NORMAL_2023_2024,MOMENTUM,97,-0.00045205823305324356
0.1,KOSDAQ,5,NORMAL_2023_2024,REVISION,97,-0.0005833582734457548
0.1,KOSDAQ,5,NORMAL_2023_2024,VALUE,97,9.032674031796938e-05
0.1,KOSDAQ,5,YTD_2026,FLOW,28,-0.002644420149294561
0.1,KOSDAQ,5,YTD_2026,MOMENTUM,28,0.0031354467469148018
0.1,KOSDAQ,5,YTD_2026,REVISION,28,0.00027263878931785604
0.1,KOSDAQ,5,YTD_2026,VALUE,28,0.0005073127100740758
0.1,KOSDAQ,10,BULL_2025,FLOW,25,0.0029305500807948475
0.1,KOSDAQ,10,BULL_2025,MOMENTUM,25,-0.0006856999211133879
0.1,KOSDAQ,10,BULL_2025,REVISION,25,0.0008374425711932359
0.1,KOSDAQ,10,BULL_2025,VALUE,25,9.728949639034971e-06
0.1,KOSDAQ,10,EARLY_2016_2019,FLOW,98,0.0005334580080726618
0.1,KOSDAQ,10,EARLY_2016_2019,MOMENTUM,98,0.00030307353040486874
0.1,KOSDAQ,10,EARLY_2016_2019,REVISION,98,-0.0002512063491345879
0.1,KOSDAQ,10,EARLY_2016_2019,VALUE,98,0.00029751392808535754
0.1,KOSDAQ,10,LATE_2020_2022,FLOW,75,0.00028715431732217876
0.1,KOSDAQ,10,LATE_2020_2022,MOMENTUM,75,0.0005986182983725657
0.1,KOSDAQ,10,LATE_2020_2022,REVISION,75,0.0001883582477312264
0.1,KOSDAQ,10,LATE_2020_2022,VALUE,75,0.000412157472277325
0.1,KOSDAQ,10,NORMAL_2023_2024,FLOW,48,-0.0005937625809725473
0.1,KOSDAQ,10,NORMAL_2023_2024,MOMENTUM,48,-6.780969508580349e-05
0.1,KOSDAQ,10,NORMAL_2023_2024,REVISION,48,-0.00016166127448560572
0.1,KOSDAQ,10,NORMAL_2023_2024,VALUE,48,-0.0002186310992117159
0.1,KOSDAQ,10,YTD_2026,FLOW,13,-0.0025651082648651203
0.1,KOSDAQ,10,YTD_2026,MOMENTUM,13,0.0017059390678522829
0.1,KOSDAQ,10,YTD_2026,REVISION,13,0.003260871037071601
0.1,KOSDAQ,10,YTD_2026,VALUE,13,-0.000733153010114441
0.1,KOSDAQ,20,BULL_2025,FLOW,12,0.0011436339106020144
0.1,KOSDAQ,20,BULL_2025,MOMENTUM,12,0.012457324276350858
0.1,KOSDAQ,20,BULL_2025,REVISION,12,0.0011150340563351308
0.1,KOSDAQ,20,BULL_2025,VALUE,12,-9.846278014821574e-05
0.1,KOSDAQ,20,EARLY_2016_2019,FLOW,49,6.849618325532392e-05
0.1,KOSDAQ,20,EARLY_2016_2019,MOMENTUM,49,-0.0004238278771113304
0.1,KOSDAQ,20,EARLY_2016_2019,REVISION,49,-0.0006988570842218543
0.1,KOSDAQ,20,EARLY_2016_2019,VALUE,49,-0.0004473393811197183
0.1,KOSDAQ,20,LATE_2020_2022,FLOW,38,0.0005293317303187468
0.1,KOSDAQ,20,LATE_2020_2022,MOMENTUM,38,0.003008461013460778
0.1,KOSDAQ,20,LATE_2020_2022,REVISION,38,0.0008072829033442936
0.1,KOSDAQ,20,LATE_2020_2022,VALUE,38,-0.00031130837549833457
0.1,KOSDAQ,20,NORMAL_2023_2024,FLOW,24,0.00643500502111614
0.1,KOSDAQ,20,NORMAL_2023_2024,MOMENTUM,24,0.0023359368188426593
0.1,KOSDAQ,20,NORMAL_2023_2024,REVISION,24,-0.0014181959739800604
0.1,KOSDAQ,20,NORMAL_2023_2024,VALUE,24,-0.0008819483893845684
0.1,KOSDAQ,20,YTD_2026,FLOW,6,-0.005639003576071652
0.1,KOSDAQ,20,YTD_2026,MOMENTUM,6,0.0031627203113880737
0.1,KOSDAQ,20,YTD_2026,REVISION,6,-0.000314982687235346
0.1,KOSDAQ,20,YTD_2026,VALUE,6,0.0013115833046202878
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,FLOW,49,0.0014301885328702128
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,MOMENTUM,49,0.0016066169223310698
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,REVISION,49,-0.00048297917053000887
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,VALUE,49,0.0006440150838894515
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,FLOW,196,0.0005459199077697225
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,MOMENTUM,196,0.0008600156327311577
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,REVISION,196,-2.7833177630978146e-05
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,VALUE,196,0.00044050948682419273
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,FLOW,149,0.0014361048475686256
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,MOMENTUM,149,0.0003773719018087695
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,REVISION,149,0.000851681397288566
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,VALUE,149,0.00045652747657584376
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,FLOW,97,0.0008807706325587506
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,MOMENTUM,97,0.0010158213150503485
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,REVISION,97,0.0003269846814479074
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,VALUE,97,0.0007497723177097155
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,FLOW,28,-0.0021338186796504978
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,MOMENTUM,28,0.005973270553946559
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,REVISION,28,0.000942361296450031
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,VALUE,28,-0.00019133077288128555
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,FLOW,25,0.0008434389216772202
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,MOMENTUM,25,0.006110049781622931
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,REVISION,25,0.000498693440279236
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,VALUE,25,0.0009322917323514339
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,FLOW,98,0.0011518136537008415
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,MOMENTUM,98,0.00018459387607239062
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,REVISION,98,-0.0003761647289763097
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,VALUE,98,0.0005718740295563875
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,FLOW,75,0.0016940740670148657
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,MOMENTUM,75,-0.001142815893992325
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,REVISION,75,0.001599992156546627
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,VALUE,75,9.681973040815117e-06
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,FLOW,48,-0.0013291154312261248
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,MOMENTUM,48,0.004513347599918063
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,REVISION,48,0.000706896101436958
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,VALUE,48,0.00018968459942305215
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,FLOW,13,0.003114856002170923
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,MOMENTUM,13,-0.0013662104233581318
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,REVISION,13,0.003602303889840998
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,VALUE,13,-0.0012982750945184
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,FLOW,12,0.0006295107052805749
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,MOMENTUM,12,0.022796234448563688
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,REVISION,12,-0.002896717857093645
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,VALUE,12,0.0034463546190422072
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,FLOW,49,0.0015415318966902178
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,MOMENTUM,49,0.0007721930666036902
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,REVISION,49,-0.001104095079699443
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,VALUE,49,0.0012991783619242209
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,FLOW,38,0.003080795807769069
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,MOMENTUM,38,0.0006876253791050774
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,REVISION,38,0.0038807965468820476
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,VALUE,38,8.780310267061882e-05
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,FLOW,24,0.0017864215407698413
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,MOMENTUM,24,0.009871662056180737
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,REVISION,24,-0.0006811199351009271
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,VALUE,24,0.0006900266627013742
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,FLOW,6,0.012605206650391707
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,MOMENTUM,6,0.01180719313325658
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,REVISION,6,0.010795677979650767
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,VALUE,6,-0.0023303476967347467
0.1,KOSPI_ALL,5,BULL_2025,FLOW,49,0.0008013437055895757
0.1,KOSPI_ALL,5,BULL_2025,MOMENTUM,49,0.0025485138608398175
0.1,KOSPI_ALL,5,BULL_2025,REVISION,49,0.0016111632850883196
0.1,KOSPI_ALL,5,BULL_2025,VALUE,49,0.0004977689088353463
0.1,KOSPI_ALL,5,EARLY_2016_2019,FLOW,196,0.00013156121290016162
