strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,net_delta_0,net_delta_30,net_delta_60
VETO_LOW05,KOSPI_ALL,20,YTD_2026,6,0.003104372896129378,0.005208333333333333,0.003104372896129378,0.003088747896129378,0.0030731228961293783
VETO_LOW05,KOSPI_EX_K200,5,BULL_2025,49,6.850354496262656e-05,0.004464285714285713,6.850354496262656e-05,5.511068781976943e-05,4.1717830676912266e-05
VETO_LOW05,KOSPI_EX_K200,5,EARLY_2016_2019,192,0.00011833947241961887,0.009244791666666669,0.00011833947241961887,9.060509741961886e-05,6.287072241961888e-05
VETO_LOW05,KOSPI_EX_K200,5,LATE_2020_2022,149,0.0001211126400428812,0.004614093959731544,0.0001211126400428812,0.00010727035816368658,9.342807628449193e-05
VETO_LOW05,KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0005726878493322159,0.0034793814432989693,0.0005726878493322159,0.0005622497050023189,0.0005518115606724219
VETO_LOW05,KOSPI_EX_K200,5,YTD_2026,28,0.0007146772374958706,0.006249999999999998,0.0007146772374958706,0.0006959272374958707,0.0006771772374958705
VETO_LOW05,KOSPI_EX_K200,10,BULL_2025,25,0.00030208284920642665,0.0050000000000000044,0.00030208284920642665,0.0002870828492064266,0.0002720828492064266
VETO_LOW05,KOSPI_EX_K200,10,EARLY_2016_2019,96,0.00027383795559676364,0.0111328125,0.00027383795559676364,0.00024043951809676358,0.0002070410805967636
VETO_LOW05,KOSPI_EX_K200,10,LATE_2020_2022,75,0.00044452534026708754,0.004500000000000001,0.00044452534026708754,0.00043102534026708754,0.00041752534026708753
VETO_LOW05,KOSPI_EX_K200,10,NORMAL_2023_2024,48,0.0009719700865842787,0.002734375000000002,0.0009719700865842787,0.0009637669615842787,0.0009555638365842785
VETO_LOW05,KOSPI_EX_K200,10,YTD_2026,13,0.0019387839489197526,0.0033653846153846078,0.0019387839489197526,0.0019286877950735989,0.001918591641227445
VETO_LOW05,KOSPI_EX_K200,20,BULL_2025,12,1.3596055086428742e-05,0.005208333333333333,1.3596055086428742e-05,-2.02894491357129e-06,-1.7653944913571215e-05
VETO_LOW05,KOSPI_EX_K200,20,EARLY_2016_2019,48,0.0003004191474724463,0.010156250000000004,0.0003004191474724463,0.00026995039747244637,0.00023948164747244628
VETO_LOW05,KOSPI_EX_K200,20,LATE_2020_2022,38,0.0006151234802360276,0.0019736842105263163,0.0006151234802360276,0.0006092024276044487,0.0006032813749728697
VETO_LOW05,KOSPI_EX_K200,20,NORMAL_2023_2024,24,0.0012037585895850434,0.001302083333333331,0.0012037585895850434,0.0011998523395850434,0.0011959460895850434
VETO_LOW05,KOSPI_EX_K200,20,YTD_2026,6,0.002840263124960178,0.00833333333333336,0.002840263124960178,0.002815263124960178,0.0027902631249601775
VETO_LOW05,KOSPI_KOSDAQ_ALL,5,BULL_2025,49,0.00020471591378659132,0.0002551020408163279,0.00020471591378659132,0.00020395060766414236,0.00020318530154169338
VETO_LOW05,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,192,0.00019717829954526666,0.005175781250000001,0.00019717829954526666,0.0001816509557952667,0.0001661236120452667
VETO_LOW05,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,149,0.00014108055380945587,0.002558724832214762,0.00014108055380945587,0.00013340437931281157,0.0001257282048161673
VETO_LOW05,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,97,0.0003611316766515777,0.0021262886597938164,0.0003611316766515777,0.0003547528106721963,0.0003483739446928149
VETO_LOW05,KOSPI_KOSDAQ_ALL,5,YTD_2026,28,-0.00028832331261248266,0.00334821428571429,-0.00028832331261248266,-0.0002983679554696255,-0.00030841259832676843
VETO_LOW05,KOSPI_KOSDAQ_ALL,10,BULL_2025,25,0.00011648010871919286,0.0007500000000000062,0.00011648010871919286,0.00011423010871919286,0.00011198010871919288
VETO_LOW05,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,96,0.0005107402014937603,0.008138020833333336,0.0005107402014937603,0.00048632613899376033,0.0004619120764937602
VETO_LOW05,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,75,0.0002900753471766631,0.0020833333333333346,0.0002900753471766631,0.00028382534717666304,0.00027757534717666313
VETO_LOW05,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,48,0.0005918309725930158,0.0005208333333333327,0.0005918309725930158,0.0005902684725930157,0.0005887059725930157
VETO_LOW05,KOSPI_KOSDAQ_ALL,10,YTD_2026,13,-2.2482333310180423e-05,0.0028846153846153787,-2.2482333310180423e-05,-3.1136179464026554e-05,-3.979002561787269e-05
VETO_LOW05,KOSPI_KOSDAQ_ALL,20,BULL_2025,12,-0.0006873928219202959,0.0015624999999999944,-0.0006873928219202959,-0.0006920803219202958,-0.0006967678219202959
VETO_LOW05,KOSPI_KOSDAQ_ALL,20,EARLY_2016_2019,48,0.0010148469912885448,0.00872395833333333,0.0010148469912885448,0.0009886751162885446,0.0009625032412885447
VETO_LOW05,KOSPI_KOSDAQ_ALL,20,LATE_2020_2022,38,0.0004987082126942276,-0.001480263157894749,0.0004987082126942276,0.0005031490021679119,0.0005075897916415962
VETO_LOW05,KOSPI_KOSDAQ_ALL,20,NORMAL_2023_2024,24,0.0005796524959966952,-0.0010416666666666675,0.0005796524959966952,0.0005827774959966952,0.0005859024959966952
VETO_LOW05,KOSPI_KOSDAQ_ALL,20,YTD_2026,6,0.00029336107964534887,0.0031250000000000075,0.00029336107964534887,0.00028398607964534887,0.0002746110796453488
VETO_LOW10,K200,5,BULL_2025,49,-0.0004831724671724549,0.04987244897959183,-0.0004831724671724549,-0.0006327898141112305,-0.000782407161050006
VETO_LOW10,K200,5,EARLY_2016_2019,192,8.037880004748134e-05,0.05006510416666667,8.037880004748134e-05,-6.981651245251866e-05,-0.00022001182495251861
VETO_LOW10,K200,5,LATE_2020_2022,149,-0.00020048276566300534,0.04093959731543624,-0.00020048276566300534,-0.000323301557609314,-0.0004461203495556228
VETO_LOW10,K200,5,NORMAL_2023_2024,97,1.1487453450971774e-05,0.03956185567010309,1.1487453450971774e-05,-0.00010719811355933751,-0.00022588368056964675
