low_cut,universe,horizon,sample,combo_net30,top1_only_net30,low_only_net30,combo_minus_best_component
0.1,KOSPI_ALL,10,BULL_2025,0.0006552627660635192,0.00031246061539228696,0.00046671513386474067,0.00018854763219877858
0.1,KOSPI_ALL,10,YTD_2026,0.0027745597838946556,0.0011676151326312782,0.0018019415913574624,0.0009726181925371932
0.1,KOSPI_ALL,20,EARLY_2016_2019,0.0003425028839460534,0.00019655893648403357,0.0004823446111207641,-0.00013984172717471067
0.1,KOSPI_ALL,20,LATE_2020_2022,-0.0005125631024223767,-5.581224209892054e-05,-0.000235273729597681,-0.0004567508603234562
0.1,KOSPI_ALL,20,NORMAL_2023_2024,-0.00027021032203245154,0.00016657533263964163,-0.00013334636661790304,-0.0004367856546720932
0.1,KOSPI_ALL,20,BULL_2025,0.002759797805603622,0.0011887858912287554,0.0016313164804797008,0.0011284813251239212
0.1,KOSPI_ALL,20,YTD_2026,0.00825174817710145,0.0029332868931459303,0.004380684417411903,0.0038710637596895466
0.1,KOSDAQ,5,EARLY_2016_2019,0.00010927769385628809,0.00024073802415289515,3.677582496088913e-05,-0.00013146033029660706
0.1,KOSDAQ,5,LATE_2020_2022,-0.0003630114687370817,-0.00014710243028952087,-0.00035875701921903356,-0.00021590903844756083
0.1,KOSDAQ,5,NORMAL_2023_2024,0.00019927958236082586,-4.3222791909347566e-05,0.0003468905807993081,-0.00014761099843848223
0.1,KOSDAQ,5,BULL_2025,0.0002564047528656005,-0.00010125233442256481,0.00037668301069769474,-0.00012027825783209425
0.1,KOSDAQ,5,YTD_2026,0.0006132660987512931,0.0008303171976614605,-0.000191570596181618,-0.0002170510989101674
0.1,KOSDAQ,10,EARLY_2016_2019,0.0005872666111477323,0.00047126055225480513,0.00048417897312300496,0.00010308763802472731
0.1,KOSDAQ,10,LATE_2020_2022,-0.0002685264341170516,-0.0004208562790492416,-0.00011966319406742911,-0.0001488632400496225
0.1,KOSDAQ,10,NORMAL_2023_2024,0.0004995066457108064,0.00028826463124689367,0.0004114724037177263,8.803424199308005e-05
0.1,KOSDAQ,10,BULL_2025,0.000595743983318875,6.568650802970699e-05,0.0006260316217206989,-3.0287638401823853e-05
0.1,KOSDAQ,10,YTD_2026,0.0018987631747916763,0.0008517801785168342,0.0009794352062797238,0.0009193279685119524
0.1,KOSDAQ,20,EARLY_2016_2019,0.0011088017458921033,0.0008276809600568589,0.0009702635547749593,0.00013853819111714393
0.1,KOSDAQ,20,LATE_2020_2022,-0.0002594163986317136,-0.0003231266713506744,3.2798934751952287e-06,-0.0002626962921069088
0.1,KOSDAQ,20,NORMAL_2023_2024,0.0008084761751721566,0.00036487972194331874,0.0006445319254639851,0.00016394424970817153
0.1,KOSDAQ,20,BULL_2025,0.00024239749058315067,-0.00015167185816618477,0.0003940693487493353,-0.0001516718581661846
0.1,KOSDAQ,20,YTD_2026,0.004138201888509442,0.0011458170011649515,0.0034700102068512956,0.000668191681658146
0.1,KOSPI_KOSDAQ_ALL,5,EARLY_2016_2019,0.00019448948497920835,0.00020247656415559707,0.00014789218531744165,-7.987079176388715e-06
0.1,KOSPI_KOSDAQ_ALL,5,LATE_2020_2022,-6.246159546181268e-05,0.0001377587866031975,-6.305710683920667e-05,-0.0002002203820650102
0.1,KOSPI_KOSDAQ_ALL,5,NORMAL_2023_2024,0.0004817034001634911,-8.03261289277222e-05,0.0006045920512349741,-0.000122888651071483
0.1,KOSPI_KOSDAQ_ALL,5,BULL_2025,0.00028380518947012013,4.899004863199091e-05,0.0002994291964618901,-1.5624006991769954e-05
0.1,KOSPI_KOSDAQ_ALL,5,YTD_2026,1.835470886057481e-05,-5.64843089223925e-05,-0.00024848912238738827,7.483901778296731e-05
0.1,KOSPI_KOSDAQ_ALL,10,EARLY_2016_2019,0.0007297736508365815,0.0004123271159401265,0.0007027434287283632,2.7030222108218364e-05
0.1,KOSPI_KOSDAQ_ALL,10,LATE_2020_2022,-5.284190681262435e-05,0.0003706749832729267,-0.0001204507817789365,-0.0004235168900855511
0.1,KOSPI_KOSDAQ_ALL,10,NORMAL_2023_2024,0.0003095544336774512,-0.0003902589372553847,0.0007103660737151265,-0.0004008116400376753
0.1,KOSPI_KOSDAQ_ALL,10,BULL_2025,-1.047243257740367e-06,3.549473366886761e-05,2.6389974964763224e-05,-3.654197692660798e-05
0.1,KOSPI_KOSDAQ_ALL,10,YTD_2026,0.0008684963799464989,0.0006509860091752177,7.187920349337372e-05,0.00021751037077128127
0.1,KOSPI_KOSDAQ_ALL,20,EARLY_2016_2019,0.001409263275499207,0.0008530452085017664,0.0014519822996434388,-4.271902414423184e-05
0.1,KOSPI_KOSDAQ_ALL,20,LATE_2020_2022,0.0004742948253936952,0.0003155435035379246,0.00025558248304104235,0.00015875132185577055
0.1,KOSPI_KOSDAQ_ALL,20,NORMAL_2023_2024,0.0014483626818534874,-4.033068619566101e-05,0.0019222276402240332,-0.00047386495837054574
0.1,KOSPI_KOSDAQ_ALL,20,BULL_2025,-0.0005593722000829414,0.0004484445147946517,-0.001007816714877592,-0.001007816714877593
0.1,KOSPI_KOSDAQ_ALL,20,YTD_2026,0.0030573310275706423,0.0008049265093141633,0.0026834458917503125,0.0003738851358203298
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,0.00039728761928245823,0.0002818977608365424,0.00033454993252561826,6.273768675683997e-05
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,-4.2085334843475376e-05,6.860330738415569e-05,-0.00011106433982198172,-0.00011068864222763107
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,0.0006581694373093489,5.534424557511072e-05,0.0008058412872947284,-0.00014767184998537954
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,0.0003070300217899812,5.3518308666348264e-05,0.0003574000544719786,-5.03700326819974e-05
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,0.0004222083758343794,2.726069929002958e-05,0.00017380459395571348,0.0002484037818786659
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,0.0008793266243297269,0.0005670899375094668,0.0007983833891400614,8.094323518966547e-05
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,-0.0001646457829011314,0.00010593518781411447,-0.00024277136331415325,-0.0002705809707152459
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,0.0006083832306387379,0.00020839079993342853,0.0008312417745577607,-0.00022285854391902282
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,-0.0002817374748536405,3.5220617355821275e-05,-0.00024395462271606418,-0.0003169580922094618
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,0.0011372771951087758,0.0011444961082119644,0.0004904170756351579,-7.218913103188571e-06
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,EARLY_2016_2019,0.0016852547805173937,0.0009197986894526649,0.0015798052079612178,0.00010544957255617595
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,LATE_2020_2022,0.0003378448334798386,-8.486586052771368e-05,0.00011237528428356162,0.00022546954919627698
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,NORMAL_2023_2024,0.0014201211633175336,0.000744091213980118,0.001461030715177462,-4.090955185992841e-05
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,BULL_2025,-0.00099402080465249,0.0003137809364788071,-0.0012669726312789645,-0.001307801741131297
0.1,KOSDAQ_PLUS_KOSPI_EX_K200,20,YTD_2026,0.006222990949105385,0.002643298341272403,0.00626630351449864,-4.3312565393254995e-05
0.2,K200,5,EARLY_2016_2019,-0.00040044914593160815,-4.792280616964991e-05,-0.0003470791849679098,-0.00035252633976195824
0.2,K200,5,LATE_2020_2022,-0.0003770781039428047,-0.00011553003903768166,-0.0002534972003315321,-0.00026154806490512306
0.2,K200,5,NORMAL_2023_2024,-0.00022302962607298317,0.00021905556235661856,-0.0005235337836435541,-0.0004420851884296017
0.2,K200,5,BULL_2025,-0.0010543815137103714,0.00026832513752057693,-0.001013592199734187,-0.0013227066512309484
0.2,K200,5,YTD_2026,0.0026555819984196323,0.0003635030328803852,0.002373092614490402,0.00028248938392923034
0.2,K200,10,EARLY_2016_2019,-0.0005330772803427355,0.00011425276847998156,-0.0005961873933880591,-0.0006473300488227171
0.2,K200,10,LATE_2020_2022,-0.0006751851838928533,-0.00021321721439091052,-0.00017877564442265317,-0.0004964095394702001
0.2,K200,10,NORMAL_2023_2024,0.0006620583566961836,0.00029045652978857203,0.0003132074871939273,0.0003488508695022563
0.2,K200,10,BULL_2025,-0.002992151519338305,0.0006773122748832167,-0.0032930747631549477,-0.003669463794221522
0.2,K200,10,YTD_2026,0.00617521774286417,-9.06778201618135e-05,0.0050976308935142215,0.0010775868493499482
0.2,K200,20,EARLY_2016_2019,-0.0010948816981947687,0.00025887267942334516,-0.0010874940789243315,-0.0013537543776181138
0.2,K200,20,LATE_2020_2022,-0.0033511387144080523,-0.0008719729474730306,-0.0019845542057683628,-0.0024791657669350218
0.2,K200,20,NORMAL_2023_2024,0.00040130929550854177,0.0004758976947526222,-0.0004731565737666735,-7.458839924408045e-05
0.2,K200,20,BULL_2025,-0.00473767854635994,-0.0005565308018096478,-0.004335138776430628,-0.004181147744550293
0.2,K200,20,YTD_2026,0.007576744715769874,-0.0013652664850916216,0.006312478714634897,0.0012642660011349767
0.2,KOSPI_EX_K200,5,EARLY_2016_2019,6.617063379633719e-05,1.4499351541277485e-05,7.162277190391902e-05,-5.452138107581836e-06
0.2,KOSPI_EX_K200,5,LATE_2020_2022,-4.2213736235207094e-05,9.156908148831565e-05,-3.082116056865404e-05,-0.00013378281772352275
0.2,KOSPI_EX_K200,5,NORMAL_2023_2024,0.000600070317042314,0.00023511097869095777,0.0006840045848832234,-8.393426784090942e-05
