strategy,universe,horizon,sample,n_dates,gross_delta,turnover_delta,mean_act5,act5_gt1_share,net_delta_0,net_delta_30,net_delta_60,metric,mean,ci025,ci975,p_gt0
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0009863620218048552,0.31372422680412365,3.0681775101253574,1.0,0.0009863620218048552,4.518934139248415e-05,-0.0008959833390198869,net_30,4.518934139248415e-05,-0.0025989347397029324,0.002742196135033015,0.49975
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,97,0.0009863620218048552,0.31372422680412365,3.0681775101253574,1.0,0.0009863620218048552,4.518934139248415e-05,-0.0008959833390198869,net_60,-0.0008959833390198869,-0.0035697558594977997,0.0018508170020704708,0.25425
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,-0.002573536084700507,0.2825892857142857,2.359605089544865,1.0,-0.002573536084700507,-0.0034213039418433643,-0.004269071798986221,gross_delta,-0.002573536084700507,-0.008002230519263734,0.0037626671642065775,0.20225
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,-0.002573536084700507,0.2825892857142857,2.359605089544865,1.0,-0.002573536084700507,-0.0034213039418433643,-0.004269071798986221,net_30,-0.0034213039418433643,-0.009159805153731182,0.002800874615347969,0.12625
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,28,-0.002573536084700507,0.2825892857142857,2.359605089544865,1.0,-0.002573536084700507,-0.0034213039418433643,-0.004269071798986221,net_60,-0.004269071798986221,-0.009810614116493005,0.0018861069694058826,0.085
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,0.0008569202524224912,0.28975,3.32108921821964,1.0,0.0008569202524224912,-1.2329747577508876e-05,-0.0008815797475775089,gross_delta,0.0008569202524224912,-0.005275845759751128,0.006683359825875339,0.60875
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,0.0008569202524224912,0.28975,3.32108921821964,1.0,0.0008569202524224912,-1.2329747577508876e-05,-0.0008815797475775089,net_30,-1.2329747577508876e-05,-0.005833362227252022,0.005881370439608825,0.51325
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,25,0.0008569202524224912,0.28975,3.32108921821964,1.0,0.0008569202524224912,-1.2329747577508876e-05,-0.0008815797475775089,net_60,-0.0008815797475775089,-0.007029145993083358,0.0049883063483008565,0.4
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,96,-0.0009261437067647616,0.32070312500000003,1.9099727886417923,1.0,-0.0009261437067647616,-0.0018882530817647613,-0.0028503624567647614,gross_delta,-0.0009261437067647616,-0.0032895593675556917,0.0012835179083170512,0.2095
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,96,-0.0009261437067647616,0.32070312500000003,1.9099727886417923,1.0,-0.0009261437067647616,-0.0018882530817647613,-0.0028503624567647614,net_30,-0.0018882530817647613,-0.004199100027872583,0.0003431498469983749,0.05025
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,96,-0.0009261437067647616,0.32070312500000003,1.9099727886417923,1.0,-0.0009261437067647616,-0.0018882530817647613,-0.0028503624567647614,net_60,-0.0028503624567647614,-0.005254472147708603,-0.0006263400602281943,0.005
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,-0.001303198991970706,0.27975000000000005,2.4802063966073082,1.0,-0.001303198991970706,-0.0021424489919707065,-0.002981698991970706,gross_delta,-0.001303198991970706,-0.0047378394247894196,0.002476134346483858,0.251
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,-0.001303198991970706,0.27975000000000005,2.4802063966073082,1.0,-0.001303198991970706,-0.0021424489919707065,-0.002981698991970706,net_30,-0.0021424489919707065,-0.005837330540100594,0.001809167868384907,0.1315
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,75,-0.001303198991970706,0.27975000000000005,2.4802063966073082,1.0,-0.001303198991970706,-0.0021424489919707065,-0.002981698991970706,net_60,-0.002981698991970706,-0.00658798899240432,0.0009690038489144782,0.0695
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.0010848034121452195,0.302734375,3.129071058139862,1.0,-0.0010848034121452195,-0.001993006537145219,-0.002901209662145219,gross_delta,-0.0010848034121452195,-0.005531239442351721,0.003757734028375513,0.3175
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.0010848034121452195,0.302734375,3.129071058139862,1.0,-0.0010848034121452195,-0.001993006537145219,-0.002901209662145219,net_30,-0.001993006537145219,-0.00650595158270617,0.0027501136995652935,0.21525
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,48,-0.0010848034121452195,0.302734375,3.129071058139862,1.0,-0.0010848034121452195,-0.001993006537145219,-0.002901209662145219,net_60,-0.002901209662145219,-0.007461142504345876,0.0019461102208429156,0.12125
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.003876502833378733,0.2576923076923077,2.2868874328432716,1.0,0.003876502833378733,0.00310342591030181,0.002330348987224887,gross_delta,0.003876502833378733,-0.0002517209659902142,0.00960291784473062,0.965
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.003876502833378733,0.2576923076923077,2.2868874328432716,1.0,0.003876502833378733,0.00310342591030181,0.002330348987224887,net_30,0.00310342591030181,-0.001119930444132903,0.008413177729228023,0.9045
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,13,0.003876502833378733,0.2576923076923077,2.2868874328432716,1.0,0.003876502833378733,0.00310342591030181,0.002330348987224887,net_60,0.002330348987224887,-0.0017932369429668439,0.007887620730637458,0.813
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,BULL_2025,49,-0.001549563062587566,0.3137755102040816,2.1949400319490215,1.0,-0.001549563062587566,-0.002490889593199811,-0.003432216123812056,gross_delta,-0.001549563062587566,-0.004489666698187049,0.0015836518688909743,0.16
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,BULL_2025,49,-0.001549563062587566,0.3137755102040816,2.1949400319490215,1.0,-0.001549563062587566,-0.002490889593199811,-0.003432216123812056,net_30,-0.002490889593199811,-0.005456780686027512,0.0005680829247433579,0.05375
CF20_ACT5_GT1_DIAG,KOSPI_ALL,5,BULL_2025,49,-0.001549563062587566,0.3137755102040816,2.1949400319490215,1.0,-0.001549563062587566,-0.002490889593199811,-0.003432216123812056,net_60,-0.003432216123812056,-0.006261265248145676,-0.00042990101098511413,0.01275
