universe,sample,n_dates,portfolio_delta,replacement_edge,replace_share,added_return,dropped_return,kept_return,added_primary_rank,dropped_primary_rank,added_other_score,dropped_other_score
KOSPI_ALL,BULL_2025,25,0.002749969028639825,0.010779771230427372,0.242,0.02853612429902068,0.017756353068593307,0.023513546627769687,28.43064880952381,13.755783730158731,0.6965834749007733,0.34448838691228745
KOSPI_ALL,EARLY_2016_2019,98,0.00035261556318041417,0.0011424093507264288,0.20956632653061225,-0.002977342851745932,-0.004096894575745242,0.001843359263848218,26.76566346776806,14.292277848639454,0.6950745814073164,0.34716901590256505
KOSPI_ALL,LATE_2020_2022,75,0.0007153697379061787,0.0035325001734381927,0.23941666666666667,0.008435942099586499,0.0048484012892467945,0.005726198637480993,27.956370559334847,13.62260478080121,0.7020853969371329,0.3403754949241825
KOSPI_ALL,NORMAL_2023_2024,48,0.0005814337819532398,0.0023766163662493314,0.24609375,0.003872226470319685,0.001495610104070353,0.005445852185428504,28.055159763558205,13.704212136243386,0.6992973217329369,0.34569934407478176
KOSPI_ALL,YTD_2026,13,0.001914423057586735,0.013716568040113342,0.24423076923076925,0.0017647253104043008,-0.011951842729709044,0.005692987799147977,28.709378815628813,13.496581196581193,0.691130551080437,0.34397127840643915
KOSPI_EX_K200,BULL_2025,25,0.0011039351931579672,0.0014732684728055773,0.13025,0.014968126019006,0.013625668032241056,0.01682119520185013,24.172738095238092,16.362059523809524,0.6892872453566009,0.316448374706946
KOSPI_EX_K200,EARLY_2016_2019,98,0.0003773837439609105,0.0021857031100185245,0.08501275510204083,0.0006657900710138802,-0.0016687705378118061,-0.0009023078528809938,23.274226595400066,17.752385001619697,0.6903779178675487,0.3395046557808733
KOSPI_EX_K200,LATE_2020_2022,75,2.8281939059669874e-05,-0.002539175946007099,0.11391666666666665,0.003480760643025018,0.006014001848823202,0.006431198455347562,24.338959467120183,16.6917302532124,0.7006637422450052,0.3295028042933623
KOSPI_EX_K200,NORMAL_2023_2024,48,0.0009633302265644973,0.004676136844950555,0.123828125,0.007518437401403586,0.0025860223523864216,0.0048090741899149605,24.62975983796296,16.847940434854497,0.7170776385931626,0.3351719007119612
KOSPI_EX_K200,YTD_2026,13,0.0019844605993703294,0.009203548289954806,0.13509615384615384,-0.01003387689646302,-0.02002952389846259,-0.009208983228670253,24.71601800976801,16.62055860805861,0.6947734781440684,0.34885704433450254
KOSPI_KOSDAQ_ALL,BULL_2025,25,0.004620957740483624,0.010523273625689706,0.3737499999999999,0.03046663895436514,0.01994336532867543,0.02860223249755042,33.7487437978688,12.32379315129315,0.7151319321097652,0.3597940439793744
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,98,0.0014557017790353842,0.004315918124306076,0.29566326530612247,0.003650132437662703,-0.000665785686643372,0.0017520447399736088,29.98504276689863,12.83649411812677,0.706271390864185,0.35600461426512414
KOSPI_KOSDAQ_ALL,LATE_2020_2022,75,0.001935451647720124,0.005314409941797193,0.36016666666666663,0.007169600856034895,0.001855190914237701,0.0030977219810771634,33.103801705511266,12.23403400385018,0.718883033022135,0.3597546045710601
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,48,0.0008432560410292204,0.0010583213764519116,0.3606770833333333,0.0030866483127129185,0.002028326936261007,0.0029867345869210725,33.42021622402481,12.171113290644541,0.7177864598898115,0.3649986414931255
KOSPI_KOSDAQ_ALL,YTD_2026,13,0.011316404707481196,0.02800770661676721,0.39375000000000004,0.009479996865612432,-0.01852770975115478,0.004330895578233278,35.102755844582774,11.8815412685605,0.7132994111931723,0.35680848600750914
