strategy,universe,horizon,sample,family,n_dates,gross_delta,positive_date_rate
CF20_ACT5_GT1_DIAG,KOSDAQ,10,NORMAL_2023_2024,MOMENTUM,48,-0.006307936199319744,0.375
CF20_ACT5_GT1_DIAG,KOSDAQ,10,NORMAL_2023_2024,REVISION,48,-0.0026035325018939123,0.4791666666666667
CF20_ACT5_GT1_DIAG,KOSDAQ,10,NORMAL_2023_2024,VALUE,48,0.003246799189611142,0.6875
CF20_ACT5_GT1_DIAG,KOSDAQ,10,YTD_2026,FLOW,13,0.004154222250021909,0.6153846153846154
CF20_ACT5_GT1_DIAG,KOSDAQ,10,YTD_2026,MOMENTUM,13,0.00776921910006377,0.5384615384615384
CF20_ACT5_GT1_DIAG,KOSDAQ,10,YTD_2026,REVISION,13,0.008715822679073186,0.6923076923076923
CF20_ACT5_GT1_DIAG,KOSDAQ,10,YTD_2026,VALUE,13,0.01110456646438439,0.6923076923076923
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,FLOW,49,-0.0031388759414306766,0.42857142857142855
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,MOMENTUM,49,2.1410120035788475e-05,0.4897959183673469
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,REVISION,49,-0.0009246318645129485,0.46938775510204084
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,BULL_2025,VALUE,49,-0.002025254713658336,0.4489795918367347
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,FLOW,192,-2.583483256506482e-05,0.5052083333333334
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,MOMENTUM,192,-0.0002647217237669211,0.5052083333333334
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,REVISION,192,-0.00020411289875364326,0.53125
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,EARLY_2016_2019,VALUE,192,6.604208364266364e-05,0.53125
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,FLOW,149,-0.0014165007022470472,0.5033557046979866
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,MOMENTUM,149,-0.0008721860946846564,0.46308724832214765
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,REVISION,149,-0.0020433239825501893,0.4563758389261745
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,LATE_2020_2022,VALUE,149,-0.0012371950084958325,0.4697986577181208
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,FLOW,97,0.003070846957264749,0.6082474226804123
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,MOMENTUM,97,0.003224917886892938,0.5876288659793815
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,REVISION,97,-0.001228714660690389,0.4742268041237113
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,NORMAL_2023_2024,VALUE,97,-0.001121602096247877,0.4536082474226804
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,FLOW,28,-0.0022970481595589545,0.4642857142857143
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,MOMENTUM,28,-0.0043542576917917205,0.39285714285714285
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,REVISION,28,-0.0011059588540311268,0.4642857142857143
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,5,YTD_2026,VALUE,28,-0.0025368796334202287,0.5357142857142857
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,FLOW,25,-0.0009960137040260443,0.56
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,MOMENTUM,25,-0.0031843655046804036,0.4
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,REVISION,25,0.009342084715781669,0.64
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,BULL_2025,VALUE,25,-0.0017340244973852587,0.32
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,FLOW,96,0.0007977630993083572,0.5625
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,MOMENTUM,96,-0.002194891489725649,0.46875
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,REVISION,96,-0.0022717695681714594,0.4375
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,EARLY_2016_2019,VALUE,96,-3.5676868470293695e-05,0.4895833333333333
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,FLOW,75,0.0005925968118659306,0.5333333333333333
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,MOMENTUM,75,-0.0017159316358043644,0.41333333333333333
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,REVISION,75,-0.0014846146488953756,0.44
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,LATE_2020_2022,VALUE,75,-0.002604846495049015,0.48
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,FLOW,48,-0.0016340239854831286,0.5
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,MOMENTUM,48,0.003427645313939963,0.6041666666666666
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,REVISION,48,-0.0015783490247801655,0.4375
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,NORMAL_2023_2024,VALUE,48,-0.004554485952257547,0.4583333333333333
CF20_ACT5_GT1_DIAG,KOSDAQ_PLUS_KOSPI_EX_K200,10,YTD_2026,FLOW,13,0.0051808582295968944,0.46153846153846156
