universe,sample,metric,mean,ci025,ci975,p_gt0,n_dates
KOSDAQ_PLUS_KOSPI_EX_K200,YTD_2026,replacement_edge,0.016931666111443176,-0.010729680033753358,0.04225747446370544,0.881,13
KOSPI_ALL,BULL_2025,portfolio_delta,0.002749969028639825,-0.0014438292458241624,0.007220722132109347,0.88625,25
KOSPI_ALL,BULL_2025,replacement_edge,0.010779771230427372,-0.006407177900439452,0.029781213726686868,0.87575,25
KOSPI_ALL,EARLY_2016_2019,portfolio_delta,0.00035261556318041417,-0.0008299602329840275,0.001460178771468608,0.7345,98
KOSPI_ALL,EARLY_2016_2019,replacement_edge,0.0011424093507264288,-0.003989424565816505,0.006279907842128888,0.67825,98
KOSPI_ALL,LATE_2020_2022,portfolio_delta,0.0007153697379061787,-0.0011151287580213056,0.002449202219772933,0.78725,75
KOSPI_ALL,LATE_2020_2022,replacement_edge,0.0035325001734381927,-0.003899767863963888,0.010661409024015031,0.831,75
KOSPI_ALL,NORMAL_2023_2024,portfolio_delta,0.0005814337819532398,-0.0021627167391957336,0.0032483182771701133,0.669,48
KOSPI_ALL,NORMAL_2023_2024,replacement_edge,0.0023766163662493314,-0.008515961465080633,0.012749932841582478,0.67025,48
KOSPI_ALL,YTD_2026,portfolio_delta,0.001914423057586735,-0.003706497327279404,0.00743423358238199,0.7345,13
KOSPI_ALL,YTD_2026,replacement_edge,0.013716568040113342,-0.010152722656548319,0.03831946382443105,0.84675,13
KOSPI_EX_K200,BULL_2025,portfolio_delta,0.0011039351931579672,-0.0003904340794321997,0.0025054543881051308,0.9315,25
KOSPI_EX_K200,BULL_2025,replacement_edge,0.0014732684728055773,-0.009741451175690172,0.012174612808719048,0.61625,25
KOSPI_EX_K200,EARLY_2016_2019,portfolio_delta,0.0003773837439609105,-0.00021952189816771026,0.001033458709708089,0.8795,98
KOSPI_EX_K200,EARLY_2016_2019,replacement_edge,0.0021857031100185245,-0.004238214321353415,0.009051496711504153,0.73075,98
KOSPI_EX_K200,LATE_2020_2022,portfolio_delta,2.8281939059669874e-05,-0.0009072179638934422,0.0010021026002818652,0.5105,75
KOSPI_EX_K200,LATE_2020_2022,replacement_edge,-0.002539175946007099,-0.012479839974238512,0.006979821021748584,0.3065,75
KOSPI_EX_K200,NORMAL_2023_2024,portfolio_delta,0.0009633302265644973,-0.00021421986261414483,0.0021269082556539284,0.949,48
KOSPI_EX_K200,NORMAL_2023_2024,replacement_edge,0.004676136844950555,-0.003557587933997518,0.012502234780093303,0.8595,48
KOSPI_EX_K200,YTD_2026,portfolio_delta,0.0019844605993703294,-0.0024586848216615297,0.005769002286242154,0.803,13
KOSPI_EX_K200,YTD_2026,replacement_edge,0.009203548289954806,-0.019216958387062402,0.03633605024621149,0.7445,13
KOSPI_KOSDAQ_ALL,BULL_2025,portfolio_delta,0.004620957740483624,-0.0010455162921330955,0.011531699573001477,0.93725,25
KOSPI_KOSDAQ_ALL,BULL_2025,replacement_edge,0.010523273625689706,-0.0038455274098446713,0.027903816632090572,0.92125,25
