universe,sample,other_decile,n_dates,mean_fwd10
KOSPI_ALL,NORMAL_2023_2024,5,48,0.005420503277805837
KOSPI_ALL,NORMAL_2023_2024,6,48,0.00495993350985432
KOSPI_ALL,NORMAL_2023_2024,7,48,0.0012835521375452678
KOSPI_ALL,NORMAL_2023_2024,8,48,0.0024810095077571264
KOSPI_ALL,NORMAL_2023_2024,9,47,0.0005206687640288167
KOSPI_ALL,NORMAL_2023_2024,10,45,0.016228609237474587
KOSPI_EX_K200,EARLY_2016_2019,1,64,-0.021124297728928935
KOSPI_EX_K200,EARLY_2016_2019,2,96,-0.012911805690589834
KOSPI_EX_K200,EARLY_2016_2019,3,98,-0.0003254406115315952
KOSPI_EX_K200,EARLY_2016_2019,4,98,0.0030044470072334104
KOSPI_EX_K200,EARLY_2016_2019,5,98,-0.0006228203232854395
KOSPI_EX_K200,EARLY_2016_2019,6,98,-0.0036959337951968877
KOSPI_EX_K200,EARLY_2016_2019,7,98,-0.0017442417950791571
KOSPI_EX_K200,EARLY_2016_2019,8,98,0.0015623595840065594
KOSPI_EX_K200,EARLY_2016_2019,9,97,0.00904014986217072
KOSPI_EX_K200,EARLY_2016_2019,10,82,0.00022851475332113307
KOSPI_EX_K200,LATE_2020_2022,1,54,-0.009273036783380461
KOSPI_EX_K200,LATE_2020_2022,2,75,0.006949890174612996
KOSPI_EX_K200,LATE_2020_2022,3,75,0.0064921891531337875
KOSPI_EX_K200,LATE_2020_2022,4,75,0.009250526916027511
KOSPI_EX_K200,LATE_2020_2022,5,75,0.004748913389415913
KOSPI_EX_K200,LATE_2020_2022,6,75,0.004871548566716784
KOSPI_EX_K200,LATE_2020_2022,7,75,0.0036705446428638303
KOSPI_EX_K200,LATE_2020_2022,8,75,0.005464784795484943
KOSPI_EX_K200,LATE_2020_2022,9,75,0.004646604433981151
KOSPI_EX_K200,LATE_2020_2022,10,68,0.00030229441618418877
KOSPI_EX_K200,NORMAL_2023_2024,1,40,-0.009677049999471226
KOSPI_EX_K200,NORMAL_2023_2024,2,46,-0.003628512879978237
KOSPI_EX_K200,NORMAL_2023_2024,3,48,-0.0017930636310912143
KOSPI_EX_K200,NORMAL_2023_2024,4,48,-0.0003581743614742029
KOSPI_EX_K200,NORMAL_2023_2024,5,48,0.005255644080273709
KOSPI_EX_K200,NORMAL_2023_2024,6,48,0.003978189958804827
KOSPI_EX_K200,NORMAL_2023_2024,7,48,0.00028269165995324094
KOSPI_EX_K200,NORMAL_2023_2024,8,48,0.0014906271575413192
KOSPI_EX_K200,NORMAL_2023_2024,9,48,-0.0018420576637695693
KOSPI_EX_K200,NORMAL_2023_2024,10,47,0.02427985603089809
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,1,71,-0.008096929028992299
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,2,98,-0.0024542704744515294
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,3,98,-0.0034001183877306962
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,4,98,0.0015102157929814972
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,5,98,0.000296176781212754
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,6,98,0.000712728573830274
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,7,98,0.00264378255619201
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,8,98,0.0036614969677806197
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,9,97,0.004260307843021962
KOSPI_KOSDAQ_ALL,EARLY_2016_2019,10,91,-0.013838119107585384
KOSPI_KOSDAQ_ALL,LATE_2020_2022,1,67,-0.010502251724082754
KOSPI_KOSDAQ_ALL,LATE_2020_2022,2,75,-0.0026747645638850836
KOSPI_KOSDAQ_ALL,LATE_2020_2022,3,75,-0.0032079806665871904
KOSPI_KOSDAQ_ALL,LATE_2020_2022,4,75,0.009379741924688443
KOSPI_KOSDAQ_ALL,LATE_2020_2022,5,75,0.0028263559198261966
KOSPI_KOSDAQ_ALL,LATE_2020_2022,6,75,0.0033668297532884013
KOSPI_KOSDAQ_ALL,LATE_2020_2022,7,75,0.006750253557188771
KOSPI_KOSDAQ_ALL,LATE_2020_2022,8,75,0.005001863657437535
KOSPI_KOSDAQ_ALL,LATE_2020_2022,9,75,0.012027417762044624
KOSPI_KOSDAQ_ALL,LATE_2020_2022,10,73,0.0036707130449945185
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,1,46,-0.02124450437802195
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,2,48,0.01451633161074072
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,3,48,-0.005663091460708254
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,4,48,-0.0028329130797726462
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,5,48,0.0001800408275206836
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,6,48,0.0064433692886150945
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,7,48,0.003702726817500699
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,8,48,0.001057282162519169
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,9,48,-0.007081514579391946
KOSPI_KOSDAQ_ALL,NORMAL_2023_2024,10,48,0.008819947117413903
