date,sample,horizon,universe,factor,family,strategy,gross,turnover,mean_act5,act5_gt1_share
2016-01-11,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,PBR12MF,VALUE,CF20,-0.021243658679807632,0.050000000000000044,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,PER12MF,VALUE,CF20,-0.010253114235373196,0.25,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,MOM1M,MOMENTUM,CF20,0.017196585642544258,0.8,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,MOM12_1,MOMENTUM,CF20,-0.000896877416178091,0.6,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,FLOW,CF20,0.028841260292745648,0.44999999999999996,,0.0
2016-01-11,EARLY_2016_2019,5,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,FLOW,CF20,-0.0017605495550622441,0.4,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,CF20,0.028132853403967734,0.6,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,CF20,0.026091623915652968,0.5,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,CF20,-0.01442507058689318,0.30000000000000004,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,CF20,0.0035626878310032126,0.4,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,CF20,-0.007403626335812643,0.75,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,CF20,0.01345596004822216,0.65,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,CF20,0.05044079223370401,0.6,,0.0
2016-01-11,EARLY_2016_2019,5,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,CF20,0.0025833368701646195,0.44999999999999996,,0.0
2016-01-18,EARLY_2016_2019,5,K200,OP12_REV,REVISION,CF20,0.00942199573676118,0.25,,0.0
2016-01-18,EARLY_2016_2019,5,K200,OPFY1_REV,REVISION,CF20,-0.021157963123072637,0.09999999999999998,,0.0
2016-01-18,EARLY_2016_2019,5,K200,PBR12MF,VALUE,CF20,-0.00413549414807223,0.09999999999999998,,0.0
2016-01-18,EARLY_2016_2019,5,K200,PER12MF,VALUE,CF20,0.01140061989176706,0.15000000000000002,,0.0
2016-01-18,EARLY_2016_2019,5,K200,MOM1M,MOMENTUM,CF20,-0.006322567656902191,0.5,,0.0
2016-01-18,EARLY_2016_2019,5,K200,MOM12_1,MOMENTUM,CF20,0.014993083243012925,0.19999999999999996,,0.0
2016-01-18,EARLY_2016_2019,5,K200,PRIVATE_FLOW,FLOW,CF20,0.008803213555358302,0.4,,0.0
2016-01-18,EARLY_2016_2019,5,K200,FOREIGN_FLOW,FLOW,CF20,0.01690821156367181,0.19999999999999996,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_EX_K200,OP12_REV,REVISION,CF20,-0.007002110464571715,0.35,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_EX_K200,OPFY1_REV,REVISION,CF20,0.004200323804628427,0.050000000000000044,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_EX_K200,PBR12MF,VALUE,CF20,-0.014564165006141267,0.050000000000000044,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_EX_K200,PER12MF,VALUE,CF20,-0.014991794362480654,0.15000000000000002,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_EX_K200,MOM1M,MOMENTUM,CF20,0.020108638226655047,0.4,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_EX_K200,MOM12_1,MOMENTUM,CF20,0.01807591844016039,0.19999999999999996,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_EX_K200,PRIVATE_FLOW,FLOW,CF20,-0.006787316790977041,0.4,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_EX_K200,FOREIGN_FLOW,FLOW,CF20,0.00539973832490758,0.35,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_ALL,OP12_REV,REVISION,CF20,0.005116539339919122,0.30000000000000004,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_ALL,OPFY1_REV,REVISION,CF20,-0.01478406223402973,0.09999999999999998,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_ALL,PBR12MF,VALUE,CF20,0.004889248840915141,0.09999999999999998,,0.0
2016-01-18,EARLY_2016_2019,5,KOSPI_ALL,PER12MF,VALUE,CF20,-0.004426504508408794,0.09999999999999998,,0.0
