universe,predictor,target,era,n,discovery_ic,direction,raw_ic,directed_ic,frozen_q1,frozen_q2,directed_high_low,n_low,n_high
KOSDAQ,breadth20,future_dispersion20,VALIDATION_2020_2022,149,-0.1107159951789471,-1,-0.11493122740342385,0.11493122740342385,0.5,0.625,0.002355609198217326,75,74
KOSDAQ,breadth20,future_dispersion20,CONFIRM_2023_2024,97,-0.1107159951789471,-1,-0.013705533276809878,0.013705533276809878,0.5,0.625,0.0019525417960150407,53,44
KOSDAQ,breadth20,future_dispersion20,STRESS_2025,49,-0.1107159951789471,-1,0.06694457438850307,-0.06694457438850307,0.5,0.625,-0.005589591685885714,27,22
KOSDAQ,breadth20,future_dispersion20,STRESS_2026,25,-0.1107159951789471,-1,0.23529006743878816,-0.23529006743878816,0.5,0.625,-0.01923333641181682,9,16
KOSDAQ,leader_abs_share20,future_dispersion20,DISCOVERY_2016_2019,184,0.09626283446668336,1,0.09626283446668336,0.09626283446668336,0.2549769935060842,0.3097809888195305,0.004382443882886777,62,62
KOSDAQ,leader_abs_share20,future_dispersion20,VALIDATION_2020_2022,149,0.09626283446668336,1,0.058483584255396334,0.058483584255396334,0.2549769935060842,0.3097809888195305,0.0034194602576935115,58,47
KOSDAQ,leader_abs_share20,future_dispersion20,CONFIRM_2023_2024,97,0.09626283446668336,1,-0.030875236692615188,-0.030875236692615188,0.2549769935060842,0.3097809888195305,-0.0018970382745778988,36,27
KOSDAQ,leader_abs_share20,future_dispersion20,STRESS_2025,49,0.09626283446668336,1,-0.13428571428571426,-0.13428571428571426,0.2549769935060842,0.3097809888195305,-0.006707033439839305,15,20
KOSDAQ,leader_abs_share20,future_dispersion20,STRESS_2026,25,0.09626283446668336,1,0.21153846153846154,0.21153846153846154,0.2549769935060842,0.3097809888195305,,14,3
KOSDAQ,avg_pair_corr_60,future_dispersion20,DISCOVERY_2016_2019,184,-0.15287703954845794,-1,-0.15287703954845794,0.15287703954845794,0.0617806826035517,0.1232786194046108,0.005644699981548713,62,62
KOSDAQ,avg_pair_corr_60,future_dispersion20,VALIDATION_2020_2022,149,-0.15287703954845794,-1,-0.23347723562488662,0.23347723562488662,0.0617806826035517,0.1232786194046108,0.010007011348358415,78,38
KOSDAQ,avg_pair_corr_60,future_dispersion20,CONFIRM_2023_2024,97,-0.15287703954845794,-1,0.22634388807069217,-0.22634388807069217,0.0617806826035517,0.1232786194046108,,70,3
KOSDAQ,avg_pair_corr_60,future_dispersion20,STRESS_2025,49,-0.15287703954845794,-1,0.26999999999999996,-0.26999999999999996,0.0617806826035517,0.1232786194046108,-0.0052875153723108415,23,8
KOSDAQ,avg_pair_corr_60,future_dispersion20,STRESS_2026,25,-0.15287703954845794,-1,0.030769230769230767,-0.030769230769230767,0.0617806826035517,0.1232786194046108,0.0148307446491504,5,11
KOSDAQ,pc1_share_60,future_dispersion20,DISCOVERY_2016_2019,184,-0.1543796112577296,-1,-0.1543796112577296,0.1543796112577296,0.363668244657006,0.4154262542872393,0.007440343978229534,62,62
KOSDAQ,pc1_share_60,future_dispersion20,VALIDATION_2020_2022,149,-0.1543796112577296,-1,0.04802829675312897,-0.04802829675312897,0.363668244657006,0.4154262542872393,-0.003173300218378805,42,61
KOSDAQ,pc1_share_60,future_dispersion20,CONFIRM_2023_2024,97,-0.1543796112577296,-1,-0.23880969913738687,0.23880969913738687,0.363668244657006,0.4154262542872393,0.012589317698793692,23,44
KOSDAQ,pc1_share_60,future_dispersion20,STRESS_2025,49,-0.1543796112577296,-1,-0.3154081632653061,0.3154081632653061,0.363668244657006,0.4154262542872393,0.016728697442123505,28,6
KOSDAQ,pc1_share_60,future_dispersion20,STRESS_2026,25,-0.1543796112577296,-1,0.28076923076923077,-0.28076923076923077,0.363668244657006,0.4154262542872393,-0.019801322222057154,6,6
KOSDAQ,rank_agreement_20_60,future_dispersion20,DISCOVERY_2016_2019,184,-0.10242966941458749,-1,-0.10242966941458749,0.10242966941458749,0.3571428571428572,0.6428571428571429,0.0030253588543286275,63,69
KOSDAQ,rank_agreement_20_60,future_dispersion20,VALIDATION_2020_2022,149,-0.10242966941458749,-1,0.14228526044670473,-0.14228526044670473,0.3571428571428572,0.6428571428571429,-0.0009637799114372292,44,63
KOSDAQ,rank_agreement_20_60,future_dispersion20,CONFIRM_2023_2024,97,-0.10242966941458749,-1,0.0897231934476114,-0.0897231934476114,0.3571428571428572,0.6428571428571429,0.002248816529265632,36,41
KOSDAQ,rank_agreement_20_60,future_dispersion20,STRESS_2025,49,-0.10242966941458749,-1,0.044011039528873704,-0.044011039528873704,0.3571428571428572,0.6428571428571429,0.0001746397377635489,14,19
KOSDAQ,rank_agreement_20_60,future_dispersion20,STRESS_2026,25,-0.10242966941458749,-1,-0.6886332628589551,0.6886332628589551,0.3571428571428572,0.6428571428571429,0.05629860452912733,6,14
KOSDAQ,current_cross_universe_coherence,future_dispersion20,DISCOVERY_2016_2019,184,-0.15968530336411185,-1,-0.15968530336411185,0.15968530336411185,0.5952380952380953,0.7619047619047621,0.006996936285198534,66,62
KOSDAQ,current_cross_universe_coherence,future_dispersion20,VALIDATION_2020_2022,149,-0.15968530336411185,-1,-0.051374152337065965,0.051374152337065965,0.5952380952380953,0.7619047619047621,0.001891984707897483,55,44
KOSDAQ,current_cross_universe_coherence,future_dispersion20,CONFIRM_2023_2024,97,-0.15968530336411185,-1,0.2186731743418488,-0.2186731743418488,0.5952380952380953,0.7619047619047621,-0.0066502236873105455,46,34
KOSDAQ,current_cross_universe_coherence,future_dispersion20,STRESS_2025,49,-0.15968530336411185,-1,0.2782788199706139,-0.2782788199706139,0.5952380952380953,0.7619047619047621,-0.00944983458783643,19,21
KOSDAQ,current_cross_universe_coherence,future_dispersion20,STRESS_2026,25,-0.15968530336411185,-1,-0.3630418526268729,0.3630418526268729,0.5952380952380953,0.7619047619047621,0.00974538236421664,10,12
KOSDAQ_PLUS_KOSPI_EX_K200,dispersion20,future_dispersion20,DISCOVERY_2016_2019,184,0.18575253799772684,1,0.18575253799772684,0.18575253799772684,0.0306052291588284,0.0445637505315736,0.006070259725332233,62,62
KOSDAQ_PLUS_KOSPI_EX_K200,dispersion20,future_dispersion20,VALIDATION_2020_2022,149,0.18575253799772684,1,0.23885724650825324,0.23885724650825324,0.0306052291588284,0.0445637505315736,0.009981562458211288,47,56
