date,factor_breadth_20d,n_factors_20d,breadth_bin,base_state,factor_substate,REVISION_state,ALWAYS_100,F_LOW_HALF,FB20_HIGH_HALF,CRASH_GUARD_ONLY,FB20_HALF_PLUS_CRASH0,breadth_high,crash_guard
2019-07-23,0.375,8,LOW,B2,F_LOW,R-,1.0,0.5,1.0,0.0,0.0,0,1
2019-07-30,0.625,8,HIGH,B2,F_LOW,W-,1.0,0.5,0.5,0.0,0.0,1,1
2019-08-06,0.625,8,HIGH,B2,F_LOW,W-,1.0,0.5,0.5,0.0,0.0,1,1
2019-08-13,0.625,8,HIGH,B2,F_LOW,W-,1.0,0.5,0.5,0.0,0.0,1,1
2019-08-21,0.5,8,LOW,B2,F_LOW,W-,1.0,0.5,1.0,0.0,0.0,0,1
2019-08-28,0.25,8,LOW,B2,F_HIGH,N-,1.0,1.0,1.0,1.0,1.0,0,0
2019-09-04,0.375,8,LOW,B2,F_HIGH,N+,1.0,1.0,1.0,1.0,1.0,0,0
2019-09-11,0.25,8,LOW,B2,F_HIGH,R+,1.0,1.0,1.0,1.0,1.0,0,0
2019-09-20,0.625,8,HIGH,B4,F_LOW,W+,1.0,0.5,0.5,1.0,0.5,1,0
2019-09-27,0.875,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2019-10-07,0.5,8,LOW,B3,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2019-10-15,0.5,8,LOW,B3,F_LOW,W+,1.0,0.5,1.0,1.0,1.0,0,0
2019-10-22,0.625,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2019-10-29,0.625,8,HIGH,B4,F_LOW,N+,1.0,0.5,0.5,1.0,0.5,1,0
2019-11-05,0.5,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2019-11-12,0.5,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2019-11-19,0.5,8,LOW,B4,F_LOW,W+,1.0,0.5,1.0,1.0,1.0,0,0
2019-11-26,0.5,8,LOW,B3,F_LOW,W+,1.0,0.5,1.0,1.0,1.0,0,0
2019-12-03,0.75,8,HIGH,B3,F_LOW,N-,1.0,0.5,0.5,1.0,0.5,1,0
2019-12-10,0.625,8,HIGH,B3,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2019-12-17,0.5,8,LOW,B3,F_LOW,R-,1.0,0.5,1.0,1.0,1.0,0,0
2019-12-24,0.625,8,HIGH,B3,F_LOW,N+,1.0,0.5,0.5,1.0,0.5,1,0
2020-01-03,0.625,8,HIGH,B4,F_LOW,N+,1.0,0.5,0.5,1.0,0.5,1,0
2020-01-10,0.5,8,LOW,B4,F_HIGH,N+,1.0,1.0,1.0,1.0,1.0,0,0
2020-01-17,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2020-01-28,0.625,8,HIGH,B4,F_HIGH,N-,1.0,1.0,0.5,1.0,0.5,1,0
2020-02-04,0.625,8,HIGH,B3,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2020-02-11,0.125,8,LOW,B3,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2020-02-18,0.125,8,LOW,B3,F_HIGH,N-,1.0,1.0,1.0,1.0,1.0,0,0
2020-02-25,0.5,8,LOW,B3,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2020-03-03,0.375,8,LOW,B2,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2020-03-10,0.625,8,HIGH,B2,F_LOW,N-,1.0,0.5,0.5,1.0,0.5,1,0
2020-03-17,0.5,8,LOW,B2,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2020-03-24,0.5,8,LOW,B2,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2020-03-31,0.375,8,LOW,B2,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2020-04-07,0.375,8,LOW,B2,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2020-04-14,0.375,8,LOW,B2,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2020-04-22,0.5,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2020-04-29,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2020-05-11,0.375,8,LOW,B4,F_LOW,W+,1.0,0.5,1.0,1.0,1.0,0,0
2020-05-18,0.5,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2020-05-25,0.375,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2020-06-01,0.5,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2020-06-08,0.375,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2020-06-15,0.375,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2020-06-22,0.375,8,LOW,B3,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2020-06-29,0.375,8,LOW,B3,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2020-07-06,0.5,8,LOW,B3,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2020-07-13,0.375,8,LOW,B4,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2020-07-20,0.375,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2020-07-27,0.375,8,LOW,B4,F_LOW,W+,1.0,0.5,1.0,1.0,1.0,0,0
2020-08-03,0.375,8,LOW,B4,F_HIGH,N+,1.0,1.0,1.0,1.0,1.0,0,0
2020-08-10,0.5,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2020-08-18,0.375,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2020-08-25,0.5,8,LOW,B3,F_HIGH,N+,1.0,1.0,1.0,1.0,1.0,0,0
2020-09-01,0.75,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2020-09-08,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2020-09-15,0.875,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2020-09-22,0.875,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2020-09-29,0.625,8,HIGH,B3,F_HIGH,N-,1.0,1.0,0.5,1.0,0.5,1,0
2020-10-12,0.5,8,LOW,B3,F_HIGH,N-,1.0,1.0,1.0,1.0,1.0,0,0
2020-10-19,0.625,8,HIGH,B3,F_LOW,N-,1.0,0.5,0.5,1.0,0.5,1,0
2020-10-26,0.5,8,LOW,B2,F_HIGH,R-,1.0,1.0,1.0,0.0,0.0,0,1
2020-11-02,0.5,8,LOW,B2,F_HIGH,R-,1.0,1.0,1.0,0.0,0.0,0,1
2020-11-09,0.5,8,LOW,B3,F_HIGH,R-,1.0,1.0,1.0,1.0,1.0,0,0
2020-11-16,0.5,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2020-11-23,0.125,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2020-11-30,0.5,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2020-12-07,0.5,8,LOW,B4,F_HIGH,N+,1.0,1.0,1.0,1.0,1.0,0,0
2020-12-14,0.5,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2020-12-21,0.375,8,LOW,B4,F_LOW,R+,1.0,0.5,1.0,1.0,1.0,0,0
