policy,return_type,period,median_cagr,median_sharpe,median_mdd,median_annual_turnover,median_annual_allocation_turnover,median_avg_target_exposure,median_share_half_or_less,median_share_zero,positive_cagr_phases,n_phases
FB20_HALF_PLUS_CRASH0,GROSS,PRE_STRESS_2016_2024,0.1201742860287468,0.7036757086188934,-0.38964822647142405,18.555955193769986,8.757887941089606,0.6962139948152123,0.5055543220612513,0.10201768830832424,10,10
FB20_HALF_PLUS_CRASH0,GROSS,TRAIN_2016_2022,0.1253965445392019,0.7275149483612181,-0.38964822647142405,18.56022851481276,9.101955225757049,0.6822021285838991,0.5278182795655131,0.10777746326668866,10,10
FB20_HALF_PLUS_CRASH0,GROSS,YTD_2026,0.4866380115507507,1.5811065437364573,-0.08451862632154439,15.538275425546294,8.588633985543108,0.445578231292517,0.7414965986394558,0.3673469387755102,10,10
FB20_HALF_PLUS_CRASH0,NET30,BULL_2025,0.3055237982236103,1.6736175413192649,-0.13517845254122418,19.282482791363144,8.471452060511055,0.7210743801652892,0.49586776859504134,0.06198347107438017,10,10
FB20_HALF_PLUS_CRASH0,NET30,OOS_2023_2024,0.04254097162711812,0.319063858893917,-0.16940873128403633,18.595969780127934,7.54448001719088,0.745398773006135,0.4274028629856851,0.081799591002045,10,10
FB20_HALF_PLUS_CRASH0,NET30,PRE_STRESS_2016_2024,0.059373553019672176,0.40372541277703783,-0.39341834732828707,18.55617803862482,8.757642473022608,0.6962139948152123,0.5055543220612513,0.10201768830832424,10,10
FB20_HALF_PLUS_CRASH0,NET30,TRAIN_2016_2022,0.06421979189898508,0.42744355206936424,-0.39341834732828707,18.560681573618282,9.101615633222604,0.6822021285838991,0.5278182795655131,0.10777746326668866,10,10
FB20_HALF_PLUS_CRASH0,NET30,YTD_2026,0.4184265542970934,1.4047295253929648,-0.08452126136646843,15.537704145000873,8.588115252457875,0.445578231292517,0.7414965986394558,0.3673469387755102,10,10
FB20_HALF_PLUS_CRASH0,NET60,BULL_2025,0.23568720276740163,1.341518081267361,-0.14190932556224795,19.281365767377153,8.47225233955745,0.7210743801652892,0.49586776859504134,0.06198347107438017,10,10
FB20_HALF_PLUS_CRASH0,NET60,OOS_2023_2024,-0.013841439774904096,0.01813830800953131,-0.19119244304586014,18.595895697465743,7.544883484287595,0.745398773006135,0.4274028629856851,0.081799591002045,3,10
FB20_HALF_PLUS_CRASH0,NET60,PRE_STRESS_2016_2024,0.0017750192949672616,0.10435160656107259,-0.4391558581674981,18.556589570126828,8.757585298497657,0.6962139948152123,0.5055543220612513,0.10201768830832424,6,10
FB20_HALF_PLUS_CRASH0,NET60,TRAIN_2016_2022,0.006270513164258529,0.12848575485714164,-0.43213752846544307,18.56131976367684,9.101455432684006,0.6822021285838991,0.5278182795655131,0.10777746326668866,6,10
FB20_HALF_PLUS_CRASH0,NET60,YTD_2026,0.35324468886970406,1.2272727720406515,-0.0875580906204464,15.537131206563048,8.59023469807629,0.445578231292517,0.7414965986394558,0.3673469387755102,10,10
FB20_HIGH_HALF,GROSS,BULL_2025,0.4920432840584713,2.2045479348035144,-0.17302862909872302,17.05973244917513,5.3418483143159285,0.7727272727272727,0.45454545454545453,0.0,10,10
FB20_HIGH_HALF,GROSS,OOS_2023_2024,0.12083553214963427,0.6949384952714108,-0.15518252478512717,17.232650194910107,5.507119196583393,0.7965235173824131,0.4069529652351738,0.0,10,10
FB20_HIGH_HALF,GROSS,PRE_STRESS_2016_2024,0.13342550876362302,0.7416504039152318,-0.38964822647142405,17.48841234279217,6.730647473513091,0.7664928467609468,0.4670143064781065,0.0,10,10
FB20_HIGH_HALF,GROSS,TRAIN_2016_2022,0.13454588984923244,0.7469610232139895,-0.38964822647142405,17.57749678087199,7.078106216996931,0.7579376433118425,0.484124713376315,0.0,10,10
FB20_HIGH_HALF,GROSS,YTD_2026,0.35147518235649544,1.0318124424342372,-0.24947306561804877,17.043438229753434,6.3984827118102565,0.6632653061224489,0.673469387755102,0.0,10,10
FB20_HIGH_HALF,NET30,BULL_2025,0.41779599018057556,1.9395853785820014,-0.17954579564171547,17.060208438327606,5.341316505765132,0.7727272727272727,0.45454545454545453,0.0,10,10
FB20_HIGH_HALF,NET30,OOS_2023_2024,0.06480830408099969,0.4254290309880576,-0.17634705798821615,17.234184131430254,5.507394405804288,0.7965235173824131,0.4069529652351738,0.0,10,10
FB20_HIGH_HALF,NET30,PRE_STRESS_2016_2024,0.07545820412159765,0.47168248632353205,-0.41679528168376956,17.490240992993137,6.730796728779742,0.7664928467609468,0.4670143064781065,0.0,10,10
FB20_HIGH_HALF,NET30,TRAIN_2016_2022,0.076507239999692,0.47653167063370594,-0.41679528168376956,17.57891648373717,7.078152538208441,0.7579376433118425,0.484124713376315,0.0,10,10
FB20_HIGH_HALF,NET30,YTD_2026,0.2853736820840095,0.8898242653068854,-0.2560346577262931,17.0477404267137,6.400013665884254,0.6632653061224489,0.673469387755102,0.0,10,10
FB20_HIGH_HALF,NET60,BULL_2025,0.3471487708287905,1.6696360784402298,-0.18427753383597067,17.060849977429406,5.34181817456151,0.7727272727272727,0.45454545454545453,0.0,10,10
FB20_HIGH_HALF,NET60,OOS_2023_2024,0.01149005009222015,0.15644384180836282,-0.20360662555541947,17.23599045187016,5.507889310330675,0.7965235173824131,0.4069529652351738,0.0,6,10
FB20_HIGH_HALF,NET60,PRE_STRESS_2016_2024,0.02036197075410595,0.20191174259770978,-0.4703091668073128,17.492221044885472,6.731250618667133,0.7664928467609468,0.4670143064781065,0.0,8,10
FB20_HIGH_HALF,NET60,TRAIN_2016_2022,0.02129365517568982,0.2064627790481163,-0.4703091668073128,17.580464939590957,7.0784131335461105,0.7579376433118425,0.484124713376315,0.0,9,10
FB20_HIGH_HALF,NET60,YTD_2026,0.22242520943256283,0.7470867552112043,-0.26255270223020954,17.052050437724574,6.403030218579138,0.6632653061224489,0.673469387755102,0.0,10,10
F_LOW_HALF,GROSS,BULL_2025,0.7234923785069097,2.9688269796584414,-0.10816777313163844,19.322523004803315,6.827750546500242,0.8099173553719008,0.38016528925619836,0.0,10,10
F_LOW_HALF,GROSS,OOS_2023_2024,0.11335878529300836,0.7649776911846435,-0.1664006562791568,16.57720280313206,6.580616669983213,0.6840490797546013,0.6319018404907976,0.0,10,10
F_LOW_HALF,GROSS,PRE_STRESS_2016_2024,0.12167298286218031,0.7627992809120194,-0.3084628677259904,16.959269999972733,6.97451255090543,0.7211516519572472,0.5576966960855059,0.0,10,10
F_LOW_HALF,GROSS,TRAIN_2016_2022,0.12879622978436,0.783678342001506,-0.3084628677259904,17.046203852822668,7.087768058360245,0.7317215035983237,0.5365569928033527,0.0,10,10
F_LOW_HALF,GROSS,YTD_2026,0.06386586828317176,0.36413170628845126,-0.2869074812904959,17.009432255534946,5.448637182921091,0.7551020408163265,0.4897959183673469,0.0,6,10
F_LOW_HALF,NET30,BULL_2025,0.6278883521707376,2.6557554479295176,-0.11584277133296772,19.32458165284976,6.82897755626702,0.8099173553719008,0.38016528925619836,0.0,10,10
F_LOW_HALF,NET30,OOS_2023_2024,0.058796496441223756,0.4474566570937569,-0.17681354002998434,16.57847060154475,6.582269921148742,0.6840490797546013,0.6319018404907976,0.0,10,10
F_LOW_HALF,NET30,PRE_STRESS_2016_2024,0.06599472731436717,0.4616782606425053,-0.35008773328889475,16.960377519071187,6.975220957871257,0.7211516519572472,0.5576966960855059,0.0,10,10
F_LOW_HALF,NET30,TRAIN_2016_2022,0.07256693362111255,0.48967278676640213,-0.35008773328889475,17.047077200046346,7.088182216261037,0.7317215035983237,0.5365569928033527,0.0,10,10
F_LOW_HALF,NET30,YTD_2026,0.010450191307712409,0.2515375302396645,-0.2926692930904162,17.01271227233132,5.45140926620253,0.7551020408163265,0.4897959183673469,0.0,6,10
F_LOW_HALF,NET60,BULL_2025,0.5374458672729804,2.339475242825994,-0.12287613727890351,19.326718421685705,6.83042936740198,0.8099173553719008,0.38016528925619836,0.0,10,10
F_LOW_HALF,NET60,OOS_2023_2024,0.006823697883366564,0.12162449590789194,-0.1871075229493821,16.579944977879123,6.583941834143952,0.6840490797546013,0.6319018404907976,0.0,6,10
F_LOW_HALF,NET60,PRE_STRESS_2016_2024,0.012994505525465994,0.16138885843937317,-0.4084196443243416,16.96166211830576,6.976121792457225,0.7211516519572472,0.5576966960855059,0.0,10,10
F_LOW_HALF,NET60,TRAIN_2016_2022,0.01905623703905457,0.19586408777316894,-0.4084196443243416,17.04815286337203,7.088745643111811,0.7317215035983237,0.5365569928033527,0.0,9,10
F_LOW_HALF,NET60,YTD_2026,-0.04067750444101559,0.1384572844017526,-0.29839736211909734,17.016000571127776,5.454187415569395,0.7551020408163265,0.4897959183673469,0.0,0,10
