policy,return_type,period,median_delta_cagr,median_delta_sharpe,median_delta_mdd,median_delta_turnover,better_cagr_phases,better_mdd_phases,n_phases
FB20_HIGH_HALF,NET60,TRAIN_2016_2022,-0.0510575245789372,-0.2031257163668191,0.009277329005308754,3.777086965847478,0,9,10
FB20_HIGH_HALF,NET60,YTD_2026,0.31143912081827047,0.5724524920622099,0.17729849309205076,1.2084917596882834,10,10,10
CRASH_GUARD_ONLY,GROSS,BULL_2025,-0.1456766347765165,-0.13372140098835228,0.043704346901241864,3.7241495723877804,0,10,10
CRASH_GUARD_ONLY,GROSS,OOS_2023_2024,0.01454090563101329,0.07911649137929239,0.06325213536364127,2.6890618746183845,7,10,10
CRASH_GUARD_ONLY,GROSS,PRE_STRESS_2016_2024,-0.003525575003880288,0.015777441131681003,0.0034057695485090744,3.0505542279287994,1,7,10
CRASH_GUARD_ONLY,GROSS,TRAIN_2016_2022,-0.010206399860203663,-0.005384881729949553,0.0034057695485090744,3.182871597490429,0,7,10
CRASH_GUARD_ONLY,GROSS,YTD_2026,0.3533108593192189,0.6556052296714334,0.2523119398746618,3.242283925134247,10,10,10
CRASH_GUARD_ONLY,NET30,BULL_2025,-0.1573380055889907,-0.21429953295245574,0.04346988343110203,3.7241495723877804,0,10,10
CRASH_GUARD_ONLY,NET30,OOS_2023_2024,0.005360502324902039,0.028908303648701228,0.06493144990119093,2.6890618746183845,7,10,10
CRASH_GUARD_ONLY,NET30,PRE_STRESS_2016_2024,-0.013306349527858696,-0.038161531399855314,0.017296319612587985,3.0505542279287994,0,8,10
CRASH_GUARD_ONLY,NET30,TRAIN_2016_2022,-0.020343179780583753,-0.06113596025109733,0.017296319612587985,3.182871597490429,0,8,10
CRASH_GUARD_ONLY,NET30,YTD_2026,0.32664347488429396,0.5959657447627585,0.25753404417453035,3.242283925134247,10,10,10
CRASH_GUARD_ONLY,NET60,BULL_2025,-0.1674480600857049,-0.2948150274532698,0.04235641222092601,3.7241495723877804,0,10,10
CRASH_GUARD_ONLY,NET60,OOS_2023_2024,-0.00301107496861186,-0.022067491603272697,0.059676643714527466,2.6890618746183845,3,10,10
CRASH_GUARD_ONLY,NET60,PRE_STRESS_2016_2024,-0.0222238427367214,-0.09168381245867292,0.01751215771853687,3.0505542279287994,0,9,10
CRASH_GUARD_ONLY,NET60,TRAIN_2016_2022,-0.02924757190070515,-0.11680178866360533,0.01751215771853687,3.182871597490429,0,9,10
CRASH_GUARD_ONLY,NET60,YTD_2026,0.3006245453978547,0.5322801054402098,0.2619693496119989,3.242283925134247,10,10,10
FB20_HALF_PLUS_CRASH0,GROSS,BULL_2025,-0.43101269595599734,-0.6136493290585023,0.043704346901241975,3.7046496085763962,0,10,10
FB20_HALF_PLUS_CRASH0,GROSS,OOS_2023_2024,-0.004518716244377385,0.06444917076506018,0.1069952846574248,4.078604244894695,3,10,10
FB20_HALF_PLUS_CRASH0,GROSS,PRE_STRESS_2016_2024,-0.027224665512307733,0.0028861203883978614,0.06365527969948459,4.610650538987676,0,10,10
