universe,target,model,sample,n,event_rate,brier,logloss,auc
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_ONLY,YTD_2026,19,0.15789473684210525,0.15100221683162016,0.5450267583146061,0.5104166666666666
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB,TRAIN_2016_2022,328,0.1524390243902439,0.11477468428435275,0.36701361719608794,0.7504676258992806
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB,OOS_2023_2024,96,0.13541666666666666,0.09431430783679884,0.3012048354398042,0.8637627432808156
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB,BULL_2025,49,0.16326530612244897,0.11455013616295895,0.3559999154617022,0.7987804878048781
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB,YTD_2026,19,0.15789473684210525,0.1506366316417903,0.5307177515643129,0.4791666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FB20,TRAIN_2016_2022,328,0.1524390243902439,0.11115669540603206,0.35623263759879514,0.7769064748201439
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FB20,OOS_2023_2024,96,0.13541666666666666,0.10122077925503896,0.3294270310695672,0.7924003707136237
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FB20,BULL_2025,49,0.16326530612244897,0.12046908993555411,0.37928753563176915,0.760670731707317
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FB20,YTD_2026,19,0.15789473684210525,0.14159781164059382,1.0252146459303733,0.59375
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,TRAIN_2016_2022,328,0.1524390243902439,0.11143942417700321,0.3514971599400057,0.7875539568345323
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,OOS_2023_2024,96,0.13541666666666666,0.10159293653486368,0.33658337505372105,0.76274328081557
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,BULL_2025,49,0.16326530612244897,0.1199468581261419,0.3909059492609475,0.7484756097560976
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_NEXT_B_DOWN,B_FSUB_FB20,YTD_2026,19,0.15789473684210525,0.14029723007824138,1.0249841877318944,0.59375
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_ONLY,TRAIN_2016_2022,328,0.4817073170731707,0.24659521472796161,0.6862778732194077,0.5557706626954579
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_ONLY,OOS_2023_2024,96,0.46875,0.25459453122680786,0.7024289728690554,0.4572984749455338
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_ONLY,BULL_2025,49,0.2653061224489796,0.24280408304289422,0.67843574129512,0.6068376068376068
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_ONLY,YTD_2026,19,0.631578947368421,0.2836001228790139,0.7616727231156579,0.32142857142857145
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB,TRAIN_2016_2022,328,0.4817073170731707,0.2392797195168717,0.6714481783521805,0.6221705137751303
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB,OOS_2023_2024,96,0.46875,0.25980024658465717,0.7133200765039663,0.49193899782135075
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB,BULL_2025,49,0.2653061224489796,0.25989599878392106,0.713528522419875,0.6004273504273504
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB,YTD_2026,19,0.631578947368421,0.2698639844200008,0.7334405415928815,0.3392857142857143
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FB20,TRAIN_2016_2022,328,0.4817073170731707,0.23707234700335741,0.6669395940460431,0.6247580044676099
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FB20,OOS_2023_2024,96,0.46875,0.25953110043741545,0.7133965172665683,0.4721132897603486
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FB20,BULL_2025,49,0.2653061224489796,0.26312980564572014,0.7204006893886411,0.4594017094017094
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FB20,YTD_2026,19,0.631578947368421,0.2709169500995823,0.738951314476174,0.4880952380952381
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB_FB20,TRAIN_2016_2022,328,0.4817073170731707,0.23282544823634557,0.6582603591088161,0.6479709605361131
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB_FB20,OOS_2023_2024,96,0.46875,0.26118661662796944,0.7165359712275459,0.489760348583878
KOSDAQ_PLUS_KOSPI_EX_K200,TARGET_MKT_NEG20,B_FSUB_FB20,BULL_2025,49,0.2653061224489796,0.26854689580544583,0.732597609472661,0.5149572649572649
