"Code","Name","결산월","코스피200 구성종목여부(1:해당, 0:미해당)","상장된 시장","수정주가수익률","시가총액","","이전 시가총액"
"A004080","신흥","12","0","KOSPI","-4.15","99.84","","104.16"
"A004090","한국석유","12","0","KOSPI","-2.29","64.34","","65.85"
"A004100","태양금속","12","0","KOSPI","-0.9","60.74","","61.29"
"A004140","동방","12","0","KOSPI","-2.93","53.83","","55.45"
"A004150","한솔홀딩스","12","0","KOSPI","-2.9","217.66","","224.15"
"A004170","신세계","12","1","KOSPI","-3.03","3312.9","","3416.28"
"A004250","NPC","12","0","KOSPI","1.64","205.26","","201.96"
"A004270","남성","12","0","KOSPI","-3.68","75.86","","78.76"
"A004310","현대약품","11","0","KOSPI","-6.63","198.4","","212.48"
"A004360","세방","12","0","KOSPI","-0.73","261.63","","263.56"
"A004370","농심","12","1","KOSPI","-1.94","1843.04","","1879.54"
"A004380","삼익THK","12","0","KOSPI","-5.94","432.6","","459.9"
"A004410","서울식품","12","0","KOSPI","-3.17","82.33","","85.03"
"A004430","송원산업","12","0","KOSPI","-5.81","700.8","","744"
"A004440","삼일씨엔에스","12","0","KOSPI","-4.04","127.06","","132.41"
"A004450","삼화왕관","12","0","KOSPI","-2.08","111.81","","114.18"
"A004490","세방전지","12","1","KOSPI","-1.97","453.6","","462.7"
"A004540","깨끗한나라","12","0","KOSPI","-1.32","153.06","","155.11"
"A004560","현대비앤지스틸","12","0","KOSPI","-5.44","170.39","","180.19"
"A004590","한국가구","12","0","KOSDAQ","-0.92","64.8","","65.4"
"A004650","창해에탄올","12","0","KOSDAQ","-0.3","150.73","","151.19"
"A004690","삼천리","12","0","KOSPI","-4.2","462.27","","482.55"
"A004700","조광피혁","12","0","KOSPI","-2.06","252.67","","257.99"
"A004710","한솔테크닉스","12","0","KOSPI","-5.95","262","","278.58"
"A004720","팜젠사이언스","12","0","KOSPI","-5.95","133.77","","142.23"
"A004770","써니전자","12","0","KOSPI","-2.29","128.15","","131.15"
"A004780","대륙제관","12","0","KOSDAQ","-0.82","96.06","","96.85"
"A004800","효성","12","1","KOSPI","-4","4214.09","","4389.68"
"A004830","덕성","12","0","KOSPI","-3.49","58.56","","60.68"
"A004840","DRB동일","12","0","KOSPI","-0.27","140.41","","140.79"
"A004870","티웨이홀딩스","12","0","KOSPI","-5.15","352.67","","371.83"
"A004890","동일산업","12","0","KOSPI","-2.96","182.86","","188.44"
"A004910","조광페인트","12","0","KOSPI","-2.89","111.74","","115.07"
"A004920","씨아이테크","12","0","KOSPI","0.13","35.52","","35.47"
