date,sample,universe,breadth20,dispersion20,abs_opportunity20,range20,leader_abs_share20,rank_agreement_20_60,sign_agreement_20_60,avg_pair_corr_60,pc1_share_60,rank_persistence_next20,top2_same_share_next20,top2_survival_top4_next20,top2_alpha_vs_ew8_next20,bottom2_alpha_vs_ew8_next20,winner_minus_loser_next20,future_dispersion20,future_abs_opportunity20,future_breadth20,cur20_MOM1M,fwd20_MOM1M,cur20_MOM12_1,fwd20_MOM12_1,cur20_OP12_REV,fwd20_OP12_REV,cur20_OPFY1_REV,fwd20_OPFY1_REV,cur20_PBR12MF,fwd20_PBR12MF,cur20_PER12MF,fwd20_PER12MF,cur20_PRIVATE_FLOW,fwd20_PRIVATE_FLOW,cur20_FOREIGN_FLOW,fwd20_FOREIGN_FLOW
2021-06-17,2020_2022,KOSPI_KOSDAQ_ALL,0.375,0.020139934218023566,0.019223715816267153,0.05641290029227497,0.22333031183834834,0.2380952380952381,0.375,0.2767944130278641,0.4361309445455619,0.28571428571428575,1.0,1.0,0.01966119662503972,0.014621385574209542,0.0050398110508301786,0.027663636118845692,0.01714129109962463,0.5,0.0037006996900603717,-0.0024750458764302152,-0.03434590758350986,0.004349537164549444,-0.029310756377489477,0.001989963898203273,-0.02792353534878289,-0.005944048406796076,-0.01171953104115131,-0.0699583006827249,-0.01802085380098062,-0.03599430960388006,0.02206699270876511,0.005279292822180759,0.006701449979397589,0.011139830342232315
2021-06-24,2020_2022,KOSPI_KOSDAQ_ALL,0.375,0.01695693542685739,0.014214108413286186,0.043029850449297635,0.19029477410910434,0.023809523809523815,0.5,0.2958946506818147,0.4485347253501982,0.19047619047619052,0.0,1.0,0.009539639493117785,-0.012052985172093106,0.02159262466521089,0.022668358873726643,0.01902150149559803,0.25,0.0022289372090011916,0.00401787443616386,-0.015514350672301225,-0.013510066258140552,-0.021638964397348914,0.005963079885041411,-0.001200537529485679,-0.01915313672718466,-0.018127049845270582,-0.06312157605982105,-0.013105357055531286,-0.03243303175407486,0.02050678454540189,-0.011833967310717175,0.02139088605194872,-0.002139279533640681
2021-07-01,2020_2022,KOSPI_KOSDAQ_ALL,0.25,0.016476745468832432,0.013350285252920452,0.049844697366891455,0.3852720777568556,-0.2380952380952381,0.375,0.28600122541186496,0.4510109359616111,0.30952380952380953,0.5,1.0,0.01913495284321534,-0.01614667112183557,0.03528162396505091,0.028000308651808876,0.020591234363754513,0.375,-0.000867588012540832,-0.004115346878897808,-0.022893157227757643,0.0035263022102201003,-0.013932558945909279,0.01448756866236578,0.005858241323499769,-2.462492005106398e-05,-0.04114793710431497,-0.061876180429841665,-0.011337747507253249,-0.046164134898781906,-0.002068291639511388,-0.022297722279346455,0.008696760262576486,0.012237994630531324
2021-07-08,2020_2022,KOSPI_KOSDAQ_ALL,0.375,0.02436405430756693,0.016633196167777045,0.07727397194510321,0.4672980871075997,-0.2380952380952381,0.5,0.3140875799110675,0.4548319708003346,0.4047619047619048,0.0,1.0,0.015469308986383074,-0.028156874937130455,0.04362618392351353,0.02392586315888373,0.020664514594450484,0.375,0.006246171019068214,-0.01450029367039063,-0.012220409589784209,0.00992391508206425,-0.008634966846379433,0.019254582236861717,0.015092685931601846,-0.00020352896242814555,-0.06218128601350137,-0.03982651087787181,-0.01810237848551699,-0.03882465312007077,-0.0007868981768216488,-0.033977899994403926,0.009800773279542652,0.008804732811512617
2021-07-15,2020_2022,KOSPI_KOSDAQ_ALL,0.5,0.027663636118845692,0.01714129109962463,0.08109813102495722,0.5101592134755889,0.023809523809523815,0.375,0.26118930551215336,0.4305054140406496,0.28571428571428575,0.5,0.5,-0.0037174076748303503,-0.02411617479990706,0.02039876712507671,0.028879728749451786,0.024418816429282134,0.5,-0.0024750458764302152,0.02398183984115465,0.004349537164549444,-0.014986144143893543,0.001989963898203273,0.0038030760712446376,-0.005944048406796076,0.008565628592973384,-0.0699583006827249,-0.03468692153150987,-0.03599430960388006,-0.030696810362302096,0.005279292822180759,-0.051608154267418715,0.011139830342232315,0.02702195662376017
2021-07-22,2020_2022,KOSPI_KOSDAQ_ALL,0.25,0.022668358873726643,0.01902150149559803,0.06908465594486246,0.4148041104590816,0.38095238095238104,0.5,0.20566668667619753,0.3627962863643029,0.523809523809524,0.5,1.0,0.02900612067530324,-0.02782166586298733,0.05682778653829057,0.03355953138184948,0.02864154429516387,0.5,0.00401787443616386,0.05343718206941639,-0.013510066258140552,-0.014219182557305587,0.005963079885041411,0.010000071582268122,-0.01915313672718466,0.029127742269547507,-0.06312157605982105,-0.019939138471045337,-0.03243303175407486,-0.030279180953851292,-0.011833967310717175,-0.039278650596297204,-0.002139279533640681,0.032851205861579524
2021-07-29,2020_2022,KOSPI_KOSDAQ_ALL,0.375,0.028000308651808876,0.020591234363754513,0.07636374909220744,0.37562209322160955,0.19047619047619052,0.5,0.16810732101594333,0.36503047444802894,0.4047619047619048,0.5,1.0,0.013335997447308345,-0.012618893403220588,0.025954890850528933,0.02114215657731357,0.018305900832004396,0.625,-0.004115346878897808,0.04197503399993496,0.0035263022102201003,-0.014098133415723857,0.01448756866236578,0.020754449375439687,-2.462492005106398e-05,0.020240420065523512,-0.061876180429841665,0.0007954618461076812,-0.046164134898781906,-0.009573941174383593,-0.022297722279346455,-0.016632913781579606,0.012237994630531324,0.022376852997342267
2021-08-05,2020_2022,KOSPI_KOSDAQ_ALL,0.375,0.02392586315888373,0.020664514594450484,0.05908109311473353,0.24091124119948684,0.4047619047619048,0.75,0.05538288584356766,0.3590982430575955,0.2142857142857143,0.0,0.5,-0.006604951362350411,-0.008464331766772373,0.001859380404421962,0.012758974714689899,0.013057833317460452,0.75,-0.01450029367039063,0.0334140148308526,0.00992391508206425,-0.007773355228438916,0.019254582236861717,0.016428193015300296,-0.00020352896242814555,0.020197297252559476,-0.03982651087787181,0.005664573996295941,-0.03882465312007077,-0.0007284970182784845,-0.033977899994403926,0.008873326149228866,0.008804732811512617,0.011383409048729032
2021-08-12,2020_2022,KOSPI_KOSDAQ_ALL,0.5,0.028879728749451786,0.024418816429282134,0.07863011089117888,0.2641823080209374,0.8333333333333335,0.75,-0.015222752752990608,0.33916998683796795,-0.8571428571428572,0.0,0.0,-0.015809923252893307,0.008655455159238337,-0.024465378412131644,0.01258630184188514,0.027706228883580444,0.875,0.02398183984115465,0.024658858483442847,-0.014986144143893543,0.02578419165755963,0.0038030760712446376,0.030607282946859105,0.008565628592973384,0.030421498235080335,-0.03468692153150987,0.03659625814248657,-0.030696810362302096,0.0365883844379955,-0.051608154267418715,0.03526086272108242,0.02702195662376017,-0.0017324944441371448
2021-08-20,2020_2022,KOSPI_KOSDAQ_ALL,0.5,0.03355953138184948,0.02864154429516387,0.0927158326657136,0.23321534934849544,0.8333333333333335,0.875,0.06261452767852231,0.3085522298028549,-0.7380952380952381,0.0,0.0,-0.021209113388038256,0.01748601032479581,-0.03869512371283407,0.019300440712674855,0.022496815204224432,0.875,0.05343718206941639,0.0060032789792363594,-0.014219182557305587,0.044803656908021905,0.010000071582268122,0.02571437485342054,0.029127742269547507,0.012677433602385157,-0.019939138471045337,0.007382250885827002,-0.030279180953851292,0.047409597368565315,-0.039278650596297204,0.029128178342611166,0.032851205861579524,-0.006855750693728013
