date,sample,universe_a,universe_b,rank_corr_20
2016-08-11,2016_2019,K200,KOSDAQ_PLUS_KOSPI_EX_K200,0.8095238095238096
2016-08-11,2016_2019,K200,KOSPI_ALL,1.0
2016-08-11,2016_2019,K200,KOSPI_EX_K200,0.7142857142857144
2016-08-11,2016_2019,K200,KOSPI_KOSDAQ_ALL,0.9523809523809524
2016-08-11,2016_2019,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,0.6666666666666669
2016-08-11,2016_2019,KOSDAQ,KOSPI_ALL,0.14285714285714288
2016-08-11,2016_2019,KOSDAQ,KOSPI_EX_K200,-0.09523809523809526
2016-08-11,2016_2019,KOSDAQ,KOSPI_KOSDAQ_ALL,0.3571428571428572
2016-08-11,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,0.8095238095238096
2016-08-11,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,0.4285714285714286
2016-08-11,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,0.880952380952381
2016-08-11,2016_2019,KOSPI_ALL,KOSPI_EX_K200,0.7142857142857144
2016-08-11,2016_2019,KOSPI_ALL,KOSPI_KOSDAQ_ALL,0.9523809523809524
2016-08-11,2016_2019,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,0.6428571428571429
2016-08-19,2016_2019,K200,KOSDAQ,0.523809523809524
2016-08-19,2016_2019,K200,KOSDAQ_PLUS_KOSPI_EX_K200,0.880952380952381
2016-08-19,2016_2019,K200,KOSPI_ALL,0.8333333333333335
2016-08-19,2016_2019,K200,KOSPI_EX_K200,0.7380952380952381
2016-08-19,2016_2019,K200,KOSPI_KOSDAQ_ALL,0.9047619047619048
2016-08-19,2016_2019,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,0.6190476190476191
2016-08-19,2016_2019,KOSDAQ,KOSPI_ALL,0.4285714285714286
2016-08-19,2016_2019,KOSDAQ,KOSPI_EX_K200,0.5000000000000001
2016-08-19,2016_2019,KOSDAQ,KOSPI_KOSDAQ_ALL,0.6904761904761906
2016-08-19,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_ALL,0.9047619047619048
2016-08-19,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,0.8571428571428572
2016-08-19,2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,0.9523809523809524
2016-08-19,2016_2019,KOSPI_ALL,KOSPI_EX_K200,0.9523809523809524
2016-08-19,2016_2019,KOSPI_ALL,KOSPI_KOSDAQ_ALL,0.9047619047619048
