sample,universe,factor,n_5d,mean_5d,median_5d,vol_5d,sharpe_5d_ann,positive_share,q10,q90,skew
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,195,-0.00028512196302054487,-0.001365598586329,0.024840918215424605,-0.08148511741064993,0.48205128205128206,-0.028879819848656917,0.030657301542158517,-0.15865632637855814
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,195,-0.0029222770635780495,-0.0022065940061064,0.02439166264723504,-0.8505409986920873,0.46153846153846156,-0.030862241173281336,0.026898855930204336,-0.4239617637093177
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,195,0.005121972684731753,0.0048198576793234,0.016407797304496458,2.2161657768475167,0.6871794871794872,-0.01451322868660412,0.027551880840329397,-0.28388089585827775
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,195,0.004016820080350954,0.003613923714456,0.016765240245719272,1.7009355825328343,0.5743589743589743,-0.01561672932785682,0.02483394801105458,-0.03560042057271223
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,195,3.7299859446070406e-05,-0.0003945881096274,0.026132189559951165,0.010133201148343427,0.48205128205128206,-0.03290342189273402,0.02945429116733352,0.1056032969724366
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,195,0.0031441823062461453,0.0021427578532699,0.021187363746774157,1.0535279574379957,0.5538461538461539,-0.024651839199848834,0.027659519763218298,0.507302147851903
2016_2019,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,195,0.0009979263787260086,0.0004533350682406,0.01202587457060791,0.5891109579970593,0.5333333333333333,-0.01266747148650998,0.0155838241093322,-0.051069205841635025
2016_2019,KOSPI_ALL,FOREIGN_FLOW,195,-0.0006986004324129199,-0.0009890327533104,0.011440761691962838,-0.4335000769292643,0.48205128205128206,-0.01489121015544836,0.01212333317221718,0.12960352146835868
2016_2019,KOSPI_ALL,MOM12_1,195,1.2415626997924507e-05,0.0006259751523612,0.019625578418648454,0.004491190321736382,0.5025641025641026,-0.02108210462068754,0.02372723156124372,-0.3191380223244623
2016_2019,KOSPI_ALL,MOM1M,195,-0.0033318148342978294,-0.002101453973722,0.019189295406950257,-1.2326423850923554,0.4461538461538462,-0.0245457307804152,0.01854897845924888,-0.6999041131595581
2016_2019,KOSPI_ALL,OP12_REV,195,0.0028546080519016664,0.0033891697700643,0.012902948528470898,1.5706260268122019,0.5897435897435898,-0.01195430616156488,0.018658010301658937,0.16977113360317647
2016_2019,KOSPI_ALL,OPFY1_REV,195,0.0017417170120326139,0.0024755182199601,0.01241639582024858,0.9958577627781063,0.5487179487179488,-0.0137868007605657,0.016422175340040798,0.07680921462572524
2016_2019,KOSPI_ALL,PBR12MF,195,0.001896729959650639,0.0005663806521043,0.021753868554928318,0.6189909113381864,0.517948717948718,-0.0228124353080886,0.03178714259644012,0.767092958525905
2016_2019,KOSPI_ALL,PER12MF,195,0.0019294800924075453,-0.0008733418032652,0.019675617527417522,0.6961890665344949,0.49230769230769234,-0.02047004674427506,0.0266035373746967,0.7914749896530581
2016_2019,KOSPI_ALL,PRIVATE_FLOW,195,0.0018433275333437913,0.0018027151280312,0.009877425585857465,1.3248722747263575,0.5641025641025641,-0.01096377222339602,0.014536918368602957,0.01665467562594356
2016_2019,KOSPI_EX_K200,FOREIGN_FLOW,195,-0.0007880869120521088,-0.0020302862493904,0.016678887738963616,-0.33544575302764845,0.47692307692307695,-0.02105401066843536,0.019288837013393477,0.1409748962635178
2016_2019,KOSPI_EX_K200,MOM12_1,195,0.0013263299236845657,0.0006989581240171,0.022814109345756124,0.4127274150383584,0.517948717948718,-0.026413025189126096,0.028386982924426617,0.002355070696036785
2016_2019,KOSPI_EX_K200,MOM1M,195,-0.0051552871874709786,-0.0052169762059227,0.02409583102404099,-1.5188896506838812,0.4153846153846154,-0.0346852002392364,0.02383446348289612,-0.22541824799365293
2016_2019,KOSPI_EX_K200,OP12_REV,194,0.005153825437105147,0.005116686277874399,0.018295515311658805,1.9998633733799642,0.5824742268041238,-0.01727781352448784,0.029173124949304692,0.2736305066351565
2016_2019,KOSPI_EX_K200,OPFY1_REV,195,0.00576357395266299,0.0061940592741967,0.019039720746936915,2.1490502172560277,0.5948717948717949,-0.0171113148442758,0.02961881401707562,-0.015851679127806696
2016_2019,KOSPI_EX_K200,PBR12MF,195,0.0014238477601739186,0.0021040772624914,0.024686662115951205,0.40946468543758513,0.5384615384615384,-0.02969170851055214,0.03086757752022702,0.05179363898528906
2016_2019,KOSPI_EX_K200,PER12MF,195,0.002706652742120834,0.0015394297460083,0.02328526857461416,0.8252139424317139,0.5282051282051282,-0.0274393773782948,0.029792850583943098,-0.1135533172726344
2016_2019,KOSPI_EX_K200,PRIVATE_FLOW,195,0.0017515271297696318,0.0011462288588534,0.015396225136361625,0.8076401182916995,0.5282051282051282,-0.018362113800855975,0.02087780642539838,0.17157457688711023
2016_2019,KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,195,-0.0009630689531575524,-0.0009151128074896,0.010209161945485734,-0.6697034832747254,0.4512820512820513,-0.013294525445327679,0.010992063685335477,0.049019434344593146
2016_2019,KOSPI_KOSDAQ_ALL,MOM12_1,195,-0.0006938212806407596,-0.0006725830712109,0.02212701809723607,-0.22260760307304903,0.48717948717948717,-0.0286461991470475,0.02655343350162006,-0.3208726347281316
2016_2019,KOSPI_KOSDAQ_ALL,MOM1M,195,-0.0029209192191809053,-0.0026943545598964,0.020971912167480514,-0.9887734224326158,0.4666666666666667,-0.028958578029823302,0.021486882872164017,-0.5795534507624375
2016_2019,KOSPI_KOSDAQ_ALL,OP12_REV,195,0.003768246744029808,0.0030577704727966,0.012826293249773291,2.0857076581011187,0.6102564102564103,-0.010675003128450579,0.0188193419140223,0.04902682473913272
2016_2019,KOSPI_KOSDAQ_ALL,OPFY1_REV,195,0.0020023913307869396,0.003106189132094,0.01293126124742824,1.0993179993741322,0.6051282051282051,-0.0156029921881227,0.018273058407879194,-0.12709404866007631
2016_2019,KOSPI_KOSDAQ_ALL,PBR12MF,195,0.0018660211914670697,0.0010967639716085,0.025164676721048645,0.5264298223123174,0.5128205128205128,-0.028751974343401057,0.03397347873602002,0.4272790253306108
2016_2019,KOSPI_KOSDAQ_ALL,PER12MF,195,0.0026943889119433293,-7.686337933172048e-05,0.01996260628633283,0.9582047278467236,0.49743589743589745,-0.021106462111420237,0.0267656568363793,0.7846628672080312
2016_2019,KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,195,0.0007869919337480115,0.0010420036153727,0.009833318096100026,0.5681793701626295,0.5282051282051282,-0.01234343096041894,0.01212710550253756,-0.059699620316965255
2020_2022,K200,FOREIGN_FLOW,149,9.183525574813224e-05,0.0011085606075642,0.01627530566839423,0.040058580353108324,0.5234899328859061,-0.020999166195512578,0.019859933613302926,0.25519716256213903
2020_2022,K200,MOM12_1,149,-0.0003925073814974706,0.0024578757773132,0.02939239323709641,-0.0948043243296216,0.5436241610738255,-0.03369496631039128,0.034053853774504365,-0.4208500345368678
2020_2022,K200,MOM1M,149,0.0005471190687207887,-0.0001714478027829,0.028664771173429585,0.13550291576334597,0.4966442953020134,-0.03006800191661924,0.03900048970129897,0.03789028607524737
2020_2022,K200,OP12_REV,149,0.003277105854686178,0.0041269582318014,0.02017288868611113,1.153287662207813,0.5838926174496645,-0.02007858592473388,0.02953065541144867,-0.31353590320513297
2020_2022,K200,OPFY1_REV,149,0.0021868861061981318,0.0055332356690465,0.020660899651395396,0.7514363594489313,0.5704697986577181,-0.024302180169319298,0.02608655714835051,-0.6158424407084974
2020_2022,K200,PBR12MF,149,0.0015201740356555022,0.0023483567775568,0.03019665118450451,0.35739608968624287,0.5302013422818792,-0.035495936907489464,0.03933191080305831,0.2700802173839105
2020_2022,K200,PER12MF,149,0.0007879063187341357,0.0010028027896547,0.02705477856001264,0.20675016649941272,0.5033557046979866,-0.03193987175717299,0.034985783926486005,0.37854551035699413
2020_2022,K200,PRIVATE_FLOW,149,0.0047455712245013685,0.0044126035548105,0.01693955226510079,1.9888491176976069,0.5906040268456376,-0.01678556861706744,0.025784240820983823,0.2679827021376822
2020_2022,KOSDAQ,FOREIGN_FLOW,149,0.0004841669286265961,-0.0006139579140963,0.015498593948043819,0.22177780934416477,0.4899328859060403,-0.01747457778426518,0.018541315085516544,-0.014271557029369166
2020_2022,KOSDAQ,MOM12_1,149,-0.001002549759754061,0.001581664307872,0.03093441500935002,-0.23008022734962333,0.5100671140939598,-0.039241227822104784,0.03262647181311499,-1.0737675228642363
2020_2022,KOSDAQ,MOM1M,149,0.0013175311809450274,0.0034540996085406,0.03177122994457908,0.2944029398970946,0.5503355704697986,-0.04551136491253904,0.038094648043779364,-0.3791214102846415
2020_2022,KOSDAQ,OP12_REV,149,0.0016395628195195972,0.0019812217296124,0.019664298717832096,0.5919225245018687,0.5570469798657718,-0.02414531865983676,0.02686148711955099,-0.10681033809461891
2020_2022,KOSDAQ,OPFY1_REV,149,0.001968016831465567,0.0026516671828666,0.02028253025077089,0.6888456881157035,0.5637583892617449,-0.0218012236036704,0.025754042353869824,0.0018061176336020856
2020_2022,KOSDAQ,PBR12MF,149,0.00024338749140119677,0.0028365585763334,0.02733728625835291,0.06320597313413244,0.5234899328859061,-0.03539320365403301,0.03455765015525944,-0.034980282244298465
2020_2022,KOSDAQ,PER12MF,149,0.0006983926632518876,-0.0002438740330432,0.024255622887782335,0.20441017251191368,0.4899328859060403,-0.03098672643751242,0.032778996255042894,-0.2763324270889936
2020_2022,KOSDAQ,PRIVATE_FLOW,149,0.001782634153695449,0.0030934344860805,0.018063765830908508,0.7005984893335029,0.5838926174496645,-0.017494887385567738,0.025907372479929223,-0.8454390785962157
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,149,0.0007397775287676157,0.001340504431617,0.01386542232334866,0.3787767394200646,0.5570469798657718,-0.016225998691178477,0.015408058780488261,0.6430111392994583
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,149,-0.0005406575971504518,-0.0003346604343376,0.028063058627802503,-0.1367736933811824,0.4966442953020134,-0.03297109160915932,0.03176302903964993,-0.7821975474216009
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,149,0.001091965235601236,0.0007184283069578,0.02915696053165617,0.2658776499220154,0.5100671140939598,-0.034989164092086876,0.03729663480670884,-0.25639126799241474
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,149,0.004385333959185371,0.0045853899858664,0.016185558636423087,1.9234913908768418,0.6442953020134228,-0.01443228754775994,0.02353740979928725,-0.4726731412458134
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,149,0.0028815422413384427,0.0044119569649835,0.017943939647573754,1.140046219477891,0.6241610738255033,-0.0198514578963375,0.02117738174355861,-0.5915265410653135
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,149,-0.0003477180882678388,0.0005079597415241,0.03380674775610424,-0.0730195510219572,0.5033557046979866,-0.04037427643005216,0.04077016232428256,0.20930689132046096
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,149,0.0003776245534322932,-0.0024213794722499,0.02745182203832157,0.09765721122820173,0.4899328859060403,-0.03748189296517294,0.034706775223204235,0.2613976672465533
2020_2022,KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,149,0.001129368606538788,0.0014758030504116,0.01432542993183291,0.5596845452545491,0.5503355704697986,-0.017220984437569198,0.018180302518910844,-0.6732095817914036
2020_2022,KOSPI_ALL,FOREIGN_FLOW,149,0.0011595078116041681,0.0003016062486443,0.01542904354955119,0.5335190636189789,0.5167785234899329,-0.01508939206125242,0.01828599532839854,0.7732850891422408
2020_2022,KOSPI_ALL,MOM12_1,149,-0.0008509698664742934,-8.637321455614438e-06,0.025440912130122218,-0.237463449297391,0.4966442953020134,-0.02786716484307814,0.0278678660115503,-0.35319301363753136
2020_2022,KOSPI_ALL,MOM1M,149,0.0005662378704578632,-0.0026606193180546,0.02777768081616782,0.14471654880092155,0.4563758389261745,-0.031948996022280865,0.040136695556090264,0.2269383527042209
