sample,universe,n_states,median_rank_persistence_next20,positive_rank_persistence_share,mean_top2_same_share_next20,mean_top2_survival_top4_next20,mean_top2_alpha_vs_ew8_next20,mean_winner_minus_loser_next20,dispersion_current_future_spearman,abs_opportunity_current_future_spearman,breadth_current_future_spearman,median_avg_pair_corr_60,median_pc1_share_60,median_cross_horizon_rank_agreement
2020_2022,KOSPI_EX_K200,133,0.04761904761904763,0.5263157894736842,0.2706766917293233,0.5112781954887218,0.0008122412466480436,0.006890227554569995,0.3712010691586496,0.3829689556319564,0.049358518983902706,0.06838959810425192,0.3787261094344776,0.5476190476190477
2020_2022,KOSPI_KOSDAQ_ALL,149,0.19047619047619052,0.6174496644295302,0.3053691275167785,0.5436241610738255,0.0012959230752532483,0.008993316016902255,0.29844730636676947,0.0880464356974424,-0.10734350385226553,0.049664968388319956,0.48302883500257204,0.6190476190476191
2023_2024,K200,97,0.023809523809523815,0.5051546391752577,0.22164948453608246,0.4536082474226804,-0.001929488918129847,-0.004819045243194997,0.06197401641068798,0.054163160109404584,0.06350078421288403,0.15301899930505952,0.4441037005759069,0.5952380952380953
2023_2024,KOSDAQ,97,0.0,0.4948453608247423,0.25257731958762886,0.4793814432989691,0.0011494092988230287,0.008727164110037476,0.06852251209762254,0.05276930359772774,-0.11289421627074078,0.04152952851032029,0.4073633359787,0.5714285714285715
2023_2024,KOSDAQ_PLUS_KOSPI_EX_K200,97,-0.07142857142857144,0.44329896907216493,0.25257731958762886,0.44329896907216493,-0.0022860335627892326,-0.002176873341033528,0.1735614348832316,0.14599989480328215,-0.07930838162912314,0.08217570588769192,0.4453774160572045,0.5714285714285715
2023_2024,KOSPI_ALL,97,0.07142857142857144,0.5257731958762887,0.27319587628865977,0.4896907216494845,0.0033583819870009863,-0.0010285844574247638,0.027245949926362298,-0.007653061224489796,0.01760852369220273,0.15985735118735225,0.4389477625408731,0.5714285714285715
2023_2024,KOSPI_EX_K200,97,0.09523809523809526,0.5670103092783505,0.28350515463917525,0.5309278350515464,0.004044067280577993,0.005188805963971948,0.19506101409636017,0.1371765200925731,-0.18261443503895936,0.10038359031889672,0.40031091692608994,0.4761904761904762
2023_2024,KOSPI_KOSDAQ_ALL,97,-0.07142857142857144,0.4742268041237113,0.29896907216494845,0.4896907216494845,-0.00167649091901726,-0.0030849053379090373,0.1989795918367347,0.020066273932253312,0.00032047066357835264,0.10860987501211863,0.4663700005057126,0.6190476190476191
2025,K200,49,-0.11904761904761905,0.3673469387755102,0.20408163265306123,0.37755102040816324,-0.010174181213874664,-0.022457466788930604,-0.12357142857142855,-0.019795918367346933,0.055867707469344295,0.15395952765890814,0.42628097893496075,0.5952380952380953
2025,KOSDAQ,49,0.261904761904762,0.6326530612244898,0.24489795918367346,0.5306122448979592,0.006123558534255221,0.02851141761617453,0.24499999999999994,0.21469387755102037,0.06038121806715804,0.06729598004525791,0.3578842656858808,0.5952380952380953
2025,KOSDAQ_PLUS_KOSPI_EX_K200,49,0.30952380952380953,0.7142857142857143,0.2755102040816326,0.5816326530612245,0.008414774847542033,0.03270909343302614,-0.012959183673469385,-0.03255102040816326,0.21779634601916414,0.10659596585321572,0.35594413452467105,0.5952380952380953
2025,KOSPI_ALL,49,-0.023809523809523815,0.4897959183673469,0.22448979591836735,0.45918367346938777,-0.006412681875397527,-0.009102425953377019,-0.10867346938775509,-0.2624489795918367,0.14483952352686577,0.12699856198676682,0.43496229342748477,0.5714285714285715
2025,KOSPI_EX_K200,49,0.04761904761904763,0.5102040816326531,0.23469387755102042,0.5204081632653061,-1.318795035569957e-05,0.006269230524994459,-0.023265306122448978,-0.09897959183673467,-0.09918182948537953,0.08697443915812626,0.3791146898320244,0.6190476190476191
2025,KOSPI_KOSDAQ_ALL,49,0.14285714285714288,0.5510204081632653,0.15306122448979592,0.47959183673469385,-0.002876004679781013,0.004604544976755364,-0.20357142857142857,-0.04418367346938775,0.10702476411596132,0.1331907139012473,0.39746748967773665,0.6190476190476191
2026,K200,25,0.0,0.48,0.18,0.54,0.0015756060269273198,-0.006308707634775554,-0.23923076923076922,-0.13846153846153847,-0.08569664008313034,0.026454988314140383,0.4617906458016733,0.6666666666666669
2026,KOSDAQ,25,0.09523809523809526,0.56,0.36,0.54,0.022185460172832676,0.03626428788627407,-0.06923076923076923,-0.06615384615384615,-0.21289019645584775,0.11819792754114891,0.39229349293739635,0.6666666666666669
2026,KOSDAQ_PLUS_KOSPI_EX_K200,25,0.19047619047619052,0.64,0.32,0.56,0.01770905427806668,0.03354290957740352,-0.2623076923076923,-0.3976923076923076,-0.15581219834199037,0.0100908150041764,0.4472578066882965,0.7619047619047621
2026,KOSPI_ALL,25,0.14285714285714288,0.56,0.2,0.58,0.0038572012330207526,0.004751134011865781,-0.22692307692307692,-0.15538461538461537,-0.3203914496913973,0.019687332464678797,0.4808546132893946,0.5952380952380953
2026,KOSPI_EX_K200,25,0.09523809523809526,0.56,0.16,0.48,0.0013760465739289618,0.019122303338803624,-0.08461538461538462,-0.11923076923076922,-0.5272542080821626,-0.029553462048757216,0.4130447172645812,0.5952380952380953
2026,KOSPI_KOSDAQ_ALL,25,0.0,0.48,0.24,0.58,0.006577802215581546,0.0231210808743754,-0.27076923076923076,-0.29846153846153844,-0.2737898682105059,-0.004000561759314711,0.4676477953827334,0.6190476190476191
FULL,K200,504,-0.023809523809523815,0.48214285714285715,0.2361111111111111,0.4781746031746032,-0.0022027292974667657,-0.005367620239979936,0.26822244280662094,0.22192371466626928,0.023596157824205703,0.08349429014377129,0.4592439612546653,0.5714285714285715
FULL,KOSDAQ,504,0.08333333333333334,0.5694444444444444,0.2777777777777778,0.5188492063492064,0.0035778204807078388,0.01060883752616005,0.198764133726636,0.14795911002631082,0.016578741313525845,0.06784229333653748,0.3914205913480806,0.5714285714285715
FULL,KOSDAQ_PLUS_KOSPI_EX_K200,504,0.14285714285714288,0.5773809523809523,0.29365079365079366,0.5376984126984127,0.004675014665495265,0.01266888673529257,0.19149365944830785,0.1366929961953878,0.06732228399516821,0.08402683555992266,0.4148354722417301,0.6190476190476191
FULL,KOSPI_ALL,504,0.07142857142857144,0.5376984126984127,0.23511904761904762,0.5009920634920635,-0.00114803674369259,-0.00041306659697725167,0.21569620466732847,0.12631518761078045,0.01521698515701653,0.09668473901343547,0.44238624407713867,0.5714285714285715
FULL,KOSPI_EX_K200,487,0.07142857142857144,0.5503080082135524,0.25051334702258726,0.5174537987679672,0.0016900305526405019,0.005858094047479801,0.23479688662978798,0.1752172556079604,-0.03578671093236789,0.06710348613060715,0.38939527574666466,0.5714285714285715
FULL,KOSPI_KOSDAQ_ALL,504,0.09523809523809526,0.5515873015873016,0.2708333333333333,0.5248015873015873,0.00048554115464539705,0.004359661232787354,0.22570076945212278,0.1054234704924625,0.045924560335104926,0.08628453429871705,0.4483719724524857,0.5952380952380953
