universe,factor,overlay,cost_bp,period,n_phases,median_delta_return,median_delta_sharpe,median_delta_mdd,median_delta_turnover,return_wins
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,PRE_STRESS_2017_2024,10,-0.003972603278853071,-0.02195514472188427,-0.0012425571930423929,0.1485969387755102,4
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,30,YTD_2026,10,-0.007170104608280714,0.0009324327825392525,0.004247790499987858,0.16892857142857143,5
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,BULL_2025,10,0.0034067068753046437,0.07794049041166451,0.015406815328889156,0.12291666666666667,5
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,EARLY_2017_2019,10,-0.017312477469913323,-0.05570739271839901,0.004298215081594503,0.14383561643835618,4
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,LATE_2020_2022,10,-0.02433387612183341,-0.11718314791938189,-0.012923281854990254,0.16959459459459467,4
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,NORMAL_2023_2024,10,-0.009636493943764368,-0.05189381341963171,0.004723083303184328,0.14489795918367349,5
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,PRE_STRESS_2017_2024,10,-0.014878608498012369,-0.060826453655650876,-0.013247361876263464,0.1485969387755102,3
KOSDAQ,WEIGHTED_MOM,ACT5_KEEP_TOP70,60,YTD_2026,10,-0.015245418023920543,-0.016707874521508917,0.002499107127008793,0.16892857142857143,5
KOSDAQ,WEIGHTED_MOM,MCAP_W10,30,BULL_2025,10,-0.03961270200346412,0.10314467534621452,0.026949252843452454,-0.030708333333333337,4
KOSDAQ,WEIGHTED_MOM,MCAP_W10,30,EARLY_2017_2019,10,0.027009270215601844,0.07954140163878948,0.032905710654876685,-0.019863013698630166,9
KOSDAQ,WEIGHTED_MOM,MCAP_W10,30,LATE_2020_2022,10,0.029719287237057024,0.1011060000141993,0.020599858088414136,-0.021283783783783844,7
KOSDAQ,WEIGHTED_MOM,MCAP_W10,30,NORMAL_2023_2024,10,0.03300067352667729,0.06970662498002006,0.06006970162562564,-0.03367346938775509,7
KOSDAQ,WEIGHTED_MOM,MCAP_W10,30,PRE_STRESS_2017_2024,10,0.027767119612112867,0.07466375403821898,0.039847443422637185,-0.0234693877551021,7
KOSDAQ,WEIGHTED_MOM,MCAP_W10,30,YTD_2026,10,0.004344454045664137,0.0408109256330669,0.021101318285311255,-0.053333333333333344,5
KOSDAQ,WEIGHTED_MOM,MCAP_W10,60,BULL_2025,10,-0.0344143511500572,0.09573648347148744,0.026641431817471806,-0.030708333333333337,4
KOSDAQ,WEIGHTED_MOM,MCAP_W10,60,EARLY_2017_2019,10,0.028147693145303854,0.08352598242614645,0.03271965646523178,-0.019863013698630166,9
KOSDAQ,WEIGHTED_MOM,MCAP_W10,60,LATE_2020_2022,10,0.030143055767613947,0.10760052722795564,0.022568082509847764,-0.021283783783783844,7
KOSDAQ,WEIGHTED_MOM,MCAP_W10,60,NORMAL_2023_2024,10,0.03435497997769288,0.07026903606829073,0.06304850848846316,-0.03367346938775509,7
